sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
who should derek hug after shocking richard?,-83.08464050292969,-84.85785675048828,-74.94142150878906,-98.57122802734375,-95.68509674072266,-95.95946502685547,-89.9930191040039,-98.07813262939453,-74.65010833740234,-98.03438568115234,-99.82152557373047,-93.66084289550781,-99.65956115722656,-90.31465148925781,-95.08358764648438,-108.72642517089844,-108.07160949707031,-102.34938049316406
who should derek hug richard after shocking?,-84.4664535522461,-84.83220672607422,-71.2948226928711,-91.51790618896484,-89.23876953125,-92.44094848632812,-89.274658203125,-93.7276611328125,-74.2266845703125,-88.96659088134766,-94.32514953613281,-88.67181396484375,-101.33360290527344,-90.81912994384766,-93.13794708251953,-106.09968566894531,-101.34214782714844,-101.29975128173828
what had theresa walked through while talking about that high school?,-92.59329223632812,-100.69380187988281,-94.68473052978516,-108.73236083984375,-105.40457916259766,-104.62071990966797,-95.94916534423828,-108.96722412109375,-100.8509292602539,-111.72029876708984,-110.58395385742188,-108.41532897949219,-90.33779907226562,-95.37457275390625,-94.22017669677734,-102.54837036132812,-102.2286605834961,-102.51249694824219
what had theresa walked through that high school while talking about?,-95.3460693359375,-98.382080078125,-101.48422241210938,-99.3227767944336,-99.57418823242188,-101.2499771118164,-98.15392303466797,-104.85863494873047,-103.55572509765625,-105.04463958740234,-104.26046752929688,-106.67153930664062,-90.17071533203125,-91.31307983398438,-85.11376953125,-105.4690170288086,-100.87718963623047,-101.20333099365234
who will katherine discover without hiring erin?,-92.09810638427734,-99.11493682861328,-90.03797149658203,-91.48143005371094,-94.02522277832031,-89.95130920410156,-101.49356842041016,-117.06856536865234,-99.91397857666016,-94.53345489501953,-97.14339447021484,-92.482177734375,-102.45394897460938,-111.69255065917969,-103.03636169433594,-117.22456359863281,-117.49810791015625,-113.56036376953125
who will katherine discover erin without hiring?,-89.71354675292969,-92.37133026123047,-91.6014404296875,-91.68128967285156,-95.73749542236328,-85.0745849609375,-102.06795501708984,-106.14539337158203,-93.49901580810547,-92.84343719482422,-98.13253784179688,-86.07886505126953,-97.96476745605469,-107.34221649169922,-100.45960998535156,-118.70438385009766,-115.25704193115234,-114.91970825195312
who has colleen aggravated before kissing judy?,-95.56538391113281,-89.0103988647461,-86.47484588623047,-106.48628234863281,-106.16242218017578,-104.6749496459961,-95.01200866699219,-100.21330261230469,-90.71868133544922,-105.62930297851562,-107.06159973144531,-105.26421356201172,-98.51081848144531,-99.30300903320312,-99.79360961914062,-119.67684173583984,-118.37739562988281,-116.12519836425781
who has colleen aggravated judy before kissing?,-96.24287414550781,-87.5838623046875,-83.97112274169922,-108.16586303710938,-107.99942016601562,-104.69854736328125,-93.04764556884766,-94.27367401123047,-82.20318603515625,-106.4498291015625,-109.96652221679688,-110.35462188720703,-98.3028564453125,-102.16514587402344,-102.01065826416016,-118.21868896484375,-113.76937866210938,-114.28668975830078
what could a lot of cats break while finding all convertibles?,-93.54109191894531,-108.2922134399414,-93.95352935791016,-100.86100006103516,-93.16934967041016,-100.32627868652344,-106.12812042236328,-123.22648620605469,-108.8378677368164,-100.73241424560547,-102.98560333251953,-101.68478393554688,-110.8984603881836,-108.47607421875,-108.65873718261719,-109.18061828613281,-107.55313110351562,-113.90840148925781
what could a lot of cats break all convertibles while finding?,-109.65487670898438,-113.84619140625,-104.73014831542969,-102.98990631103516,-99.8104019165039,-102.7293701171875,-126.87043762207031,-123.3028564453125,-122.36256408691406,-103.51033782958984,-107.47412109375,-103.26363372802734,-112.40863800048828,-108.27923583984375,-107.61400604248047,-108.07469940185547,-105.17704772949219,-107.37848663330078
who have most people discovered while embarrassing erin?,-98.46197509765625,-104.29013061523438,-94.40956115722656,-63.06267547607422,-68.85913848876953,-69.67494201660156,-114.39328002929688,-104.07555389404297,-99.38927459716797,-63.10558319091797,-69.51438903808594,-74.03258514404297,-110.43451690673828,-120.5984115600586,-112.57252502441406,-107.89208984375,-107.18756103515625,-114.73460388183594
who have most people discovered erin while embarrassing?,-103.99087524414062,-100.9282455444336,-97.09718322753906,-62.37649154663086,-71.72007751464844,-67.92694854736328,-123.34993743896484,-98.73766326904297,-103.58392333984375,-64.03573608398438,-73.74055480957031,-70.80108642578125,-108.73294067382812,-119.04218292236328,-107.1165771484375,-116.41419982910156,-109.15345764160156,-120.59627532958984
who was william firing before talking about maria?,-78.87723541259766,-82.4444808959961,-86.10090637207031,-94.42704772949219,-93.85698699951172,-92.56444549560547,-84.3415298461914,-90.49372863769531,-89.09587097167969,-96.46958923339844,-93.87197875976562,-93.00814819335938,-75.4493179321289,-71.90110778808594,-76.03056335449219,-94.69233703613281,-91.91366577148438,-93.4279556274414
