sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
katherine can't help herself.,-46.226192474365234,-52.426666259765625,-42.96600341796875,-48.46495819091797,-45.774803161621094,-45.76759338378906,-52.215553283691406,-59.45695495605469,-48.76885223388672,-46.4899787902832,-47.099525451660156,-45.68109893798828,-55.15239715576172,-53.68727493286133,-55.06401062011719,-41.941001892089844,-46.256141662597656,-43.76868438720703
katherine can't help himself.,-45.283695220947266,-56.837379455566406,-44.71034622192383,-47.63309097290039,-48.4027214050293,-45.40980529785156,-53.91230773925781,-63.38092803955078,-51.31264877319336,-45.650264739990234,-49.760963439941406,-45.48310470581055,-59.133636474609375,-56.36145782470703,-58.870643615722656,-47.10422897338867,-45.84989547729492,-41.50741958618164
karla could listen to herself.,-67.20481872558594,-65.24795532226562,-70.07870483398438,-53.24138641357422,-51.53286361694336,-57.78303909301758,-68.06471252441406,-72.74542236328125,-79.80589294433594,-56.033668518066406,-51.99962615966797,-63.373775482177734,-62.31401062011719,-61.258853912353516,-63.38117218017578,-57.20458984375,-59.92231750488281,-65.73458862304688
karla could listen to himself.,-62.43806457519531,-65.32752227783203,-70.08094787597656,-48.76171112060547,-52.667476654052734,-50.82905197143555,-63.844947814941406,-73.03378295898438,-75.26809692382812,-49.63883590698242,-53.33248519897461,-53.124244689941406,-63.34117126464844,-63.82089614868164,-65.67890930175781,-59.28146743774414,-60.46491622924805,-59.781402587890625
marie won't think about herself.,-60.131900787353516,-53.979766845703125,-56.5115966796875,-60.135746002197266,-61.17034149169922,-56.534576416015625,-61.276737213134766,-67.83114624023438,-63.4798698425293,-57.903724670410156,-63.793739318847656,-57.495086669921875,-56.866615295410156,-62.72544860839844,-53.89722442626953,-49.68418884277344,-47.29133987426758,-45.291648864746094
marie won't think about itself.,-59.99044418334961,-57.54122543334961,-53.795875549316406,-58.90951156616211,-62.627044677734375,-52.9511833190918,-62.24954605102539,-65.85322570800781,-57.055030822753906,-56.30998611450195,-65.1183853149414,-53.446937561035156,-63.785091400146484,-64.21250915527344,-56.56727981567383,-52.542144775390625,-48.670284271240234,-47.370426177978516
mark hasn't discussed himself.,-55.004554748535156,-62.609169006347656,-56.821720123291016,-44.43830871582031,-51.903709411621094,-48.041526794433594,-61.95219802856445,-68.14462280273438,-61.46387481689453,-45.13371658325195,-54.041236877441406,-50.857261657714844,-62.14549255371094,-61.102718353271484,-64.06974792480469,-45.365577697753906,-45.06948471069336,-41.99462890625
mark hasn't discussed itself.,-58.971702575683594,-62.68791198730469,-59.7829704284668,-49.41530990600586,-53.119903564453125,-52.93926239013672,-65.5785903930664,-62.995548248291016,-58.84069061279297,-51.452518463134766,-55.71588897705078,-55.564048767089844,-65.82952880859375,-64.34487915039062,-70.49508666992188,-43.89344024658203,-42.934120178222656,-43.783851623535156
stephen impressed himself.,-49.600582122802734,-56.767391204833984,-52.52997589111328,-36.018653869628906,-41.95656204223633,-34.91819381713867,-52.966758728027344,-59.33597183227539,-59.182518005371094,-39.03001403808594,-41.53732681274414,-39.24568176269531,-69.28678131103516,-63.785301208496094,-63.938228607177734,-48.10851287841797,-47.250885009765625,-52.05949020385742
stephen impressed itself.,-56.25096130371094,-59.65346145629883,-53.224143981933594,-41.23573684692383,-44.02581024169922,-41.18769454956055,-60.37189483642578,-60.104644775390625,-61.78770065307617,-44.62652587890625,-44.01665496826172,-44.50846862792969,-69.66270446777344,-63.668312072753906,-68.45899200439453,-50.792945861816406,-48.811954498291016,-54.46918487548828
