sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
tina revealed margaret.,-51.52276611328125,-48.483558654785156,-58.022247314453125,-38.68711471557617,-36.121490478515625,-42.31855392456055,-60.678367614746094,-50.54771041870117,-66.38673400878906,-40.26453399658203,-39.003562927246094,-44.167755126953125,-89.39797973632812,-74.43754577636719,-71.4626693725586,-47.32686233520508,-55.78076171875,-62.09028625488281
the horse revealed margaret.,-49.91960906982422,-54.28851318359375,-55.27854537963867,-40.552757263183594,-41.36669158935547,-38.62708282470703,-50.43354415893555,-50.679168701171875,-56.93682098388672,-41.55377960205078,-45.64382553100586,-38.099552154541016,-77.0877456665039,-70.58272552490234,-69.65340423583984,-45.31220245361328,-46.8554573059082,-53.84141159057617
danielle visited irene.,-52.40312576293945,-63.790496826171875,-61.23019790649414,-36.39383316040039,-40.699398040771484,-38.41948699951172,-58.9207878112793,-68.88499450683594,-67.61030578613281,-35.9833984375,-41.06245803833008,-40.31922912597656,-69.07324981689453,-64.46992492675781,-67.99065399169922,-62.21184158325195,-52.47279739379883,-63.68763732910156
the eye visited irene.,-61.692893981933594,-70.18547821044922,-68.05755615234375,-44.76958465576172,-49.940673828125,-46.5711555480957,-67.80540466308594,-77.45624542236328,-76.93933868408203,-46.67778015136719,-50.97343444824219,-50.6248664855957,-78.38873291015625,-72.66315460205078,-74.54407501220703,-52.565391540527344,-45.63204574584961,-51.73088073730469
paul runs around the art galleries.,-68.07207489013672,-77.52670288085938,-70.701171875,-36.090606689453125,-39.556453704833984,-41.351722717285156,-76.28026580810547,-86.08598327636719,-70.82234191894531,-33.39895248413086,-36.4726448059082,-36.35244369506836,-76.88658142089844,-74.56783294677734,-74.23367309570312,-66.30725860595703,-59.55949783325195,-63.100894927978516
the river runs around the art galleries.,-70.63115692138672,-84.11698913574219,-75.5187759399414,-43.89679718017578,-51.98101043701172,-46.12824249267578,-80.10153198242188,-94.1700668334961,-79.3555908203125,-41.13435745239258,-48.184268951416016,-43.57936096191406,-75.77072143554688,-77.3393783569336,-72.22886657714844,-60.46157455444336,-53.15869903564453,-59.71199417114258
most banks have praised raymond.,-90.28340911865234,-94.40277862548828,-88.1645278930664,-39.56944274902344,-34.97526168823242,-37.81292724609375,-104.73092651367188,-102.22722625732422,-95.43844604492188,-39.423858642578125,-36.955650329589844,-37.86918640136719,-99.19984436035156,-100.30313873291016,-96.10388946533203,-55.39984893798828,-55.60564422607422,-56.594303131103516
the jackets have praised raymond.,-86.52970886230469,-91.57110595703125,-90.14724731445312,-48.36981201171875,-41.19950866699219,-52.16570281982422,-102.42333984375,-104.1627197265625,-98.97695922851562,-45.524147033691406,-43.05268478393555,-51.61864471435547,-87.82760620117188,-89.48368835449219,-87.43299102783203,-59.49528884887695,-54.96979522705078,-60.12028503417969
every doctor was selling some restaurants.,-56.403690338134766,-54.65604782104492,-51.31415939331055,-42.46664047241211,-45.37181854248047,-38.20682907104492,-60.68172073364258,-54.61614227294922,-59.309024810791016,-46.44053268432617,-43.06202697753906,-37.92359924316406,-66.60928344726562,-54.54302978515625,-61.79862594604492,-55.75257110595703,-58.74992752075195,-64.51104736328125
a cup was selling some restaurants.,-58.091270446777344,-57.83255386352539,-52.28837585449219,-42.351375579833984,-46.92658996582031,-44.105167388916016,-61.44784164428711,-60.9183464050293,-57.617855072021484,-45.92377853393555,-47.38330841064453,-42.66855239868164,-64.37130737304688,-59.225067138671875,-58.97950744628906,-53.67824935913086,-52.08380126953125,-56.421485900878906
steve bikes to a public park.,-75.26332092285156,-75.53089141845703,-64.67890167236328,-49.355445861816406,-50.60102844238281,-57.170440673828125,-82.14147186279297,-76.35773468017578,-69.92526245117188,-50.971519470214844,-52.59112548828125,-56.874847412109375,-76.86446380615234,-77.44805908203125,-83.41268157958984,-65.23716735839844,-67.20081329345703,-65.15434265136719
every fork bikes to a public park.,-75.33085632324219,-78.04728698730469,-74.03711700439453,-66.77974700927734,-54.278411865234375,-68.89595031738281,-87.49934387207031,-90.8623046875,-83.52887725830078,-63.26670837402344,-54.146934509277344,-71.43885803222656,-86.63399505615234,-85.5503158569336,-87.41063690185547,-76.36092376708984,-73.91612243652344,-75.35424041748047
beth scares roger.,-55.76982498168945,-53.26116180419922,-45.86233901977539,-54.997772216796875,-56.768943786621094,-50.370704650878906,-57.08502197265625,-55.035865783691406,-56.9034423828125,-57.777122497558594,-57.04679870605469,-51.746543884277344,-67.91773223876953,-67.5741195678711,-73.30475616455078,-50.302677154541016,-50.59307098388672,-52.377506256103516
a carriage scares roger.,-58.209083557128906,-52.506690979003906,-52.311466217041016,-54.67030334472656,-53.44036102294922,-52.67121505737305,-64.00042724609375,-61.165164947509766,-63.11512756347656,-54.64585876464844,-52.368228912353516,-50.68092727661133,-67.03307342529297,-62.25908660888672,-66.93157958984375,-53.72174072265625,-52.65772247314453,-55.05764389038086
melissa will clean a gate.,-55.92796325683594,-58.06133270263672,-50.66482925415039,-54.29425811767578,-49.82825469970703,-57.372840881347656,-63.169715881347656,-64.94851684570312,-54.402427673339844,-55.475460052490234,-48.94341278076172,-61.62281036376953,-63.7600212097168,-64.40589141845703,-69.27365112304688,-54.704345703125,-55.539947509765625,-63.947998046875
this mouth will clean a gate.,-66.21882629394531,-66.57473754882812,-62.99271011352539,-62.145084381103516,-56.665714263916016,-60.253631591796875,-72.25662231445312,-73.42432403564453,-74.3800048828125,-61.69386291503906,-59.13664627075195,-64.25874328613281,-61.97788619995117,-63.137245178222656,-68.54177856445312,-47.62110900878906,-46.96216583251953,-53.832191467285156
tanya conceals adam.,-66.36111450195312,-71.76653289794922,-65.02912902832031,-56.65850067138672,-57.429203033447266,-57.7712287902832,-70.62057495117188,-75.55447387695312,-65.4713134765625,-56.40522766113281,-59.939910888671875,-58.68465042114258,-83.69962310791016,-80.21585845947266,-83.9088134765625,-60.87936782836914,-57.76830291748047,-62.25709533691406
this ice cream conceals adam.,-64.97876739501953,-70.25706481933594,-67.81896209716797,-65.21332550048828,-69.72146606445312,-71.34613037109375,-66.70587158203125,-78.40426635742188,-73.54246520996094,-59.48540115356445,-72.80491638183594,-70.71647644042969,-80.36227416992188,-73.1750717163086,-71.65857696533203,-73.13126373291016,-67.05929565429688,-65.05916595458984
renee had praised eric.,-63.914512634277344,-66.38548278808594,-67.9821548461914,-50.734004974365234,-46.6467399597168,-53.64116668701172,-72.27037811279297,-71.78498077392578,-77.18492126464844,-52.25806427001953,-48.647216796875,-56.43001174926758,-81.08002471923828,-74.14994049072266,-83.08145904541016,-53.547218322753906,-48.080204010009766,-50.3287467956543
the beef had praised eric.,-71.41919708251953,-74.7719497680664,-74.68412780761719,-53.9320182800293,-55.182640075683594,-56.346893310546875,-81.81864166259766,-84.19259643554688,-77.81909942626953,-53.86695861816406,-57.025447845458984,-58.516815185546875,-76.99085998535156,-80.53123474121094,-81.63931274414062,-54.767330169677734,-44.77104568481445,-50.11109161376953
mark hasn't respected a lot of actors.,-68.04764556884766,-70.42404174804688,-73.56201934814453,-58.2469482421875,-56.437294006347656,-55.65694046020508,-70.54312133789062,-72.76840209960938,-82.06787109375,-58.608436584472656,-56.57908630371094,-56.34596633911133,-74.50659942626953,-70.03706359863281,-73.18768310546875,-53.48917770385742,-50.4377555847168,-51.17808532714844
every government hasn't respected a lot of actors.,-100.13723754882812,-101.60253143310547,-103.199951171875,-67.74658966064453,-64.33242797851562,-66.79398345947266,-108.37828063964844,-106.86736297607422,-118.32669830322266,-67.94902038574219,-64.1756820678711,-67.40443420410156,-106.46100616455078,-96.13142395019531,-103.07633209228516,-58.277095794677734,-54.70637130737305,-55.378570556640625
matt could argue about bethany.,-77.01685333251953,-80.52477264404297,-76.36154174804688,-74.29068756103516,-74.30158996582031,-69.16155242919922,-85.96234130859375,-88.19600677490234,-86.386474609375,-74.0551528930664,-74.6607437133789,-69.94620513916016,-90.98758697509766,-95.45850372314453,-90.20430755615234,-69.38697052001953,-69.61874389648438,-65.4048080444336
every mall could argue about bethany.,-90.89620208740234,-91.41214752197266,-87.87619018554688,-80.98056030273438,-79.58294677734375,-72.97187805175781,-103.79833984375,-96.98355102539062,-92.59529876708984,-80.4101791381836,-77.796142578125,-75.20806884765625,-102.18985748291016,-95.16868591308594,-97.30015563964844,-68.34339904785156,-76.90763854980469,-69.99068450927734
kathleen can't fix every carriage.,-84.3135986328125,-84.83450317382812,-87.75171661376953,-62.85036087036133,-64.350341796875,-61.81745529174805,-93.59086608886719,-94.48699951171875,-98.94245910644531,-62.265647888183594,-62.95317459106445,-58.73686218261719,-81.5022201538086,-86.21456146240234,-83.6627197265625,-74.2630615234375,-75.06018829345703,-74.18157958984375
some newspaper article can't fix every carriage.,-91.14641571044922,-93.52787780761719,-90.73424530029297,-80.81649017333984,-76.3097152709961,-88.71080780029297,-96.27890014648438,-110.57341003417969,-105.1042251586914,-82.5997314453125,-76.23593139648438,-87.662353515625,-85.42625427246094,-83.35205078125,-91.7513656616211,-77.77339172363281,-76.00682067871094,-73.82960510253906
denise wasn't referencing homer.,-73.08242797851562,-73.18914031982422,-68.94915771484375,-53.3919563293457,-59.292198181152344,-57.03774642944336,-77.99922180175781,-73.43777465820312,-83.81829071044922,-56.53015899658203,-60.17414474487305,-59.263397216796875,-90.94877624511719,-83.23260498046875,-81.04698944091797,-60.45967102050781,-65.4351806640625,-61.36154556274414
rice wasn't referencing homer.,-76.21685028076172,-70.208740234375,-76.60365295410156,-50.359642028808594,-54.97616195678711,-54.00094223022461,-77.65794372558594,-75.11766052246094,-86.00370025634766,-52.99797439575195,-56.496116638183594,-54.570884704589844,-91.03564453125,-79.63156127929688,-84.9432144165039,-52.10356903076172,-56.48508834838867,-57.20404815673828
vanessa visits judy.,-52.91849899291992,-53.032135009765625,-52.82476043701172,-42.933963775634766,-41.38035202026367,-38.71160125732422,-53.35384750366211,-57.1414909362793,-63.015541076660156,-38.56538772583008,-38.08946228027344,-43.36098098754883,-73.09371948242188,-69.17184448242188,-65.05023193359375,-60.01810836791992,-59.91512680053711,-63.55024337768555
the ice cream visits judy.,-49.933677673339844,-48.198577880859375,-50.777687072753906,-59.94254684448242,-56.741920471191406,-56.34252166748047,-51.09269714355469,-54.87704086303711,-62.06130599975586,-58.08158874511719,-55.95240020751953,-58.77058410644531,-56.81488800048828,-52.2160758972168,-52.414527893066406,-66.90778350830078,-58.36065673828125,-59.91073989868164
beverly would scan a movie.,-78.84882354736328,-82.74874877929688,-81.39593505859375,-73.8026123046875,-62.97987365722656,-56.06638717651367,-89.69486236572266,-82.12556457519531,-88.29139709472656,-71.82377624511719,-67.38556671142578,-59.34751510620117,-75.4181900024414,-67.01216125488281,-76.61927795410156,-67.63643646240234,-65.62987518310547,-65.06541442871094
a pepper would scan a movie.,-69.44197845458984,-73.91990661621094,-71.39070892333984,-55.441436767578125,-54.70242691040039,-54.06371307373047,-78.91642761230469,-79.41893768310547,-78.22634887695312,-56.58171844482422,-56.62897491455078,-55.86122512817383,-66.62747192382812,-64.78430938720703,-69.25234985351562,-61.05569076538086,-59.52001190185547,-55.8979377746582
liam has respected many waiters.,-69.63748168945312,-75.28112030029297,-72.44952392578125,-55.60700607299805,-56.50156784057617,-56.00918197631836,-74.17435455322266,-81.64651489257812,-85.61084747314453,-57.807769775390625,-59.906455993652344,-56.34412384033203,-85.09683227539062,-75.96883392333984,-83.5023193359375,-67.42658996582031,-67.33294677734375,-68.70951843261719
that banana has respected many waiters.,-67.5347671508789,-79.21871185302734,-72.30241394042969,-60.644981384277344,-65.83677673339844,-62.24091339111328,-68.84649658203125,-87.969482421875,-79.1195297241211,-64.25814819335938,-67.81857299804688,-64.32770538330078,-87.9500732421875,-80.3438720703125,-83.56303405761719,-67.32455444335938,-73.08428955078125,-65.13397979736328
some person hadn't passed all high schools.,-68.85887145996094,-84.2975082397461,-80.9611587524414,-65.10655212402344,-68.54383850097656,-72.35350036621094,-82.70298767089844,-90.82719421386719,-93.09022521972656,-67.70993041992188,-67.2049560546875,-72.53268432617188,-70.31977081298828,-67.43592834472656,-71.41584777832031,-61.70093536376953,-59.620521545410156,-61.57707595825195
that casserole hadn't passed all high schools.,-88.97566223144531,-92.58460998535156,-88.48377990722656,-84.40288543701172,-77.5129623413086,-84.7369613647461,-94.81448364257812,-96.57723236083984,-86.37477111816406,-83.94597625732422,-76.51190948486328,-84.61131286621094,-94.55399322509766,-89.87642669677734,-89.00264739990234,-82.48094940185547,-76.77864074707031,-75.98356628417969
carlos has sounded like all hospitals.,-78.65957641601562,-82.82323455810547,-79.518798828125,-40.84077835083008,-39.74092483520508,-37.16923141479492,-86.63333129882812,-80.27954864501953,-90.04646301269531,-37.29792785644531,-37.84861755371094,-35.0491828918457,-87.07012176513672,-85.87287902832031,-88.44530487060547,-73.76850891113281,-69.4735336303711,-77.11331939697266
this ice has sounded like all hospitals.,-80.19950103759766,-84.23291015625,-76.2688217163086,-46.16822052001953,-51.449249267578125,-45.26430892944336,-85.60245513916016,-91.29569244384766,-82.92215728759766,-42.47587203979492,-47.751686096191406,-42.03602600097656,-86.70508575439453,-78.36058807373047,-83.3664779663086,-70.7503433227539,-63.813079833984375,-71.71277618408203
wendy walked through some schools.,-62.636474609375,-70.34713745117188,-60.601478576660156,-54.114158630371094,-54.54343795776367,-51.840457916259766,-70.03157043457031,-73.37815856933594,-66.44086456298828,-54.56526184082031,-54.99474334716797,-52.53217697143555,-65.89432525634766,-57.848350524902344,-59.070335388183594,-64.64204406738281,-59.008358001708984,-62.9553337097168
