sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
laurie hasn't lifted those cacti.,-61.72016906738281,-70.45085144042969,-66.22061920166016,-57.900299072265625,-57.55504608154297,-52.847511291503906,-65.84896087646484,-73.21639251708984,-76.11817932128906,-58.11479949951172,-59.497032165527344,-56.47248077392578,-82.21090698242188,-75.1622543334961,-75.64054870605469,-78.06336212158203,-74.08114624023438,-76.5826187133789
laurie hasn't lifted those cactus.,-56.3363151550293,-62.07960891723633,-57.36564254760742,-59.55309295654297,-55.40794372558594,-55.45008850097656,-58.80950927734375,-65.47175598144531,-64.88632202148438,-60.363590240478516,-59.74755859375,-61.438133239746094,-74.85337829589844,-71.91753387451172,-70.2046127319336,-82.99067687988281,-78.32847595214844,-83.60639953613281
adam hadn't discussed these analyses.,-88.29432678222656,-82.1760482788086,-86.16089630126953,-45.546607971191406,-44.04493713378906,-44.756996154785156,-90.83098602294922,-86.98131561279297,-97.36827850341797,-44.07152557373047,-43.69736099243164,-45.59427261352539,-91.5775375366211,-90.33183288574219,-95.32816314697266,-62.2398681640625,-54.70545196533203,-62.06109619140625
adam hadn't discussed these analysis.,-95.25712585449219,-85.35134887695312,-91.19645690917969,-60.25560760498047,-63.24408721923828,-61.89733123779297,-97.3505630493164,-87.67753601074219,-105.60599517822266,-63.903656005859375,-65.7813720703125,-65.04527282714844,-103.06513977050781,-98.80517578125,-103.95081329345703,-56.03905487060547,-53.12346649169922,-54.03226089477539
some customers know these men.,-51.15898132324219,-52.47269058227539,-55.56412887573242,-50.789127349853516,-46.611534118652344,-47.187095642089844,-58.8211669921875,-52.83868408203125,-64.18092346191406,-49.83936309814453,-47.346473693847656,-45.917808532714844,-54.244354248046875,-52.92095184326172,-50.096519470214844,-45.59440231323242,-44.21943283081055,-47.77702331542969
some customers know these man.,-54.77228927612305,-58.33921813964844,-57.79670715332031,-46.87576675415039,-49.30797576904297,-47.389739990234375,-61.442298889160156,-59.1921501159668,-61.430477142333984,-45.071998596191406,-49.55221176147461,-48.567787170410156,-54.35862350463867,-55.21574401855469,-55.14761734008789,-42.540714263916016,-47.843318939208984,-49.28201675415039
phillip was lifting this mouse.,-59.10982131958008,-64.23072814941406,-57.225547790527344,-45.000267028808594,-44.22624588012695,-44.0698356628418,-66.60409545898438,-74.114501953125,-65.20341491699219,-46.411861419677734,-44.46037673950195,-44.82496643066406,-78.37505340576172,-84.78610229492188,-75.94779205322266,-61.37995910644531,-62.55046463012695,-67.88401794433594
phillip was lifting this mice.,-60.18351745605469,-72.05474090576172,-64.40953063964844,-44.98801040649414,-45.03218460083008,-44.876487731933594,-67.6603012084961,-81.15998840332031,-71.2088851928711,-46.66813278198242,-45.90151596069336,-44.33049392700195,-79.47447204589844,-87.10125732421875,-77.18403625488281,-61.52116394042969,-64.3490982055664,-69.70048522949219
the driver reveals these mice.,-58.663787841796875,-65.81036376953125,-67.0416488647461,-49.508506774902344,-49.02263641357422,-48.26927947998047,-69.4798355102539,-66.02888488769531,-73.94296264648438,-48.82716751098633,-50.52998733520508,-47.67473602294922,-80.01301574707031,-74.21844482421875,-72.22598266601562,-48.74492263793945,-51.644020080566406,-55.33393478393555
the driver reveals these mouse.,-64.3537368774414,-69.5557861328125,-70.10360717773438,-49.43394470214844,-50.97361755371094,-49.143882751464844,-72.27643585205078,-68.50749206542969,-80.1251220703125,-49.81959533691406,-51.77968215942383,-49.531494140625,-86.66791534423828,-77.13287353515625,-75.33577728271484,-48.46741485595703,-48.616676330566406,-53.50237274169922
anna will buy that louse.,-59.69738006591797,-55.46202850341797,-54.75939178466797,-54.00762939453125,-53.75395965576172,-52.777687072753906,-62.325531005859375,-63.934120178222656,-56.852874755859375,-59.09478759765625,-53.67352294921875,-56.08377456665039,-63.8970947265625,-63.13695526123047,-57.168880462646484,-51.21904373168945,-54.22333526611328,-51.195796966552734
anna will buy that lice.,-54.106170654296875,-52.82875061035156,-56.85204315185547,-49.17970657348633,-53.554622650146484,-49.34587097167969,-61.407814025878906,-61.27992248535156,-58.6702880859375,-53.64292907714844,-51.30921173095703,-50.57304763793945,-64.8603744506836,-65.1405258178711,-57.60862350463867,-51.1534538269043,-53.253482818603516,-50.84309768676758
rhonda had insulted these men.,-67.34666442871094,-70.3089599609375,-71.22796630859375,-42.65625,-48.66635513305664,-42.13792419433594,-76.54615020751953,-76.32059478759766,-84.6912841796875,-40.64122772216797,-47.87898254394531,-41.70851516723633,-82.76234436035156,-87.31348419189453,-77.59780883789062,-62.0422477722168,-58.511070251464844,-67.43206787109375
rhonda had insulted these man.,-75.07962799072266,-73.7861099243164,-73.3977279663086,-43.420196533203125,-51.37370681762695,-44.12384796142578,-87.50762176513672,-80.25664520263672,-83.98663330078125,-41.093597412109375,-51.32060241699219,-45.81318283081055,-85.36052703857422,-94.17547607421875,-82.30493927001953,-61.7484016418457,-61.77641296386719,-67.91828155517578
all plays shock this alumnus.,-82.0854721069336,-91.4388656616211,-83.66255950927734,-59.90822982788086,-61.36132049560547,-60.25977325439453,-93.09915161132812,-93.54092407226562,-90.02775573730469,-62.10010528564453,-62.72807312011719,-63.1771354675293,-90.58556365966797,-94.39482879638672,-95.17874145507812,-75.35108947753906,-72.58477020263672,-74.2222900390625
all plays shock this alumni.,-83.26506805419922,-88.88639068603516,-86.9234390258789,-58.9701042175293,-60.6278190612793,-60.05060577392578,-99.24977111816406,-89.49072265625,-92.89311218261719,-61.65948486328125,-61.40572738647461,-63.46065902709961,-90.31852722167969,-98.90048217773438,-97.55225372314453,-68.5583267211914,-66.1037368774414,-69.84454345703125
grace noticed that axis.,-66.14604949951172,-66.94256591796875,-71.06165313720703,-40.15986633300781,-43.43811798095703,-38.633358001708984,-68.91378784179688,-72.21411895751953,-74.85372924804688,-39.486488342285156,-43.98841094970703,-41.55441665649414,-77.29690551757812,-77.07520294189453,-74.4383544921875,-50.18191909790039,-54.66227340698242,-50.87066650390625
grace noticed that axes.,-57.74434280395508,-63.310943603515625,-62.5601692199707,-41.637203216552734,-42.97868347167969,-40.38300323486328,-60.91848373413086,-71.09654998779297,-65.44241333007812,-41.652435302734375,-45.98779296875,-39.016761779785156,-73.6415786743164,-75.5498046875,-69.96553802490234,-57.529964447021484,-53.09080505371094,-56.40237808227539
patricia cleans these teeth.,-49.81504821777344,-54.6567497253418,-51.6201057434082,-48.00899124145508,-52.167686462402344,-53.568138122558594,-61.29711151123047,-61.989227294921875,-59.09332275390625,-53.962684631347656,-54.400108337402344,-58.27267074584961,-63.83429718017578,-59.55183792114258,-61.59010314941406,-72.80868530273438,-65.34479522705078,-65.21607208251953
patricia cleans these tooth.,-50.300758361816406,-55.2640380859375,-52.77408218383789,-54.69257736206055,-55.39559555053711,-59.382633209228516,-59.81293487548828,-59.283973693847656,-57.84012985229492,-56.04083251953125,-61.278751373291016,-63.320411682128906,-66.5711898803711,-66.24127960205078,-68.13204193115234,-76.76679229736328,-67.38907623291016,-68.5248031616211
alan examined those analyses.,-70.40240478515625,-69.734375,-69.38337707519531,-43.6057014465332,-34.167877197265625,-32.254966735839844,-77.90754699707031,-68.60256958007812,-61.931243896484375,-42.43504333496094,-32.073055267333984,-33.559730529785156,-95.94282531738281,-85.85458374023438,-93.54802703857422,-56.06134033203125,-52.309959411621094,-58.49140930175781
