sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
a niece of most senators hasn't descended most slopes.,-112.0524673461914,-122.34751892089844,-121.06748962402344,-91.9273910522461,-95.97288513183594,-95.37464904785156,-122.03713989257812,-138.64984130859375,-123.04405212402344,-95.9244384765625,-100.92955780029297,-103.70780181884766,-129.244873046875,-129.07066345214844,-134.4761962890625,-95.40483856201172,-88.4583969116211,-91.56756591796875
a niece of most senators haven't descended most slopes.,-108.56175994873047,-122.39640808105469,-121.42926025390625,-92.87114715576172,-92.81906127929688,-95.14842987060547,-119.99667358398438,-135.11312866210938,-127.64080810546875,-91.44950866699219,-97.86331939697266,-99.72564697265625,-125.06959533691406,-127.33292388916016,-133.43167114257812,-113.95126342773438,-109.78948974609375,-111.68190002441406
the sketch of those trucks hasn't hurt alan.,-101.05186462402344,-103.00868225097656,-99.30828857421875,-86.00106048583984,-87.24539947509766,-76.468505859375,-104.77091217041016,-110.04075622558594,-115.56321716308594,-91.4016342163086,-90.61945343017578,-77.51184844970703,-88.12828063964844,-87.47058868408203,-92.3848648071289,-71.06087493896484,-74.95110321044922,-73.47598266601562
the sketch of those trucks haven't hurt alan.,-95.25415802001953,-99.47692108154297,-92.88545227050781,-77.73968505859375,-77.9526596069336,-72.87102508544922,-97.4341812133789,-104.91339111328125,-109.78276062011719,-79.82518005371094,-81.25851440429688,-71.55128479003906,-85.20713806152344,-85.83881378173828,-89.61381530761719,-92.25030517578125,-94.8582763671875,-94.28839111328125
a newspaper article about the borgias has disagreed with marcus.,-123.633544921875,-118.12380981445312,-111.05226135253906,-51.5694465637207,-60.1251335144043,-62.815101623535156,-143.0964813232422,-137.44276428222656,-125.30901336669922,-49.15999984741211,-59.71466064453125,-59.18212127685547,-130.7876434326172,-141.81333923339844,-141.30587768554688,-84.17597961425781,-74.904541015625,-84.7109375
a newspaper article about the borgias have disagreed with marcus.,-123.78422546386719,-117.34487915039062,-110.65402221679688,-51.92810821533203,-61.18181610107422,-64.30307006835938,-143.4557342529297,-136.39419555664062,-126.4591064453125,-48.484474182128906,-61.16731643676758,-59.45896530151367,-133.6748046875,-140.6560516357422,-140.2322998046875,-83.45116424560547,-76.9112548828125,-83.13890075683594
the niece of most guests has cleaned every college campus.,-107.1317138671875,-116.79597473144531,-110.81133270263672,-94.1343002319336,-102.2127456665039,-95.92314147949219,-121.80037689208984,-130.75338745117188,-124.26239776611328,-90.96027374267578,-103.4103012084961,-101.9775619506836,-113.23832702636719,-105.51663208007812,-106.3687973022461,-84.7142333984375,-85.66350555419922,-82.03268432617188
the niece of most guests have cleaned every college campus.,-104.79252624511719,-114.43942260742188,-108.50389862060547,-97.77830505371094,-106.10149383544922,-101.42454528808594,-119.48556518554688,-128.61180114746094,-124.04167175292969,-95.83760070800781,-105.87444305419922,-107.86793518066406,-109.11292266845703,-101.98783874511719,-102.55111694335938,-84.91099548339844,-85.94751739501953,-82.50731658935547
a sketch of lights doesn't appear.,-80.81653594970703,-72.47704315185547,-78.49850463867188,-52.78071594238281,-49.464691162109375,-49.96466064453125,-91.19091033935547,-80.20020294189453,-84.84950256347656,-55.331512451171875,-50.33015060424805,-51.33739471435547,-71.2392807006836,-72.46011352539062,-74.81061553955078,-49.664588928222656,-47.51836013793945,-51.61772918701172
a sketch of lights don't appear.,-77.50741577148438,-71.16836547851562,-78.54606628417969,-51.14457321166992,-51.248512268066406,-50.44623565673828,-90.7336654663086,-75.50565338134766,-85.65361022949219,-52.159385681152344,-50.26795196533203,-51.32319641113281,-72.77008056640625,-71.12593841552734,-71.66609191894531,-45.18867874145508,-43.018333435058594,-46.10172653198242
the movies about galileo were astounding melanie.,-101.665283203125,-104.23726654052734,-104.52887725830078,-70.98023986816406,-64.4398422241211,-63.61411666870117,-104.24674224853516,-114.28641510009766,-120.55169677734375,-76.08015441894531,-65.48326110839844,-68.87393188476562,-113.42816925048828,-113.00308990478516,-111.18741607666016,-88.96971130371094,-84.46923065185547,-77.94136047363281
the movies about galileo was astounding melanie.,-95.99200439453125,-99.34317016601562,-102.7928466796875,-69.60826873779297,-67.28135681152344,-67.71977996826172,-95.90817260742188,-108.44586944580078,-118.95720672607422,-74.04430389404297,-68.00565338134766,-71.7745361328125,-108.51349639892578,-106.54304504394531,-107.20873260498047,-89.23530578613281,-82.8792724609375,-80.1460952758789
a cousin of a lot of dancers anticipates naomi to aggravate angela.,-154.5250701904297,-161.40615844726562,-151.5611114501953,-101.75198364257812,-109.53726196289062,-100.30448913574219,-161.03341674804688,-173.8183135986328,-167.9225616455078,-101.97027587890625,-115.65666961669922,-99.64537048339844,-173.59890747070312,-168.95449829101562,-170.52183532714844,-110.07132720947266,-109.84923553466797,-114.54650115966797
a cousin of a lot of dancers anticipate naomi to aggravate angela.,-156.46327209472656,-158.90904235839844,-151.41549682617188,-100.54544830322266,-109.40217590332031,-99.90576171875,-165.0851593017578,-173.52099609375,-169.07359313964844,-101.43985748291016,-116.56686401367188,-100.08558654785156,-173.2296142578125,-167.4673614501953,-167.70281982421875,-110.54369354248047,-110.30648040771484,-113.54402923583984
a movie about the impressionists hasn't scared harvard university.,-104.31761169433594,-109.38192749023438,-103.7437515258789,-79.15771484375,-80.85649108886719,-75.09098815917969,-107.08810424804688,-112.9739990234375,-104.08750915527344,-76.44210052490234,-78.73612213134766,-74.97613525390625,-133.300048828125,-128.090576171875,-122.6994857788086,-87.41065979003906,-83.86061096191406,-86.30789947509766
a movie about the impressionists haven't scared harvard university.,-103.2044448852539,-108.16282653808594,-102.26398468017578,-78.09353637695312,-78.85369110107422,-67.20404052734375,-107.24891662597656,-111.33999633789062,-102.26382446289062,-71.3214111328125,-75.29688262939453,-67.311279296875,-130.15438842773438,-124.61041259765625,-120.82791900634766,-103.86901092529297,-101.48980712890625,-105.06849670410156
the pamphlets about galileo are winning.,-93.59198760986328,-104.38074493408203,-102.5194320678711,-56.798255920410156,-65.64985656738281,-56.18632507324219,-100.66267395019531,-107.83244323730469,-116.77545928955078,-61.681087493896484,-68.5899658203125,-60.04469299316406,-122.5926513671875,-109.01679992675781,-114.28535461425781,-74.93141174316406,-72.49128723144531,-70.48106384277344
