sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
travis is touring.,-46.91433334350586,-51.73186492919922,-51.297386169433594,-37.89286422729492,-39.63343811035156,-35.52002716064453,-54.7878532409668,-52.58207321166992,-61.39296340942383,-35.40807342529297,-38.22871017456055,-39.7324333190918,-65.36793518066406,-53.2847785949707,-63.14618682861328,-47.72859573364258,-50.21886444091797,-51.655616760253906
travis is revealing.,-39.285369873046875,-37.67671203613281,-39.33970260620117,-28.64249038696289,-33.372901916503906,-24.945911407470703,-52.04542541503906,-31.513561248779297,-37.82207107543945,-25.72667694091797,-33.58087158203125,-27.32659339904785,-65.70111846923828,-59.948455810546875,-60.95152282714844,-52.384552001953125,-52.61532974243164,-57.46778869628906
noah approached.,-53.15918731689453,-44.47621536254883,-42.61472702026367,-21.49440574645996,-29.173778533935547,-29.17957305908203,-53.945526123046875,-45.08447265625,-46.189849853515625,-21.105926513671875,-27.024093627929688,-30.14455795288086,-55.84638977050781,-63.77659606933594,-63.94792175292969,-42.574867248535156,-40.17617416381836,-46.29574966430664
noah works with.,-54.2511100769043,-56.13575744628906,-54.766876220703125,-39.26231384277344,-40.68965148925781,-43.893150329589844,-60.55732345581055,-59.477622985839844,-62.89848327636719,-38.91712951660156,-42.725006103515625,-44.270294189453125,-55.38248062133789,-55.5091552734375,-57.29867172241211,-49.47488021850586,-44.65592956542969,-47.96158981323242
the lutherans couldn't skate around.,-84.01885223388672,-76.4039535522461,-76.67455291748047,-64.4896469116211,-62.36420440673828,-65.99457550048828,-95.79048919677734,-77.85506439208984,-87.956298828125,-65.49406433105469,-65.17237854003906,-70.05396270751953,-79.90293884277344,-75.65013885498047,-73.15579223632812,-51.140098571777344,-49.657711029052734,-51.659793853759766
the lutherans couldn't disagree with.,-86.40609741210938,-76.6688232421875,-82.60225677490234,-55.99986267089844,-51.3900260925293,-57.170597076416016,-92.64714050292969,-77.30227661132812,-91.33190155029297,-57.71650695800781,-53.919410705566406,-60.7331428527832,-88.51998138427734,-86.62342834472656,-84.78621673583984,-47.20322036743164,-41.66304016113281,-45.87404251098633
a lot of teenagers haven't left.,-60.448795318603516,-68.14283752441406,-67.85537719726562,-33.40394973754883,-39.2707633972168,-32.3873291015625,-68.03610229492188,-68.36270904541016,-71.32168579101562,-31.54008674621582,-37.86046600341797,-32.06287384033203,-57.121910095214844,-58.35231399536133,-58.045875549316406,-70.95262908935547,-67.95001983642578,-73.1469955444336
a lot of teenagers haven't arrived at.,-64.25944519042969,-73.2459945678711,-67.53943634033203,-42.01565170288086,-43.054080963134766,-41.26909637451172,-71.85039520263672,-72.72478485107422,-78.72761535644531,-40.50238037109375,-45.64893341064453,-42.892425537109375,-58.889156341552734,-58.75811767578125,-59.66044998168945,-75.92843627929688,-73.57710266113281,-72.09796905517578
rhonda's employees hadn't run around.,-105.36576843261719,-100.76925659179688,-108.17595672607422,-52.296993255615234,-59.17705154418945,-58.479129791259766,-113.3055648803711,-113.87090301513672,-120.00753784179688,-54.832664489746094,-56.930908203125,-57.38786697387695,-117.54913330078125,-106.39665222167969,-111.6960220336914,-52.57413101196289,-52.375404357910156,-51.73258972167969
rhonda's employees hadn't boasted about.,-106.31273651123047,-106.12437438964844,-103.59226989746094,-50.925209045410156,-54.854915618896484,-50.01424026489258,-113.47855377197266,-119.74449157714844,-114.65624237060547,-50.02448654174805,-52.28288269042969,-48.65233612060547,-135.66598510742188,-122.17493438720703,-129.94786071777344,-60.41853332519531,-62.69260787963867,-62.62035369873047
