sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
the hidden offspring aren't confident.,-80.34475708007812,-93.4674072265625,-89.06192779541016,-51.210487365722656,-54.80801773071289,-57.572628021240234,-92.04003143310547,-98.95730590820312,-97.90724182128906,-53.8388786315918,-54.89409637451172,-60.61042785644531,-80.5791015625,-86.71640014648438,-87.7926025390625,-53.08607482910156,-55.12164306640625,-50.8585205078125
the hid offspring aren't confident.,-89.78519439697266,-95.91635131835938,-88.43826293945312,-52.06952667236328,-58.715816497802734,-62.46660614013672,-95.75423431396484,-103.9278793334961,-99.08818817138672,-52.4769401550293,-60.026893615722656,-68.657958984375,-88.43565368652344,-91.43775177001953,-89.21952819824219,-61.198760986328125,-61.28681945800781,-58.6875
the hidden bicycles weren't exposed.,-66.08870697021484,-61.31051254272461,-73.61820983886719,-52.69038009643555,-54.27142333984375,-53.2838020324707,-70.71586608886719,-70.78379821777344,-77.60906982421875,-49.52941131591797,-55.570159912109375,-52.63046646118164,-81.20279693603516,-80.84049987792969,-82.31237030029297,-77.99595642089844,-79.40924835205078,-84.22826385498047
the hid bicycles weren't exposed.,-69.81177520751953,-60.176971435546875,-69.02753448486328,-60.757354736328125,-58.83649444580078,-57.147884368896484,-73.17613220214844,-74.19235229492188,-76.41002655029297,-57.8992919921875,-58.6596794128418,-57.48351287841797,-88.20548248291016,-82.68704986572266,-83.34638977050781,-86.0970687866211,-82.93831634521484,-91.87982940673828
the hidden glass was big.,-52.541969299316406,-58.60533142089844,-57.745574951171875,-49.610267639160156,-52.55033874511719,-48.809417724609375,-56.86531066894531,-64.26444244384766,-60.224220275878906,-52.37233352661133,-55.18144226074219,-50.202518463134766,-59.11006546020508,-53.69239044189453,-50.55449676513672,-43.93419647216797,-42.49187469482422,-40.752647399902344
the hid glass was big.,-59.745697021484375,-60.592506408691406,-61.292022705078125,-56.74129104614258,-58.175453186035156,-55.17281723022461,-63.82493209838867,-68.45439910888672,-69.5986328125,-59.05445861816406,-60.79753112792969,-57.85936737060547,-60.78681564331055,-58.8303337097168,-55.32685470581055,-51.11823654174805,-48.963539123535156,-48.301124572753906
the worn skirts aren't important.,-71.02890014648438,-75.004638671875,-73.13127136230469,-45.44071960449219,-60.55010986328125,-60.95003890991211,-79.72566986083984,-82.81616973876953,-80.73346710205078,-46.38612365722656,-59.43506622314453,-63.24311828613281,-61.11771774291992,-59.681339263916016,-60.31174087524414,-50.83003234863281,-55.545318603515625,-56.64239501953125
the wore skirts aren't important.,-69.39364624023438,-73.66081237792969,-66.20271301269531,-56.67330551147461,-64.37132263183594,-62.70281982421875,-80.320556640625,-85.29141235351562,-69.88128662109375,-56.992637634277344,-64.8528823852539,-63.45954895019531,-58.03965377807617,-55.11498260498047,-61.22614288330078,-51.35662078857422,-55.991600036621094,-54.081878662109375
the worn hats aren't big.,-66.08016204833984,-70.72085571289062,-63.8475227355957,-55.4282112121582,-61.56193542480469,-61.06233215332031,-75.0898208618164,-70.89041900634766,-72.60296630859375,-56.544715881347656,-61.23533248901367,-62.640892028808594,-56.694488525390625,-53.76618194580078,-53.36819076538086,-47.1413459777832,-44.98481369018555,-49.03563690185547
the wore hats aren't big.,-61.902103424072266,-64.79989624023438,-58.27985382080078,-60.02531433105469,-59.84565734863281,-64.79071807861328,-71.34609985351562,-68.6977310180664,-62.31148910522461,-58.818973541259766,-60.447120666503906,-68.57677459716797,-51.17144012451172,-52.29496765136719,-54.083778381347656,-43.80422592163086,-42.00214385986328,-47.065364837646484
