sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
the borgias wore a lot of scarves.,-84.41596984863281,-85.01179504394531,-75.77283477783203,-61.72593307495117,-57.3068733215332,-61.69980239868164,-101.44208526611328,-88.43563842773438,-83.71686553955078,-62.38665771484375,-63.961631774902344,-58.88803482055664,-79.90031433105469,-75.04791259765625,-84.22138977050781,-69.98078918457031,-63.56989288330078,-62.379981994628906
the borgias worn a lot of scarves.,-87.15260314941406,-89.84613800048828,-80.22122192382812,-64.83719635009766,-56.734703063964844,-64.1335678100586,-99.69840240478516,-102.38396453857422,-89.42618560791016,-66.56803131103516,-58.284828186035156,-60.886146545410156,-79.26970672607422,-75.45350646972656,-84.27525329589844,-72.2212905883789,-66.2293472290039,-61.25053405761719
teresa hid every senator.,-69.0583267211914,-75.94676971435547,-70.25336456298828,-54.460758209228516,-56.62916946411133,-56.3778190612793,-73.7626724243164,-81.59115600585938,-80.2231216430664,-51.66194152832031,-59.12261962890625,-58.968299865722656,-80.09091186523438,-81.15216827392578,-76.72608947753906,-71.87899017333984,-65.37122344970703,-73.56825256347656
teresa hidden every senator.,-74.72264099121094,-77.64594268798828,-73.49531555175781,-57.592769622802734,-53.46233367919922,-58.1351318359375,-82.6872787475586,-81.0780029296875,-85.73503875732422,-55.67426300048828,-58.216156005859375,-63.577796936035156,-80.55216217041016,-86.34080505371094,-76.20719909667969,-68.77986145019531,-62.21955490112305,-71.64746856689453
the mushroom went bad.,-54.703041076660156,-54.97898864746094,-54.97008514404297,-40.103782653808594,-40.49226379394531,-41.113121032714844,-58.13386917114258,-58.67327117919922,-62.75271224975586,-40.112762451171875,-38.986698150634766,-42.64569091796875,-54.6199836730957,-53.11678695678711,-51.27851867675781,-57.8006477355957,-55.554542541503906,-58.40272521972656
the mushroom gone bad.,-57.77789306640625,-59.23352813720703,-61.985389709472656,-40.79750061035156,-43.356201171875,-42.6273193359375,-63.60699462890625,-64.50570678710938,-67.425048828125,-41.31242370605469,-40.71046829223633,-43.387786865234375,-55.999977111816406,-58.52499008178711,-59.45808410644531,-60.99290084838867,-60.464561462402344,-66.51071166992188
cheryl came here.,-39.29862976074219,-45.75956726074219,-45.0413818359375,-40.99893569946289,-44.25836181640625,-39.67235565185547,-41.33613204956055,-52.68815612792969,-47.67417907714844,-42.16381072998047,-40.589813232421875,-37.95859909057617,-46.9482536315918,-43.263179779052734,-44.75346755981445,-47.917564392089844,-49.3962287902832,-47.40127944946289
cheryl come here.,-39.20684051513672,-43.21630859375,-41.93163299560547,-40.47617721557617,-44.74362564086914,-40.297393798828125,-42.9774284362793,-52.592864990234375,-47.022979736328125,-43.14784622192383,-41.72147750854492,-38.71833801269531,-46.73168182373047,-45.253482818603516,-43.79155349731445,-47.9239616394043,-47.705162048339844,-50.341773986816406
christopher hid a spotlight.,-61.11998748779297,-58.777679443359375,-56.162349700927734,-58.87286376953125,-58.189048767089844,-50.82545852661133,-64.87727355957031,-64.98133087158203,-68.82231903076172,-59.955318450927734,-57.986331939697266,-53.352169036865234,-76.71632385253906,-60.8966178894043,-70.84554290771484,-60.000404357910156,-65.15580749511719,-65.79959869384766
christopher hidden a spotlight.,-61.80091857910156,-61.016448974609375,-63.1324577331543,-56.58173370361328,-58.6190071105957,-52.57900619506836,-66.98700714111328,-70.75353240966797,-69.5593490600586,-59.0948486328125,-61.84821319580078,-55.25110626220703,-72.59750366210938,-61.24677276611328,-71.98497772216797,-55.836181640625,-56.27686309814453,-60.22813034057617
edward hid the cats.,-52.35712432861328,-55.92332077026367,-50.07708740234375,-42.039329528808594,-43.044944763183594,-39.186031341552734,-58.38206100463867,-56.66080856323242,-57.6090202331543,-42.537410736083984,-44.07414627075195,-41.94016647338867,-63.4149055480957,-59.48070526123047,-55.73199462890625,-59.039710998535156,-54.46564483642578,-52.61558532714844
