sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
tamara really exited those mountains.,-77.38549041748047,-84.05098724365234,-88.02405548095703,-64.7518310546875,-71.25991821289062,-69.89442443847656,-90.8725814819336,-93.35688018798828,-100.0706787109375,-64.92549133300781,-68.14934539794922,-72.14956665039062,-81.45512390136719,-79.67237091064453,-87.38717651367188,-76.2066421508789,-75.02274322509766,-75.3062515258789
tamara ever exited those mountains.,-80.53019714355469,-85.94187927246094,-90.3782958984375,-66.89429473876953,-75.68545532226562,-76.40013885498047,-91.02074432373047,-96.71800231933594,-103.84776306152344,-67.87416076660156,-72.02088165283203,-78.7501220703125,-84.78015899658203,-84.23898315429688,-87.5813980102539,-77.75861358642578,-74.1775131225586,-76.05704498291016
karen could certainly boycott this association.,-85.74331665039062,-95.44224548339844,-92.87521362304688,-69.85621643066406,-64.10714721679688,-66.80461883544922,-102.36898040771484,-105.19097900390625,-97.99546813964844,-72.99678039550781,-65.344970703125,-66.38313293457031,-113.66069030761719,-104.8384780883789,-101.3113784790039,-90.72823333740234,-93.8602066040039,-93.15545654296875
karen could ever boycott this association.,-81.97601318359375,-93.4503173828125,-90.19174194335938,-65.3145751953125,-60.57526397705078,-65.23533630371094,-97.13111877441406,-106.66334533691406,-99.4356918334961,-66.00422668457031,-63.467201232910156,-66.81262969970703,-107.45661163330078,-99.77326965332031,-100.84919738769531,-83.61917114257812,-86.69425201416016,-85.82063293457031
every committee could often sell a river.,-84.82220458984375,-76.87395477294922,-81.04688262939453,-61.262855529785156,-62.020355224609375,-58.54676818847656,-88.78996276855469,-80.41413116455078,-90.82957458496094,-63.744239807128906,-63.22370529174805,-61.72866439819336,-83.82694244384766,-85.43788146972656,-90.4067611694336,-59.21791076660156,-62.90801239013672,-62.98224639892578
every committee could ever sell a river.,-76.13285827636719,-71.65222930908203,-75.3522720336914,-61.39043426513672,-62.90768814086914,-58.010555267333984,-79.49604797363281,-73.58995819091797,-84.33000946044922,-63.74037551879883,-63.971221923828125,-59.88878631591797,-77.5503158569336,-79.16606903076172,-84.11981201171875,-57.56341552734375,-61.3742790222168,-62.1085319519043
charles had often arrived at those restaurants.,-57.56333923339844,-55.63307571411133,-54.09278869628906,-45.73210144042969,-44.11370086669922,-48.67829895019531,-60.59836959838867,-67.57269287109375,-70.51507568359375,-43.30733871459961,-43.30622482299805,-50.646114349365234,-67.81300354003906,-66.2869873046875,-62.35576629638672,-53.15724182128906,-59.406898498535156,-58.535804748535156
charles had ever arrived at those restaurants.,-52.973079681396484,-52.87921142578125,-54.8183708190918,-47.29767608642578,-44.47089385986328,-47.0455322265625,-59.997352600097656,-55.886051177978516,-63.05460739135742,-46.59461975097656,-44.236942291259766,-49.266361236572266,-67.68460083007812,-63.290924072265625,-62.61296081542969,-53.934200286865234,-57.707820892333984,-59.24861526489258
many skateboards also roll.,-66.1496353149414,-72.73980712890625,-63.04491424560547,-45.74440383911133,-55.38008499145508,-49.219730377197266,-72.09251403808594,-75.19915008544922,-61.08699417114258,-47.74199676513672,-58.509666442871094,-52.6750373840332,-71.83393096923828,-71.83113098144531,-70.87535095214844,-54.13954162597656,-51.51365661621094,-52.667518615722656
many skateboards ever roll.,-65.86414337158203,-71.40770721435547,-65.75723266601562,-49.61545944213867,-61.4326286315918,-53.82905197143555,-75.13998413085938,-73.47477722167969,-63.91865539550781,-51.64739227294922,-63.49041748046875,-56.5931282043457,-61.146331787109375,-73.68853759765625,-65.76793670654297,-61.71385192871094,-58.65657424926758,-61.426753997802734
some river really vaporizes.,-65.13201904296875,-60.400333404541016,-60.381370544433594,-49.265769958496094,-53.7482795715332,-51.519989013671875,-72.52799224853516,-65.54566955566406,-69.39480590820312,-46.28309631347656,-54.65507125854492,-49.17127990722656,-83.4638900756836,-81.77429962158203,-79.19406127929688,-77.64974212646484,-66.8781509399414,-71.32171630859375
some river ever vaporizes.,-66.92513275146484,-66.41117095947266,-61.50407791137695,-46.42106246948242,-54.263275146484375,-50.035400390625,-78.24664306640625,-75.68972778320312,-71.37229919433594,-46.3118896484375,-55.373146057128906,-47.852439880371094,-78.4295425415039,-83.86073303222656,-80.36099243164062,-73.78837585449219,-62.730472564697266,-67.66497039794922
guy has really listened to all customers.,-59.52854919433594,-64.89225769042969,-65.2834243774414,-66.50077819824219,-68.31736755371094,-65.7592544555664,-63.961395263671875,-68.22725677490234,-67.17253112792969,-68.79948425292969,-67.87242126464844,-66.0285873413086,-74.36512756347656,-72.07351684570312,-72.20459747314453,-73.11009979248047,-61.31297302246094,-72.27713775634766
guy has ever listened to all customers.,-61.75469970703125,-66.62789916992188,-68.39331817626953,-59.8980827331543,-62.24354553222656,-63.29252624511719,-67.45359802246094,-69.60196685791016,-69.37496948242188,-60.352142333984375,-61.22766876220703,-61.5004997253418,-74.48316192626953,-73.86549377441406,-71.60181427001953,-65.22936248779297,-56.8175048828125,-65.5503921508789
mark certainly struggles.,-46.3154182434082,-48.46560287475586,-44.95085144042969,-30.394649505615234,-35.719940185546875,-30.593955993652344,-50.62731170654297,-57.703487396240234,-40.89794158935547,-28.44183349609375,-34.250083923339844,-28.627893447875977,-68.0521469116211,-66.75794982910156,-66.177734375,-48.087276458740234,-42.003700256347656,-48.92783737182617
mark ever struggles.,-45.276573181152344,-49.17875671386719,-42.02956008911133,-23.20073699951172,-28.688457489013672,-32.01484680175781,-46.922245025634766,-53.064579010009766,-42.56326675415039,-23.749073028564453,-26.630123138427734,-31.78264808654785,-61.711910247802734,-60.342193603515625,-63.2734375,-47.99064636230469,-38.637359619140625,-46.63727569580078
ladies also answer.,-52.40470504760742,-58.32841110229492,-51.32478332519531,-41.96845245361328,-36.51803970336914,-36.26213073730469,-59.67348098754883,-63.59040832519531,-56.45885467529297,-41.24494552612305,-37.74311828613281,-36.64705276489258,-66.05500793457031,-61.59502029418945,-57.39628601074219,-39.48752975463867,-40.69995880126953,-46.861515045166016
ladies ever answer.,-51.68357849121094,-55.736671447753906,-50.679168701171875,-45.85080337524414,-47.559478759765625,-40.06599426269531,-58.58626937866211,-61.19068145751953,-55.06590270996094,-46.76774978637695,-50.71759796142578,-39.68257141113281,-59.10618209838867,-61.433345794677734,-51.82334899902344,-47.097415924072266,-47.032100677490234,-56.640235900878906
a driver has clearly taken many snakes.,-80.28889465332031,-82.18940734863281,-77.69634246826172,-54.25568771362305,-56.072696685791016,-58.008052825927734,-93.7225570678711,-92.53036499023438,-86.61485290527344,-55.2925910949707,-58.62750244140625,-57.23804473876953,-80.13552856445312,-84.74214172363281,-75.35120391845703,-58.91394805908203,-54.10611343383789,-60.650909423828125
a driver has ever taken many snakes.,-71.79273986816406,-71.5099105834961,-71.90116882324219,-54.317832946777344,-52.73576736450195,-54.245079040527344,-88.69595336914062,-80.87914276123047,-81.46572875976562,-55.17897033691406,-55.648128509521484,-53.62554168701172,-68.6066665649414,-71.19764709472656,-62.32583999633789,-53.95497512817383,-47.987815856933594,-57.30522918701172
homer certainly spins around.,-60.158504486083984,-60.84808349609375,-59.50368881225586,-55.2329216003418,-53.59946823120117,-58.00545120239258,-68.22843170166016,-69.51920318603516,-58.22727966308594,-55.211185455322266,-54.87710189819336,-57.13936996459961,-76.43463897705078,-67.18138885498047,-66.88409423828125,-60.80168914794922,-56.591041564941406,-60.02415466308594
homer ever spins around.,-60.365177154541016,-59.404666900634766,-60.9135856628418,-56.068355560302734,-53.48717498779297,-61.74470901489258,-67.28277587890625,-64.57491302490234,-68.3846435546875,-60.31833267211914,-56.73503494262695,-63.5069580078125,-68.97332000732422,-63.07145309448242,-68.59959411621094,-59.14277648925781,-54.03887939453125,-58.200801849365234
that pepper might certainly go bad.,-73.29096221923828,-73.08619689941406,-72.44719696044922,-64.42550659179688,-67.35765075683594,-70.82020568847656,-79.75615692138672,-81.78779602050781,-82.4606704711914,-67.32254028320312,-69.11852264404297,-76.4658203125,-68.78746032714844,-65.03203582763672,-63.48847198486328,-58.30757522583008,-60.76502990722656,-57.81499481201172
that pepper might ever go bad.,-69.3695068359375,-69.74066162109375,-68.62764739990234,-63.35761260986328,-61.13063430786133,-66.51556396484375,-76.47665405273438,-77.34502410888672,-79.68134307861328,-65.63883209228516,-63.265052795410156,-70.47393798828125,-64.64851379394531,-60.736549377441406,-62.383487701416016,-51.596710205078125,-53.36248779296875,-52.396080017089844
some waiter clearly praised every documentary.,-116.67720794677734,-114.61915588378906,-115.41625213623047,-69.8652114868164,-77.41793060302734,-70.30359649658203,-124.79148864746094,-124.66375732421875,-124.95362854003906,-72.40773010253906,-77.90140533447266,-70.96881103515625,-106.46868896484375,-113.4949722290039,-120.2110595703125,-77.31797790527344,-67.93608093261719,-75.83080291748047
some waiter ever praised every documentary.,-117.25592803955078,-113.24993896484375,-114.26366424560547,-63.442161560058594,-76.53949737548828,-69.18329620361328,-125.23667907714844,-124.30531311035156,-123.292724609375,-63.43790817260742,-75.68022155761719,-70.14073944091797,-106.20442962646484,-117.93740844726562,-119.2662353515625,-75.5474624633789,-63.022804260253906,-70.28736114501953
janice really broke the chairs.,-63.80268096923828,-70.00138854980469,-63.7374153137207,-61.423728942871094,-58.52714538574219,-57.46724319458008,-76.15901947021484,-74.82471466064453,-76.19149780273438,-60.61222839355469,-60.431861877441406,-59.628021240234375,-70.34504699707031,-71.05166625976562,-64.62107849121094,-66.04210662841797,-68.5545883178711,-70.43273162841797
