sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
only bill would ever complain.,-53.835670471191406,-58.72554397583008,-57.950927734375,-41.453407287597656,-46.00504684448242,-47.50156784057617,-63.842369079589844,-65.34573364257812,-57.43429946899414,-44.419456481933594,-42.379302978515625,-48.94411849975586,-55.58895492553711,-58.55329513549805,-60.33557891845703,-50.19819641113281,-52.978572845458984,-54.99382400512695
even bill would ever complain.,-54.255088806152344,-57.074371337890625,-59.765663146972656,-45.10029602050781,-46.25680160522461,-50.479705810546875,-65.09589385986328,-62.8753662109375,-61.167625427246094,-47.312843322753906,-44.23918914794922,-51.171142578125,-64.25764465332031,-63.8013916015625,-60.75445556640625,-51.92775344848633,-54.94325256347656,-56.068851470947266
only lori had ever healed carl.,-86.8050765991211,-84.42825317382812,-86.94825744628906,-54.268943786621094,-62.77579116821289,-62.81861114501953,-92.80599212646484,-83.3921890258789,-100.91835021972656,-56.12551498413086,-66.0828857421875,-67.78746032714844,-98.40557861328125,-105.34768676757812,-105.17096710205078,-73.72427368164062,-73.41239929199219,-72.15306091308594
even lori had ever healed carl.,-88.85421752929688,-87.25318145751953,-86.91693878173828,-55.31260681152344,-65.348876953125,-64.74246978759766,-98.02751922607422,-89.7237777709961,-102.48080444335938,-57.03526306152344,-69.18235778808594,-68.60519409179688,-95.32093811035156,-102.20924377441406,-98.81405639648438,-74.2827377319336,-76.21497344970703,-74.2773208618164
only these pedestrians ever obligate carl to aggravate brad.,-123.3089599609375,-119.55052185058594,-121.24671936035156,-81.13374328613281,-82.47716522216797,-80.0828628540039,-130.00653076171875,-135.3061065673828,-131.38250732421875,-83.40096282958984,-88.95355224609375,-86.0320816040039,-154.3491668701172,-152.73806762695312,-158.33665466308594,-113.75067138671875,-114.15457916259766,-111.94986724853516
even these pedestrians ever obligate carl to aggravate brad.,-126.6926498413086,-123.09244537353516,-121.56613159179688,-81.93010711669922,-81.68577575683594,-82.44605255126953,-135.27183532714844,-139.5173797607422,-130.17483520507812,-85.26239013671875,-88.5052719116211,-87.39846801757812,-157.09249877929688,-156.6650848388672,-157.5193328857422,-114.90474700927734,-116.32156372070312,-111.472900390625
only alexander ever looked like this drawing.,-72.08065032958984,-72.49095153808594,-73.5674819946289,-57.82920837402344,-63.507598876953125,-58.57810592651367,-80.32147979736328,-80.24358367919922,-87.60238647460938,-60.302398681640625,-60.597442626953125,-57.99073028564453,-70.05929565429688,-72.99244689941406,-67.06377410888672,-66.61463165283203,-66.94599151611328,-64.55500793457031
even alexander ever looked like this drawing.,-72.81535339355469,-69.999755859375,-74.64350891113281,-59.045143127441406,-64.00480651855469,-60.486812591552734,-78.48309326171875,-76.48628234863281,-84.6128921508789,-63.604400634765625,-62.9405632019043,-59.436370849609375,-74.27088928222656,-77.86251831054688,-70.6894302368164,-66.97113800048828,-70.3536605834961,-64.88207244873047
only libraries ever sway sally to salute.,-100.92990112304688,-103.34112548828125,-114.34532165527344,-75.29352569580078,-82.81546020507812,-68.54646301269531,-110.0792465209961,-118.56912994384766,-122.13056182861328,-79.57330322265625,-88.45027160644531,-72.23064422607422,-108.87985229492188,-114.22506713867188,-110.6383285522461,-91.98233032226562,-85.156494140625,-88.73897552490234
even libraries ever sway sally to salute.,-106.7228775024414,-102.76502227783203,-116.13496398925781,-78.59512329101562,-81.17129516601562,-70.71309661865234,-114.30892944335938,-117.08560943603516,-122.50053405761719,-80.58118438720703,-86.28742218017578,-74.67283630371094,-109.71187591552734,-116.35114288330078,-111.14643096923828,-94.44361877441406,-86.5138168334961,-91.19833374023438
only meredith should ever wear the shawl.,-83.62554931640625,-86.73439025878906,-81.91120910644531,-55.61634063720703,-65.22856140136719,-65.06495666503906,-91.59944152832031,-92.16785430908203,-87.07719421386719,-55.382965087890625,-61.30730056762695,-66.4775619506836,-101.12068939208984,-100.54833221435547,-108.17416381835938,-73.98564910888672,-72.6361312866211,-70.0165786743164
even meredith should ever wear the shawl.,-81.2921371459961,-81.61414337158203,-88.42721557617188,-59.29971694946289,-65.81795501708984,-69.40129852294922,-91.83972930908203,-84.21524810791016,-88.92623901367188,-56.58362579345703,-62.849098205566406,-70.70858764648438,-101.10809326171875,-98.02177429199219,-108.64405822753906,-73.53495788574219,-75.26802062988281,-71.8861312866211
only grace ever reveals janice.,-77.47083282470703,-80.47318267822266,-84.81816101074219,-61.813446044921875,-64.83114624023438,-64.757568359375,-85.24348449707031,-90.71229553222656,-97.87330627441406,-61.34437561035156,-66.77960968017578,-66.99665832519531,-99.05377960205078,-97.94929504394531,-102.32711029052734,-67.48343658447266,-67.22799682617188,-70.11985778808594
even grace ever reveals janice.,-77.5377426147461,-78.98503112792969,-84.33953857421875,-64.04119873046875,-67.16389465332031,-65.04974365234375,-79.46867370605469,-88.260986328125,-96.17741394042969,-64.50797271728516,-70.61766052246094,-67.45640563964844,-105.13812255859375,-93.61761474609375,-100.86012268066406,-69.4605484008789,-70.15830993652344,-72.10771942138672
only aaron ever messes up some couches.,-65.61101531982422,-76.72411346435547,-74.02681732177734,-73.49948120117188,-75.34088134765625,-70.09807586669922,-73.84365844726562,-81.45514678955078,-75.86482238769531,-73.56084442138672,-74.1828384399414,-70.35939025878906,-90.35979461669922,-90.978515625,-95.31619262695312,-91.11679077148438,-84.37544250488281,-88.56555938720703
even aaron ever messes up some couches.,-67.12382507324219,-75.73469543457031,-80.33203125,-75.58326721191406,-73.72069549560547,-73.44031524658203,-77.5013656616211,-78.8985595703125,-83.49607849121094,-74.68806457519531,-73.22514343261719,-71.17125701904297,-91.8402099609375,-91.61065673828125,-96.18144989013672,-94.14691925048828,-86.82218933105469,-94.00433349609375
only elizabeth ever doubted patricia has arrived at the hospital.,-92.74420928955078,-104.92504119873047,-102.37236022949219,-83.15337371826172,-80.9423828125,-82.38665771484375,-95.37118530273438,-122.23186492919922,-110.99296569824219,-86.60274505615234,-84.81981658935547,-83.7759017944336,-109.13694763183594,-117.98685455322266,-110.30044555664062,-84.8573989868164,-82.71154022216797,-87.54823303222656
even elizabeth ever doubted patricia has arrived at the hospital.,-96.06885528564453,-104.40496826171875,-106.43531036376953,-86.83857727050781,-81.39839172363281,-83.1634292602539,-99.85673522949219,-118.0706787109375,-108.48311614990234,-91.29362487792969,-86.74504852294922,-81.57164764404297,-110.46205139160156,-119.9272232055664,-110.365234375,-87.4363784790039,-85.82384490966797,-87.7191162109375
only chad ever preferred robert to waste away.,-98.7717056274414,-96.16948699951172,-98.47866821289062,-88.56832885742188,-86.96043395996094,-83.50914001464844,-113.01496124267578,-111.04029846191406,-117.95439910888672,-90.03093719482422,-88.32946014404297,-86.15464782714844,-97.61734008789062,-98.11145782470703,-97.35570526123047,-88.56178283691406,-85.55277252197266,-85.03812408447266
even chad ever preferred robert to waste away.,-100.11056518554688,-96.68366241455078,-99.76123046875,-88.00442504882812,-86.22084045410156,-85.57303619384766,-115.771484375,-112.70036315917969,-114.72345733642578,-88.35722351074219,-88.0445327758789,-88.8764877319336,-100.96475982666016,-97.85105895996094,-102.3805923461914,-91.54751586914062,-87.41909790039062,-86.73551177978516
only the boys ever managed to watch most teenagers.,-82.5649185180664,-85.4361572265625,-88.89484405517578,-42.34062576293945,-49.75087356567383,-51.472713470458984,-100.32417297363281,-100.34077453613281,-98.32710266113281,-38.40263748168945,-43.58341979980469,-49.2874755859375,-92.18353271484375,-93.49002075195312,-94.7361068725586,-72.8313980102539,-63.53011703491211,-73.95491027832031
even the boys ever managed to watch most teenagers.,-83.15557098388672,-84.74111938476562,-89.20722198486328,-47.343753814697266,-51.5570068359375,-51.72662353515625,-97.66865539550781,-92.24244689941406,-95.16030883789062,-42.887718200683594,-45.66932678222656,-48.86212921142578,-96.19190979003906,-94.44544982910156,-97.26557159423828,-74.28590393066406,-68.55032348632812,-75.9061508178711
only the sweaters ever twirl.,-54.039676666259766,-59.50425720214844,-60.25517272949219,-48.0596923828125,-55.377418518066406,-53.210086822509766,-61.04664611816406,-71.88176727294922,-66.85962677001953,-46.05973815917969,-56.18988800048828,-56.56327438354492,-60.95942687988281,-60.85270690917969,-62.893516540527344,-64.77069091796875,-61.6038703918457,-68.1160888671875
even the sweaters ever twirl.,-57.48169708251953,-58.83700180053711,-62.410064697265625,-47.791587829589844,-54.706939697265625,-51.6566047668457,-65.02454376220703,-70.21617126464844,-70.85643768310547,-49.02288055419922,-56.07872772216797,-52.8272705078125,-62.90201950073242,-61.57386779785156,-62.68578338623047,-66.00533294677734,-67.11943817138672,-69.11254119873047
only susan ever tries to exercise.,-59.024559020996094,-59.9637336730957,-61.664791107177734,-69.05517578125,-64.54945373535156,-63.21526336669922,-63.68989181518555,-63.313232421875,-65.61051940917969,-69.01325988769531,-69.63218688964844,-68.03944396972656,-47.858238220214844,-51.97057342529297,-57.741172790527344,-67.012939453125,-69.00615692138672,-65.3542709350586
