sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
the associations that had worried cynthia have not ever planned to shock every actress.,-148.4373016357422,-168.10227966308594,-159.18728637695312,-117.81946563720703,-123.9739761352539,-118.85594177246094,-171.33193969726562,-186.26547241210938,-184.58087158203125,-113.27680969238281,-127.45645904541016,-116.73094177246094,-152.7067108154297,-166.656494140625,-162.75509643554688,-117.3965072631836,-117.89562225341797,-114.19892120361328
the associations that had not worried cynthia have ever planned to shock every actress.,-148.13681030273438,-161.900390625,-159.1143035888672,-115.6331787109375,-124.48806762695312,-115.26506042480469,-173.70639038085938,-173.9579620361328,-179.6204833984375,-112.63786315917969,-127.69578552246094,-114.16327667236328,-157.93153381347656,-170.610595703125,-167.78921508789062,-118.96345520019531,-118.08141326904297,-114.96281433105469
every son of jerry who has insulted jerry can not ever die.,-119.36353302001953,-108.62642669677734,-114.15031433105469,-89.88682556152344,-93.68141174316406,-96.70418548583984,-132.936279296875,-126.811767578125,-132.00413513183594,-93.61801147460938,-98.4448471069336,-97.67937469482422,-101.97425079345703,-102.6037826538086,-96.7665023803711,-88.89896392822266,-88.51890563964844,-94.07970428466797
every son of jerry who has not insulted jerry can ever die.,-119.47821044921875,-109.24907684326172,-113.72282409667969,-86.87399291992188,-88.18225860595703,-90.8292236328125,-134.97366333007812,-125.79924011230469,-132.4879608154297,-89.77569580078125,-93.0352783203125,-93.38008117675781,-106.52510833740234,-110.88584899902344,-105.93778991699219,-93.37185668945312,-93.53683471679688,-95.14968872070312
most pedestrians' tutors that have hired alice can not ever kiss.,-165.1339874267578,-155.967529296875,-157.31698608398438,-93.19430541992188,-97.95816802978516,-106.7545166015625,-187.9237060546875,-175.8620147705078,-174.08358764648438,-100.01840209960938,-100.3134994506836,-105.56607818603516,-157.42384338378906,-147.89117431640625,-141.13250732421875,-126.9005126953125,-131.86126708984375,-136.17713928222656
most pedestrians' tutors that have not hired alice can ever kiss.,-161.28579711914062,-156.92132568359375,-155.50465393066406,-88.52117919921875,-92.70919799804688,-103.79947662353516,-181.26536560058594,-175.73463439941406,-173.89939880371094,-94.28067016601562,-94.36678314208984,-103.39987182617188,-158.8758544921875,-155.29342651367188,-151.56610107421875,-128.45191955566406,-134.50399780273438,-137.1829376220703
the doctor that has referenced diane might not ever move.,-109.19560241699219,-100.43104553222656,-109.56604766845703,-89.65276336669922,-91.26741027832031,-91.55037689208984,-119.22972106933594,-115.63114166259766,-122.37323760986328,-87.99137878417969,-94.60160064697266,-95.37769317626953,-107.41594696044922,-99.86473083496094,-110.53953552246094,-92.6234130859375,-95.06683349609375,-102.94219970703125
the doctor that has not referenced diane might ever move.,-111.8616943359375,-105.55838012695312,-107.72012329101562,-89.12440490722656,-92.5633316040039,-96.45037841796875,-117.75988006591797,-114.32267761230469,-116.5073013305664,-88.26634216308594,-92.27601623535156,-102.1148452758789,-112.169921875,-108.62522888183594,-117.04703521728516,-85.87445831298828,-94.74006652832031,-97.36654663085938
some glasses that did disturb craig could not ever flatten.,-102.05780792236328,-104.08048248291016,-101.69429779052734,-98.68730163574219,-100.68899536132812,-95.10597229003906,-111.04300689697266,-116.27204895019531,-103.69779205322266,-101.85420989990234,-101.82440185546875,-96.1390609741211,-110.70256042480469,-116.2064437866211,-119.94136047363281,-98.18350219726562,-96.22096252441406,-99.8296890258789
some glasses that did not disturb craig could ever flatten.,-95.06648254394531,-96.64756774902344,-93.72953033447266,-90.93016052246094,-93.48987579345703,-87.72898864746094,-99.98011779785156,-105.02413940429688,-93.56233215332031,-93.87041473388672,-93.33837127685547,-89.9955825805664,-107.56942749023438,-109.90591430664062,-114.41966247558594,-89.2119140625,-92.26097869873047,-93.56905364990234
