sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
some turtles alarm kimberley.,-76.79740905761719,-59.68082809448242,-73.01815032958984,-45.25910568237305,-51.1929931640625,-47.497230529785156,-81.93914794921875,-69.10414123535156,-88.1771469116211,-46.63875961303711,-51.26847457885742,-49.01676940917969,-86.07197570800781,-80.08222961425781,-79.25515747070312,-78.23352813720703,-80.96537780761719,-77.9887466430664
some turtles come here kimberley.,-69.00421905517578,-57.476741790771484,-65.71049499511719,-45.4055061340332,-48.58540725708008,-48.88438415527344,-76.6746826171875,-66.71968078613281,-70.1126480102539,-46.92170715332031,-50.51285171508789,-53.92552947998047,-74.83184051513672,-68.96641540527344,-63.81392288208008,-79.98210144042969,-85.13777923583984,-76.4963150024414
diane watched alan.,-55.51679229736328,-55.263248443603516,-54.41131591796875,-47.945674896240234,-46.637229919433594,-49.17997360229492,-55.524070739746094,-59.78346633911133,-65.97852325439453,-51.81293487548828,-48.017372131347656,-48.14168167114258,-59.60981369018555,-62.945003509521484,-64.28158569335938,-49.67121887207031,-52.94563674926758,-55.97698211669922
diane screamed alan.,-59.563270568847656,-62.981727600097656,-59.125274658203125,-49.829551696777344,-51.37407684326172,-46.8497314453125,-64.0866470336914,-65.5124740600586,-70.05670166015625,-52.165077209472656,-50.350093841552734,-46.23314666748047,-67.98124694824219,-64.618896484375,-68.94277954101562,-57.83172607421875,-58.62281036376953,-61.251773834228516
this cousin of theodore buys some mushroom.,-99.00227355957031,-102.70645141601562,-99.41551971435547,-69.70310974121094,-64.54596710205078,-73.26427459716797,-111.24097442626953,-112.37796020507812,-107.64912414550781,-65.7871322631836,-66.96453094482422,-73.17376708984375,-110.76365661621094,-105.59233093261719,-103.1104507446289,-88.2540283203125,-84.61621856689453,-93.3329849243164
this cousin of theodore wept some mushroom.,-105.96690368652344,-111.16502380371094,-103.55416107177734,-65.18218994140625,-65.42628479003906,-65.98066711425781,-120.64802551269531,-122.82134246826172,-113.57540893554688,-62.55698013305664,-68.93590545654297,-67.41250610351562,-117.71297454833984,-109.79078674316406,-112.84368896484375,-91.57186889648438,-86.79740142822266,-92.86612701416016
rhonda was arguing about this nephew of dana.,-90.16690826416016,-96.03981018066406,-101.59857940673828,-63.54020690917969,-61.552433013916016,-61.67207717895508,-101.86457824707031,-109.2642822265625,-119.53124237060547,-64.18474578857422,-63.138431549072266,-66.16229248046875,-119.59517669677734,-104.5730209350586,-111.25941467285156,-77.13020324707031,-74.3109130859375,-82.61039733886719
rhonda was going fishing this nephew of dana.,-95.5950698852539,-102.45752716064453,-98.55254364013672,-69.22425079345703,-69.66305541992188,-62.96759796142578,-114.80180358886719,-115.360107421875,-113.5468521118164,-75.16175079345703,-73.05950164794922,-66.09140014648438,-116.83137512207031,-103.99665069580078,-104.11248779296875,-89.18608093261719,-85.16209411621094,-94.7896728515625
a lot of actresses' nieces have toured that art gallery.,-109.03987121582031,-117.57686614990234,-126.42469787597656,-93.30242156982422,-95.67848205566406,-94.50371551513672,-119.20341491699219,-121.3226547241211,-131.95181274414062,-95.17585754394531,-101.86264038085938,-99.80103302001953,-118.60112762451172,-121.60698699951172,-117.57827758789062,-114.09085083007812,-113.19673919677734,-109.61572265625
a lot of actresses' nieces have coped that art gallery.,-102.88616943359375,-109.30599975585938,-113.67459869384766,-96.3847885131836,-105.7362289428711,-103.9658203125,-110.16901397705078,-118.86932373046875,-121.72230529785156,-96.89811706542969,-111.45259094238281,-107.41905975341797,-117.57728576660156,-120.34552764892578,-112.0489730834961,-118.48893737792969,-108.83926391601562,-105.8937759399414
