sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13,de_childes_convergence_clm_42,de_childes_convergence_clm_30,de_childes_convergence_clm_13,de_wikipedia_convergence_clm_42,de_wikipedia_convergence_clm_30,de_wikipedia_convergence_clm_13,de_childes_best_mlm_42,de_childes_best_mlm_30,de_childes_best_mlm_13,de_wikipedia_best_mlm_42,de_wikipedia_best_mlm_30,de_wikipedia_best_mlm_13
die schriftsteller sind alt,-26.43827247619629,-25.22639274597168,-23.56318473815918,-24.695213317871094,-27.026399612426758,-27.786211013793945,-30.693239212036133,-21.65239715576172,-20.408239364624023,-25.738388061523438,-28.5045166015625,-28.810230255126953,-33.4899787902832,-31.676471710205078,-32.67665481567383,-22.287052154541016,-22.417266845703125,-26.192790985107422
die schriftsteller ist alt,-25.745935440063477,-24.801137924194336,-23.362897872924805,-29.502159118652344,-31.15070915222168,-30.01559066772461,-29.7574462890625,-21.257762908935547,-23.31674575805664,-31.2364501953125,-33.145957946777344,-31.066682815551758,-33.9690055847168,-33.025413513183594,-33.960914611816406,-23.35824203491211,-24.483890533447266,-25.822843551635742
die schriftsteller sind jung,-27.17647933959961,-27.026700973510742,-26.047897338867188,-24.221534729003906,-25.69394302368164,-25.803781509399414,-29.732826232910156,-26.11374282836914,-23.81145477294922,-24.533794403076172,-26.928794860839844,-26.244766235351562,-34.40645980834961,-32.62589645385742,-32.837467193603516,-25.15320587158203,-25.41482162475586,-28.11627197265625
die schriftsteller ist jung,-27.00193977355957,-27.80912208557129,-26.829408645629883,-27.980045318603516,-29.637187957763672,-29.926074981689453,-28.967926025390625,-26.347980499267578,-26.39147186279297,-28.457731246948242,-30.944616317749023,-31.04172706604004,-35.76917266845703,-35.9952392578125,-33.76933288574219,-29.264583587646484,-28.117372512817383,-26.744815826416016
die schriftsteller sind klein,-27.0401554107666,-24.163780212402344,-23.212724685668945,-24.19807243347168,-24.900447845458984,-23.93925666809082,-30.117570877075195,-22.11866569519043,-18.69611930847168,-24.80828857421875,-26.111553192138672,-25.54922866821289,-32.79896545410156,-32.90629577636719,-31.523555755615234,-23.48289680480957,-22.252368927001953,-27.947063446044922
die schriftsteller ist klein,-26.075931549072266,-24.997589111328125,-24.582260131835938,-27.604045867919922,-29.776287078857422,-28.27474594116211,-27.952497482299805,-23.455280303955078,-23.934295654296875,-29.00539207458496,-31.319440841674805,-30.012971878051758,-35.036258697509766,-33.596839904785156,-33.94236373901367,-26.654687881469727,-24.73409080505371,-26.901094436645508
die schriftsteller sind groß,-26.120466232299805,-25.294078826904297,-23.372468948364258,-24.136131286621094,-25.22532081604004,-24.97931671142578,-29.07611083984375,-21.749269485473633,-19.521738052368164,-24.732704162597656,-25.83672523498535,-26.819320678710938,-32.25630187988281,-30.947711944580078,-31.744047164916992,-24.64434814453125,-21.638015747070312,-27.995502471923828
die schriftsteller ist groß,-24.84711456298828,-24.847532272338867,-22.575942993164062,-27.391687393188477,-30.0428409576416,-28.35475730895996,-27.463397979736328,-22.192142486572266,-20.625778198242188,-29.04003143310547,-31.024066925048828,-30.056411743164062,-34.404388427734375,-32.72273635864258,-32.7386589050293,-28.38789176940918,-24.619564056396484,-26.189395904541016
die schriftsteller schwimmen,-28.58783721923828,-26.428373336791992,-25.334941864013672,-22.46526527404785,-25.825828552246094,-23.625267028808594,-32.06293869018555,-26.19878387451172,-22.64548110961914,-24.542482376098633,-25.91473388671875,-24.15001106262207,-39.59843063354492,-42.11542510986328,-39.920501708984375,-34.56565475463867,-34.61677932739258,-33.82273864746094
die schriftsteller schwimmt,-28.4085693359375,-27.983842849731445,-26.553749084472656,-23.248451232910156,-25.980117797851562,-24.941444396972656,-34.583133697509766,-27.05233383178711,-26.85287094116211,-24.58358383178711,-25.97334861755371,-25.528759002685547,-42.218116760253906,-42.75955581665039,-42.02244567871094,-37.71236038208008,-39.67664337158203,-37.557193756103516
die schriftsteller sprechen,-23.26022720336914,-20.713844299316406,-22.389118194580078,-18.969900131225586,-19.266029357910156,-17.742834091186523,-24.822093963623047,-16.490005493164062,-19.907344818115234,-19.831716537475586,-19.940311431884766,-18.743389129638672,-40.19334030151367,-35.26359176635742,-36.718624114990234,-24.438695907592773,-23.966442108154297,-27.47881317138672
die schriftsteller spricht,-24.029644012451172,-22.23025894165039,-23.245323181152344,-23.766408920288086,-23.182830810546875,-23.487266540527344,-24.990886688232422,-17.511756896972656,-23.192276000976562,-24.657325744628906,-23.320295333862305,-25.063457489013672,-41.94175338745117,-36.3696174621582,-34.13919448852539,-28.731334686279297,-29.007606506347656,-28.472721099853516
die schriftsteller lachen,-26.542415618896484,-23.054170608520508,-23.950584411621094,-25.847427368164062,-26.142059326171875,-23.377588272094727,-29.242839813232422,-21.165233612060547,-18.50067138671875,-28.610248565673828,-26.2390079498291,-24.262592315673828,-40.51284408569336,-37.98353576660156,-42.80723190307617,-35.63545227050781,-33.37876892089844,-36.16277313232422
die schriftsteller lacht,-25.283954620361328,-25.73123550415039,-26.530799865722656,-30.273334503173828,-32.44566345214844,-28.008121490478516,-29.099193572998047,-25.445682525634766,-23.80190658569336,-31.702993392944336,-32.42384719848633,-28.805240631103516,-47.63548278808594,-43.117435455322266,-45.774803161621094,-32.87178039550781,-35.5110969543457,-35.31231689453125
die direktoren sind alt,-35.28302001953125,-35.278106689453125,-33.70659255981445,-27.686656951904297,-29.46808433532715,-27.506916046142578,-39.89694595336914,-38.00090789794922,-37.29730987548828,-28.11961555480957,-31.045372009277344,-27.225311279296875,-44.605857849121094,-43.482181549072266,-41.669376373291016,-23.764663696289062,-22.891937255859375,-25.138961791992188
die direktoren ist alt,-38.6706657409668,-34.49314498901367,-34.018470764160156,-34.355777740478516,-34.25046157836914,-33.24211502075195,-45.24583435058594,-38.13804626464844,-40.54108428955078,-35.20440673828125,-35.6294059753418,-31.52657699584961,-44.461055755615234,-46.022491455078125,-44.51115798950195,-27.883405685424805,-28.88559341430664,-29.803974151611328
die direktoren sind jung,-36.188621520996094,-35.03777313232422,-36.2723503112793,-27.60940170288086,-30.004802703857422,-27.93891143798828,-40.02273941040039,-37.774871826171875,-40.16636657714844,-27.354839324951172,-30.935409545898438,-27.358386993408203,-47.27991485595703,-44.40198516845703,-45.5278205871582,-27.504981994628906,-25.487638473510742,-26.50887107849121
die direktoren ist jung,-39.83767318725586,-36.7476806640625,-37.547706604003906,-34.35283660888672,-34.6514778137207,-34.13491439819336,-44.25048065185547,-38.83464813232422,-44.896484375,-34.49223709106445,-35.707481384277344,-32.18776321411133,-47.12499237060547,-48.85525131225586,-48.611000061035156,-34.378849029541016,-31.77793312072754,-31.966175079345703
die direktoren sind klein,-36.674373626708984,-33.9464225769043,-33.182491302490234,-26.088497161865234,-27.316974639892578,-24.463119506835938,-42.52666473388672,-36.66266632080078,-37.1044807434082,-26.212060928344727,-28.169898986816406,-24.4052677154541,-46.001983642578125,-46.159324645996094,-45.62862014770508,-22.66714096069336,-19.222026824951172,-22.472118377685547
die direktoren ist klein,-39.99945068359375,-36.2418327331543,-35.3532829284668,-32.3564338684082,-33.051551818847656,-30.804227828979492,-45.510345458984375,-39.79375457763672,-41.558937072753906,-33.217769622802734,-34.18038558959961,-29.442371368408203,-46.68965530395508,-50.092742919921875,-50.52427291870117,-27.781166076660156,-25.210617065429688,-26.54913330078125
die direktoren sind groß,-34.960880279541016,-35.51280212402344,-34.70817184448242,-25.472152709960938,-26.053932189941406,-24.386932373046875,-38.81290054321289,-36.25893783569336,-37.30019760131836,-25.756187438964844,-27.034547805786133,-25.055706024169922,-44.14494705200195,-44.43363571166992,-46.776954650878906,-21.671247482299805,-19.283313751220703,-23.363208770751953
die direktoren ist groß,-37.3178825378418,-35.69843292236328,-34.41656494140625,-31.29918098449707,-32.325782775878906,-30.12368392944336,-41.85231018066406,-37.021995544433594,-39.22693634033203,-32.50734329223633,-33.47601318359375,-28.887285232543945,-44.305145263671875,-48.07301712036133,-49.79572296142578,-27.394004821777344,-25.08612823486328,-26.213088989257812
