sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13,de_childes_convergence_clm_42,de_childes_convergence_clm_30,de_childes_convergence_clm_13,de_wikipedia_convergence_clm_42,de_wikipedia_convergence_clm_30,de_wikipedia_convergence_clm_13,de_childes_best_mlm_42,de_childes_best_mlm_30,de_childes_best_mlm_13,de_wikipedia_best_mlm_42,de_wikipedia_best_mlm_30,de_wikipedia_best_mlm_13
der schriftsteller schwimmt und schwimmt,-31.639278411865234,-36.05965805053711,-32.881290435791016,-34.19629669189453,-36.66188049316406,-35.670135498046875,-36.53854751586914,-35.22536087036133,-30.264503479003906,-36.02883529663086,-35.96501159667969,-35.794490814208984,-33.7740478515625,-40.5739860534668,-40.3000373840332,-39.07928466796875,-40.642784118652344,-42.890777587890625
der schriftsteller schwimmt und schwimmen,-33.778629302978516,-38.93017578125,-36.528560638427734,-35.15834045410156,-38.50588607788086,-37.16415023803711,-40.746334075927734,-38.66212463378906,-34.776607513427734,-39.55622100830078,-38.058837890625,-37.01888656616211,-37.146690368652344,-43.385032653808594,-42.769020080566406,-39.5438117980957,-39.08138656616211,-40.01953887939453
der schriftsteller schwimmt und lacht,-32.82109451293945,-38.191383361816406,-35.81669235229492,-40.7498664855957,-44.7007942199707,-42.36308288574219,-38.760929107666016,-37.66741180419922,-30.871856689453125,-43.10361862182617,-42.80462646484375,-41.90212631225586,-43.452110290527344,-44.8558235168457,-45.16521072387695,-42.48334884643555,-43.99794006347656,-43.85106658935547
der schriftsteller schwimmt und lachen,-36.6949577331543,-41.109710693359375,-39.51107406616211,-39.5289192199707,-41.00532531738281,-38.37859344482422,-44.3310432434082,-39.767330169677734,-34.239078521728516,-42.071868896484375,-40.601932525634766,-38.573917388916016,-42.10725021362305,-46.81656265258789,-47.2034797668457,-44.386207580566406,-44.87944412231445,-46.94046401977539
der schriftsteller schwimmt und spricht,-34.354068756103516,-40.804298400878906,-38.99437713623047,-31.896163940429688,-34.64384460449219,-33.65214157104492,-39.378334045410156,-40.71738815307617,-35.317626953125,-34.438114166259766,-34.69987487792969,-34.132293701171875,-46.77693176269531,-48.930320739746094,-45.88460922241211,-33.74150085449219,-35.00309371948242,-32.29512023925781
der schriftsteller schwimmt und sprechen,-38.499908447265625,-44.086639404296875,-42.00065994262695,-35.37807083129883,-37.14674758911133,-33.665897369384766,-44.40812301635742,-46.40765380859375,-39.220123291015625,-36.94351577758789,-36.60747146606445,-33.66546630859375,-44.309810638427734,-51.163475036621094,-48.53619384765625,-35.89147186279297,-36.14849853515625,-34.243247985839844
der schriftsteller schwimmt und ist klein,-38.572105407714844,-44.92695999145508,-40.27056884765625,-38.41780471801758,-42.16859436035156,-38.66334533691406,-45.440616607666016,-45.782596588134766,-39.481048583984375,-41.14841079711914,-42.50410079956055,-39.3621940612793,-45.63481521606445,-51.753700256347656,-52.053001403808594,-37.19489669799805,-36.529327392578125,-34.741729736328125
der schriftsteller schwimmt und sind klein,-41.80617904663086,-47.570491790771484,-43.130126953125,-42.967464447021484,-45.485382080078125,-42.653587341308594,-47.72187042236328,-49.99845504760742,-41.54396438598633,-45.09104919433594,-45.17156982421875,-44.007816314697266,-46.29877471923828,-54.71159744262695,-51.89451599121094,-39.6906623840332,-39.38780975341797,-38.51865005493164
der schriftsteller schwimmt und ist groß,-38.283843994140625,-43.37628936767578,-40.15940856933594,-37.308494567871094,-42.63577651977539,-38.07817459106445,-47.446468353271484,-43.48323440551758,-38.45582580566406,-40.019378662109375,-42.50470733642578,-38.86400604248047,-43.72013473510742,-49.26793670654297,-50.41753005981445,-38.82381057739258,-36.93455505371094,-33.90382385253906
der schriftsteller schwimmt und sind groß,-42.31647491455078,-46.89907455444336,-44.73844909667969,-41.71796798706055,-46.10658264160156,-42.86973571777344,-50.73857879638672,-46.92045211791992,-42.675270080566406,-43.324241638183594,-45.84270477294922,-45.06988525390625,-44.208580017089844,-52.27771759033203,-53.05583572387695,-40.42970275878906,-39.33769989013672,-37.76060485839844
