sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
the author laughs,-29.032909393310547,-32.70965576171875,-31.68487548828125,-22.765588760375977,-18.609249114990234,-17.616832733154297,-28.471851348876953,-30.751537322998047,-30.635801315307617,-23.458621978759766,-19.256860733032227,-20.16668128967285,-37.36929702758789,-37.75554275512695,-42.83550262451172,-28.189674377441406,-28.545310974121094,-25.623079299926758
the author laugh,-28.93898582458496,-30.23379135131836,-33.95237731933594,-23.400646209716797,-20.916744232177734,-19.71364974975586,-27.882722854614258,-27.2216739654541,-34.218318939208984,-24.28778839111328,-21.84800148010254,-22.202220916748047,-36.608543395996094,-38.502540588378906,-43.84382247924805,-23.43014144897461,-23.07115936279297,-20.925390243530273
the author swims,-28.712427139282227,-32.981361389160156,-30.97652244567871,-25.2895565032959,-26.144390106201172,-22.42032241821289,-24.400711059570312,-31.92858123779297,-30.763980865478516,-24.270122528076172,-27.075237274169922,-22.866485595703125,-42.12411117553711,-35.290679931640625,-41.800559997558594,-30.873441696166992,-29.25658416748047,-28.63333511352539
the author swim,-27.602083206176758,-29.91666603088379,-32.831031799316406,-25.111600875854492,-21.99686050415039,-23.840744018554688,-26.089677810668945,-32.52639389038086,-36.62957000732422,-24.54766082763672,-23.27886199951172,-26.00834846496582,-38.480224609375,-36.75138854980469,-40.81358337402344,-29.731687545776367,-27.46566390991211,-32.55622100830078
the author smiles,-31.02832794189453,-34.98652267456055,-31.947219848632812,-23.097373962402344,-20.594478607177734,-22.24250602722168,-28.66485595703125,-31.267913818359375,-31.308868408203125,-21.01752471923828,-20.32859230041504,-23.38583755493164,-43.54673385620117,-43.04163360595703,-42.63576126098633,-32.989280700683594,-27.70064926147461,-33.00770568847656
the author smile,-29.586490631103516,-31.66010856628418,-30.15927505493164,-23.978622436523438,-22.55573272705078,-22.632343292236328,-28.360044479370117,-31.68609619140625,-30.879653930664062,-22.438720703125,-22.98085594177246,-24.536788940429688,-39.51253128051758,-39.94441604614258,-40.254398345947266,-27.867080688476562,-26.24750328063965,-31.355472564697266
the author is tall,-29.609235763549805,-35.5806770324707,-31.239383697509766,-23.608013153076172,-24.842288970947266,-23.68014907836914,-27.211503982543945,-33.33247375488281,-32.21400833129883,-24.918230056762695,-26.057327270507812,-23.79222869873047,-37.159969329833984,-37.82170867919922,-35.794891357421875,-28.444440841674805,-29.942764282226562,-27.888660430908203
the author are tall,-35.00492858886719,-40.100929260253906,-37.76762008666992,-28.860502243041992,-33.04186248779297,-29.955381393432617,-33.4454231262207,-38.39052963256836,-38.34386444091797,-30.74237060546875,-34.50102233886719,-31.291770935058594,-41.542266845703125,-42.60854721069336,-41.80504608154297,-33.38866424560547,-36.933067321777344,-36.86149597167969
the author is old,-29.011547088623047,-36.307960510253906,-29.019702911376953,-19.69078254699707,-21.458139419555664,-21.748523712158203,-27.199460983276367,-35.138790130615234,-30.281261444091797,-19.856422424316406,-22.441448211669922,-22.033126831054688,-33.247650146484375,-35.52412414550781,-36.26646423339844,-19.1827392578125,-24.870548248291016,-19.749862670898438
the author are old,-33.16758728027344,-39.18565368652344,-34.12479782104492,-25.789432525634766,-29.327167510986328,-28.510974884033203,-31.066524505615234,-37.19224548339844,-34.29783630371094,-26.458045959472656,-29.456722259521484,-29.80874252319336,-38.5435791015625,-41.022216796875,-40.87751770019531,-25.055038452148438,-31.348289489746094,-29.594131469726562
