sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13,fr_childes_convergence_clm_42,fr_childes_convergence_clm_30,fr_childes_convergence_clm_13,fr_wikipedia_convergence_clm_42,fr_wikipedia_convergence_clm_30,fr_wikipedia_convergence_clm_13,fr_wikipedia_best_mlm_42,fr_wikipedia_best_mlm_30,fr_wikipedia_best_mlm_13,fr_childes_best_mlm_42,fr_childes_best_mlm_30,fr_childes_best_mlm_13
les auteurs sont vieux,-31.437068939208984,-37.837974548339844,-31.52497100830078,-22.109880447387695,-19.661766052246094,-21.385791778564453,-43.75259780883789,-50.451622009277344,-39.961647033691406,-22.93634796142578,-19.831989288330078,-23.655120849609375,-19.697734832763672,-21.454452514648438,-19.52431869506836,-34.334407806396484,-37.946983337402344,-32.33183288574219
les auteurs est vieux,-34.17804718017578,-37.97509002685547,-34.49169158935547,-26.453506469726562,-23.887754440307617,-27.552806854248047,-44.25841522216797,-52.10474395751953,-42.89132308959961,-31.49106216430664,-29.036277770996094,-32.64735412597656,-26.00541114807129,-26.60525894165039,-23.11102294921875,-41.689945220947266,-42.34684753417969,-32.20048522949219
les auteurs sont jeunes,-36.210182189941406,-41.6424560546875,-38.543582916259766,-20.51702880859375,-20.539546966552734,-21.951045989990234,-51.391517639160156,-56.95743179321289,-43.81798553466797,-18.180171966552734,-20.297283172607422,-23.11001968383789,-18.199485778808594,-19.51701545715332,-19.193050384521484,-42.19453430175781,-46.90960693359375,-40.41064453125
les auteurs est jeune,-34.887046813964844,-38.23015594482422,-36.96540832519531,-24.343162536621094,-23.529743194580078,-26.511985778808594,-42.75897216796875,-57.47909164428711,-43.386756896972656,-29.677936553955078,-26.173057556152344,-29.4166259765625,-20.873889923095703,-22.38964080810547,-17.787208557128906,-46.57164764404297,-45.77163314819336,-39.5533561706543
les auteurs sont petits,-27.879594802856445,-35.43830108642578,-30.23511505126953,-21.151248931884766,-20.48833465576172,-20.128250122070312,-39.382083892822266,-50.008201599121094,-37.745887756347656,-21.547452926635742,-18.56258773803711,-20.030292510986328,-17.843698501586914,-21.91029930114746,-19.21681785583496,-37.40833282470703,-37.15192794799805,-29.4475154876709
les auteurs est petit,-32.213111877441406,-37.280548095703125,-33.54575729370117,-24.658035278320312,-22.5800724029541,-24.831161499023438,-39.87648391723633,-53.30116271972656,-37.48800277709961,-28.998167037963867,-25.314573287963867,-26.794021606445312,-24.6028995513916,-25.059682846069336,-20.88152313232422,-42.8344612121582,-42.2765007019043,-30.536283493041992
les auteurs sont grands,-27.831222534179688,-34.492279052734375,-29.607906341552734,-19.56219482421875,-18.562166213989258,-19.72134780883789,-37.63518524169922,-46.68660354614258,-34.12400436401367,-17.561241149902344,-16.678483963012695,-19.78250503540039,-14.422229766845703,-17.402149200439453,-15.330432891845703,-37.752689361572266,-34.95247268676758,-30.493183135986328
les auteurs est grand,-32.320945739746094,-36.264320373535156,-34.05617141723633,-25.05204963684082,-23.15003776550293,-24.130462646484375,-42.71333312988281,-54.54703140258789,-38.97437286376953,-31.47652816772461,-26.740856170654297,-28.463598251342773,-24.67801856994629,-24.432796478271484,-22.275379180908203,-42.523643493652344,-41.416038513183594,-33.25145721435547
les auteurs déménagent,-33.40267562866211,-38.67892074584961,-34.61580276489258,-49.42213439941406,-60.51573181152344,-49.45799255371094,-38.941627502441406,-51.595909118652344,-36.692100524902344,-45.86321258544922,-66.76612854003906,-69.09483337402344,-66.18423461914062,-75.07862854003906,-71.78004455566406,-43.48078918457031,-41.790565490722656,-43.10681915283203
les auteurs déménage,-31.06045150756836,-39.71363830566406,-32.801475524902344,-48.98927688598633,-58.634010314941406,-53.172603607177734,-43.992340087890625,-59.42328643798828,-43.11133575439453,-52.028297424316406,-62.80387496948242,-68.35831451416016,-68.03099060058594,-70.54542541503906,-70.14447021484375,-41.1464958190918,-38.809383392333984,-37.12437438964844
