sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
"der feind , den das mitglied mag , zweifelt",-10.260863304138184,-8.129916191101074,-10.199891090393066,-11.648941993713379,-9.104851722717285,-12.400672912597656
"der feind , die die mitglieder mag , zweifelt",-10.889965057373047,-9.109320640563965,-8.648356437683105,-11.461982727050781,-11.937298774719238,-12.400202751159668
"der feind , die die mitglieder mögen , zweifelt",-12.104313850402832,-9.388465881347656,-9.84422492980957,-14.954517364501953,-15.868932723999023,-10.870445251464844
"der feind , den das mitglied mögen , zweifelt",-12.183435440063477,-8.41307258605957,-11.86474609375,-14.557710647583008,-15.18465805053711,-15.011845588684082
"die feinde , den das mitglied mag , zweifeln",-10.131244659423828,-8.517522811889648,-10.331948280334473,-11.7449312210083,-9.206668853759766,-12.868894577026367
"die feinde , die die mitglieder mag , zweifeln",-11.051360130310059,-9.06271743774414,-8.730907440185547,-11.869422912597656,-12.772175788879395,-12.729558944702148
"die feinde , die die mitglieder mögen , zweifeln",-12.688883781433105,-10.393200874328613,-10.666361808776855,-15.018845558166504,-16.924921989440918,-11.065473556518555
"die feinde , den das mitglied mögen , zweifeln",-12.141217231750488,-9.429431915283203,-12.595335960388184,-14.098128318786621,-15.724271774291992,-16.654468536376953
"der feind , den das mitglied vermeidet , zweifelt",-19.42113208770752,-12.482855796813965,-16.456223011016846,-14.087735176086426,-14.75377368927002,-14.962352752685547
"der feind , die die mitglieder vermeidet , zweifelt",-17.512534141540527,-14.318521499633789,-15.439908504486084,-14.128610610961914,-14.532853126525879,-14.799834251403809
"der feind , die die mitglieder vermeiden , zweifelt",-12.122020721435547,-12.173519134521484,-12.442429542541504,-12.708986282348633,-13.248529434204102,-11.554854393005371
"der feind , den das mitglied vermeiden , zweifelt",-13.85517692565918,-10.1792311668396,-13.463967323303223,-13.183900833129883,-14.048282623291016,-13.978110313415527
"die feinde , den das mitglied vermeidet , zweifeln",-18.956892013549805,-13.250972747802734,-15.661357879638672,-14.691351890563965,-14.948406219482422,-15.416559219360352
"die feinde , die die mitglieder vermeidet , zweifeln",-17.77204990386963,-14.886451721191406,-14.969313621520996,-14.500704765319824,-15.586658477783203,-15.169015884399414
"die feinde , die die mitglieder vermeiden , zweifeln",-12.72940731048584,-12.481117248535156,-12.056670188903809,-12.666145324707031,-14.40304946899414,-11.558777809143066
"die feinde , den das mitglied vermeiden , zweifeln",-13.656089782714844,-10.315701484680176,-12.92976188659668,-13.230719566345215,-15.373079299926758,-14.194557189941406
"der feind , den das mitglied mag , konstruiert",-10.260863304138184,-8.129916191101074,-10.199891090393066,-11.648941993713379,-9.104851722717285,-12.400672912597656
"der feind , die die mitglieder mag , konstruiert",-10.889965057373047,-9.109320640563965,-8.648356437683105,-11.461982727050781,-11.937298774719238,-12.400202751159668
"der feind , die die mitglieder mögen , konstruiert",-12.104313850402832,-9.388465881347656,-9.84422492980957,-14.954505920410156,-15.86893081665039,-10.870441436767578
"der feind , den das mitglied mögen , konstruiert",-12.183435440063477,-8.41307258605957,-11.86474609375,-14.557710647583008,-15.18465518951416,-15.011841773986816
"die feinde , den das mitglied mag , konstruieren",-10.131244659423828,-8.517522811889648,-10.331948280334473,-11.744928359985352,-9.20666790008545,-12.86889362335205
"die feinde , die die mitglieder mag , konstruieren",-11.051360130310059,-9.06271743774414,-8.730907440185547,-11.86942195892334,-12.772175788879395,-12.729560852050781
"die feinde , die die mitglieder mögen , konstruieren",-12.688883781433105,-10.393200874328613,-10.666361808776855,-15.018845558166504,-16.924921989440918,-11.065473556518555
"die feinde , den das mitglied mögen , konstruieren",-12.141217231750488,-9.429431915283203,-12.595335960388184,-14.098128318786621,-15.724271774291992,-16.654468536376953
"der feind , den das mitglied vermeidet , konstruiert",-19.42113208770752,-12.482855796813965,-16.456223011016846,-14.087735176086426,-14.75377368927002,-14.962352752685547
"der feind , die die mitglieder vermeidet , konstruiert",-17.512534141540527,-14.318521499633789,-15.439908504486084,-14.128610610961914,-14.532853126525879,-14.799834251403809
"der feind , die die mitglieder vermeiden , konstruiert",-12.122020721435547,-12.173519134521484,-12.442429542541504,-12.708986282348633,-13.248529434204102,-11.554854393005371
"der feind , den das mitglied vermeiden , konstruiert",-13.85517692565918,-10.1792311668396,-13.463967323303223,-13.183900833129883,-14.048282623291016,-13.978110313415527
"die feinde , den das mitglied vermeidet , konstruieren",-18.956892013549805,-13.250972747802734,-15.661357879638672,-14.691351890563965,-14.948406219482422,-15.416559219360352
"die feinde , die die mitglieder vermeidet , konstruieren",-17.77204990386963,-14.886451721191406,-14.969313621520996,-14.500704765319824,-15.586658477783203,-15.169015884399414
"die feinde , die die mitglieder vermeiden , konstruieren",-12.72940731048584,-12.481117248535156,-12.056670188903809,-12.666145324707031,-14.40304946899414,-11.558781623840332
"die feinde , den das mitglied vermeiden , konstruieren",-13.656089782714844,-10.315701484680176,-12.92976188659668,-13.23071575164795,-15.373080253601074,-14.194557189941406
"der feind , den das mitglied mag , fürchtet",-10.260863304138184,-8.129916191101074,-10.199891090393066,-11.648941993713379,-9.104851722717285,-12.400672912597656
"der feind , die die mitglieder mag , fürchtet",-10.889965057373047,-9.109320640563965,-8.648356437683105,-11.461982727050781,-11.937298774719238,-12.400202751159668
"der feind , die die mitglieder mögen , fürchtet",-12.104313850402832,-9.388465881347656,-9.84422492980957,-14.954517364501953,-15.868932723999023,-10.870445251464844
"der feind , den das mitglied mögen , fürchtet",-12.183435440063477,-8.41307258605957,-11.86474609375,-14.557710647583008,-15.18465805053711,-15.011845588684082
"die feinde , den das mitglied mag , fürchten",-10.131244659423828,-8.517522811889648,-10.331948280334473,-11.744928359985352,-9.20666790008545,-12.86889362335205
"die feinde , die die mitglieder mag , fürchten",-11.051360130310059,-9.06271743774414,-8.730907440185547,-11.86942195892334,-12.772175788879395,-12.729560852050781
"die feinde , die die mitglieder mögen , fürchten",-12.688883781433105,-10.393200874328613,-10.666361808776855,-15.018845558166504,-16.924921989440918,-11.065473556518555
"die feinde , den das mitglied mögen , fürchten",-12.141217231750488,-9.429431915283203,-12.595335960388184,-14.098128318786621,-15.724271774291992,-16.654468536376953
"der feind , den das mitglied vermeidet , fürchtet",-19.42113208770752,-12.482855796813965,-16.456223011016846,-14.087735176086426,-14.75377368927002,-14.962352752685547
