sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
der feind vor dem mitglied zweifelt,-18.393695831298828,-19.743024826049805,-17.822590827941895,-26.577046394348145,-25.284375190734863,-25.17220401763916
die feinde vor dem mitglied zweifelt,-17.046074867248535,-20.811347007751465,-18.620933532714844,-27.21439266204834,-23.223802089691162,-27.770977020263672
der feind vor den mitgliedern zweifelt,-16.107812881469727,-14.794260501861572,-18.30788278579712,-24.785964965820312,-24.045706748962402,-24.472573280334473
die feinde vor den mitgliedern zweifelt,-15.829848289489746,-17.90879774093628,-19.318703651428223,-25.599090576171875,-23.451889038085938,-25.812373638153076
die feinde vor dem mitglied zweifeln,-17.61383056640625,-20.898266792297363,-16.857529640197754,-19.063345432281494,-17.35530376434326,-19.225526809692383
der feind vor dem mitglied zweifeln,-18.82028293609619,-19.860220909118652,-17.051597595214844,-18.00623321533203,-17.33461284637451,-18.508068561553955
die feinde vor den mitgliedern zweifeln,-16.846160888671875,-17.172976970672607,-18.150440216064453,-14.806043148040771,-18.3641037940979,-17.076016426086426
der feind vor den mitgliedern zweifeln,-16.93621063232422,-14.394373416900635,-18.252728939056396,-14.297755718231201,-18.025567054748535,-16.07798957824707
der feind hinter dem mitglied zweifelt,-18.1735200881958,-20.07687473297119,-18.545909881591797,-26.882465839385986,-25.80011749267578,-24.490859508514404
die feinde hinter dem mitglied zweifelt,-16.83627414703369,-21.214972496032715,-19.236096382141113,-26.80194091796875,-24.03715229034424,-26.468852996826172
der feind hinter den mitgliedern zweifelt,-15.55176067352295,-14.812634944915771,-18.796916007995605,-24.77660369873047,-23.781014919281006,-24.335068225860596
die feinde hinter den mitgliedern zweifelt,-15.236985683441162,-18.232252597808838,-19.529635429382324,-25.54307508468628,-22.841124057769775,-25.293694019317627
die feinde hinter dem mitglied zweifeln,-17.532379627227783,-22.04781150817871,-18.18434429168701,-17.690048694610596,-17.113908767700195,-18.6712007522583
der feind hinter dem mitglied zweifeln,-18.63790512084961,-21.00927734375,-18.482023239135742,-18.021906852722168,-17.252583026885986,-18.264617919921875
die feinde hinter den mitgliedern zweifeln,-16.483845710754395,-18.083662509918213,-19.036696434020996,-14.158804416656494,-17.533966541290283,-17.177684783935547
der feind hinter den mitgliedern zweifeln,-16.56480884552002,-15.092682361602783,-19.297761917114258,-14.359148025512695,-17.42317295074463,-16.18118953704834
der feind neben dem mitglied zweifelt,-17.864389896392822,-19.856823921203613,-18.741929054260254,-27.683828830718994,-26.246772289276123,-25.875924110412598
die feinde neben dem mitglied zweifelt,-16.2985782623291,-20.608572959899902,-19.298001289367676,-27.401978015899658,-23.832321166992188,-26.7879056930542
der feind neben den mitgliedern zweifelt,-15.079575538635254,-14.990217208862305,-18.731130123138428,-27.131726264953613,-24.327592372894287,-24.995261192321777
die feinde neben den mitgliedern zweifelt,-14.595722198486328,-17.952173709869385,-19.633816719055176,-26.87105369567871,-22.607041835784912,-24.931184768676758
die feinde neben dem mitglied zweifeln,-16.643051624298096,-21.470413208007812,-18.019763946533203,-19.809220790863037,-18.322731494903564,-19.188918590545654
der feind neben dem mitglied zweifeln,-18.12546443939209,-20.7819242477417,-18.437124252319336,-18.91655206680298,-18.398013591766357,-18.13530921936035
