sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
der feind zweifelt,-18.739834785461426,-18.386116981506348,-18.659972190856934,-21.313321113586426,-20.79121446609497,-23.6412672996521
die feinde zweifelt,-14.587231636047363,-17.093294143676758,-17.22181797027588,-20.633068084716797,-19.574166297912598,-22.71628475189209
die feinde zweifeln,-15.99055290222168,-16.12869930267334,-17.63345432281494,-13.92214584350586,-16.49802875518799,-18.623051166534424
der feind zweifeln,-19.399304389953613,-18.72772979736328,-20.14463520050049,-15.677123069763184,-14.374452590942383,-19.244633674621582
der feind konstruiert,-14.093326568603516,-20.489145278930664,-17.302621841430664,-13.240626335144043,-12.36377239227295,-13.512216567993164
die feinde konstruiert,-13.499503135681152,-16.063782691955566,-13.94200086593628,-12.831581115722656,-13.40414047241211,-16.26415252685547
die feinde konstruieren,-12.875237464904785,-14.673460006713867,-13.358981609344482,-14.268168449401855,-14.346977233886719,-19.10903835296631
der feind konstruieren,-14.198822021484375,-20.46446180343628,-17.722614288330078,-16.557082176208496,-14.759833335876465,-17.834230422973633
der feind fürchtet,-12.461942195892334,-15.943922519683838,-9.70568037033081,-13.929189682006836,-13.586573600769043,-18.91966438293457
die feinde fürchtet,-13.79587984085083,-18.70836067199707,-12.614940643310547,-13.317265510559082,-13.211756706237793,-14.597911834716797
die feinde fürchten,-14.912488460540771,-18.81047534942627,-14.828014850616455,-11.597374439239502,-11.539426326751709,-10.371399879455566
der feind fürchten,-16.560298919677734,-17.54188871383667,-12.377500534057617,-14.524503707885742,-14.48210096359253,-15.025100708007812
der feind schält,-17.09829616546631,-15.255230903625488,-15.550007820129395,-17.124391555786133,-19.38503932952881,-17.94633197784424
die feinde schält,-14.78467082977295,-13.150816917419434,-13.759719848632812,-12.12458848953247,-17.311737060546875,-15.782021045684814
