sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
der fahrgast schaukelt auf dem spielplatz und flüchtet vor dem feuer,-16.147558212280273,-15.43160343170166,-15.581144332885742,-14.361050128936768,-14.765645027160645,-13.107326984405518
die fahrgäste schaukeln auf dem spielplatz und flüchtet vor dem feuer,-15.741589546203613,-14.620383262634277,-15.604902267456055,-13.393091201782227,-18.04222536087036,-15.66569709777832
die fahrgäste schaukeln auf dem spielplatz und flüchten vor dem feuer,-13.350841522216797,-18.655564308166504,-15.840605735778809,-13.89986515045166,-12.835780620574951,-11.168134689331055
der fahrgast schaukelt auf dem spielplatz und flüchten vor dem feuer,-16.283249855041504,-20.02998685836792,-17.86946392059326,-17.162044048309326,-15.474806785583496,-14.32064962387085
der fahrgast schaukelt auf dem spielplatz und riecht den duft von frischem kaffee,-10.181039810180664,-9.07255744934082,-11.941112518310547,-17.568249702453613,-14.17768383026123,-14.667088508605957
die fahrgäste schaukeln auf dem spielplatz und riecht den duft von frischem kaffee,-13.873359680175781,-12.6862211227417,-13.808088302612305,-16.05879783630371,-15.325658798217773,-18.533087730407715
die fahrgäste schaukeln auf dem spielplatz und riechen den duft von frischem kaffee,-10.968393325805664,-10.688379287719727,-12.888768196105957,-12.783246994018555,-13.528533935546875,-16.746581077575684
der fahrgast schaukelt auf dem spielplatz und riechen den duft von frischem kaffee,-13.68519401550293,-11.924354553222656,-14.614505767822266,-15.628344535827637,-14.226247787475586,-17.61033058166504
der fahrgast schaukelt auf dem spielplatz und wandert durch den wald,-13.54639720916748,-13.123363494873047,-12.136202812194824,-10.168288230895996,-8.317070007324219,-10.5397310256958
die fahrgäste schaukeln auf dem spielplatz und wandert durch den wald,-15.869105815887451,-13.26947021484375,-15.21577262878418,-9.915517807006836,-8.315194606781006,-13.003825664520264
die fahrgäste schaukeln auf dem spielplatz und wandern durch den wald,-8.01557445526123,-8.52082347869873,-7.426163673400879,-9.31193733215332,-7.607869625091553,-12.044692516326904
der fahrgast schaukelt auf dem spielplatz und wandern durch den wald,-11.519341468811035,-9.959178924560547,-10.967841148376465,-13.225983619689941,-11.61667537689209,-13.443859100341797
der fahrgast schaukelt auf dem spielplatz und feiert den geburtstag des großvaters,-9.194424629211426,-8.81827163696289,-8.422587394714355,-9.264911651611328,-9.699370384216309,-7.972275257110596
die fahrgäste schaukeln auf dem spielplatz und feiert den geburtstag des großvaters,-11.937886238098145,-11.522112846374512,-9.043696403503418,-11.173813819885254,-10.020659446716309,-9.584512710571289
die fahrgäste schaukeln auf dem spielplatz und feiern den geburtstag des großvaters,-6.8665452003479,-7.629724979400635,-5.725905895233154,-11.10309648513794,-10.887381076812744,-10.463551044464111
der fahrgast schaukelt auf dem spielplatz und feiern den geburtstag des großvaters,-8.081727027893066,-9.190814018249512,-9.833182334899902,-12.895973682403564,-11.762623310089111,-13.113358974456787
der fahrgast schaukelt auf dem spielplatz und verschwindet im nebel,-9.629854202270508,-10.840829849243164,-10.700079917907715,-11.749613761901855,-10.596245765686035,-10.303098678588867
die fahrgäste schaukeln auf dem spielplatz und verschwindet im nebel,-11.40537166595459,-12.139790534973145,-11.243993759155273,-12.723859786987305,-12.124662399291992,-12.355244636535645
die fahrgäste schaukeln auf dem spielplatz und verschwinden im nebel,-10.48829174041748,-12.175076484680176,-13.513387680053711,-13.236244201660156,-9.26140022277832,-10.647381782531738
der fahrgast schaukelt auf dem spielplatz und verschwinden im nebel,-10.184322357177734,-12.067148208618164,-14.193853378295898,-14.97561264038086,-11.724963188171387,-12.267765045166016
der fahrgast schaukelt auf dem spielplatz und denkt an blumen im garten,-6.395290374755859,-5.636715888977051,-5.34407377243042,-10.434946060180664,-15.633254051208496,-12.694355010986328
die fahrgäste schaukeln auf dem spielplatz und denkt an blumen im garten,-10.389766693115234,-9.511195182800293,-6.376132488250732,-11.421701431274414,-17.061321258544922,-13.567580223083496
die fahrgäste schaukeln auf dem spielplatz und denken an blumen im garten,-9.129110336303711,-10.182247161865234,-8.88708782196045,-12.080633163452148,-11.900680541992188,-11.22126579284668
der fahrgast schaukelt auf dem spielplatz und denken an blumen im garten,-10.548160552978516,-10.642960548400879,-11.313850402832031,-13.638848304748535,-13.041726112365723,-12.279200553894043
der fahrgast schaukelt auf dem spielplatz und spricht über das abendessen,-7.088418006896973,-8.796506881713867,-8.477219581604004,-12.131776809692383,-10.087291717529297,-13.02190113067627
die fahrgäste schaukeln auf dem spielplatz und spricht über das abendessen,-10.028199195861816,-12.156238555908203,-9.588560104370117,-13.700160026550293,-11.478967666625977,-14.26408863067627
die fahrgäste schaukeln auf dem spielplatz und sprechen über das abendessen,-8.69347858428955,-10.065722465515137,-11.79906177520752,-11.905647277832031,-10.675588607788086,-10.684442520141602
der fahrgast schaukelt auf dem spielplatz und sprechen über das abendessen,-12.536055564880371,-13.086895942687988,-13.885782241821289,-13.90964126586914,-11.76032543182373,-12.936288833618164
der fahrgast schaukelt auf dem spielplatz und arbeitet an einem projekt,-6.0756916999816895,-7.395134925842285,-7.108042240142822,-11.042339324951172,-8.715909957885742,-9.328472137451172
die fahrgäste schaukeln auf dem spielplatz und arbeitet an einem projekt,-9.301412582397461,-10.472196578979492,-8.469827651977539,-10.780950546264648,-9.723061561584473,-10.40000057220459
die fahrgäste schaukeln auf dem spielplatz und arbeiten an einem projekt,-7.64055871963501,-7.45802116394043,-7.122225284576416,-9.937761306762695,-9.42693042755127,-8.44394302368164
der fahrgast schaukelt auf dem spielplatz und arbeiten an einem projekt,-9.404672622680664,-9.470891952514648,-9.838311195373535,-11.8612642288208,-10.923551559448242,-11.162347793579102
der fahrgast schaukelt auf dem spielplatz und liegt auf dem boden,-5.9776763916015625,-7.230523586273193,-6.221235275268555,-6.770142555236816,-6.531806945800781,-6.036667346954346
die fahrgäste schaukeln auf dem spielplatz und liegt auf dem boden,-10.129298210144043,-11.87913703918457,-8.126846313476562,-8.949962615966797,-8.48927116394043,-8.65976619720459
die fahrgäste schaukeln auf dem spielplatz und liegen auf dem boden,-7.881775856018066,-9.733899116516113,-6.335361003875732,-7.151168346405029,-7.084944248199463,-7.6826066970825195
der fahrgast schaukelt auf dem spielplatz und liegen auf dem boden,-9.490596771240234,-10.893153190612793,-8.932337760925293,-11.204239845275879,-10.77015495300293,-9.866260528564453
der fahrgast flüchtet vor dem feuer und riecht den duft von frischem kaffee,-9.381500244140625,-10.914695739746094,-10.857818603515625,-15.917818069458008,-11.960232734680176,-10.069019794464111
die fahrgäste flüchten vor dem feuer und riecht den duft von frischem kaffee,-12.35036849975586,-13.71059799194336,-11.943607330322266,-16.05363941192627,-13.864585876464844,-14.328423976898193
die fahrgäste flüchten vor dem feuer und riechen den duft von frischem kaffee,-11.889195442199707,-11.12366771697998,-12.653678894042969,-11.858257293701172,-10.944122314453125,-11.25375509262085
der fahrgast flüchtet vor dem feuer und riechen den duft von frischem kaffee,-13.137421607971191,-10.522245407104492,-13.708273887634277,-13.555991172790527,-11.358322143554688,-10.706114292144775
der fahrgast flüchtet vor dem feuer und wandert durch den wald,-12.68159294128418,-11.373230934143066,-12.054518699645996,-6.5896711349487305,-6.895856857299805,-8.307807445526123
die fahrgäste flüchten vor dem feuer und wandert durch den wald,-13.322314262390137,-11.581178665161133,-13.115490913391113,-8.505645275115967,-9.381301403045654,-12.536733150482178
die fahrgäste flüchten vor dem feuer und wandern durch den wald,-9.843767166137695,-9.394596099853516,-8.733932495117188,-5.396749019622803,-5.686976909637451,-9.59981393814087
der fahrgast flüchtet vor dem feuer und wandern durch den wald,-12.729110717773438,-9.306110382080078,-10.612458229064941,-7.405275344848633,-7.143453598022461,-8.825262546539307
der fahrgast flüchtet vor dem feuer und feiert den geburtstag des großvaters,-8.74767017364502,-8.521125793457031,-8.594030380249023,-11.97416877746582,-13.609017372131348,-9.134737014770508
die fahrgäste flüchten vor dem feuer und feiert den geburtstag des großvaters,-9.01802921295166,-9.934830665588379,-9.250904083251953,-14.137259483337402,-12.763202667236328,-11.494632720947266
die fahrgäste flüchten vor dem feuer und feiern den geburtstag des großvaters,-8.406792640686035,-9.29532527923584,-7.621840476989746,-10.761008739471436,-11.259500503540039,-10.267988681793213
der fahrgast flüchtet vor dem feuer und feiern den geburtstag des großvaters,-9.290017127990723,-10.560698509216309,-10.646327018737793,-13.420121192932129,-11.230563640594482,-14.06247854232788
der fahrgast flüchtet vor dem feuer und verschwindet im nebel,-8.887813568115234,-7.752194404602051,-8.637984275817871,-9.514281272888184,-9.327362060546875,-8.710330963134766
die fahrgäste flüchten vor dem feuer und verschwindet im nebel,-10.624899864196777,-9.595096588134766,-9.239914894104004,-12.246285438537598,-12.612316131591797,-11.194326400756836
die fahrgäste flüchten vor dem feuer und verschwinden im nebel,-9.995397567749023,-10.160171508789062,-10.451330184936523,-10.376229286193848,-8.395776748657227,-9.887581825256348
der fahrgast flüchtet vor dem feuer und verschwinden im nebel,-9.970987319946289,-10.195569038391113,-11.02509593963623,-10.593538284301758,-8.445333480834961,-11.138733863830566
der fahrgast flüchtet vor dem feuer und denkt an blumen im garten,-4.818464756011963,-4.770219802856445,-3.595536231994629,-10.773807525634766,-14.401021480560303,-14.339900016784668
