sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
"der fahrgast , den der matrose mag , schaukelt",-9.390983581542969,-8.92822265625,-10.683850288391113,-11.190004348754883,-10.83774185180664,-12.48998737335205
"der fahrgast , die die matrosen mag , schaukelt",-9.79354190826416,-7.91556453704834,-11.489936828613281,-12.992742538452148,-12.72733211517334,-10.789775848388672
"der fahrgast , die die matrosen mögen , schaukelt",-10.481316566467285,-9.567971229553223,-9.156189918518066,-14.585543632507324,-12.547924995422363,-9.467162132263184
"der fahrgast , den der matrose mögen , schaukelt",-11.777950286865234,-11.707859992980957,-13.273185729980469,-14.337520599365234,-11.976604461669922,-13.10657787322998
"die fahrgäste , den der matrose mag , schaukeln",-8.940704345703125,-8.510797500610352,-10.884788513183594,-10.972780227661133,-10.93941593170166,-11.928455352783203
"die fahrgäste , die die matrosen mag , schaukeln",-9.65617847442627,-7.674570083618164,-11.01783561706543,-13.211607933044434,-12.689186096191406,-10.452474594116211
"die fahrgäste , die die matrosen mögen , schaukeln",-10.428600311279297,-9.464133262634277,-8.665191650390625,-13.812360763549805,-13.659746170043945,-9.005414009094238
"die fahrgäste , den der matrose mögen , schaukeln",-11.554916381835938,-11.66087818145752,-13.734870910644531,-12.623416900634766,-12.487715721130371,-12.718810081481934
"der fahrgast , den der matrose vermeidet , schaukelt",-18.722816467285156,-14.687002182006836,-16.824975967407227,-13.321032524108887,-13.196038246154785,-12.793701171875
"der fahrgast , die die matrosen vermeidet , schaukelt",-20.22739315032959,-14.133713245391846,-15.704349994659424,-13.56637191772461,-15.840543746948242,-12.016400337219238
"der fahrgast , die die matrosen vermeiden , schaukelt",-13.395956039428711,-11.017001152038574,-12.36280632019043,-9.65446949005127,-15.744842529296875,-11.01816177368164
"der fahrgast , den der matrose vermeiden , schaukelt",-13.929308891296387,-12.656052589416504,-14.05881118774414,-13.144952774047852,-13.602235794067383,-14.796140670776367
"die fahrgäste , den der matrose vermeidet , schaukeln",-19.19074535369873,-15.723837852478027,-17.71730947494507,-13.60107135772705,-13.32168197631836,-12.289497375488281
"die fahrgäste , die die matrosen vermeidet , schaukeln",-20.417766571044922,-14.86427116394043,-16.38109016418457,-13.295848846435547,-16.296432495117188,-11.872127532958984
"die fahrgäste , die die matrosen vermeiden , schaukeln",-13.680453300476074,-10.940197944641113,-12.298511505126953,-10.812060356140137,-16.995634078979492,-11.614023208618164
"die fahrgäste , den der matrose vermeiden , schaukeln",-14.15364933013916,-12.61181354522705,-14.238035202026367,-14.292150497436523,-14.145652770996094,-15.401674270629883
