sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
der fahrgast vor dem matrosen schaukelt,-10.878925323486328,-13.277046203613281,-13.913640022277832,-22.39756965637207,-31.307274341583252,-28.007413864135742
die fahrgäste vor dem matrosen schaukelt,-12.797532081604004,-14.029608726501465,-14.699767112731934,-23.773833751678467,-29.128658294677734,-27.58314037322998
der fahrgast vor den matrosen schaukelt,-11.597697257995605,-14.057220458984375,-13.667407035827637,-23.24467897415161,-31.393491744995117,-30.18443250656128
die fahrgäste vor den matrosen schaukelt,-13.54370403289795,-14.901019096374512,-14.696758270263672,-24.8206787109375,-29.142375946044922,-27.385272979736328
die fahrgäste vor dem matrosen schaukeln,-13.567502975463867,-12.872746467590332,-13.918110847473145,-26.129284858703613,-29.33867359161377,-28.834904670715332
der fahrgast vor dem matrosen schaukeln,-13.110188484191895,-12.481966972351074,-13.5014009475708,-26.37589931488037,-32.686119079589844,-30.595983505249023
die fahrgäste vor den matrosen schaukeln,-14.397172927856445,-13.196378707885742,-13.76156234741211,-25.720112800598145,-25.791501998901367,-25.61746883392334
der fahrgast vor den matrosen schaukeln,-13.745647430419922,-12.541305541992188,-13.757144927978516,-25.61421298980713,-27.732284545898438,-27.290054321289062
der fahrgast hinter dem matrosen schaukelt,-10.597954750061035,-11.588808059692383,-13.62166690826416,-22.748903274536133,-30.32830810546875,-27.1969256401062
die fahrgäste hinter dem matrosen schaukelt,-12.222149848937988,-12.790797233581543,-14.3935546875,-24.302196979522705,-28.270276069641113,-27.239724159240723
der fahrgast hinter den matrosen schaukelt,-11.710831642150879,-12.219501495361328,-13.244542121887207,-23.61943006515503,-30.429848670959473,-28.459497451782227
die fahrgäste hinter den matrosen schaukelt,-13.229872703552246,-13.666263580322266,-14.4533109664917,-25.093708038330078,-28.392123222351074,-26.185317516326904
die fahrgäste hinter dem matrosen schaukeln,-13.023435592651367,-12.043307304382324,-12.860404968261719,-26.749337196350098,-28.863980293273926,-29.10700225830078
der fahrgast hinter dem matrosen schaukeln,-12.665704727172852,-11.55010986328125,-12.802087783813477,-27.063891410827637,-32.04127645492554,-29.83014965057373
die fahrgäste hinter den matrosen schaukeln,-14.040023803710938,-12.504518508911133,-12.470129013061523,-26.347698211669922,-25.60504722595215,-25.99440574645996
der fahrgast hinter den matrosen schaukeln,-13.687786102294922,-11.477660179138184,-12.610105514526367,-26.254496574401855,-27.38628578186035,-27.250535011291504
der fahrgast neben dem matrosen schaukelt,-10.404474258422852,-11.765823364257812,-13.29030990600586,-23.87166690826416,-28.394978523254395,-27.393611431121826
die fahrgäste neben dem matrosen schaukelt,-11.972667694091797,-12.788877487182617,-13.894567489624023,-25.107744693756104,-27.54145097732544,-27.46898126602173
der fahrgast neben den matrosen schaukelt,-11.612805366516113,-11.995206832885742,-12.731752395629883,-25.100811004638672,-27.36948251724243,-28.781001091003418
die fahrgäste neben den matrosen schaukelt,-13.053306579589844,-13.489274978637695,-13.684013366699219,-25.863158702850342,-26.705127716064453,-26.81997776031494
die fahrgäste neben dem matrosen schaukeln,-12.42414665222168,-12.21563720703125,-13.216408729553223,-26.658080101013184,-27.57495403289795,-29.068617820739746
der fahrgast neben dem matrosen schaukeln,-12.153385162353516,-11.537108421325684,-13.298660278320312,-26.620119094848633,-28.683213233947754,-29.373863220214844
die fahrgäste neben den matrosen schaukeln,-13.169020652770996,-12.461404800415039,-12.816288948059082,-25.786523818969727,-24.37526226043701,-25.902104377746582
der fahrgast neben den matrosen schaukeln,-12.9286470413208,-11.209879875183105,-13.069082260131836,-25.9623966217041,-24.652080535888672,-27.010146141052246
der fahrgast in der nähe von dem matrosen schaukelt,-11.106289863586426,-12.781488418579102,-13.997754096984863,-22.184476375579834,-27.50457191467285,-26.442026138305664
die fahrgäste in der nähe von dem matrosen schaukelt,-12.416842460632324,-13.779780387878418,-14.817097663879395,-22.702167510986328,-25.957029342651367,-25.65568447113037
der fahrgast in der nähe von den matrosen schaukelt,-12.17020320892334,-13.592550277709961,-13.843997955322266,-23.061049461364746,-26.49121904373169,-26.959949493408203
die fahrgäste in der nähe von den matrosen schaukelt,-13.25520133972168,-14.635981559753418,-14.88382339477539,-23.691035747528076,-24.881666660308838,-25.065239906311035
die fahrgäste in der nähe von dem matrosen schaukeln,-14.639235496520996,-12.053827285766602,-14.77786636352539,-24.801847457885742,-27.481922149658203,-28.19090461730957
der fahrgast in der nähe von dem matrosen schaukeln,-14.304887771606445,-11.505032539367676,-14.524934768676758,-25.504206657409668,-30.139033317565918,-29.13996696472168
die fahrgäste in der nähe von den matrosen schaukeln,-15.161031723022461,-12.659948348999023,-14.604423522949219,-24.428746223449707,-22.04316234588623,-25.800074577331543
der fahrgast in der nähe von den matrosen schaukeln,-14.913402557373047,-11.675098419189453,-14.461627960205078,-24.52903652191162,-24.04266357421875,-26.915724754333496
der fahrgast gegenüber dem matrosen schaukelt,-10.305648803710938,-12.530584335327148,-14.197966575622559,-22.696273803710938,-29.739989280700684,-27.986408233642578
die fahrgäste gegenüber dem matrosen schaukelt,-11.936060905456543,-13.221933364868164,-14.688135147094727,-24.25725746154785,-28.39159393310547,-27.846794605255127
der fahrgast gegenüber den matrosen schaukelt,-11.49052619934082,-13.029552459716797,-13.899316787719727,-24.237343311309814,-29.267476558685303,-29.852654457092285
die fahrgäste gegenüber den matrosen schaukelt,-12.943683624267578,-14.009394645690918,-14.467174530029297,-25.480154514312744,-27.942991256713867,-27.528798580169678
die fahrgäste gegenüber dem matrosen schaukeln,-13.128406524658203,-12.539249420166016,-13.978342056274414,-26.5391788482666,-28.041903495788574,-29.55437183380127
der fahrgast gegenüber dem matrosen schaukeln,-12.59691047668457,-12.472892761230469,-13.47360897064209,-26.893872261047363,-30.9569993019104,-30.46664524078369
die fahrgäste gegenüber den matrosen schaukeln,-13.837894439697266,-13.19277572631836,-13.733363151550293,-25.83738136291504,-25.029715538024902,-26.289668083190918
der fahrgast gegenüber den matrosen schaukeln,-13.33486557006836,-12.770899772644043,-13.680116653442383,-26.251824378967285,-26.198081970214844,-27.653075218200684
der fahrgast vor dem matrosen flüchtet,-21.54103374481201,-15.030147552490234,-17.03078556060791,-11.26875638961792,-13.553963661193848,-16.60096263885498
die fahrgäste vor dem matrosen flüchtet,-21.391521453857422,-15.779756546020508,-17.463886260986328,-11.693334579467773,-13.395363807678223,-17.563746452331543
der fahrgast vor den matrosen flüchtet,-21.853557586669922,-14.906814575195312,-17.057787895202637,-11.197790145874023,-12.175546646118164,-14.785374641418457
die fahrgäste vor den matrosen flüchtet,-21.600966453552246,-15.361260414123535,-17.243979454040527,-12.267927169799805,-13.082120418548584,-15.70768404006958
die fahrgäste vor dem matrosen flüchten,-16.251782417297363,-18.787425994873047,-16.955214500427246,-13.063272476196289,-14.456135749816895,-15.272171020507812
der fahrgast vor dem matrosen flüchten,-17.42105770111084,-18.42155361175537,-17.677377700805664,-15.745376110076904,-16.48331928253174,-17.225852012634277
die fahrgäste vor den matrosen flüchten,-15.352524757385254,-17.645451545715332,-16.050700187683105,-12.815079689025879,-13.785781383514404,-12.68682336807251
der fahrgast vor den matrosen flüchten,-16.545186042785645,-17.635769367218018,-16.69169521331787,-14.027417182922363,-14.899919509887695,-15.024374961853027
der fahrgast hinter dem matrosen flüchtet,-21.1519136428833,-15.921070098876953,-16.94748020172119,-10.989514350891113,-13.112719058990479,-16.09361457824707
die fahrgäste hinter dem matrosen flüchtet,-21.059261322021484,-17.027554512023926,-17.432893753051758,-11.355931758880615,-12.881415367126465,-17.230128288269043
der fahrgast hinter den matrosen flüchtet,-21.35942840576172,-15.683855056762695,-16.73932456970215,-10.700118064880371,-11.691011905670166,-14.41767406463623
die fahrgäste hinter den matrosen flüchtet,-21.199210166931152,-16.717238426208496,-17.16030216217041,-11.527463912963867,-12.5366530418396,-15.609287738800049
die fahrgäste hinter dem matrosen flüchten,-16.55776309967041,-20.040562629699707,-16.52611207962036,-13.372339725494385,-14.103096961975098,-15.11154556274414
der fahrgast hinter dem matrosen flüchten,-17.582870483398438,-19.27204656600952,-17.273736000061035,-15.86117935180664,-15.95051908493042,-16.946431159973145
die fahrgäste hinter den matrosen flüchten,-15.536940574645996,-19.06236219406128,-15.632215976715088,-12.775531768798828,-13.500735759735107,-12.675087451934814
der fahrgast hinter den matrosen flüchten,-16.61427879333496,-18.381728649139404,-16.18802833557129,-14.241067886352539,-14.545312404632568,-14.948418617248535
der fahrgast neben dem matrosen flüchtet,-21.579400062561035,-15.715747833251953,-17.341579914093018,-12.483161449432373,-12.637106895446777,-17.68465805053711
die fahrgäste neben dem matrosen flüchtet,-21.500783920288086,-16.599709510803223,-17.868183135986328,-12.514747142791748,-13.339500904083252,-19.48379421234131
der fahrgast neben den matrosen flüchtet,-21.75795269012451,-15.218732833862305,-16.94506549835205,-13.171411514282227,-11.599363327026367,-14.824938774108887
die fahrgäste neben den matrosen flüchtet,-21.517629623413086,-16.219270706176758,-17.52467966079712,-13.684904098510742,-12.944109439849854,-16.476431369781494
die fahrgäste neben dem matrosen flüchten,-17.115962028503418,-19.516217708587646,-17.079099655151367,-13.594377994537354,-13.122499942779541,-16.604056358337402
der fahrgast neben dem matrosen flüchten,-18.21338653564453,-19.052230834960938,-17.88546895980835,-15.373989582061768,-13.785654067993164,-17.16583251953125
die fahrgäste neben den matrosen flüchten,-16.039762496948242,-18.51218318939209,-16.283498764038086,-13.831281661987305,-12.54737138748169,-12.74208116531372
der fahrgast neben den matrosen flüchten,-17.257125854492188,-17.934070110321045,-16.811594009399414,-14.295848846435547,-12.811454772949219,-13.930537223815918
der fahrgast in der nähe von dem matrosen flüchtet,-21.26380157470703,-15.208308219909668,-17.268868446350098,-11.412418842315674,-14.809713363647461,-17.540794372558594
die fahrgäste in der nähe von dem matrosen flüchtet,-21.462149620056152,-15.970604419708252,-17.584811210632324,-11.823785781860352,-15.176301956176758,-19.09566020965576
der fahrgast in der nähe von den matrosen flüchtet,-21.044093132019043,-14.960004806518555,-16.875739097595215,-11.827630519866943,-12.699197769165039,-15.774727821350098
die fahrgäste in der nähe von den matrosen flüchtet,-20.91744327545166,-15.868626594543457,-17.22907781600952,-12.98507022857666,-13.88435983657837,-17.596038818359375
die fahrgäste in der nähe von dem matrosen flüchten,-16.372017860412598,-17.48174238204956,-16.392887592315674,-12.955525398254395,-14.55954360961914,-16.40138339996338
der fahrgast in der nähe von dem matrosen flüchten,-17.040386199951172,-16.706697940826416,-16.665483474731445,-14.593260288238525,-16.16990566253662,-17.56021022796631
die fahrgäste in der nähe von den matrosen flüchten,-14.806538581848145,-16.475507736206055,-15.374691486358643,-13.286954879760742,-13.033325672149658,-14.328508377075195
der fahrgast in der nähe von den matrosen flüchten,-15.724187850952148,-15.442544937133789,-15.301962852478027,-13.626753330230713,-13.73646068572998,-15.688546180725098
der fahrgast gegenüber dem matrosen flüchtet,-20.132990837097168,-16.533693313598633,-17.18548059463501,-10.893630027770996,-12.799564838409424,-16.936320304870605
