sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
der fahrgast schaukelt,-11.012681007385254,-12.423650741577148,-11.983844757080078,-26.26837968826294,-31.24949359893799,-28.164550304412842
die fahrgäste schaukelt,-11.409627914428711,-12.159385681152344,-12.889715194702148,-25.048181533813477,-29.476940155029297,-24.412590980529785
die fahrgäste schaukeln,-12.656810760498047,-10.068487167358398,-11.740520477294922,-27.510229110717773,-27.723530769348145,-23.792920112609863
der fahrgast schaukeln,-16.078323364257812,-14.749955177307129,-14.143159866333008,-32.14465284347534,-33.741790771484375,-30.044382095336914
der fahrgast flüchtet,-21.239128589630127,-17.146196365356445,-19.260689735412598,-13.055352210998535,-14.578161239624023,-16.207459449768066
die fahrgäste flüchtet,-19.341729164123535,-15.828387260437012,-19.094523429870605,-10.478113651275635,-12.80701494216919,-14.674213409423828
die fahrgäste flüchten,-15.629624366760254,-17.875744819641113,-18.528386116027832,-12.632994174957275,-13.288425922393799,-12.912307739257812
der fahrgast flüchten,-18.778260231018066,-19.76867389678955,-21.14393377304077,-19.04644203186035,-18.790206909179688,-17.28731918334961
der fahrgast riecht,-10.143242835998535,-10.258345603942871,-11.299405097961426,-18.184515953063965,-12.981657028198242,-14.53249454498291
die fahrgäste riecht,-11.980463027954102,-11.029414176940918,-12.354647636413574,-17.60824966430664,-13.50719928741455,-18.507797241210938
die fahrgäste riechen,-13.770478248596191,-9.639941215515137,-13.887815475463867,-11.736434936523438,-12.566548347473145,-13.47520637512207
der fahrgast riechen,-15.949624061584473,-16.54923439025879,-15.409923553466797,-15.984920501708984,-14.249518394470215,-17.53914165496826
der fahrgast wandert,-15.364538192749023,-12.074326515197754,-14.663289070129395,-12.539353370666504,-10.94127368927002,-10.7517671585083
die fahrgäste wandert,-17.264747142791748,-14.979327201843262,-15.654248237609863,-9.52610445022583,-9.61118745803833,-11.066401958465576
die fahrgäste wandern,-11.230039596557617,-8.793492317199707,-9.344345092773438,-8.152161121368408,-9.053678035736084,-9.480950832366943
der fahrgast wandern,-11.643068313598633,-9.605488777160645,-11.370391845703125,-17.856133460998535,-14.878989219665527,-12.098505020141602
der fahrgast feiert,-10.02287483215332,-10.490336418151855,-10.97449016571045,-12.588232040405273,-10.495786666870117,-12.319249153137207
die fahrgäste feiert,-12.367362022399902,-11.663402557373047,-13.043962478637695,-11.937753677368164,-11.677145004272461,-10.383853912353516
die fahrgäste feiern,-9.862369537353516,-7.687551498413086,-8.392904281616211,-12.3509202003479,-12.163825035095215,-9.637362003326416
der fahrgast feiern,-12.975727081298828,-12.924458503723145,-12.937389373779297,-14.330053329467773,-15.482722759246826,-14.074211120605469
der fahrgast verschwindet,-11.162129402160645,-13.498290061950684,-11.838690757751465,-11.043118476867676,-11.575791358947754,-10.522503852844238
die fahrgäste verschwindet,-12.807034492492676,-12.69167423248291,-11.2258939743042,-10.081828594207764,-11.581198692321777,-11.831228256225586
die fahrgäste verschwinden,-12.050003051757812,-11.331908226013184,-11.672846794128418,-10.744692325592041,-10.98515796661377,-10.187434196472168
der fahrgast verschwinden,-12.149165153503418,-13.70262336730957,-13.084330558776855,-13.161563873291016,-12.73388957977295,-13.94832706451416
der fahrgast denkt,-10.90468692779541,-13.252076148986816,-11.661881446838379,-11.034546852111816,-11.646010875701904,-10.732447624206543
die fahrgäste denkt,-10.680377960205078,-11.628317832946777,-11.957653045654297,-15.342051982879639,-17.07029104232788,-16.898789405822754
die fahrgäste denken,-13.040275573730469,-8.677824020385742,-14.162354469299316,-14.796306610107422,-16.415863037109375,-13.853164672851562
der fahrgast denken,-15.577875137329102,-15.356277465820312,-15.103362083435059,-15.490681648254395,-16.21858024597168,-15.364126205444336
der fahrgast spricht,-11.507826805114746,-13.152212142944336,-13.460990905761719,-12.111013412475586,-14.384084701538086,-9.369321823120117
die fahrgäste spricht,-12.306814193725586,-12.002613067626953,-13.245048522949219,-11.416616439819336,-10.31899356842041,-10.458941459655762
die fahrgäste sprechen,-12.838044166564941,-9.605340957641602,-13.327994346618652,-12.338082313537598,-10.87071704864502,-9.62386703491211
der fahrgast sprechen,-14.531055450439453,-15.736553192138672,-14.37475872039795,-13.214360237121582,-14.15308666229248,-13.130632400512695
der fahrgast arbeitet,-9.869621276855469,-14.09948444366455,-10.314903259277344,-10.89908218383789,-8.769786834716797,-10.258864402770996
die fahrgäste arbeitet,-9.995379447937012,-11.767598152160645,-10.732352256774902,-10.266443252563477,-9.085394859313965,-9.363670349121094
die fahrgäste arbeiten,-10.583362579345703,-5.748042583465576,-9.03451156616211,-9.532888412475586,-9.960149765014648,-10.008451461791992
der fahrgast arbeiten,-12.749792098999023,-10.894415855407715,-11.054991722106934,-10.738142013549805,-10.993501663208008,-12.037375450134277
der fahrgast liegt,-5.686895370483398,-11.386232376098633,-9.647626876831055,-6.3428850173950195,-7.403040885925293,-5.835398197174072
die fahrgäste liegt,-8.513338088989258,-9.166901588439941,-8.734539031982422,-6.01531457901001,-5.404845714569092,-8.014596939086914
die fahrgäste liegen,-7.902612209320068,-6.613215923309326,-8.693958282470703,-4.407590866088867,-4.2121429443359375,-4.735053062438965
der fahrgast liegen,-12.749754905700684,-13.885587692260742,-12.689806938171387,-9.833209037780762,-11.291454315185547,-10.14310359954834
das kleinkind schaukelt,-9.699441909790039,-8.497007369995117,-9.979802131652832,-29.408034801483154,-31.62600326538086,-29.872557163238525
die kleinkinder schaukelt,-10.845853805541992,-9.630928039550781,-9.733525276184082,-24.74949598312378,-27.566466331481934,-24.248372077941895
die kleinkinder schaukeln,-7.705967903137207,-8.888455390930176,-7.245447635650635,-27.142980575561523,-26.572564125061035,-23.92732524871826
das kleinkind schaukeln,-12.984816551208496,-13.273198127746582,-10.030094146728516,-33.73628044128418,-31.522316455841064,-29.125347137451172
das kleinkind flüchtet,-17.504847049713135,-17.20316743850708,-17.112217903137207,-18.514521598815918,-17.566832542419434,-22.24010181427002
die kleinkinder flüchtet,-16.484254837036133,-14.992781639099121,-17.552130699157715,-13.767062664031982,-14.038008689880371,-15.88432502746582
die kleinkinder flüchten,-13.111723899841309,-14.739322662353516,-15.58861255645752,-12.662065029144287,-10.920777320861816,-11.567200660705566
das kleinkind flüchten,-16.12901782989502,-17.76083517074585,-18.22109889984131,-22.246602058410645,-18.948519706726074,-23.41198444366455
das kleinkind riecht,-7.989259719848633,-8.038541793823242,-10.571426391601562,-18.856484413146973,-15.596940994262695,-16.51072597503662
die kleinkinder riecht,-10.786811828613281,-10.626262664794922,-13.44282054901123,-21.62202262878418,-12.313194274902344,-19.821836471557617
die kleinkinder riechen,-7.836003303527832,-9.662190437316895,-12.872528076171875,-15.719470977783203,-12.488216400146484,-14.632135391235352
das kleinkind riechen,-11.369778633117676,-12.359546661376953,-12.943480491638184,-17.82672691345215,-16.855224609375,-15.383513450622559
das kleinkind wandert,-18.564228057861328,-16.611364364624023,-18.990378379821777,-15.011330604553223,-14.200035095214844,-17.40964412689209
die kleinkinder wandert,-16.34620189666748,-14.001208305358887,-15.764589309692383,-13.383828163146973,-11.380335807800293,-13.412604331970215
die kleinkinder wandern,-10.132299423217773,-10.355891227722168,-9.903950691223145,-10.648681640625,-9.575252532958984,-11.649481773376465
das kleinkind wandern,-15.717510223388672,-15.966176986694336,-13.568770408630371,-16.854247093200684,-18.164907455444336,-16.361976623535156
das kleinkind feiert,-13.29779052734375,-11.850898742675781,-14.23787784576416,-16.401671409606934,-18.381298065185547,-14.955878257751465
die kleinkinder feiert,-13.192893028259277,-11.564136505126953,-12.67538833618164,-13.130073547363281,-13.497459411621094,-14.194355964660645
die kleinkinder feiern,-9.191054344177246,-8.023862838745117,-6.30689001083374,-12.059295177459717,-10.368069648742676,-8.966012954711914
das kleinkind feiern,-11.997631072998047,-13.947240829467773,-11.496479034423828,-18.791829109191895,-17.704031944274902,-16.819058418273926
das kleinkind verschwindet,-13.185432434082031,-12.921546936035156,-13.13142204284668,-16.19193458557129,-14.0935640335083,-16.348782539367676
