sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
der fahrgast schaukelt und flüchtet,-16.993846893310547,-14.355005264282227,-15.22286319732666,-13.463396549224854,-11.814836978912354,-10.061822414398193
die fahrgäste schaukeln und flüchtet,-14.886188507080078,-13.347837448120117,-16.348217964172363,-13.382318019866943,-15.652141094207764,-16.3289475440979
die fahrgäste schaukeln und flüchten,-12.680436134338379,-17.026767253875732,-15.475093841552734,-11.42860460281372,-9.369544506072998,-10.515931606292725
der fahrgast schaukelt und flüchten,-17.224722862243652,-19.646693229675293,-17.592159271240234,-16.025356769561768,-14.170729160308838,-12.737304210662842
der fahrgast schaukelt und riecht,-9.109732627868652,-9.199380874633789,-10.842961311340332,-13.751959800720215,-9.816390991210938,-13.085991859436035
die fahrgäste schaukeln und riecht,-13.86567497253418,-12.469969749450684,-13.803470611572266,-13.432748794555664,-10.680617332458496,-15.924515724182129
die fahrgäste schaukeln und riechen,-11.547626495361328,-10.782709121704102,-12.687352180480957,-11.725507736206055,-9.221661567687988,-12.970049858093262
der fahrgast schaukelt und riechen,-14.48978042602539,-12.44668197631836,-15.089492797851562,-13.77032470703125,-11.663984298706055,-15.58072280883789
der fahrgast schaukelt und wandert,-11.603227615356445,-11.651098251342773,-10.787297248840332,-11.455881118774414,-9.331982612609863,-10.345470428466797
die fahrgäste schaukeln und wandert,-14.31657886505127,-13.341634750366211,-15.5362548828125,-13.183589935302734,-9.704100131988525,-13.20978307723999
die fahrgäste schaukeln und wandern,-7.254250526428223,-7.901495933532715,-8.055472373962402,-8.73569393157959,-7.081440448760986,-10.41806697845459
der fahrgast schaukelt und wandern,-12.06690502166748,-8.871288299560547,-10.95280647277832,-11.373647689819336,-10.729995727539062,-11.612344741821289
der fahrgast schaukelt und feiert,-8.50930404663086,-8.82119369506836,-8.985240936279297,-8.773258209228516,-11.05762004852295,-9.188539505004883
die fahrgäste schaukeln und feiert,-11.496731758117676,-11.10774040222168,-11.108180046081543,-10.452168464660645,-9.914132118225098,-10.352503776550293
die fahrgäste schaukeln und feiern,-8.40245246887207,-8.913351058959961,-8.484951972961426,-10.540640354156494,-10.200037002563477,-10.126949787139893
der fahrgast schaukelt und feiern,-10.85407829284668,-10.491598129272461,-12.769786834716797,-12.200928211212158,-11.53082275390625,-12.572724342346191
der fahrgast schaukelt und verschwindet,-10.212800979614258,-11.245779991149902,-10.293895721435547,-10.169035911560059,-10.17438793182373,-9.42277717590332
die fahrgäste schaukeln und verschwindet,-11.827282905578613,-13.03063678741455,-12.090839385986328,-12.643131256103516,-13.228677749633789,-13.878207206726074
die fahrgäste schaukeln und verschwinden,-10.555124282836914,-12.715800285339355,-14.112428665161133,-10.949460983276367,-9.15815544128418,-10.926204681396484
der fahrgast schaukelt und verschwinden,-11.218175888061523,-13.206680297851562,-14.318085670471191,-12.030877113342285,-10.541260719299316,-11.186386108398438
der fahrgast schaukelt und denkt,-5.832031726837158,-6.668655872344971,-6.878154277801514,-11.960115432739258,-14.862265586853027,-11.698041915893555
die fahrgäste schaukeln und denkt,-11.156088829040527,-10.318313598632812,-9.260102272033691,-12.65180492401123,-15.531656265258789,-11.93740463256836
die fahrgäste schaukeln und denken,-9.5033540725708,-10.113117218017578,-10.020055770874023,-13.481241226196289,-11.482844352722168,-13.010232925415039
der fahrgast schaukelt und denken,-12.193511962890625,-11.164889335632324,-13.422350883483887,-12.556161880493164,-10.692758560180664,-13.616443634033203
der fahrgast schaukelt und spricht,-5.395045280456543,-8.644110679626465,-8.092071533203125,-12.982793807983398,-9.466432571411133,-12.820381164550781
die fahrgäste schaukeln und spricht,-9.527697563171387,-12.231380462646484,-11.90290355682373,-14.319278717041016,-11.954570770263672,-14.995784759521484
die fahrgäste schaukeln und sprechen,-8.076362609863281,-9.878852844238281,-11.941364288330078,-13.455422401428223,-12.825379371643066,-12.928975105285645
der fahrgast schaukelt und sprechen,-12.513641357421875,-12.831565856933594,-13.773119926452637,-15.068641662597656,-11.794979095458984,-13.656721115112305
der fahrgast schaukelt und arbeitet,-5.387479782104492,-7.130254745483398,-7.04946231842041,-10.313214302062988,-6.286197185516357,-9.341181755065918
die fahrgäste schaukeln und arbeitet,-9.359284400939941,-10.851109504699707,-9.372947692871094,-11.250679969787598,-8.737474918365479,-12.391629219055176
die fahrgäste schaukeln und arbeiten,-7.942647457122803,-8.035804748535156,-7.797916412353516,-9.848254203796387,-8.939300537109375,-8.148213386535645
der fahrgast schaukelt und arbeiten,-10.671066284179688,-10.167707443237305,-10.29733657836914,-10.14915657043457,-9.040838241577148,-11.933484077453613
der fahrgast schaukelt und liegt,-6.119234561920166,-8.162801742553711,-6.81966495513916,-9.000943183898926,-7.288806438446045,-7.468935489654541
die fahrgäste schaukeln und liegt,-12.253162384033203,-12.600927352905273,-9.851560592651367,-10.446927070617676,-9.715585708618164,-10.843084335327148
die fahrgäste schaukeln und liegen,-9.11447811126709,-10.251504898071289,-7.2406158447265625,-8.48780632019043,-7.841279029846191,-9.161293983459473
der fahrgast schaukelt und liegen,-10.869093894958496,-11.496733665466309,-10.65101432800293,-12.528521537780762,-10.727298736572266,-11.560250282287598
der fahrgast flüchtet und riecht,-9.930749893188477,-10.078849792480469,-10.414311408996582,-12.226705551147461,-10.544778823852539,-11.670927047729492
die fahrgäste flüchten und riecht,-14.681593894958496,-13.4075288772583,-12.97792911529541,-14.252659797668457,-11.178763389587402,-16.861323356628418
die fahrgäste flüchten und riechen,-13.422489166259766,-9.936759948730469,-12.237805366516113,-11.097131729125977,-8.388091087341309,-12.555912017822266
der fahrgast flüchtet und riechen,-12.337193489074707,-9.77249813079834,-12.389707565307617,-11.95191478729248,-11.96728515625,-12.120437622070312
der fahrgast flüchtet und wandert,-10.159279823303223,-10.765279769897461,-9.806453704833984,-8.738187789916992,-8.551015853881836,-8.842996597290039
die fahrgäste flüchten und wandert,-11.954187870025635,-11.01648235321045,-11.80276870727539,-12.76630449295044,-10.88984489440918,-13.155630111694336
die fahrgäste flüchten und wandern,-8.389692306518555,-7.699732303619385,-7.214385509490967,-7.639857769012451,-6.2081804275512695,-9.60718584060669
der fahrgast flüchtet und wandern,-9.95906925201416,-8.373405456542969,-9.82529067993164,-9.131220817565918,-10.288917541503906,-10.061951637268066
der fahrgast flüchtet und feiert,-8.08974838256836,-8.791665077209473,-8.820305824279785,-10.363033294677734,-14.388078689575195,-10.154943466186523
die fahrgäste flüchten und feiert,-9.594146728515625,-10.5532808303833,-9.505166053771973,-13.735458374023438,-13.57384967803955,-11.97478199005127
die fahrgäste flüchten und feiern,-10.660018920898438,-9.514366149902344,-8.829660415649414,-11.363477230072021,-9.97796630859375,-10.664486408233643
der fahrgast flüchtet und feiern,-9.927075386047363,-10.453130722045898,-12.313570022583008,-14.182193279266357,-13.131101608276367,-14.361308574676514
der fahrgast flüchtet und verschwindet,-8.71870231628418,-8.386997699737549,-8.899133205413818,-8.32668924331665,-8.979321479797363,-7.854156494140625
die fahrgäste flüchten und verschwindet,-11.895768165588379,-12.234320640563965,-9.958250045776367,-12.535887718200684,-13.566913604736328,-12.06732177734375
die fahrgäste flüchten und verschwinden,-10.247628211975098,-10.780437469482422,-10.536482810974121,-9.683710098266602,-9.377391815185547,-8.925772666931152
der fahrgast flüchtet und verschwinden,-9.658758163452148,-9.89194631576538,-11.042934894561768,-9.476157665252686,-9.996177673339844,-10.257967948913574
der fahrgast flüchtet und denkt,-5.609463691711426,-5.302600860595703,-5.169698238372803,-10.643292903900146,-14.210872650146484,-13.123319625854492
die fahrgäste flüchten und denkt,-10.819674491882324,-8.660449028015137,-6.581502914428711,-13.653385162353516,-16.622870922088623,-12.510433673858643
die fahrgäste flüchten und denken,-11.032419204711914,-8.229381561279297,-9.439447402954102,-14.754392623901367,-12.31514835357666,-13.584065437316895
der fahrgast flüchtet und denken,-10.278980255126953,-6.739414215087891,-10.722250938415527,-13.625612258911133,-12.919710159301758,-13.64292049407959
der fahrgast flüchtet und spricht,-7.172844886779785,-7.152937412261963,-9.322616577148438,-7.825809478759766,-9.205222129821777,-9.191356658935547
die fahrgäste flüchten und spricht,-10.939493179321289,-11.744338989257812,-12.230940818786621,-12.171364784240723,-12.550481796264648,-13.83286190032959
die fahrgäste flüchten und sprechen,-9.231629371643066,-8.577606201171875,-11.646021842956543,-13.4765043258667,-12.136505126953125,-10.949138641357422
der fahrgast flüchtet und sprechen,-10.308493614196777,-7.127775192260742,-12.23455810546875,-13.88513469696045,-12.794732093811035,-12.655296325683594
der fahrgast flüchtet und arbeitet,-8.480426788330078,-8.00622272491455,-8.604806900024414,-9.261238098144531,-7.773558139801025,-8.972508430480957
die fahrgäste flüchten und arbeitet,-10.977313041687012,-11.288446426391602,-9.59548568725586,-12.664128303527832,-10.035586833953857,-11.278824806213379
die fahrgäste flüchten und arbeiten,-11.266921997070312,-8.614489555358887,-8.884952545166016,-10.027210235595703,-9.057757377624512,-7.996696949005127
der fahrgast flüchtet und arbeiten,-11.4553804397583,-8.872477531433105,-9.885464668273926,-11.233121871948242,-10.050597190856934,-11.578400611877441
der fahrgast flüchtet und liegt,-8.88204574584961,-8.839353561401367,-8.16139030456543,-5.659969329833984,-6.814370632171631,-6.198941230773926
die fahrgäste flüchten und liegt,-13.241095542907715,-12.07087516784668,-9.769816398620605,-9.557524681091309,-10.529824256896973,-10.74634075164795
die fahrgäste flüchten und liegen,-10.450460433959961,-10.459251403808594,-9.383066177368164,-7.98295783996582,-6.437657356262207,-7.172897815704346
der fahrgast flüchtet und liegen,-9.890558242797852,-10.906423568725586,-11.207947731018066,-11.180479049682617,-9.691967964172363,-9.321298599243164
der fahrgast riecht und wandert,-13.059287071228027,-11.887295722961426,-11.811986923217773,-12.516721725463867,-9.084171295166016,-11.087536811828613
die fahrgäste riechen und wandert,-14.863693714141846,-12.834404945373535,-13.236385345458984,-12.87091875076294,-10.21452522277832,-11.110889911651611
die fahrgäste riechen und wandern,-8.115880966186523,-7.939937591552734,-7.837045669555664,-8.252458095550537,-7.1265764236450195,-8.148519039154053
der fahrgast riecht und wandern,-12.537142753601074,-10.233489036560059,-11.26568603515625,-11.617612838745117,-8.921772003173828,-11.18697452545166
der fahrgast riecht und feiert,-7.802865028381348,-8.20750617980957,-8.6212797164917,-10.056047439575195,-11.985590934753418,-10.548770904541016
die fahrgäste riechen und feiert,-8.88295841217041,-10.488350868225098,-10.840240478515625,-10.786124229431152,-12.1964693069458,-10.847187995910645
die fahrgäste riechen und feiern,-9.513813972473145,-10.367532730102539,-8.298577308654785,-11.62570571899414,-11.789066791534424,-11.007733821868896
der fahrgast riecht und feiern,-12.635608673095703,-12.516142845153809,-11.300999641418457,-15.390324115753174,-13.819396495819092,-13.546338558197021
der fahrgast riecht und verschwindet,-10.116421699523926,-9.392279624938965,-9.98946762084961,-11.968441009521484,-13.716845512390137,-11.322639465332031
die fahrgäste riechen und verschwindet,-10.67132568359375,-12.071624755859375,-10.66178035736084,-13.011691093444824,-14.30399227142334,-12.612203598022461
die fahrgäste riechen und verschwinden,-9.994887351989746,-12.220269203186035,-12.699053764343262,-10.990971565246582,-10.475707054138184,-9.564577102661133
der fahrgast riecht und verschwinden,-11.595199584960938,-11.859097480773926,-13.238118171691895,-12.867764472961426,-11.679609298706055,-13.011367797851562
der fahrgast riecht und denkt,-5.8490891456604,-5.1435322761535645,-5.756626605987549,-11.619734287261963,-14.870759963989258,-12.350690841674805
die fahrgäste riechen und denkt,-8.944923400878906,-6.73649787902832,-5.0262556076049805,-12.840731620788574,-15.486297607421875,-13.461228847503662
die fahrgäste riechen und denken,-7.869884490966797,-7.96686315536499,-7.701445579528809,-13.75710678100586,-12.317000389099121,-13.430719375610352
der fahrgast riecht und denken,-11.708569526672363,-11.030515670776367,-12.848380088806152,-13.777010917663574,-13.491071701049805,-13.87092399597168
der fahrgast riecht und spricht,-6.290979862213135,-8.095215797424316,-7.644091606140137,-14.730508804321289,-11.869307518005371,-11.942371368408203
die fahrgäste riechen und spricht,-8.71757984161377,-10.576805114746094,-8.89557933807373,-11.784936904907227,-13.297048568725586,-13.412084579467773
die fahrgäste riechen und sprechen,-7.4557695388793945,-8.025504112243652,-8.202703475952148,-14.221162796020508,-14.275524139404297,-11.592138290405273
der fahrgast riecht und sprechen,-13.165421485900879,-12.675046920776367,-12.504634857177734,-17.102317810058594,-14.831439971923828,-14.907438278198242
der fahrgast riecht und arbeitet,-8.245925903320312,-7.9572882652282715,-8.222996711730957,-11.67219066619873,-9.353336334228516,-11.21048355102539
die fahrgäste riechen und arbeitet,-10.218138694763184,-11.983206748962402,-9.264656066894531,-12.357487678527832,-9.576316833496094,-10.408947944641113
die fahrgäste riechen und arbeiten,-10.677083015441895,-10.908671379089355,-9.104949951171875,-12.050872802734375,-11.042865753173828,-8.535276412963867
der fahrgast riecht und arbeiten,-14.832815170288086,-12.675253868103027,-10.647252082824707,-13.67786979675293,-12.25056266784668,-12.763336181640625
der fahrgast riecht und liegt,-8.469261169433594,-8.286219596862793,-7.202220439910889,-9.582781791687012,-9.593942642211914,-7.379549980163574
die fahrgäste riechen und liegt,-12.207847595214844,-12.38988208770752,-10.105950355529785,-8.756200790405273,-11.068034172058105,-9.3963623046875
die fahrgäste riechen und liegen,-11.505782127380371,-11.126625061035156,-10.995566368103027,-7.5146379470825195,-7.57387638092041,-7.011047840118408
der fahrgast riecht und liegen,-14.628498077392578,-13.382075309753418,-12.343629837036133,-13.210176467895508,-11.903056144714355,-11.346653938293457
der fahrgast wandert und feiert,-6.2166948318481445,-8.603170394897461,-9.616508483886719,-10.061771392822266,-14.445137023925781,-9.905779838562012
die fahrgäste wandern und feiert,-9.733673095703125,-9.132315635681152,-10.859846115112305,-11.81396484375,-12.671961784362793,-11.025163650512695
die fahrgäste wandern und feiern,-6.933184623718262,-7.325533866882324,-6.323028564453125,-11.598760604858398,-11.725419998168945,-11.196113109588623
der fahrgast wandert und feiern,-9.012411117553711,-9.365899085998535,-11.428447723388672,-13.774046897888184,-13.586297988891602,-15.000354766845703
der fahrgast wandert und verschwindet,-9.64607286453247,-10.065519332885742,-8.444775581359863,-8.852537155151367,-9.10075569152832,-8.513226509094238
die fahrgäste wandern und verschwindet,-12.801021575927734,-12.391510009765625,-11.175296783447266,-11.615913391113281,-12.365421295166016,-11.457108497619629
die fahrgäste wandern und verschwinden,-11.168283462524414,-11.307775497436523,-12.279790878295898,-10.18586254119873,-9.296004295349121,-9.473142623901367
der fahrgast wandert und verschwinden,-9.706288814544678,-10.377899169921875,-10.861757278442383,-10.736479759216309,-10.330062866210938,-12.354409217834473
der fahrgast wandert und denkt,-7.765077114105225,-7.258664608001709,-8.39783000946045,-10.29351282119751,-14.279970645904541,-14.417635440826416
die fahrgäste wandern und denkt,-11.824710845947266,-10.471258163452148,-9.630019187927246,-11.59320878982544,-16.38423728942871,-14.493597984313965
die fahrgäste wandern und denken,-10.215106010437012,-10.325820922851562,-9.726354598999023,-14.731117248535156,-12.086784362792969,-13.909927368164062
der fahrgast wandert und denken,-12.745803833007812,-10.804219245910645,-12.813825607299805,-14.41550064086914,-12.9166841506958,-15.421175003051758
der fahrgast wandert und spricht,-9.943793296813965,-10.667590141296387,-12.11941909790039,-9.16722583770752,-7.8394598960876465,-8.642395973205566
die fahrgäste wandern und spricht,-12.36038589477539,-13.172874450683594,-13.784735679626465,-12.33224105834961,-11.552682876586914,-12.147217750549316
die fahrgäste wandern und sprechen,-9.628650665283203,-11.219710350036621,-12.476327896118164,-13.580643653869629,-12.53988265991211,-10.974233627319336
der fahrgast wandert und sprechen,-12.508768081665039,-11.724202156066895,-15.071023941040039,-14.451998710632324,-13.162038803100586,-13.373842239379883
der fahrgast wandert und arbeitet,-8.839874267578125,-8.678144454956055,-10.05117416381836,-9.908032417297363,-8.519505500793457,-9.807818412780762
die fahrgäste wandern und arbeitet,-10.359602928161621,-10.897626876831055,-10.39560317993164,-11.299600601196289,-10.49748420715332,-10.522201538085938
die fahrgäste wandern und arbeiten,-9.166690826416016,-8.593157768249512,-8.61299991607666,-10.794426918029785,-9.599851608276367,-8.93205738067627
der fahrgast wandert und arbeiten,-12.87727165222168,-9.840274810791016,-10.908016204833984,-11.618871688842773,-10.13004207611084,-12.91643238067627
der fahrgast wandert und liegt,-10.285058975219727,-9.93957805633545,-8.528558731079102,-5.076816558837891,-4.63349723815918,-4.805510997772217
die fahrgäste wandern und liegt,-13.806455612182617,-12.455385208129883,-10.139119148254395,-8.791362762451172,-8.195276260375977,-8.023330688476562
die fahrgäste wandern und liegen,-11.307987213134766,-11.531490325927734,-8.920365333557129,-7.1565375328063965,-5.299980640411377,-5.625363826751709
der fahrgast wandert und liegen,-12.90815544128418,-12.81994342803955,-11.496670722961426,-10.262144088745117,-8.721817970275879,-9.55901050567627
der fahrgast feiert und verschwindet,-9.700252532958984,-10.1073637008667,-10.219630241394043,-9.482268333435059,-10.238946914672852,-9.726147651672363
die fahrgäste feiern und verschwindet,-12.18800163269043,-12.959239959716797,-12.066638946533203,-12.888105392456055,-13.856071472167969,-13.770377159118652
die fahrgäste feiern und verschwinden,-11.535561561584473,-12.02028751373291,-13.697736740112305,-11.347261428833008,-9.8256254196167,-10.03825855255127
der fahrgast feiert und verschwinden,-10.374114990234375,-11.828584671020508,-12.988224029541016,-11.83105754852295,-10.43455696105957,-12.947325706481934
der fahrgast feiert und denkt,-7.06401252746582,-6.278403282165527,-7.731980323791504,-11.936272144317627,-15.538471698760986,-13.514639854431152
die fahrgäste feiern und denkt,-9.857847213745117,-8.641472816467285,-8.542552947998047,-13.557534217834473,-16.372925758361816,-13.379269123077393
die fahrgäste feiern und denken,-8.59272575378418,-8.075037956237793,-8.309431076049805,-14.296971321105957,-12.836283683776855,-14.442558288574219
der fahrgast feiert und denken,-10.535043716430664,-10.037860870361328,-12.812265396118164,-13.053176879882812,-12.678340911865234,-14.074409484863281
der fahrgast feiert und spricht,-7.436069488525391,-10.077762603759766,-11.181615829467773,-10.389622688293457,-9.106941223144531,-10.392306327819824
die fahrgäste feiern und spricht,-10.998455047607422,-12.174290657043457,-13.62161922454834,-13.06318187713623,-12.208089828491211,-15.35175609588623
die fahrgäste feiern und sprechen,-8.71731948852539,-8.86500358581543,-11.145259857177734,-13.256780624389648,-13.406245231628418,-12.351902961730957
der fahrgast feiert und sprechen,-10.899697303771973,-12.9003324508667,-16.061668395996094,-13.358240127563477,-11.892574310302734,-12.703190803527832
der fahrgast feiert und arbeitet,-6.955574035644531,-8.055559158325195,-7.883632659912109,-9.519620895385742,-7.434756278991699,-9.941534042358398
die fahrgäste feiern und arbeitet,-9.122920036315918,-9.565146446228027,-9.256814956665039,-11.287272453308105,-10.478071212768555,-11.314891815185547
die fahrgäste feiern und arbeiten,-7.016241073608398,-7.132248401641846,-8.061750411987305,-10.155101776123047,-9.75418472290039,-8.584421157836914
der fahrgast feiert und arbeiten,-9.61208724975586,-10.229569435119629,-9.868574142456055,-11.566343307495117,-10.903340339660645,-12.38387393951416
der fahrgast feiert und liegt,-10.514307975769043,-8.976118087768555,-7.319916248321533,-6.096415042877197,-4.359822750091553,-5.101160049438477
die fahrgäste feiern und liegt,-13.388080596923828,-12.673501014709473,-10.099109649658203,-9.322811126708984,-10.167350769042969,-10.043562889099121
