sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the roommate awaits the guests and complains about the noise,-15.922757148742676,-15.278064727783203,-12.407302856445312,-7.363773822784424,-7.2907915115356445,-9.597653865814209
the roommates await the guests and complains about the noise,-17.590585708618164,-15.443296432495117,-13.440208435058594,-7.996018886566162,-9.412344932556152,-11.176513671875
the roommates await the guests and complain about the noise,-13.538924217224121,-14.798320770263672,-11.643710136413574,-9.998732089996338,-8.628705024719238,-12.835864067077637
the roommate awaits the guests and complain about the noise,-12.624588966369629,-14.849113464355469,-10.950326919555664,-10.333289623260498,-8.964447975158691,-12.06087350845337
the roommate awaits the guests and arrives at the station,-17.398792266845703,-21.947816371917725,-19.069758415222168,-10.587979316711426,-9.40986442565918,-9.67715835571289
the roommates await the guests and arrives at the station,-17.18657875061035,-20.30867862701416,-18.732876300811768,-11.10299301147461,-9.67436408996582,-10.57460880279541
the roommates await the guests and arrive at the station,-12.314434051513672,-13.186126708984375,-11.6128568649292,-13.43111801147461,-10.765583038330078,-14.440943717956543
the roommate awaits the guests and arrive at the station,-13.288546562194824,-13.745692253112793,-12.04826831817627,-13.652766227722168,-12.050027847290039,-16.41993808746338
the roommate awaits the guests and disappears from the scene,-15.61532211303711,-16.4832763671875,-14.193893432617188,-10.444804191589355,-9.900251388549805,-10.459823608398438
the roommates await the guests and disappears from the scene,-15.868144035339355,-16.381794929504395,-14.484406471252441,-9.438406944274902,-9.610570907592773,-11.025888442993164
the roommates await the guests and disappear from the scene,-12.635522842407227,-12.203167915344238,-12.386136054992676,-8.403695106506348,-10.063240051269531,-10.293680191040039
the roommate awaits the guests and disappear from the scene,-12.464435577392578,-11.800046920776367,-11.651954650878906,-9.855504035949707,-11.742589950561523,-11.671041488647461
the roommate awaits the guests and bows to the king,-13.588900566101074,-12.683141708374023,-9.409936904907227,-8.744274616241455,-10.029781341552734,-10.13601016998291
the roommates await the guests and bows to the king,-13.3334321975708,-13.004999160766602,-9.576335906982422,-9.468915939331055,-11.261794090270996,-10.053911209106445
the roommates await the guests and bow to the king,-12.54665470123291,-12.98353099822998,-8.6610107421875,-9.597879409790039,-10.920677185058594,-9.29559326171875
the roommate awaits the guests and bow to the king,-12.35473346710205,-12.6414155960083,-8.968134880065918,-9.559396743774414,-10.91859245300293,-9.517759323120117
the roommate awaits the guests and hides from the chicken,-11.817706108093262,-14.861856460571289,-14.280047416687012,-9.060304641723633,-11.20503568649292,-10.61620283126831
the roommates await the guests and hides from the chicken,-11.239245414733887,-13.632320404052734,-13.812399864196777,-9.896031379699707,-11.621187686920166,-11.486538887023926
the roommates await the guests and hide from the chicken,-8.625137329101562,-10.57138442993164,-10.652044296264648,-11.206599235534668,-11.43995714187622,-11.817961692810059
the roommate awaits the guests and hide from the chicken,-8.655323028564453,-10.293879508972168,-10.28770923614502,-10.742667198181152,-11.815696239471436,-10.569316387176514
the roommate awaits the guests and leaves the room,-6.243785381317139,-6.014374256134033,-7.043144702911377,-7.843794822692871,-6.358947277069092,-7.183794021606445
the roommates await the guests and leaves the room,-6.613677501678467,-5.515177249908447,-6.59334135055542,-9.359232902526855,-8.062530517578125,-8.139351844787598
the roommates await the guests and leave the room,-9.374921798706055,-11.397481918334961,-12.262903213500977,-8.04537296295166,-7.284152507781982,-9.303478240966797
the roommate awaits the guests and leave the room,-8.916914939880371,-11.543575286865234,-11.896440505981445,-8.12591552734375,-7.332807540893555,-8.93988037109375
the roommate awaits the guests and sits in the car,-12.030369758605957,-12.164684295654297,-10.419122695922852,-9.819849491119385,-6.21693754196167,-8.568443298339844
the roommates await the guests and sits in the car,-11.205223083496094,-11.339902877807617,-10.034868240356445,-10.162915229797363,-7.590322017669678,-9.283414363861084
the roommates await the guests and sit in the car,-9.31961727142334,-10.342029571533203,-11.081124305725098,-9.060260772705078,-9.068541526794434,-9.031854629516602
the roommate awaits the guests and sit in the car,-9.680855751037598,-11.006375312805176,-10.621970176696777,-9.003164291381836,-9.64151668548584,-9.178081512451172
the roommate awaits the guests and thinks about the trip,-9.475223541259766,-10.650815963745117,-11.446589469909668,-9.993278503417969,-9.628259658813477,-9.900461196899414
the roommates await the guests and thinks about the trip,-9.575257301330566,-10.275125503540039,-11.045605659484863,-10.261371612548828,-9.952329635620117,-10.500104904174805
the roommates await the guests and think about the trip,-8.334861755371094,-9.424430847167969,-10.123987197875977,-9.758981704711914,-8.788496971130371,-9.50537395477295
the roommate awaits the guests and think about the trip,-7.934502124786377,-9.1268310546875,-9.066469192504883,-9.981490135192871,-8.587850570678711,-9.31205940246582
the roommate awaits the guests and goes to the new store,-9.955965995788574,-10.130661010742188,-7.8335747718811035,-7.504451751708984,-7.387204170227051,-9.766955375671387
the roommates await the guests and goes to the new store,-9.358319282531738,-9.890899658203125,-7.632427215576172,-9.156424522399902,-8.812713623046875,-10.621923446655273
the roommates await the guests and go to the new store,-7.2528791427612305,-8.177242279052734,-8.899417877197266,-7.590639591217041,-8.45421028137207,-8.907363891601562
the roommate awaits the guests and go to the new store,-6.525580883026123,-7.65362548828125,-7.738506317138672,-7.54580020904541,-8.53829288482666,-9.381708145141602
the roommate complains about the noise and arrives at the station,-14.375982284545898,-21.459731578826904,-17.464820861816406,-13.936891555786133,-11.07744312286377,-10.610183715820312
the roommates complain about the noise and arrives at the station,-13.41124439239502,-20.21735382080078,-16.796310424804688,-14.705466270446777,-11.301088333129883,-11.871829986572266
the roommates complain about the noise and arrive at the station,-11.935344696044922,-13.580446243286133,-13.208680152893066,-12.812098503112793,-11.71109390258789,-13.11407470703125
the roommate complains about the noise and arrive at the station,-13.094440460205078,-14.143028259277344,-14.273825645446777,-12.76291275024414,-13.105523109436035,-14.005311965942383
the roommate complains about the noise and disappears from the scene,-12.987654685974121,-12.603973388671875,-11.920064926147461,-10.60896635055542,-9.302652359008789,-13.263391494750977
the roommates complain about the noise and disappears from the scene,-13.003016471862793,-12.880905151367188,-11.731563568115234,-10.691015243530273,-10.252813339233398,-13.601059913635254
the roommates complain about the noise and disappear from the scene,-11.883369445800781,-12.291366577148438,-11.308270454406738,-6.959476470947266,-8.171346664428711,-11.029197692871094
the roommate complains about the noise and disappear from the scene,-12.072108268737793,-12.218520164489746,-11.24134349822998,-7.955967426300049,-8.591800689697266,-11.093912124633789
the roommate complains about the noise and bows to the king,-14.761594772338867,-13.63318157196045,-12.602231979370117,-12.909364700317383,-10.775679588317871,-12.76072359085083
the roommates complain about the noise and bows to the king,-13.66428279876709,-13.551871299743652,-12.12723159790039,-13.229858875274658,-11.103384971618652,-12.911458969116211
the roommates complain about the noise and bow to the king,-12.743823051452637,-13.317541122436523,-11.103978157043457,-10.522486686706543,-11.962345123291016,-9.666186332702637
the roommate complains about the noise and bow to the king,-12.79697322845459,-13.005545616149902,-11.4578218460083,-10.20060920715332,-12.22983169555664,-10.121844291687012
the roommate complains about the noise and hides from the chicken,-13.147022724151611,-14.33570146560669,-15.430119514465332,-12.190966606140137,-12.610819816589355,-12.463423252105713
the roommates complain about the noise and hides from the chicken,-12.840213775634766,-12.9874906539917,-14.480730056762695,-11.992788791656494,-13.25111198425293,-12.788446426391602
the roommates complain about the noise and hide from the chicken,-11.991955757141113,-11.973609924316406,-12.805513381958008,-9.704577922821045,-11.632031440734863,-10.29249906539917
the roommate complains about the noise and hide from the chicken,-12.054673194885254,-12.476101875305176,-12.706247329711914,-9.96779727935791,-11.528339385986328,-9.754024982452393
the roommate complains about the noise and leaves the room,-7.351332664489746,-7.391502380371094,-7.642331123352051,-8.605554580688477,-9.815570831298828,-7.904244422912598
the roommates complain about the noise and leaves the room,-7.215730667114258,-7.923954010009766,-7.3379058837890625,-10.098665237426758,-10.85781478881836,-9.496805191040039
the roommates complain about the noise and leave the room,-9.94618034362793,-12.140311241149902,-11.695737838745117,-8.67747688293457,-10.432998657226562,-8.944260597229004
the roommate complains about the noise and leave the room,-9.970611572265625,-12.370756149291992,-11.86733627319336,-8.762645721435547,-10.335894584655762,-9.094115257263184
the roommate complains about the noise and sits in the car,-12.050251960754395,-12.620028495788574,-11.678518295288086,-13.217730522155762,-11.26709794998169,-12.253159523010254
the roommates complain about the noise and sits in the car,-11.638178825378418,-12.640493392944336,-11.625247955322266,-13.023296356201172,-12.772916316986084,-12.753444194793701
the roommates complain about the noise and sit in the car,-12.38602352142334,-13.039684295654297,-12.401427268981934,-9.730119705200195,-10.800131797790527,-10.4343843460083
the roommate complains about the noise and sit in the car,-12.564441680908203,-13.474087715148926,-12.651434898376465,-10.248809814453125,-11.328039169311523,-11.273024559020996
the roommate complains about the noise and thinks about the trip,-8.082474708557129,-7.543008327484131,-9.75717830657959,-9.162991523742676,-12.126069068908691,-9.15528392791748
the roommates complain about the noise and thinks about the trip,-7.652174949645996,-7.7447052001953125,-9.68521499633789,-9.789252281188965,-11.840485572814941,-9.791135787963867
the roommates complain about the noise and think about the trip,-8.705145835876465,-7.737386703491211,-9.085956573486328,-9.8970947265625,-9.51428508758545,-9.745536804199219
the roommate complains about the noise and think about the trip,-8.912267684936523,-7.855340957641602,-8.918685913085938,-10.140473365783691,-10.025318145751953,-9.447534561157227
the roommate complains about the noise and goes to the new store,-8.189447402954102,-7.530618667602539,-6.741796970367432,-9.897858619689941,-10.378726959228516,-10.14635944366455
the roommates complain about the noise and goes to the new store,-7.891523361206055,-8.011054039001465,-6.968501091003418,-11.749441146850586,-11.966506958007812,-12.335661888122559
the roommates complain about the noise and go to the new store,-8.603484153747559,-8.120760917663574,-9.103193283081055,-8.245767593383789,-10.329774856567383,-8.012231826782227
the roommate complains about the noise and go to the new store,-8.750608444213867,-8.225333213806152,-9.129447937011719,-8.521570205688477,-10.23394775390625,-8.623940467834473
the roommate arrives at the station and disappears from the scene,-14.458477020263672,-13.903429985046387,-15.884936332702637,-9.336746215820312,-8.628095626831055,-8.855332851409912
the roommates arrive at the station and disappears from the scene,-13.91098403930664,-12.436079025268555,-14.454837799072266,-9.807554244995117,-8.819969177246094,-8.879093170166016
the roommates arrive at the station and disappear from the scene,-11.041739463806152,-8.734588623046875,-11.118277549743652,-9.452768325805664,-10.58881664276123,-8.891493797302246
the roommate arrives at the station and disappear from the scene,-12.319886207580566,-9.578329086303711,-12.695073127746582,-9.968818664550781,-11.317218780517578,-9.765642642974854
the roommate arrives at the station and bows to the king,-14.711759567260742,-12.679214477539062,-12.684063911437988,-13.764763355255127,-12.08401107788086,-12.19207763671875
the roommates arrive at the station and bows to the king,-15.003148078918457,-13.1658296585083,-12.019722938537598,-14.2009916305542,-12.329639911651611,-12.216856479644775
the roommates arrive at the station and bow to the king,-12.905585289001465,-13.126779556274414,-11.007658958435059,-10.105524063110352,-9.238012313842773,-8.483235359191895
the roommate arrives at the station and bow to the king,-12.615337371826172,-12.411365509033203,-10.484519004821777,-9.803375244140625,-9.508438110351562,-9.064591407775879
the roommate arrives at the station and hides from the chicken,-13.486268043518066,-13.610305309295654,-13.0730619430542,-11.433131694793701,-12.21593427658081,-10.554032325744629
the roommates arrive at the station and hides from the chicken,-12.024588584899902,-13.665694236755371,-12.95174503326416,-11.413000106811523,-12.1391019821167,-10.199226379394531
the roommates arrive at the station and hide from the chicken,-10.042326927185059,-8.46685791015625,-10.825218200683594,-10.325157165527344,-11.290279865264893,-10.184798240661621
the roommate arrives at the station and hide from the chicken,-10.46265697479248,-9.573351860046387,-11.785325050354004,-10.402498722076416,-11.491623401641846,-10.651946067810059
the roommate arrives at the station and leaves the room,-8.268110275268555,-6.647036075592041,-8.166831970214844,-7.825502395629883,-7.76359224319458,-7.1027913093566895
the roommates arrive at the station and leaves the room,-8.598282814025879,-6.9783220291137695,-9.968700408935547,-9.571674346923828,-9.461599349975586,-8.205090522766113
the roommates arrive at the station and leave the room,-8.304704666137695,-9.929256439208984,-9.81541633605957,-7.351508140563965,-6.665204048156738,-5.867944717407227
the roommate arrives at the station and leave the room,-8.679146766662598,-10.913317680358887,-10.649320602416992,-8.391342163085938,-7.879200458526611,-7.366462707519531
the roommate arrives at the station and sits in the car,-11.05827808380127,-11.210354804992676,-10.509259223937988,-8.298039436340332,-8.546653270721436,-8.597917556762695
the roommates arrive at the station and sits in the car,-10.020844459533691,-11.197962760925293,-10.579473495483398,-9.097468376159668,-9.219151973724365,-8.7370924949646
the roommates arrive at the station and sit in the car,-10.265984535217285,-9.5361328125,-10.702125549316406,-7.641013145446777,-7.244887351989746,-5.583311557769775
the roommate arrives at the station and sit in the car,-11.016051292419434,-11.44366455078125,-10.378761291503906,-8.563178062438965,-7.91404914855957,-6.737861156463623
the roommate arrives at the station and thinks about the trip,-8.68574333190918,-8.728273391723633,-11.404571533203125,-10.722907066345215,-10.866531372070312,-8.561796188354492
the roommates arrive at the station and thinks about the trip,-8.238129615783691,-9.255159378051758,-11.516751289367676,-12.27828598022461,-11.853680610656738,-9.760902404785156
the roommates arrive at the station and think about the trip,-8.717814445495605,-8.465476036071777,-10.451238632202148,-10.759428024291992,-11.70777702331543,-11.455207824707031
the roommate arrives at the station and think about the trip,-9.457917213439941,-9.665955543518066,-10.75224494934082,-12.885770797729492,-11.7901611328125,-12.619424819946289
the roommate arrives at the station and goes to the new store,-7.724884033203125,-8.526168823242188,-7.410628318786621,-6.307051181793213,-6.447887897491455,-6.112980842590332
the roommates arrive at the station and goes to the new store,-7.207463264465332,-8.56560230255127,-7.965254783630371,-8.476872444152832,-8.551164627075195,-8.652706146240234
the roommates arrive at the station and go to the new store,-6.010378837585449,-7.086690902709961,-7.180822849273682,-6.381824493408203,-7.5665435791015625,-5.989337921142578
the roommate arrives at the station and go to the new store,-6.597614288330078,-7.726151466369629,-8.868212699890137,-7.638546943664551,-8.054874420166016,-7.90618896484375
the roommate disappears from the scene and bows to the king,-14.370956420898438,-11.852961540222168,-12.628413200378418,-13.182578563690186,-13.203039169311523,-11.50650405883789
the roommates disappear from the scene and bows to the king,-12.532584190368652,-10.713472366333008,-12.366125106811523,-14.05509614944458,-13.07060718536377,-11.51467752456665
the roommates disappear from the scene and bow to the king,-11.388397216796875,-10.481940269470215,-11.163002967834473,-10.330587387084961,-10.442364692687988,-8.673373222351074
the roommate disappears from the scene and bow to the king,-12.06379222869873,-11.549844741821289,-11.098471641540527,-10.16489028930664,-10.779340744018555,-9.263472557067871
the roommate disappears from the scene and hides from the chicken,-12.09723949432373,-11.689980506896973,-15.134866714477539,-10.618853569030762,-12.18730354309082,-10.265082359313965
the roommates disappear from the scene and hides from the chicken,-10.37134313583374,-10.634671211242676,-15.090168952941895,-10.757991790771484,-12.306418418884277,-10.007051467895508
the roommates disappear from the scene and hide from the chicken,-8.971047401428223,-7.993307113647461,-10.355367660522461,-9.656049728393555,-11.142314910888672,-9.544049263000488
the roommate disappears from the scene and hide from the chicken,-14.160446166992188,-10.33743953704834,-11.165319442749023,-10.086877822875977,-11.082056045532227,-9.94509506225586
the roommate disappears from the scene and leaves the room,-6.6224284172058105,-6.573705673217773,-7.554985046386719,-9.235546112060547,-7.50385856628418,-7.24424934387207
the roommates disappear from the scene and leaves the room,-7.0289459228515625,-8.777111053466797,-7.616429328918457,-10.588951110839844,-8.905389785766602,-7.872427940368652
the roommates disappear from the scene and leave the room,-10.614712715148926,-10.596647262573242,-11.628173828125,-7.742345333099365,-7.996436595916748,-6.322844505310059
the roommate disappears from the scene and leave the room,-12.673069953918457,-11.112332344055176,-12.777587890625,-7.653843402862549,-9.218893051147461,-7.571324348449707
the roommate disappears from the scene and sits in the car,-11.480610847473145,-10.979303359985352,-11.63846492767334,-9.103663921356201,-8.345965385437012,-9.630329132080078
the roommates disappear from the scene and sits in the car,-8.568431854248047,-9.58873176574707,-10.795042991638184,-9.63696813583374,-8.850799560546875,-10.126039981842041
the roommates disappear from the scene and sit in the car,-11.287351608276367,-10.339109420776367,-10.933540344238281,-9.072397232055664,-8.804350852966309,-7.920835971832275
the roommate disappears from the scene and sit in the car,-12.674089431762695,-11.186724662780762,-11.507085800170898,-9.196240425109863,-9.307352066040039,-9.230366706848145
the roommate disappears from the scene and thinks about the trip,-8.116296768188477,-6.5327324867248535,-10.803912162780762,-10.200447082519531,-10.732158660888672,-8.749261856079102
the roommates disappear from the scene and thinks about the trip,-6.125304698944092,-7.460373878479004,-10.467769622802734,-11.005926132202148,-10.47423267364502,-9.359232902526855
the roommates disappear from the scene and think about the trip,-9.24592113494873,-9.286162376403809,-10.584223747253418,-11.274243354797363,-9.625354766845703,-10.38077449798584
the roommate disappears from the scene and think about the trip,-9.717850685119629,-7.770468235015869,-9.871062278747559,-11.5439453125,-10.658488273620605,-11.236376762390137
the roommate disappears from the scene and goes to the new store,-9.53510570526123,-7.3342366218566895,-8.31799030303955,-6.71613073348999,-6.747961044311523,-6.981255054473877
the roommates disappear from the scene and goes to the new store,-6.014621257781982,-6.740132808685303,-7.054424285888672,-8.664177894592285,-8.75102424621582,-8.66067123413086
the roommates disappear from the scene and go to the new store,-8.364699363708496,-6.863134384155273,-8.769487380981445,-8.416792869567871,-9.009313583374023,-7.3536882400512695
the roommate disappears from the scene and go to the new store,-11.132909774780273,-7.63444709777832,-9.396300315856934,-9.114495277404785,-9.135869979858398,-8.835366249084473
the roommate bows to the king and hides from the chicken,-13.000328063964844,-12.72502326965332,-12.155468940734863,-11.199390888214111,-12.674295902252197,-11.276488780975342
the roommates bow to the king and hides from the chicken,-12.065731048583984,-11.791375160217285,-11.815272331237793,-10.713798999786377,-13.93180513381958,-11.59017038345337
the roommates bow to the king and hide from the chicken,-9.028985977172852,-9.753227233886719,-10.568675994873047,-10.143286228179932,-12.53559684753418,-10.365367412567139
the roommate bows to the king and hide from the chicken,-9.515669822692871,-10.387356758117676,-10.033342361450195,-11.703455448150635,-10.873884677886963,-11.3063063621521
the roommate bows to the king and leaves the room,-6.824429512023926,-6.9901299476623535,-8.480571746826172,-10.326855659484863,-11.17420768737793,-9.645750999450684
the roommates bow to the king and leaves the room,-6.342508316040039,-7.541053771972656,-8.178570747375488,-10.186395645141602,-10.796863555908203,-9.582247734069824
the roommates bow to the king and leave the room,-11.809003829956055,-12.351852416992188,-13.108173370361328,-8.213861465454102,-6.875904560089111,-6.701440811157227
the roommate bows to the king and leave the room,-11.953910827636719,-12.790618896484375,-12.427279472351074,-8.253984451293945,-7.113979339599609,-7.258166790008545
the roommate bows to the king and sits in the car,-11.14212417602539,-12.000251770019531,-11.749857902526855,-8.626763820648193,-10.262425899505615,-7.1944475173950195
the roommates bow to the king and sits in the car,-9.9427490234375,-12.009699821472168,-11.715405464172363,-9.11127758026123,-10.259252548217773,-8.623117923736572
the roommates bow to the king and sit in the car,-11.268796920776367,-11.744277000427246,-11.775568008422852,-7.662479400634766,-8.592633247375488,-7.7785539627075195
the roommate bows to the king and sit in the car,-12.135600090026855,-12.402925491333008,-11.355260848999023,-8.471054077148438,-9.02846622467041,-8.671806335449219
the roommate bows to the king and thinks about the trip,-9.953347206115723,-10.974390983581543,-10.450243949890137,-11.418341636657715,-12.673447608947754,-12.033061981201172
the roommates bow to the king and thinks about the trip,-9.489192962646484,-10.666452407836914,-10.64162540435791,-11.220147132873535,-11.678034782409668,-11.945016860961914
the roommates bow to the king and think about the trip,-11.383747100830078,-10.490955352783203,-9.786205291748047,-10.883901596069336,-11.023760795593262,-11.117347717285156
the roommate bows to the king and think about the trip,-10.979982376098633,-10.919692039489746,-8.837087631225586,-10.952937126159668,-11.688541412353516,-11.950648307800293
the roommate bows to the king and goes to the new store,-10.22514533996582,-9.49787712097168,-9.904921531677246,-9.551637649536133,-10.392433166503906,-9.25692367553711
the roommates bow to the king and goes to the new store,-9.082109451293945,-9.507994651794434,-10.314860343933105,-9.220855712890625,-9.665122032165527,-9.437119483947754
the roommates bow to the king and go to the new store,-8.670097351074219,-8.621828079223633,-10.362980842590332,-6.704737663269043,-6.940475940704346,-5.9153547286987305
the roommate bows to the king and go to the new store,-9.089837074279785,-8.933669090270996,-9.311784744262695,-6.6917405128479,-6.698413848876953,-6.762973308563232
the roommate hides from the chicken and leaves the room,-7.299799919128418,-5.124129772186279,-6.3302459716796875,-8.252708435058594,-9.331212043762207,-7.59971809387207
the roommates hide from the chicken and leaves the room,-8.410926818847656,-7.176115989685059,-7.046360015869141,-8.333870887756348,-9.707282066345215,-8.897462844848633
the roommates hide from the chicken and leave the room,-10.031209945678711,-7.991392612457275,-8.05990982055664,-7.583627223968506,-9.917745590209961,-7.464181900024414
the roommate hides from the chicken and leave the room,-11.574578285217285,-11.477489471435547,-9.544565200805664,-8.60731315612793,-10.638853073120117,-7.722494125366211
the roommate hides from the chicken and sits in the car,-10.812155723571777,-7.992656707763672,-4.476357460021973,-8.110896587371826,-9.682226181030273,-10.082615852355957
the roommates hide from the chicken and sits in the car,-9.611321449279785,-8.319750785827637,-7.672667980194092,-8.696246147155762,-9.635772705078125,-10.697015285491943
the roommates hide from the chicken and sit in the car,-10.313203811645508,-8.448396682739258,-8.887444496154785,-8.292684555053711,-8.898488998413086,-8.644257545471191
the roommate hides from the chicken and sit in the car,-12.319395065307617,-9.72043514251709,-8.288348197937012,-8.891153335571289,-8.86168098449707,-9.587007522583008
the roommate hides from the chicken and thinks about the trip,-9.405840873718262,-9.581727027893066,-10.074429512023926,-10.568098068237305,-12.226245880126953,-8.589276313781738
