sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the roommate that the guard likes awaits,-21.264233112335205,-19.616963386535645,-25.058388710021973,-13.14076042175293,-11.448114395141602,-12.702607154846191
the roommates that the guard likes awaits,-21.731765747070312,-19.28403377532959,-25.150588512420654,-13.29880142211914,-13.021681785583496,-12.699167251586914
the roommate that the guards like awaits,-19.576093196868896,-20.60791301727295,-20.526986122131348,-18.202058792114258,-16.977896690368652,-18.22842502593994
the roommates that the guards like awaits,-20.2448148727417,-19.704574584960938,-20.843196868896484,-18.39346981048584,-16.89608097076416,-17.457444190979004
the roommates that the guard likes await,-17.240570545196533,-17.004015922546387,-18.04505491256714,-13.250101089477539,-12.264949798583984,-9.80215072631836
the roommate that the guard likes await,-16.755512714385986,-17.086030960083008,-17.83044719696045,-13.08460521697998,-11.775717735290527,-10.326166152954102
the roommates that the guards like await,-16.421212673187256,-17.923943519592285,-14.993038177490234,-15.482271194458008,-18.242082595825195,-17.57485008239746
the roommate that the guards like await,-15.833293437957764,-18.568030834197998,-14.708602905273438,-15.377381324768066,-18.35486650466919,-18.27616310119629
the roommate that the guard hates awaits,-16.640355110168457,-16.541391849517822,-23.269468307495117,-12.830679893493652,-12.77562141418457,-13.450530052185059
the roommates that the guard hates awaits,-17.201886653900146,-17.08198308944702,-23.616076469421387,-12.732508659362793,-13.611416816711426,-13.904658317565918
the roommate that the guards hate awaits,-18.940895557403564,-21.680246353149414,-23.382473945617676,-12.460437774658203,-15.201252937316895,-12.645812034606934
the roommates that the guards hate awaits,-19.22424077987671,-21.222693920135498,-23.703789710998535,-12.597171783447266,-15.354290962219238,-12.777179718017578
the roommates that the guard hates await,-14.879902839660645,-15.854835033416748,-19.18442153930664,-10.024608612060547,-13.132844924926758,-9.210314750671387
the roommate that the guard hates await,-14.43712568283081,-15.280458927154541,-19.063453674316406,-10.432171821594238,-13.252655982971191,-9.479111671447754
the roommates that the guards hate await,-15.486501216888428,-19.557621955871582,-17.542766094207764,-9.715022087097168,-16.0953369140625,-10.47856330871582
the roommate that the guards hate await,-15.159379959106445,-19.803396701812744,-17.12680149078369,-9.710916519165039,-16.55787944793701,-11.144837379455566
the roommate that the guard loves awaits,-19.53367853164673,-19.601144790649414,-25.164933681488037,-16.004677772521973,-14.326486587524414,-14.583922386169434
the roommates that the guard loves awaits,-19.852397918701172,-19.210782051086426,-25.144713401794434,-15.671235084533691,-15.01880168914795,-14.380754470825195
the roommate that the guards love awaits,-18.75403070449829,-20.738489151000977,-22.607431888580322,-14.131911277770996,-11.989641189575195,-14.971065521240234
the roommates that the guards love awaits,-19.170555114746094,-19.978428840637207,-22.582964420318604,-14.217317581176758,-11.831453323364258,-14.80799674987793
the roommates that the guard loves await,-15.659710884094238,-16.802123069763184,-17.872095584869385,-14.383771896362305,-10.419198989868164,-9.571985244750977
the roommate that the guard loves await,-15.305379867553711,-16.923745155334473,-17.709771633148193,-14.555929183959961,-10.193060874938965,-10.173664093017578
the roommates that the guards love await,-15.870428562164307,-18.188083171844482,-16.359726905822754,-11.799785614013672,-13.301332473754883,-14.30394458770752
the roommate that the guards love await,-15.389860153198242,-18.665518283843994,-16.28356409072876,-11.701595306396484,-13.863320350646973,-14.940481185913086
the roommate that the guard admires awaits,-15.84369421005249,-17.483482360839844,-21.210798263549805,-16.48001003265381,-13.698812484741211,-16.894901275634766
the roommates that the guard admires awaits,-16.375364780426025,-18.018988132476807,-21.39963722229004,-16.16135883331299,-13.612180709838867,-16.934077262878418
the roommate that the guards admire awaits,-18.49851942062378,-22.966309547424316,-22.113773345947266,-16.706300735473633,-13.358980178833008,-15.461962699890137
the roommates that the guards admire awaits,-18.81696653366089,-22.298035144805908,-22.4186954498291,-16.811259269714355,-13.288849830627441,-15.564699172973633
