sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the roommate next to the guard awaits,-18.044652462005615,-21.35512113571167,-25.033740520477295,-13.508835792541504,-14.858707427978516,-16.77305793762207
the roommates next to the guard awaits,-18.671786308288574,-21.251543045043945,-25.072041511535645,-14.717467308044434,-15.387272834777832,-16.833513259887695
the roommate next to the guards awaits,-17.909954071044922,-19.81793451309204,-24.926145553588867,-16.7334623336792,-15.687438011169434,-17.022523880004883
the roommates next to the guards awaits,-18.486259937286377,-19.302541732788086,-24.760913848876953,-17.529343605041504,-17.363097190856934,-16.90542507171631
the roommates next to the guard await,-14.606178283691406,-18.209103107452393,-19.683509826660156,-13.391197204589844,-13.138023376464844,-12.906672477722168
the roommate next to the guard await,-14.023468494415283,-18.18219757080078,-19.801508903503418,-12.49518871307373,-13.693413734436035,-13.2907075881958
the roommates next to the guards await,-15.158023357391357,-16.58040189743042,-19.783406257629395,-14.744592666625977,-14.648983001708984,-12.612176895141602
the roommate next to the guards await,-14.652409553527832,-16.878250122070312,-20.030734539031982,-14.372893333435059,-14.457667350769043,-14.094917297363281
the roommate behind the guard awaits,-20.190917491912842,-21.885571002960205,-25.98258066177368,-13.63924789428711,-16.23887062072754,-18.348210334777832
the roommates behind the guard awaits,-20.64238166809082,-21.391740798950195,-26.175660133361816,-15.094781875610352,-17.24024200439453,-18.303417205810547
the roommate behind the guards awaits,-17.700737476348877,-20.064960956573486,-27.21155595779419,-16.82405948638916,-15.672243118286133,-16.77219581604004
the roommates behind the guards awaits,-18.62587022781372,-19.593612670898438,-27.48375415802002,-17.695858001708984,-17.10912322998047,-17.699440002441406
the roommates behind the guard await,-16.820984840393066,-18.69293785095215,-20.033917903900146,-14.45305347442627,-15.720486640930176,-14.058749198913574
the roommate behind the guard await,-16.22694158554077,-18.686137676239014,-19.937427520751953,-13.407123565673828,-15.87924575805664,-14.818034172058105
the roommates behind the guards await,-15.470811367034912,-17.78739833831787,-21.86923313140869,-15.234914779663086,-15.16470718383789,-12.893719673156738
the roommate behind the guards await,-14.526328086853027,-17.729069232940674,-21.504426956176758,-14.860304832458496,-15.155885696411133,-13.6256103515625
the roommate in front of the guard awaits,-19.447129249572754,-21.403812408447266,-25.92492437362671,-12.246082305908203,-16.837989807128906,-17.153340339660645
