sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the roommate awaits,-18.237901210784912,-21.931333541870117,-25.45992136001587,-13.437063217163086,-22.355198860168457,-16.063523292541504
the roommates awaits,-18.999894618988037,-21.702069759368896,-25.64537477493286,-16.361695289611816,-19.774351119995117,-17.331530570983887
the roommates await,-16.01618528366089,-19.324450969696045,-20.32225751876831,-14.446659088134766,-19.486583709716797,-12.183147430419922
the roommate await,-14.70448350906372,-18.66203737258911,-19.956562995910645,-12.947478294372559,-21.157801151275635,-16.114330291748047
the roommate complains,-17.410829544067383,-13.444360733032227,-15.194430351257324,-14.56689453125,-17.724393844604492,-10.481653213500977
the roommates complains,-17.03047752380371,-11.544182777404785,-12.861517906188965,-13.071895599365234,-16.63865089416504,-13.411246299743652
the roommates complain,-13.258661270141602,-10.61694049835205,-11.430927276611328,-11.686412811279297,-14.384206771850586,-11.124873161315918
the roommate complain,-14.004545211791992,-12.531538009643555,-13.395868301391602,-13.966800689697266,-15.54137897491455,-12.011674880981445
the roommate arrives,-17.081186294555664,-22.70616626739502,-22.123250484466553,-11.084744453430176,-10.402189254760742,-10.14198112487793
the roommates arrives,-16.693960189819336,-20.28258752822876,-20.530115127563477,-10.475333213806152,-13.516600608825684,-13.53958511352539
the roommates arrive,-9.645845413208008,-7.732047080993652,-13.07009506225586,-10.278118133544922,-11.94100284576416,-8.982756614685059
the roommate arrive,-11.873518943786621,-11.334831237792969,-15.82178783416748,-13.756415367126465,-11.012036323547363,-14.557304382324219
the roommate disappears,-15.04875659942627,-12.185343742370605,-14.216960906982422,-12.083175659179688,-12.372895240783691,-10.764972686767578
the roommates disappears,-16.0683650970459,-12.418864250183105,-13.719277381896973,-12.731924057006836,-14.017528533935547,-14.063587188720703
the roommates disappear,-11.222367286682129,-11.270146369934082,-11.310894012451172,-10.115147590637207,-12.798280715942383,-10.771036148071289
the roommate disappear,-12.63997745513916,-10.810709953308105,-12.24819564819336,-10.337953567504883,-10.928746223449707,-10.466513633728027
the roommate bows,-14.670904636383057,-11.583844184875488,-11.283936977386475,-10.212577819824219,-13.97759485244751,-11.725510597229004
the roommates bows,-14.24694538116455,-14.858247756958008,-11.32077407836914,-14.777552604675293,-15.089915752410889,-13.294942378997803
the roommates bow,-12.620805740356445,-14.720037460327148,-9.870405197143555,-12.038561820983887,-11.56554126739502,-10.390141487121582
the roommate bow,-11.086237907409668,-10.453076362609863,-8.344926834106445,-9.023146629333496,-12.008148193359375,-10.276721000671387
the roommate hides,-14.436497211456299,-12.889413833618164,-14.21418285369873,-12.511220932006836,-15.795976161956787,-13.878586769104004
the roommates hides,-13.019734382629395,-12.648683547973633,-14.5977201461792,-14.73597240447998,-16.605287551879883,-14.12390661239624
the roommates hide,-7.638289451599121,-9.065600395202637,-7.063668727874756,-13.245862007141113,-14.209467887878418,-11.31220293045044
the roommate hide,-10.87773323059082,-10.233976364135742,-9.395940780639648,-10.50211238861084,-14.001151084899902,-11.473597526550293
the roommate leaves,-6.265174865722656,-6.786060333251953,-9.446253776550293,-8.471955299377441,-8.688461303710938,-10.533738136291504
the roommates leaves,-8.011187553405762,-9.22535228729248,-9.359222412109375,-12.91280746459961,-9.625255584716797,-11.853596687316895
the roommates leave,-10.038541793823242,-8.717059135437012,-9.555362701416016,-10.499859809875488,-11.262207984924316,-8.711040496826172
the roommate leave,-11.364728927612305,-11.853837013244629,-11.316988945007324,-12.654399871826172,-11.099425315856934,-10.490337371826172
the roommate sits,-10.148981094360352,-9.442117691040039,-9.781999588012695,-11.650921821594238,-12.78997802734375,-12.396411895751953
the roommates sits,-11.426811218261719,-13.087430000305176,-11.74131965637207,-13.996423244476318,-10.766107559204102,-11.973567962646484
the roommates sit,-8.413431167602539,-6.355312824249268,-8.55201244354248,-8.921151161193848,-9.764751434326172,-8.506481170654297
the roommate sit,-9.296355247497559,-7.754912376403809,-9.1669921875,-9.092740058898926,-11.492687225341797,-10.453840255737305
the roommate thinks,-9.030498504638672,-9.099054336547852,-10.712930679321289,-10.426657676696777,-11.262720108032227,-10.848028182983398
the roommates thinks,-10.722871780395508,-9.264276504516602,-11.702349662780762,-11.621779441833496,-12.239945411682129,-12.757436752319336
the roommates think,-5.895353317260742,-6.27217435836792,-9.112025260925293,-12.699203491210938,-14.592342376708984,-14.361457824707031
the roommate think,-8.651298522949219,-8.877896308898926,-10.742483139038086,-12.445216178894043,-13.268450736999512,-13.65014934539795
the roommate goes,-7.643649101257324,-6.525552272796631,-6.837535858154297,-7.338875770568848,-8.737689971923828,-8.560906410217285
the roommates goes,-10.703934669494629,-8.561960220336914,-8.783892631530762,-11.888373374938965,-10.222723007202148,-11.338390350341797
the roommates go,-4.942917346954346,-3.5365686416625977,-3.616227626800537,-10.421876907348633,-11.07273006439209,-8.396370887756348
the roommate go,-7.129726886749268,-5.380745887756348,-6.504583835601807,-10.59989070892334,-9.803038597106934,-9.736648559570312
the resident awaits,-20.76135778427124,-20.11173152923584,-23.817801475524902,-18.961212158203125,-18.78381633758545,-18.181784629821777
the residents awaits,-20.348341464996338,-17.131805419921875,-22.422173976898193,-18.282145500183105,-17.786465644836426,-20.468284606933594
the residents await,-16.782515048980713,-15.272562026977539,-17.094014167785645,-14.024384498596191,-14.163802146911621,-13.73889446258545
the resident await,-17.052083492279053,-17.651101112365723,-18.590596199035645,-19.670987129211426,-18.12588596343994,-18.286516189575195
the resident complains,-18.673333644866943,-12.650790214538574,-16.10712242126465,-15.517984390258789,-17.86898899078369,-15.606071472167969
the residents complains,-13.868183135986328,-9.633489608764648,-13.395419597625732,-16.069660186767578,-15.433974266052246,-16.652390480041504
the residents complain,-10.027044296264648,-8.1893949508667,-9.996128559112549,-13.6928129196167,-13.293354034423828,-13.688966751098633
the resident complain,-15.46187448501587,-11.390090942382812,-13.043408393859863,-17.046117782592773,-16.14061450958252,-17.8422794342041
the resident arrives,-14.802618980407715,-23.822257041931152,-20.757949829101562,-12.29922103881836,-12.75212574005127,-12.536613464355469
the residents arrives,-13.252187728881836,-17.623669624328613,-16.56207275390625,-14.410843849182129,-14.258407592773438,-14.303916931152344
the residents arrive,-7.856139659881592,-6.907819747924805,-9.010576248168945,-11.033086776733398,-11.44834041595459,-9.434296607971191
the resident arrive,-10.235087394714355,-11.377968788146973,-12.663150787353516,-15.979902267456055,-15.087328910827637,-16.089176177978516
the resident disappears,-16.353288650512695,-13.798809051513672,-13.869851112365723,-12.587242126464844,-13.166422843933105,-14.465619087219238
the residents disappears,-14.3685941696167,-11.597169876098633,-12.115584373474121,-13.109829902648926,-15.492086410522461,-17.040661811828613
the residents disappear,-12.985745429992676,-9.697982788085938,-9.697713851928711,-11.466044425964355,-15.303055763244629,-13.365341186523438
the resident disappear,-13.374860763549805,-11.579977989196777,-13.189404487609863,-12.94677734375,-14.34528636932373,-14.074337005615234
the resident bows,-13.088313102722168,-14.601458549499512,-12.442485809326172,-14.332575798034668,-13.448976516723633,-11.150210857391357
the residents bows,-14.703229904174805,-12.354402542114258,-14.87670612335205,-17.602030754089355,-14.572563171386719,-16.383405685424805
the residents bow,-12.661227226257324,-11.831045150756836,-13.114242553710938,-13.570115089416504,-13.113311767578125,-14.126501083374023
the resident bow,-11.72562026977539,-13.556303024291992,-10.935297966003418,-11.039554595947266,-11.162959098815918,-12.033839225769043
the resident hides,-16.60421657562256,-16.969476222991943,-15.567662239074707,-17.093589782714844,-16.973963737487793,-13.423264026641846
the residents hides,-14.978516578674316,-13.02234935760498,-17.03825855255127,-15.353713035583496,-15.904250621795654,-16.241888999938965
the residents hide,-10.21347427368164,-9.820556640625,-10.566492080688477,-11.902546882629395,-12.276439666748047,-12.199535369873047
the resident hide,-10.24596881866455,-13.676202774047852,-12.129229545593262,-14.968281269073486,-15.798285961151123,-11.24702501296997
the resident leaves,-12.595133781433105,-12.985477447509766,-13.13498306274414,-10.827166557312012,-12.836654663085938,-12.668993949890137
the residents leaves,-12.112276077270508,-13.894471168518066,-11.959206581115723,-14.888490676879883,-13.527979850769043,-14.758176803588867
the residents leave,-7.71275520324707,-6.790201187133789,-7.781963348388672,-8.797371864318848,-8.999713897705078,-10.866378784179688
the resident leave,-8.870895385742188,-10.050252914428711,-10.595081329345703,-11.892083168029785,-13.443282127380371,-15.155959129333496
the resident sits,-9.498727798461914,-13.281380653381348,-11.620892524719238,-14.069305419921875,-10.447368621826172,-14.314145565032959
the residents sits,-13.535933494567871,-13.185806274414062,-11.825230598449707,-12.926701545715332,-10.296239852905273,-17.22282648086548
the residents sit,-8.36528205871582,-8.000958442687988,-8.646160125732422,-8.050037384033203,-7.758882999420166,-8.978580474853516
the resident sit,-10.258578300476074,-11.401789665222168,-12.17923355102539,-10.432411193847656,-10.417163848876953,-11.6504545211792
the resident thinks,-8.424907684326172,-11.346811294555664,-10.406694412231445,-11.011123657226562,-15.417362213134766,-13.98402214050293
the residents thinks,-7.667512893676758,-8.391379356384277,-9.581236839294434,-15.075778007507324,-16.931124687194824,-19.81806468963623
the residents think,-5.758144378662109,-8.212906837463379,-8.159786224365234,-10.47577953338623,-11.534516334533691,-12.625714302062988
the resident think,-8.956298828125,-11.617822647094727,-13.046079635620117,-12.360002517700195,-14.013778686523438,-11.878347396850586
the resident goes,-7.967386245727539,-8.432540893554688,-7.227640151977539,-10.850132942199707,-13.511016845703125,-13.318909645080566
the residents goes,-10.802465438842773,-9.26678466796875,-10.035786628723145,-14.3258056640625,-14.362873077392578,-12.4903564453125
the residents go,-5.369285583496094,-5.777390956878662,-6.863999843597412,-10.402143478393555,-9.385818481445312,-8.871447563171387
the resident go,-8.19088363647461,-8.43127155303955,-10.838327407836914,-11.00393295288086,-11.751726150512695,-9.123095512390137
the librarian awaits,-22.957376956939697,-20.56265354156494,-24.387137413024902,-19.36397647857666,-19.982483863830566,-16.411767959594727
the librarians awaits,-22.019661903381348,-21.006577491760254,-23.586506366729736,-18.865943908691406,-16.568098068237305,-16.81772232055664
the librarians await,-17.174100399017334,-19.059962272644043,-17.761216163635254,-16.473901748657227,-13.238062858581543,-10.51165771484375
the librarian await,-18.129165649414062,-18.35782814025879,-18.055272102355957,-19.694028854370117,-18.81264066696167,-18.414881706237793
the librarian complains,-16.838058471679688,-12.301920890808105,-14.911943435668945,-15.977819442749023,-16.165263175964355,-15.656922340393066
the librarians complains,-16.33899211883545,-12.155184745788574,-14.474863052368164,-15.70047378540039,-16.631936073303223,-15.247018814086914
the librarians complain,-11.828442573547363,-11.244256019592285,-11.685808181762695,-14.007637023925781,-14.436463356018066,-12.824213027954102
the librarian complain,-12.437164306640625,-11.126260757446289,-11.891411781311035,-15.551891326904297,-15.910053253173828,-16.758376121520996
the librarian arrives,-17.797117233276367,-20.403234004974365,-20.587005138397217,-16.355216026306152,-12.912277221679688,-16.15470790863037
the librarians arrives,-16.1045503616333,-17.058385372161865,-17.26585817337036,-14.465620040893555,-13.290887832641602,-13.370577812194824
the librarians arrive,-8.244998931884766,-8.868759155273438,-9.127833366394043,-10.406078338623047,-10.326805114746094,-8.351785659790039
the librarian arrive,-10.745268821716309,-10.348305702209473,-11.754199981689453,-19.4500150680542,-15.396550178527832,-18.687959671020508
the librarian disappears,-15.447376251220703,-11.951139450073242,-16.87985610961914,-14.691682815551758,-11.466763496398926,-16.024685859680176
the librarians disappears,-16.162991523742676,-15.65896224975586,-16.378479957580566,-15.288811683654785,-13.180627822875977,-14.256745338439941
the librarians disappear,-13.365846633911133,-13.754809379577637,-11.28374195098877,-12.562740325927734,-12.615720748901367,-9.625947952270508
