sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the roommate that likes the guard awaits,-20.01832914352417,-19.762617111206055,-24.79002618789673,-12.989847183227539,-13.033220291137695,-17.597352027893066
the roommates that like the guard awaits,-21.302855014801025,-19.72427797317505,-24.200653076171875,-14.69147777557373,-16.305058479309082,-18.078548431396484
the roommate that likes the guards awaits,-18.960813522338867,-19.746568202972412,-22.976219654083252,-13.792308807373047,-12.70853328704834,-14.562065124511719
the roommates that like the guards awaits,-20.338435173034668,-19.011491298675537,-22.906785011291504,-18.20040512084961,-14.468847274780273,-17.199442863464355
the roommates that like the guard await,-17.127197265625,-17.802025318145752,-18.508272647857666,-14.543964385986328,-17.20972728729248,-15.98714828491211
the roommate that likes the guard await,-15.813016891479492,-17.362900733947754,-18.368932247161865,-13.44335651397705,-12.916733741760254,-16.24298667907715
the roommates that like the guards await,-16.982165336608887,-17.503292083740234,-17.60721778869629,-15.135724067687988,-14.386951446533203,-13.682732582092285
the roommate that likes the guards await,-15.682780265808105,-17.670337677001953,-17.304319381713867,-12.17585563659668,-11.286018371582031,-11.638873100280762
the roommate that hates the guard awaits,-18.788034915924072,-18.218253135681152,-24.35462760925293,-13.120984077453613,-14.914597511291504,-15.636242866516113
the roommates that hate the guard awaits,-21.610626220703125,-19.93822956085205,-24.09783172607422,-13.333466529846191,-15.205757141113281,-15.866899490356445
the roommate that hates the guards awaits,-17.170689582824707,-16.99778699874878,-23.913301467895508,-14.546143531799316,-13.502277374267578,-13.83444595336914
the roommates that hate the guards awaits,-20.547549724578857,-19.041980743408203,-23.06227445602417,-14.970736503601074,-14.275518417358398,-15.116318702697754
the roommates that hate the guard await,-16.994007110595703,-18.063908576965332,-18.2109694480896,-14.318072319030762,-15.634530067443848,-13.700945854187012
the roommate that hates the guard await,-16.07500457763672,-17.35537624359131,-20.122901916503906,-13.182451248168945,-14.706456184387207,-13.38555908203125
the roommates that hate the guards await,-16.804292678833008,-17.3327054977417,-17.742153644561768,-11.96635627746582,-13.692426681518555,-11.108479499816895
the roommate that hates the guards await,-14.74755573272705,-16.351844310760498,-19.843132972717285,-11.477202415466309,-12.879737854003906,-10.6939697265625
the roommate that loves the guard awaits,-19.256919860839844,-19.994021892547607,-25.844024181365967,-12.942834854125977,-16.65966510772705,-18.23799705505371
