sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the roommate awaits and complains,-16.389732360839844,-14.850476264953613,-13.168901443481445,-9.262820720672607,-7.197558403015137,-7.590822696685791
the roommates await and complains,-18.881932258605957,-15.283161163330078,-14.15095329284668,-9.7518949508667,-11.095618724822998,-8.230164527893066
the roommates await and complain,-14.332816123962402,-13.922880172729492,-12.196321487426758,-9.401741027832031,-9.876173496246338,-7.6293182373046875
the roommate awaits and complain,-12.809234619140625,-13.895444869995117,-11.201371192932129,-10.948432445526123,-9.979339599609375,-8.409924030303955
the roommate awaits and arrives,-18.06071186065674,-23.131873607635498,-21.526212215423584,-12.70981216430664,-9.355533599853516,-9.492785453796387
the roommates await and arrives,-17.47178363800049,-20.790536403656006,-22.02131748199463,-12.692028045654297,-11.271297454833984,-10.14295768737793
the roommates await and arrive,-11.792407989501953,-13.329215049743652,-11.87826919555664,-10.918153762817383,-9.823005676269531,-11.222127914428711
the roommate awaits and arrive,-12.582393646240234,-13.670504570007324,-13.312189102172852,-14.874998092651367,-12.006452560424805,-15.601012229919434
the roommate awaits and disappears,-15.7532320022583,-16.306957244873047,-12.93029499053955,-9.60933256149292,-9.72693920135498,-10.445378303527832
the roommates await and disappears,-16.51223659515381,-16.945809364318848,-13.201790809631348,-10.163371086120605,-10.849164962768555,-11.735014915466309
the roommates await and disappear,-11.848834991455078,-11.207361221313477,-10.923111915588379,-6.477133750915527,-9.534769058227539,-8.24475383758545
the roommate awaits and disappear,-11.691415786743164,-11.039571762084961,-10.195792198181152,-7.891269207000732,-12.030055046081543,-9.813048362731934
the roommate awaits and bows,-15.730130195617676,-12.318251609802246,-11.736002922058105,-11.384982585906982,-11.469848155975342,-12.002147197723389
the roommates await and bows,-15.664946556091309,-13.159278869628906,-12.531037330627441,-12.967414855957031,-13.082995414733887,-12.797569751739502
the roommates await and bow,-13.73241138458252,-12.830832481384277,-9.406346321105957,-9.806572914123535,-10.771352767944336,-10.525514602661133
the roommate awaits and bow,-13.597604751586914,-11.886811256408691,-9.623294830322266,-9.3428316116333,-11.599977493286133,-11.162853240966797
the roommate awaits and hides,-12.26857852935791,-15.665407657623291,-13.12167739868164,-9.839347839355469,-11.558939933776855,-11.312986373901367
the roommates await and hides,-11.47022819519043,-15.170402526855469,-13.514532089233398,-11.299672603607178,-12.865478515625,-12.455589771270752
the roommates await and hide,-8.820913314819336,-10.495997428894043,-11.78400993347168,-9.338718891143799,-10.575608730316162,-10.914815425872803
the roommate awaits and hide,-9.160146713256836,-11.164569854736328,-10.71551513671875,-9.68851089477539,-10.906874656677246,-9.697793960571289
the roommate awaits and leaves,-7.896734237670898,-6.8529133796691895,-6.986294269561768,-9.19126033782959,-7.847529411315918,-8.701116561889648
the roommates await and leaves,-8.659168243408203,-8.800287246704102,-7.977502822875977,-11.732696533203125,-10.652782440185547,-10.333094596862793
