sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the picker that the waiter likes grinds,-16.102418899536133,-11.798200607299805,-14.449679374694824,-15.976634979248047,-12.274029731750488,-15.531893730163574
the pickers that the waiter likes grinds,-14.83260440826416,-11.241968154907227,-13.04478931427002,-15.680685997009277,-12.548099517822266,-15.738485336303711
the picker that the waiters like grinds,-16.866969108581543,-12.630645751953125,-12.848151206970215,-14.496180534362793,-12.28592586517334,-16.8765869140625
the pickers that the waiters like grinds,-17.168865203857422,-13.1531400680542,-11.832392692565918,-14.40446424484253,-11.573233604431152,-16.78152561187744
the pickers that the waiter likes grind,-11.678452491760254,-9.271747589111328,-12.677223205566406,-13.140908241271973,-11.980066299438477,-11.986963272094727
the picker that the waiter likes grind,-11.615107536315918,-9.23326587677002,-12.751694679260254,-13.171270370483398,-11.901812553405762,-12.843098640441895
the pickers that the waiters like grind,-14.335884094238281,-10.523311614990234,-11.357114791870117,-9.227494239807129,-10.324347496032715,-8.867960929870605
the picker that the waiters like grind,-13.941871643066406,-10.532305717468262,-11.656543731689453,-9.278453826904297,-10.769681930541992,-9.41830825805664
the picker that the waiter hates grinds,-14.644637107849121,-12.777544021606445,-13.335535049438477,-17.600101947784424,-11.146925926208496,-15.408247947692871
the pickers that the waiter hates grinds,-14.288029670715332,-11.734378814697266,-12.257664680480957,-18.32068634033203,-11.514708518981934,-16.394553661346436
the picker that the waiters hate grinds,-15.24426555633545,-12.412949562072754,-13.86103630065918,-14.713783264160156,-10.713377952575684,-15.087693214416504
the pickers that the waiters hate grinds,-15.897343635559082,-13.21622085571289,-13.525562286376953,-15.353430271148682,-10.901126861572266,-16.17017698287964
the pickers that the waiter hates grind,-14.128738403320312,-10.888326644897461,-11.790605545043945,-12.883995056152344,-10.378639221191406,-11.84981918334961
