sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the picker that the waiter likes grinds,-6.766202449798584,-9.378503799438477,-8.878015518188477,-12.76539134979248,-12.502961158752441,-15.37555456161499
the picker that the waiters likes grinds,-12.718629837036133,-14.423135757446289,-11.620914459228516,-14.575973510742188,-10.660147666931152,-15.598912239074707
the picker that the waiters like grinds,-6.6443657875061035,-5.877341270446777,-5.7044172286987305,-7.7372517585754395,-8.104913711547852,-8.851194381713867
the picker that the waiter like grinds,-7.7268829345703125,-6.433330535888672,-6.965951919555664,-8.393133163452148,-10.70615291595459,-10.320860862731934
the pickers that the waiter likes grind,-6.694167137145996,-8.751118659973145,-8.804471969604492,-13.250692367553711,-12.576838493347168,-14.980454444885254
the pickers that the waiters likes grind,-12.536685943603516,-14.019278526306152,-11.966879844665527,-14.764729499816895,-11.279745101928711,-15.098599910736084
the pickers that the waiters like grind,-6.986217498779297,-5.542505741119385,-5.974493980407715,-7.484762191772461,-8.540155410766602,-8.568835258483887
the pickers that the waiter like grind,-7.845311641693115,-6.039205074310303,-6.629525184631348,-7.678465843200684,-10.389534950256348,-9.614666938781738
the picker that the waiter hates grinds,-10.482356548309326,-15.899479866027832,-13.126785278320312,-13.845856189727783,-19.216782569885254,-16.716978073120117
the picker that the waiters hates grinds,-12.000129699707031,-16.785953521728516,-14.706366062164307,-15.569794654846191,-18.19166660308838,-18.201454162597656
the picker that the waiters hate grinds,-12.942893981933594,-14.463939666748047,-11.052142143249512,-14.085053443908691,-15.878764629364014,-12.98933458328247
the picker that the waiter hate grinds,-14.206404685974121,-14.686727523803711,-12.948097229003906,-13.74917459487915,-17.4312105178833,-15.090168476104736
the pickers that the waiter hates grind,-10.049345970153809,-14.610508918762207,-13.26691722869873,-14.01036262512207,-19.78723430633545,-16.322265625
the pickers that the waiters hates grind,-11.969598770141602,-17.070350646972656,-14.73491621017456,-16.563328742980957,-18.786237716674805,-18.72672748565674
the pickers that the waiters hate grind,-13.19706916809082,-14.808646202087402,-11.247749328613281,-14.299394607543945,-16.330557823181152,-12.75306224822998
