sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the picker next to the waiter grinds,-14.417356491088867,-12.860264778137207,-15.583040237426758,-14.767727851867676,-14.346611976623535,-21.269900798797607
the pickers next to the waiter grinds,-13.495339393615723,-10.598443031311035,-13.486705780029297,-14.890178680419922,-13.20072078704834,-20.993446350097656
the picker next to the waiters grinds,-14.746612548828125,-11.460223197937012,-15.68811321258545,-16.87969970703125,-11.14548110961914,-19.06345844268799
the pickers next to the waiters grinds,-14.652761459350586,-11.159146308898926,-14.695718765258789,-16.693049430847168,-11.126995086669922,-19.48508930206299
the pickers next to the waiter grind,-11.557861328125,-8.61545467376709,-12.106789588928223,-10.646315574645996,-11.05510139465332,-13.113070487976074
the picker next to the waiter grind,-10.973435401916504,-8.699783325195312,-12.159119606018066,-10.451251983642578,-11.626591682434082,-13.438215255737305
the pickers next to the waiters grind,-12.415497779846191,-8.593541145324707,-13.475607872009277,-11.35617446899414,-9.900680541992188,-12.43448257446289
the picker next to the waiters grind,-12.350421905517578,-8.387853622436523,-13.580217361450195,-11.4344482421875,-10.000916481018066,-11.883584022521973
the picker behind the waiter grinds,-17.032352447509766,-12.792618751525879,-16.96927547454834,-13.549856185913086,-13.12403392791748,-19.553165912628174
the pickers behind the waiter grinds,-14.271392822265625,-10.725809097290039,-14.163984298706055,-13.764686107635498,-12.781349182128906,-19.32185173034668
the picker behind the waiters grinds,-15.946864128112793,-11.845617294311523,-17.84840965270996,-15.495803833007812,-11.469446182250977,-16.463845252990723
the pickers behind the waiters grinds,-15.102117538452148,-11.532730102539062,-16.342501640319824,-15.490707874298096,-12.05382251739502,-17.15509271621704
the pickers behind the waiter grind,-12.716018676757812,-8.870335578918457,-12.25327205657959,-9.67128324508667,-11.202058792114258,-12.511917114257812
the picker behind the waiter grind,-13.037302017211914,-8.828239440917969,-12.527125358581543,-9.521437168121338,-11.32934856414795,-12.973918914794922
the pickers behind the waiters grind,-13.190483093261719,-9.20234203338623,-14.783117294311523,-9.61896800994873,-10.895376205444336,-11.1668701171875
the picker behind the waiters grind,-13.310154914855957,-9.095251083374023,-15.182682037353516,-9.644611358642578,-10.661600112915039,-10.761137008666992
the picker in front of the waiter grinds,-15.396440505981445,-12.542502403259277,-15.694151878356934,-13.886874675750732,-13.987574577331543,-20.69447422027588
the pickers in front of the waiter grinds,-13.831058502197266,-10.431561470031738,-14.387898445129395,-14.239942073822021,-14.367480278015137,-20.9828462600708
the picker in front of the waiters grinds,-14.741623878479004,-10.1296968460083,-16.086831092834473,-15.707905292510986,-11.547595977783203,-16.746590614318848
the pickers in front of the waiters grinds,-14.044898986816406,-9.602792739868164,-15.62857723236084,-15.474286556243896,-12.06346321105957,-17.533632278442383
the pickers in front of the waiter grind,-12.349971771240234,-9.300633430480957,-12.948214530944824,-10.323732376098633,-12.137067794799805,-13.860987663269043
the picker in front of the waiter grind,-11.80378532409668,-9.539130210876465,-12.842366218566895,-9.881236553192139,-11.83477783203125,-13.903522491455078
the pickers in front of the waiters grind,-12.41259479522705,-8.255621910095215,-14.563490867614746,-9.670087814331055,-10.684518814086914,-11.083646774291992
the picker in front of the waiters grind,-12.554147720336914,-8.1788969039917,-14.571596145629883,-9.788687705993652,-10.678049087524414,-10.770672798156738
the picker near the waiter grinds,-16.898603439331055,-11.94299602508545,-16.492332458496094,-13.316461563110352,-13.42237663269043,-19.119149684906006
the pickers near the waiter grinds,-14.361315727233887,-9.979349136352539,-14.575325012207031,-13.560579299926758,-12.839776039123535,-19.53712797164917
the picker near the waiters grinds,-15.932327270507812,-11.01671552658081,-16.139370918273926,-15.29958200454712,-10.86358642578125,-16.471220016479492
the pickers near the waiters grinds,-14.936493873596191,-10.787288665771484,-15.240815162658691,-14.95769214630127,-11.084942817687988,-17.880130290985107
the pickers near the waiter grind,-12.903141975402832,-8.228976249694824,-12.581215858459473,-9.981634140014648,-10.916696548461914,-11.87131118774414
the picker near the waiter grind,-12.85167407989502,-8.100626945495605,-12.41854476928711,-9.418787956237793,-11.079299926757812,-12.174893379211426
the pickers near the waiters grind,-13.15742301940918,-8.54902458190918,-13.734395980834961,-9.536518096923828,-10.096689224243164,-10.813608169555664
the picker near the waiters grind,-13.409147262573242,-8.438415050506592,-13.896269798278809,-9.531611442565918,-10.08902359008789,-10.377948760986328
the picker to the side of the waiter grinds,-14.999402046203613,-11.392176628112793,-14.583658218383789,-14.767723560333252,-12.797554969787598,-20.563572883605957
the pickers to the side of the waiter grinds,-13.908536911010742,-9.563021659851074,-13.21203327178955,-15.060444831848145,-13.366554260253906,-20.825499057769775
the picker to the side of the waiters grinds,-15.315142631530762,-9.848272323608398,-15.698429107666016,-15.058459281921387,-11.342763900756836,-17.730923652648926
the pickers to the side of the waiters grinds,-15.484776496887207,-9.913094520568848,-15.16431713104248,-15.036177635192871,-12.042675018310547,-18.625977039337158
the pickers to the side of the waiter grind,-12.258856773376465,-8.350561141967773,-11.840648651123047,-11.072237014770508,-11.86245059967041,-14.004740715026855
the picker to the side of the waiter grind,-11.778475761413574,-8.61443042755127,-11.831037521362305,-10.753583908081055,-11.587177276611328,-14.364506721496582
the pickers to the side of the waiters grind,-13.669862747192383,-8.289397239685059,-14.102400779724121,-9.742157936096191,-10.86113166809082,-12.042014122009277
the picker to the side of the waiters grind,-13.26978874206543,-8.097628593444824,-14.084480285644531,-9.73286247253418,-10.575096130371094,-11.899615287780762
the picker across from the waiter grinds,-15.036520004272461,-13.80211353302002,-15.428980827331543,-13.30074167251587,-12.875223159790039,-18.06451416015625
the pickers across from the waiter grinds,-14.206452369689941,-11.209271430969238,-13.345051765441895,-13.966166973114014,-12.80881118774414,-19.469639778137207
the picker across from the waiters grinds,-15.193070411682129,-11.635721683502197,-15.63986873626709,-14.644200801849365,-10.297391891479492,-15.506219863891602
the pickers across from the waiters grinds,-15.40597915649414,-11.18981647491455,-14.90359878540039,-14.52101182937622,-10.868223190307617,-16.83482265472412
the pickers across from the waiter grind,-12.175192832946777,-9.394885063171387,-12.290888786315918,-9.706271171569824,-10.868207931518555,-12.935897827148438
the picker across from the waiter grind,-12.1662015914917,-9.559955596923828,-12.527754783630371,-9.14677619934082,-10.775898933410645,-12.81959056854248
the pickers across from the waiters grind,-13.087976455688477,-9.105676651000977,-13.905132293701172,-8.982287883758545,-9.601211547851562,-10.926030158996582
the picker across from the waiters grind,-13.103196144104004,-8.799581050872803,-14.177005767822266,-9.024114608764648,-9.444489479064941,-10.761112213134766
the picker next to the waiter exaggerates,-21.55668544769287,-23.10997200012207,-27.421709537506104,-21.417245388031006,-17.11563777923584,-18.998638153076172
the pickers next to the waiter exaggerates,-21.78075885772705,-24.945619583129883,-28.128669261932373,-22.639842987060547,-19.878174781799316,-19.34679126739502
the picker next to the waiters exaggerates,-21.149223804473877,-21.026315689086914,-26.038401126861572,-20.338912963867188,-16.948226928710938,-19.154205322265625
the pickers next to the waiters exaggerates,-21.481263160705566,-23.767239570617676,-28.09168004989624,-21.94528818130493,-20.154335975646973,-20.001194953918457
the pickers next to the waiter exaggerate,-20.88508701324463,-21.50546884536743,-24.31179141998291,-17.75770378112793,-16.63132095336914,-16.8198299407959
the picker next to the waiter exaggerate,-20.39252805709839,-19.06602191925049,-23.407997131347656,-18.775850772857666,-17.939608573913574,-17.962923049926758
the pickers next to the waiters exaggerate,-20.591028690338135,-20.39628839492798,-24.73117446899414,-16.799517154693604,-16.662961959838867,-16.57583713531494
the picker next to the waiters exaggerate,-20.068545818328857,-17.27408266067505,-22.47233009338379,-17.41428852081299,-18.59734535217285,-17.82798194885254
the picker behind the waiter exaggerates,-24.711167335510254,-24.20611000061035,-27.322347164154053,-20.68103313446045,-17.710704803466797,-17.888551712036133
the pickers behind the waiter exaggerates,-24.65134620666504,-25.68290901184082,-27.764836311340332,-23.031166553497314,-19.646406173706055,-18.770586013793945
the picker behind the waiters exaggerates,-23.636009216308594,-23.06797981262207,-27.158134937286377,-18.128886699676514,-15.380386352539062,-18.099223136901855
the pickers behind the waiters exaggerates,-23.776620388031006,-25.79418659210205,-28.719250679016113,-20.343769073486328,-17.978156089782715,-19.508599281311035
the pickers behind the waiter exaggerate,-24.714370727539062,-22.946651935577393,-24.05005979537964,-19.21266794204712,-17.142337799072266,-16.81843662261963
the picker behind the waiter exaggerate,-24.280932903289795,-21.156731605529785,-23.487907886505127,-19.576998710632324,-19.919382095336914,-17.503076553344727
the pickers behind the waiters exaggerate,-23.891746520996094,-22.814598083496094,-25.604276657104492,-16.71532440185547,-15.167742729187012,-16.266284942626953
the picker behind the waiters exaggerate,-23.321473121643066,-19.853367805480957,-23.82040023803711,-16.431259632110596,-17.20076560974121,-16.917648315429688
the picker in front of the waiter exaggerates,-25.39326000213623,-25.385854721069336,-29.80277681350708,-22.195168018341064,-17.582754135131836,-18.038530349731445
the pickers in front of the waiter exaggerates,-25.30749750137329,-26.74941349029541,-30.15156841278076,-23.984776496887207,-20.591606616973877,-19.21465492248535
the picker in front of the waiters exaggerates,-23.377519130706787,-23.010022163391113,-28.087398529052734,-21.09830904006958,-15.908673286437988,-18.08191680908203
the pickers in front of the waiters exaggerates,-23.607415199279785,-25.077128410339355,-29.807069301605225,-23.240041732788086,-18.59660816192627,-19.38790988922119
the pickers in front of the waiter exaggerate,-25.75602149963379,-24.360286712646484,-26.160446643829346,-20.738686561584473,-18.590378284454346,-17.489999771118164
the picker in front of the waiter exaggerate,-25.604269981384277,-22.679667949676514,-25.604004859924316,-21.05520009994507,-21.23192596435547,-18.547764778137207
the pickers in front of the waiters exaggerate,-24.11680841445923,-22.538273334503174,-26.455806255340576,-19.703301429748535,-15.781965255737305,-16.68979549407959
the picker in front of the waiters exaggerate,-23.73934316635132,-20.285603046417236,-24.500954627990723,-19.35111093521118,-18.082661628723145,-17.68827247619629
the picker near the waiter exaggerates,-23.944385528564453,-23.308616638183594,-27.35970449447632,-21.03557014465332,-19.4231538772583,-19.765624046325684
the pickers near the waiter exaggerates,-23.807539463043213,-24.890103340148926,-27.997063159942627,-23.650076389312744,-22.005712509155273,-21.098109245300293
the picker near the waiters exaggerates,-22.90924310684204,-22.143386840820312,-26.460164546966553,-18.361549854278564,-16.782801628112793,-19.182974815368652
the pickers near the waiters exaggerates,-22.633749961853027,-24.778375148773193,-28.057186603546143,-21.437435150146484,-19.355706691741943,-21.182395458221436
the pickers near the waiter exaggerate,-23.542811393737793,-22.3278865814209,-23.918100357055664,-18.829912662506104,-19.407506942749023,-18.097623825073242
the picker near the waiter exaggerate,-23.41129493713379,-20.480449676513672,-23.160311222076416,-19.966591835021973,-20.739493370056152,-19.291034698486328
the pickers near the waiters exaggerate,-22.491246700286865,-21.900185108184814,-24.639623641967773,-16.968883514404297,-16.31355047225952,-17.282519817352295
the picker near the waiters exaggerate,-22.561942100524902,-19.118063926696777,-22.79853630065918,-16.98539972305298,-17.73197650909424,-18.265268325805664
the picker to the side of the waiter exaggerates,-22.58634662628174,-26.17789363861084,-27.980432987213135,-20.709437370300293,-17.249478340148926,-18.3968448638916
the pickers to the side of the waiter exaggerates,-22.64541721343994,-27.373116493225098,-28.715397357940674,-22.81771230697632,-19.70919418334961,-18.920869827270508
the picker to the side of the waiters exaggerates,-21.933499813079834,-24.11586284637451,-27.14387035369873,-19.365083694458008,-15.596382141113281,-18.739675521850586
the pickers to the side of the waiters exaggerates,-22.64000415802002,-26.352478981018066,-29.025752544403076,-21.761469841003418,-18.035093307495117,-19.730262756347656
the pickers to the side of the waiter exaggerate,-22.318541526794434,-24.414189338684082,-25.237483024597168,-18.05762243270874,-18.089820861816406,-16.384543418884277
the picker to the side of the waiter exaggerate,-22.097827911376953,-22.66506290435791,-24.471708297729492,-18.58968162536621,-20.18470287322998,-17.5855131149292
the pickers to the side of the waiters exaggerate,-22.31091833114624,-23.160003662109375,-25.98677158355713,-16.79802131652832,-15.347448348999023,-16.095605850219727
the picker to the side of the waiters exaggerate,-21.475831508636475,-20.55104970932007,-24.015679836273193,-16.43422794342041,-17.04338836669922,-17.533992767333984
the picker across from the waiter exaggerates,-21.04033613204956,-23.30799102783203,-27.644081115722656,-19.34629535675049,-17.57761812210083,-18.341423988342285
the pickers across from the waiter exaggerates,-21.657666206359863,-25.390798568725586,-28.745529651641846,-21.6752667427063,-20.955440521240234,-19.957180500030518
the picker across from the waiters exaggerates,-20.176466941833496,-21.618287086486816,-26.506446361541748,-19.062716484069824,-15.021163940429688,-17.633846282958984
the pickers across from the waiters exaggerates,-20.710156440734863,-24.658129692077637,-28.22399616241455,-21.819936275482178,-18.227299690246582,-19.78258991241455
the pickers across from the waiter exaggerate,-20.956257343292236,-21.82281494140625,-24.65501642227173,-18.529603481292725,-18.758750915527344,-17.22495412826538
the picker across from the waiter exaggerate,-19.956716537475586,-19.429789066314697,-23.45292615890503,-18.920753479003906,-20.88291597366333,-18.043882369995117
the pickers across from the waiters exaggerate,-20.184818267822266,-21.21840238571167,-24.69469690322876,-18.348827838897705,-15.619709014892578,-16.066469192504883
the picker across from the waiters exaggerate,-19.216413497924805,-17.891077995300293,-22.82162570953369,-18.107426643371582,-18.218095779418945,-17.068891525268555
the picker next to the waiter screams,-15.045108795166016,-15.97276782989502,-17.232650756835938,-12.64879322052002,-13.525836944580078,-15.594390869140625
the pickers next to the waiter screams,-16.259457111358643,-15.285745620727539,-16.82402992248535,-13.079111099243164,-13.26920223236084,-15.524858951568604
