sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the picker grinds,-18.193958282470703,-16.977705001831055,-17.518918991088867,-13.676053524017334,-10.865551948547363,-17.803441047668457
the pickers grinds,-15.449148178100586,-16.37700653076172,-14.291136741638184,-15.948110103607178,-11.528489112854004,-15.989150047302246
the pickers grind,-13.390692710876465,-13.260518074035645,-12.393574714660645,-9.477258682250977,-10.031315803527832,-9.941516876220703
the picker grind,-13.644844055175781,-12.298616409301758,-12.476038932800293,-8.438921451568604,-9.023366928100586,-10.762715339660645
the picker exaggerates,-23.502020835876465,-24.19364643096924,-25.481196403503418,-17.730669021606445,-16.073817253112793,-14.979867935180664
the pickers exaggerates,-22.370339393615723,-24.752683639526367,-24.20647621154785,-19.569634914398193,-19.743581771850586,-18.418726921081543
the pickers exaggerate,-21.848888874053955,-22.61859369277954,-21.046144008636475,-15.198800563812256,-14.284414291381836,-14.358885765075684
the picker exaggerate,-22.66296100616455,-21.997121810913086,-21.750539302825928,-19.197561264038086,-18.562525749206543,-16.520575523376465
the picker screams,-14.471280097961426,-15.80512809753418,-16.004672050476074,-9.740701675415039,-12.945651531219482,-15.528413772583008
the pickers screams,-15.597835540771484,-14.812788009643555,-14.76921272277832,-14.31547737121582,-17.135088443756104,-15.514764785766602
the pickers scream,-12.14364242553711,-13.389811515808105,-12.989975929260254,-12.150286674499512,-13.03783130645752,-12.614256858825684
the picker scream,-12.460695266723633,-14.140298843383789,-13.505352020263672,-9.100131034851074,-11.672399044036865,-12.227139472961426
the picker swims,-12.714091300964355,-13.344850540161133,-11.647353172302246,-15.362195014953613,-12.3290696144104,-14.020684242248535
the pickers swims,-12.96103572845459,-15.146668434143066,-12.35721206665039,-18.843375205993652,-17.475610733032227,-18.27527618408203
the pickers swim,-8.575769424438477,-9.271388053894043,-7.66353702545166,-10.916668891906738,-10.494232177734375,-9.521001815795898
the picker swim,-10.251773834228516,-11.177665710449219,-10.294051170349121,-10.293489456176758,-10.323887825012207,-11.3090238571167
the picker enjoys,-24.920286178588867,-24.6282958984375,-20.5089373588562,-8.576290130615234,-13.52718734741211,-11.721698760986328
the pickers enjoys,-23.229448318481445,-22.257556438446045,-21.62214183807373,-8.870972156524658,-11.85294246673584,-10.381013870239258
the pickers enjoy,-10.043560028076172,-11.430150985717773,-8.818257331848145,-7.486525535583496,-8.34858226776123,-8.414306640625
the picker enjoy,-14.137815475463867,-12.907540321350098,-12.308852195739746,-10.075959205627441,-13.494706153869629,-12.43582820892334
the picker draws,-13.657083511352539,-11.812978744506836,-13.84004259109497,-8.989663124084473,-9.375420570373535,-8.316654205322266
the pickers draws,-11.033746719360352,-11.503588676452637,-10.667366027832031,-12.659643650054932,-15.212906837463379,-12.327672004699707
the pickers draw,-9.158827781677246,-8.663899421691895,-7.4035868644714355,-8.759979248046875,-9.336280822753906,-8.880498886108398
the picker draw,-11.50063705444336,-9.824838638305664,-10.082526206970215,-8.953325271606445,-9.214860916137695,-8.302452087402344
the picker rests,-15.466969966888428,-17.738912105560303,-16.533254623413086,-10.114596366882324,-10.540586471557617,-10.506157875061035
the pickers rests,-16.508248805999756,-20.183688163757324,-14.84967565536499,-15.324389457702637,-15.205558776855469,-14.754276275634766
the pickers rest,-10.795805931091309,-12.205284118652344,-9.359865188598633,-9.28598403930664,-9.437386512756348,-10.043136596679688
the picker rest,-11.67083740234375,-11.011794090270996,-10.684081077575684,-9.704227447509766,-9.152368545532227,-8.443275451660156
the picker runs,-9.526973724365234,-10.721354484558105,-9.23894214630127,-8.850517272949219,-9.925605773925781,-8.419686317443848
the pickers runs,-13.133698463439941,-14.804078102111816,-11.90684986114502,-10.474783897399902,-12.491512298583984,-11.730205535888672
the pickers run,-6.896385192871094,-8.899215698242188,-8.112579345703125,-6.944578170776367,-8.277138710021973,-9.092077255249023
the picker run,-8.529322624206543,-11.164112091064453,-9.26693058013916,-10.010886192321777,-8.687763214111328,-9.883471488952637
the picker plays,-9.363264083862305,-8.97400188446045,-8.450970649719238,-7.050971984863281,-9.355320930480957,-9.37376594543457
the pickers plays,-10.772282600402832,-12.245738983154297,-9.528396606445312,-9.634919166564941,-10.568692207336426,-9.705036163330078
the pickers play,-6.120281219482422,-6.199411392211914,-5.124871730804443,-8.011720657348633,-8.084391593933105,-6.398716926574707
the picker play,-8.956584930419922,-8.950469970703125,-7.864502906799316,-10.055974960327148,-10.279964447021484,-9.847168922424316
the picker works,-10.638139724731445,-7.191387176513672,-7.267752647399902,-7.668292045593262,-7.759188652038574,-8.514325141906738
the pickers works,-10.593883514404297,-10.741911888122559,-8.934426307678223,-11.850239753723145,-11.873723030090332,-11.457667350769043
the pickers work,-7.860769748687744,-7.787992477416992,-6.33810567855835,-9.066078186035156,-9.299261093139648,-8.87197208404541
the picker work,-10.928025245666504,-10.667739868164062,-6.797740936279297,-8.612504959106445,-9.548011779785156,-11.343291282653809
the harvester grinds,-13.971806526184082,-11.05184555053711,-11.616732597351074,-17.09374475479126,-8.576278686523438,-14.493697166442871
the harvesters grinds,-11.992738723754883,-11.76561164855957,-12.043984413146973,-17.72018003463745,-11.363119125366211,-16.58413600921631
the harvesters grind,-11.335901260375977,-10.437044143676758,-10.950098991394043,-11.112675666809082,-10.529541015625,-10.537185668945312
the harvester grind,-12.568181037902832,-9.551804542541504,-10.726780891418457,-10.291810035705566,-8.079170227050781,-8.382455825805664
the harvester exaggerates,-23.826467037200928,-24.843204498291016,-27.38273286819458,-19.016942024230957,-14.391998291015625,-16.26247215270996
the harvesters exaggerates,-24.031654834747314,-24.58717632293701,-28.374220848083496,-20.178125858306885,-19.746583938598633,-17.94302749633789
the harvesters exaggerate,-23.769049167633057,-21.960917472839355,-24.806869506835938,-17.655624866485596,-15.559830665588379,-15.024561882019043
the harvester exaggerate,-24.148144245147705,-22.002792358398438,-24.051132678985596,-18.613003730773926,-16.37309455871582,-15.802416801452637
the harvester screams,-16.27249813079834,-14.191629409790039,-12.886813163757324,-11.697168350219727,-13.219446659088135,-11.416672706604004
the harvesters screams,-15.702583312988281,-12.062064170837402,-17.157843589782715,-14.300908088684082,-17.63014507293701,-13.272244453430176
the harvesters scream,-11.600762367248535,-10.771465301513672,-13.983680725097656,-12.61758804321289,-15.121123313903809,-12.554594039916992
the harvester scream,-12.011402130126953,-12.551180839538574,-10.391670227050781,-10.075509071350098,-12.576050281524658,-10.419022560119629
the harvester swims,-13.141975402832031,-12.095149040222168,-9.602235794067383,-18.25071620941162,-16.443975925445557,-14.224200248718262
the harvesters swims,-13.903948783874512,-13.024019241333008,-13.149598121643066,-20.324912071228027,-19.154272079467773,-17.36615753173828
the harvesters swim,-9.091243743896484,-5.786102294921875,-8.197946548461914,-12.410148620605469,-9.846390724182129,-9.709753036499023
the harvester swim,-9.157241821289062,-8.419411659240723,-8.606826782226562,-11.015527725219727,-8.957120895385742,-10.264370918273926
the harvester enjoys,-20.07990026473999,-20.254969596862793,-18.95636510848999,-12.012985229492188,-12.724187850952148,-12.373308181762695
the harvesters enjoys,-18.645519256591797,-18.951294422149658,-20.912417888641357,-10.472275733947754,-13.600720405578613,-10.992639541625977
the harvesters enjoy,-9.055537223815918,-7.2554192543029785,-9.9718599319458,-8.779784202575684,-7.841662406921387,-8.069921493530273
the harvester enjoy,-11.80283260345459,-9.24118709564209,-10.854758262634277,-12.047764778137207,-11.367748260498047,-10.625189781188965
the harvester draws,-9.620296001434326,-13.220593452453613,-10.473721504211426,-9.762893676757812,-8.84640884399414,-8.152796745300293
the harvesters draws,-13.023130416870117,-12.160210609436035,-14.242188930511475,-14.189692497253418,-16.293105125427246,-12.170472145080566
the harvesters draw,-9.92267894744873,-10.101512908935547,-10.274635314941406,-10.662312507629395,-9.976897239685059,-9.930399894714355
the harvester draw,-7.607926845550537,-11.727507591247559,-8.221879005432129,-9.274955749511719,-8.516087532043457,-7.913122177124023
the harvester rests,-17.691057682037354,-16.445440769195557,-12.449806213378906,-11.522162437438965,-12.467777252197266,-12.918862342834473
the harvesters rests,-16.242798805236816,-17.3730149269104,-15.819643497467041,-14.354189395904541,-15.41014814376831,-14.572371482849121
the harvesters rest,-10.665569305419922,-10.844658851623535,-10.86936092376709,-9.096585273742676,-10.131657600402832,-10.395870208740234
the harvester rest,-12.442553520202637,-11.584234237670898,-8.814513206481934,-9.614222526550293,-9.88231086730957,-10.664433479309082
the harvester runs,-12.206522941589355,-9.311018943786621,-10.7145414352417,-8.673835754394531,-8.640584945678711,-9.293356895446777
the harvesters runs,-10.74631404876709,-11.314775466918945,-12.866930961608887,-10.52464485168457,-10.167792320251465,-9.613433837890625
the harvesters run,-7.7494707107543945,-6.375984191894531,-9.843876838684082,-7.184839248657227,-7.3509697914123535,-6.653532028198242
the harvester run,-10.569417953491211,-8.529295921325684,-9.37224006652832,-8.474821090698242,-8.19117259979248,-9.04874038696289
the harvester plays,-6.278893947601318,-10.244089126586914,-8.49691390991211,-8.832015991210938,-9.002326011657715,-7.906271934509277
the harvesters plays,-11.374361038208008,-12.130353927612305,-11.286211967468262,-11.392525672912598,-9.716047286987305,-8.860016822814941
the harvesters play,-7.432816505432129,-7.758243083953857,-8.520882606506348,-7.829347610473633,-8.423930168151855,-5.916463375091553
the harvester play,-6.327752113342285,-9.312458992004395,-7.059761047363281,-7.860304832458496,-9.923909187316895,-8.315940856933594
the harvester works,-6.469094276428223,-9.217061042785645,-8.525802612304688,-10.068568229675293,-7.740133762359619,-9.318418502807617
the harvesters works,-9.540539741516113,-10.043108940124512,-9.437877655029297,-13.302395820617676,-11.35321044921875,-11.386672973632812
the harvesters work,-9.78021240234375,-6.13801383972168,-7.474038600921631,-8.870893478393555,-9.212932586669922,-9.251299858093262
the harvester work,-8.603604316711426,-10.39382553100586,-8.316283226013184,-10.005363464355469,-9.991681098937988,-10.564606666564941
the fireman grinds,-13.659185409545898,-14.061140060424805,-13.058111190795898,-14.561597347259521,-10.657320022583008,-17.50162410736084
the firemen grinds,-16.854832649230957,-14.684346199035645,-14.34860610961914,-16.794276237487793,-14.46837043762207,-16.68017292022705
the firemen grind,-16.09068489074707,-12.505708694458008,-12.18359375,-10.195900917053223,-12.969959259033203,-11.64758586883545
the fireman grind,-13.361345291137695,-12.403182983398438,-11.74668025970459,-8.47894287109375,-9.143593788146973,-11.4620361328125
