sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the picker that likes the waiter grinds,-15.868019104003906,-12.372678756713867,-13.147330284118652,-11.386795997619629,-13.599814414978027,-16.353590965270996
the pickers that like the waiter grinds,-14.780401229858398,-11.24349308013916,-11.6665678024292,-14.041736602783203,-12.487180709838867,-18.33900785446167
the picker that likes the waiters grinds,-16.484557151794434,-10.614908218383789,-13.983338356018066,-15.726323127746582,-11.732528686523438,-13.60745906829834
the pickers that like the waiters grinds,-16.25600528717041,-11.68238353729248,-13.967013359069824,-16.658353805541992,-12.30881118774414,-17.30594301223755
the pickers that like the waiter grind,-12.795284271240234,-9.429245948791504,-10.84766674041748,-9.63352108001709,-10.834423065185547,-10.41423511505127
the picker that likes the waiter grind,-11.516852378845215,-9.11270523071289,-11.032658576965332,-9.162741661071777,-11.739083290100098,-12.150837898254395
the pickers that like the waiters grind,-13.889069557189941,-9.222623825073242,-13.269817352294922,-11.426660537719727,-11.313519477844238,-9.919239044189453
the picker that likes the waiters grind,-13.166852951049805,-8.738356590270996,-13.202468872070312,-11.898394584655762,-10.99697208404541,-10.314582824707031
the picker that hates the waiter grinds,-14.313284873962402,-13.091329574584961,-14.419300079345703,-12.855561256408691,-13.042268753051758,-17.569193840026855
the pickers that hate the waiter grinds,-13.648385047912598,-10.260498046875,-12.049283027648926,-12.236377716064453,-13.064332962036133,-18.003044605255127
the picker that hates the waiters grinds,-15.117146492004395,-11.587367057800293,-15.204208374023438,-16.556286811828613,-12.179496765136719,-13.849299430847168
the pickers that hate the waiters grinds,-14.415068626403809,-11.21452808380127,-14.179197311401367,-15.947582721710205,-12.329926490783691,-14.97869348526001
the pickers that hate the waiter grind,-12.228215217590332,-8.783799171447754,-11.564912796020508,-8.88771677017212,-11.273783683776855,-13.625988006591797
the picker that hates the waiter grind,-12.705680847167969,-10.138193130493164,-11.995723724365234,-10.075730323791504,-11.363723754882812,-13.923442840576172
the pickers that hate the waiters grind,-12.66260814666748,-9.19444751739502,-13.659966468811035,-11.10257625579834,-11.116292953491211,-11.017878532409668
the picker that hates the waiters grind,-14.369855880737305,-9.651681900024414,-13.851211547851562,-12.343961715698242,-11.613273620605469,-11.13036823272705
the picker that loves the waiter grinds,-15.247732162475586,-11.645864486694336,-13.35812759399414,-13.356263160705566,-12.960173606872559,-19.383602619171143
the pickers that love the waiter grinds,-14.05282974243164,-9.72522258758545,-11.691704750061035,-12.540120124816895,-13.60832405090332,-18.05657148361206
the picker that loves the waiters grinds,-15.434003829956055,-10.311939239501953,-14.463228225708008,-16.80225372314453,-11.502599716186523,-16.1428279876709
the pickers that love the waiters grinds,-15.976733207702637,-10.608059406280518,-14.074158668518066,-15.349346160888672,-12.612305641174316,-15.726951599121094
the pickers that love the waiter grind,-12.30420970916748,-8.199570655822754,-10.647862434387207,-8.760549545288086,-11.106325149536133,-11.88021469116211
the picker that loves the waiter grind,-11.148028373718262,-8.842414855957031,-11.124876976013184,-10.5127592086792,-11.22354507446289,-13.978022575378418
the pickers that love the waiters grind,-13.937628746032715,-8.501522541046143,-13.261085510253906,-10.876028060913086,-11.079814910888672,-10.29590129852295
the picker that loves the waiters grind,-12.740988731384277,-8.794861793518066,-13.705652236938477,-12.120388984680176,-10.775595664978027,-11.618202209472656
the picker that admires the waiter grinds,-11.79347038269043,-11.828594207763672,-11.283486366271973,-13.384116172790527,-13.935988426208496,-17.818841457366943
the pickers that admire the waiter grinds,-13.106571197509766,-10.685585021972656,-11.60272216796875,-12.115814208984375,-14.033295631408691,-17.843282222747803
the picker that admires the waiters grinds,-12.976539611816406,-10.91767406463623,-12.877579689025879,-17.285464763641357,-12.798358917236328,-15.09956169128418
the pickers that admire the waiters grinds,-13.888535499572754,-11.336270332336426,-13.331826210021973,-16.330803871154785,-13.050371170043945,-15.665040969848633
the pickers that admire the waiter grind,-12.625041961669922,-9.28052043914795,-10.56208610534668,-8.98210334777832,-11.418099403381348,-11.858470916748047
the picker that admires the waiter grind,-11.561787605285645,-8.953387260437012,-10.651165008544922,-9.773709297180176,-11.934206008911133,-12.226044654846191
the pickers that admire the waiters grind,-13.281371116638184,-9.466645240783691,-12.562396049499512,-11.118795394897461,-11.83504867553711,-9.83558177947998
the picker that admires the waiters grind,-12.73911190032959,-8.972820281982422,-12.562479972839355,-12.013540267944336,-11.844135284423828,-10.010369300842285
the picker that likes the waiter exaggerates,-22.7694730758667,-23.46396827697754,-25.27651023864746,-19.822468757629395,-16.37116813659668,-15.208890914916992
the pickers that like the waiter exaggerates,-22.79805564880371,-24.900020599365234,-26.38565444946289,-22.170711040496826,-17.321742057800293,-16.486919403076172
the picker that likes the waiters exaggerates,-22.078694820404053,-23.226140022277832,-23.430808067321777,-18.784664154052734,-13.998749732971191,-14.356934547424316
the pickers that like the waiters exaggerates,-22.203062534332275,-25.994315147399902,-25.718894004821777,-21.63579225540161,-17.203518867492676,-17.358123779296875
the pickers that like the waiter exaggerate,-22.180784702301025,-23.317845344543457,-22.568315982818604,-17.371514797210693,-15.701951026916504,-13.942423820495605
the picker that likes the waiter exaggerate,-22.036232471466064,-22.00604009628296,-21.983351230621338,-19.87705135345459,-19.37008285522461,-15.75654411315918
the pickers that like the waiters exaggerate,-21.837766647338867,-24.061845302581787,-22.343965530395508,-16.438254833221436,-14.16942024230957,-13.61914348602295
the picker that likes the waiters exaggerate,-21.71599292755127,-21.52463722229004,-20.58412742614746,-17.485610008239746,-15.319652557373047,-13.620871543884277
the picker that hates the waiter exaggerates,-25.193285942077637,-25.139424324035645,-26.703048706054688,-19.384705543518066,-17.03721809387207,-15.789112091064453
the pickers that hate the waiter exaggerates,-22.71946382522583,-24.76583766937256,-26.54598617553711,-21.480796813964844,-17.025948524475098,-17.23402976989746
the picker that hates the waiters exaggerates,-24.757238388061523,-23.77709674835205,-25.006163120269775,-19.642288208007812,-14.85345458984375,-14.318975448608398
the pickers that hate the waiters exaggerates,-21.92578125,-26.653928756713867,-26.125493049621582,-21.295851707458496,-16.553359031677246,-15.965437889099121
the pickers that hate the waiter exaggerate,-22.187796115875244,-23.592920303344727,-23.06077289581299,-17.179503440856934,-16.641718864440918,-15.499480247497559
the picker that hates the waiter exaggerate,-23.902359008789062,-23.14592742919922,-23.287012577056885,-17.52210521697998,-19.35169506072998,-16.522077560424805
the pickers that hate the waiters exaggerate,-21.541913509368896,-25.17154312133789,-22.96646547317505,-16.678648948669434,-14.24470043182373,-12.53325080871582
the picker that hates the waiters exaggerate,-23.798107147216797,-21.674592971801758,-22.0916485786438,-16.401062965393066,-16.073280334472656,-13.376779556274414
the picker that loves the waiter exaggerates,-22.460011959075928,-23.179473876953125,-25.45463752746582,-19.277277946472168,-17.00068950653076,-15.849677085876465
the pickers that love the waiter exaggerates,-22.439804077148438,-24.05478858947754,-25.842767238616943,-18.692734241485596,-14.513382911682129,-15.110031127929688
the picker that loves the waiters exaggerates,-21.982927799224854,-23.102932453155518,-23.710372924804688,-18.779232025146484,-15.512560844421387,-15.34787654876709
the pickers that love the waiters exaggerates,-22.333236694335938,-24.904824256896973,-25.57817792892456,-19.587486267089844,-14.991942405700684,-14.630090713500977
the pickers that love the waiter exaggerate,-22.08448076248169,-23.182828903198242,-22.182955265045166,-15.519153118133545,-14.97651195526123,-13.767956733703613
the picker that loves the waiter exaggerate,-21.635900020599365,-21.794374465942383,-22.22254228591919,-18.59307289123535,-19.12077236175537,-15.382058143615723
the pickers that love the waiters exaggerate,-22.16495180130005,-23.891891479492188,-22.44574737548828,-15.851924896240234,-13.424044609069824,-11.526485443115234
the picker that loves the waiters exaggerate,-21.567047595977783,-21.490264415740967,-20.93242835998535,-16.445626258850098,-15.700186729431152,-13.494000434875488
the picker that admires the waiter exaggerates,-23.203928470611572,-24.07298469543457,-25.65225124359131,-20.04450511932373,-17.19925594329834,-15.757936477661133
the pickers that admire the waiter exaggerates,-23.741211414337158,-25.270395278930664,-25.4417724609375,-20.432462692260742,-17.595755577087402,-16.763992309570312
the picker that admires the waiters exaggerates,-22.375844955444336,-24.63377857208252,-25.21907138824463,-19.02982997894287,-13.825018882751465,-14.915854930877686
the pickers that admire the waiters exaggerates,-22.961695671081543,-26.859490394592285,-26.026752471923828,-19.0128812789917,-14.952383041381836,-15.664284229278564
the pickers that admire the waiter exaggerate,-23.843000411987305,-23.224306106567383,-22.489059925079346,-19.336363792419434,-17.10980224609375,-15.43322467803955
the picker that admires the waiter exaggerate,-23.368516445159912,-22.236262321472168,-22.923503398895264,-19.2675199508667,-19.052547454833984,-16.143044471740723
the pickers that admire the waiters exaggerate,-22.946940898895264,-24.74483013153076,-23.360716819763184,-17.251004219055176,-13.783876419067383,-12.74391508102417
the picker that admires the waiters exaggerate,-22.531919956207275,-22.623936653137207,-22.789219856262207,-17.095983505249023,-14.94987964630127,-13.95533037185669
the picker that likes the waiter screams,-13.797904014587402,-13.764261245727539,-18.091833114624023,-12.937101364135742,-14.28990650177002,-12.920524597167969
the pickers that like the waiter screams,-13.772095680236816,-13.8218412399292,-17.917048454284668,-14.095498085021973,-13.702314376831055,-14.104613304138184
the picker that likes the waiters screams,-16.108732223510742,-12.556625366210938,-14.720963478088379,-14.105239868164062,-14.06764030456543,-13.75270938873291
the pickers that like the waiters screams,-15.805479049682617,-12.759198188781738,-15.411860466003418,-17.158435821533203,-17.052533626556396,-16.478384017944336
the pickers that like the waiter scream,-10.977751731872559,-12.448623657226562,-14.958147048950195,-12.322266578674316,-11.782975196838379,-11.229519844055176
the picker that likes the waiter scream,-11.254220008850098,-12.284972190856934,-14.476673126220703,-12.725151062011719,-12.400193214416504,-11.59087085723877
the pickers that like the waiters scream,-12.775269508361816,-10.641158103942871,-13.262944221496582,-13.288978576660156,-13.557811260223389,-13.535022735595703
the picker that likes the waiters scream,-13.7227783203125,-10.255805969238281,-12.903145790100098,-13.563170433044434,-12.576210021972656,-12.957674026489258
the picker that hates the waiter screams,-14.758471488952637,-13.359986305236816,-15.950601577758789,-13.070540428161621,-13.788697242736816,-13.886824607849121
the pickers that hate the waiter screams,-13.61382007598877,-12.21213150024414,-16.078073501586914,-13.444136619567871,-13.45436143875122,-15.362165451049805
the picker that hates the waiters screams,-16.268909454345703,-12.798803329467773,-14.662637710571289,-14.36997127532959,-13.364516258239746,-14.373773574829102
the pickers that hate the waiters screams,-14.867719650268555,-11.105896949768066,-14.377260208129883,-16.116028785705566,-16.290871620178223,-15.918441772460938
the pickers that hate the waiter scream,-10.469134330749512,-11.289267539978027,-13.674595832824707,-11.988137245178223,-11.279619216918945,-12.880167961120605
the picker that hates the waiter scream,-11.706504821777344,-12.011372566223145,-14.255521774291992,-12.804832458496094,-11.84913444519043,-12.668961524963379
the pickers that hate the waiters scream,-11.364421844482422,-9.369961738586426,-12.495095252990723,-12.45963191986084,-12.954227447509766,-13.255487442016602
the picker that hates the waiters scream,-12.834567070007324,-10.920804023742676,-13.629767417907715,-13.628632545471191,-12.189324378967285,-13.603400230407715
