sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the picker grinds and exaggerates,-25.548522472381592,-21.65481662750244,-22.32653522491455,-14.27244758605957,-15.357536315917969,-16.713300704956055
the pickers grind and exaggerates,-24.253929138183594,-24.33681583404541,-21.7102370262146,-14.913442611694336,-17.617965698242188,-15.60428237915039
the pickers grind and exaggerate,-23.901700973510742,-21.84006118774414,-17.809097290039062,-12.416733741760254,-13.731409072875977,-14.544218063354492
the picker grinds and exaggerate,-24.74124002456665,-18.66955280303955,-18.031320095062256,-14.806265830993652,-15.767143249511719,-15.603202819824219
the picker grinds and screams,-13.467582702636719,-10.18430233001709,-12.437145233154297,-7.621342182159424,-9.265997409820557,-11.073742866516113
the pickers grind and screams,-14.555572509765625,-10.985607147216797,-13.56210994720459,-7.904842853546143,-11.51890516281128,-9.940024852752686
the pickers grind and scream,-11.365347862243652,-9.442159652709961,-10.605250358581543,-6.238147258758545,-9.664419651031494,-8.227236270904541
the picker grinds and scream,-11.191580772399902,-9.585153579711914,-10.790401458740234,-7.018852710723877,-8.91389513015747,-8.894460678100586
the picker grinds and swims,-10.344117164611816,-12.963326454162598,-12.615595817565918,-12.508564472198486,-12.829512596130371,-12.362060070037842
the pickers grind and swims,-9.483114242553711,-12.571170806884766,-10.846375465393066,-11.987843990325928,-13.221164226531982,-12.842679023742676
the pickers grind and swim,-8.634479522705078,-9.491924285888672,-6.631904125213623,-7.801241874694824,-8.864540100097656,-9.945772171020508
the picker grinds and swim,-8.875856399536133,-9.764314651489258,-8.201096534729004,-8.582282066345215,-8.66663932800293,-9.547859191894531
the picker grinds and enjoys,-21.14835500717163,-17.673423767089844,-19.436792373657227,-13.957390785217285,-14.945406436920166,-12.287627220153809
the pickers grind and enjoys,-20.566168785095215,-17.909972190856934,-19.86766815185547,-14.155630111694336,-14.51373815536499,-12.116058349609375
the pickers grind and enjoy,-9.649971008300781,-9.932125091552734,-8.988980293273926,-9.696111679077148,-11.17696475982666,-9.351380348205566
the picker grinds and enjoy,-9.081709861755371,-9.979206085205078,-8.337723731994629,-10.543294906616211,-10.841841697692871,-10.400169372558594
the picker grinds and draws,-10.162846565246582,-10.63863468170166,-13.657652854919434,-7.4530415534973145,-7.683575630187988,-7.269043445587158
the pickers grind and draws,-10.820805549621582,-10.788432121276855,-13.424283027648926,-8.928922176361084,-10.6995530128479,-6.615224361419678
the pickers grind and draw,-8.828187942504883,-9.353096961975098,-9.623675346374512,-6.677644729614258,-7.824306488037109,-5.816493511199951
the picker grinds and draw,-9.035932540893555,-9.726654052734375,-9.591291427612305,-6.234420299530029,-7.370049476623535,-6.277054309844971
the picker grinds and rests,-13.11529016494751,-9.940815925598145,-8.850250720977783,-9.629776954650879,-8.154509544372559,-10.536264896392822
the pickers grind and rests,-15.700363159179688,-13.34536075592041,-12.372325897216797,-10.291025161743164,-9.985397338867188,-11.283473014831543
the pickers grind and rest,-8.835001945495605,-8.089797973632812,-8.224958419799805,-8.06730842590332,-7.3925981521606445,-8.1614351272583
the picker grinds and rest,-7.996859073638916,-7.881644248962402,-7.502715587615967,-8.065046310424805,-7.210126876831055,-7.653438568115234
the picker grinds and runs,-11.279787063598633,-11.311542510986328,-10.852738380432129,-8.49250316619873,-7.040492057800293,-8.337733268737793
the pickers grind and runs,-12.578349113464355,-10.978139877319336,-12.067279815673828,-9.550467491149902,-9.826468467712402,-9.43960189819336
the pickers grind and run,-7.072196960449219,-8.068635940551758,-7.623126029968262,-6.2301530838012695,-6.164613246917725,-7.107325553894043
the picker grinds and run,-7.2491254806518555,-8.062870025634766,-7.081772804260254,-6.776733875274658,-6.835752010345459,-7.54481315612793
the picker grinds and plays,-9.786892890930176,-11.80534553527832,-9.435708045959473,-8.516141891479492,-7.939848899841309,-7.155789852142334
the pickers grind and plays,-10.227344512939453,-11.837250709533691,-10.583076477050781,-10.188032150268555,-10.315812110900879,-7.562099456787109
the pickers grind and play,-5.988624095916748,-7.4455108642578125,-5.536386013031006,-6.592175006866455,-8.155097007751465,-5.264568328857422
the picker grinds and play,-5.884886741638184,-7.444794178009033,-5.664626598358154,-7.9726104736328125,-7.809928894042969,-6.052347183227539
the picker grinds and works,-12.213569641113281,-11.788968086242676,-13.366466522216797,-8.43521785736084,-8.590027809143066,-9.322344779968262
the pickers grind and works,-12.819123268127441,-12.138673782348633,-14.123218536376953,-10.449986457824707,-10.581443786621094,-10.031187057495117
the pickers grind and work,-7.8920512199401855,-8.356592178344727,-9.120627403259277,-9.192776679992676,-9.014336585998535,-8.86607837677002
the picker grinds and work,-7.707698822021484,-8.960561752319336,-8.89518928527832,-9.081007957458496,-8.94021224975586,-8.630701065063477
the picker exaggerates and screams,-14.464714050292969,-13.580618858337402,-15.542272567749023,-9.021569728851318,-10.218297004699707,-9.248466491699219
the pickers exaggerate and screams,-15.248071193695068,-13.193016052246094,-15.71615219116211,-10.500609874725342,-14.27400541305542,-10.30093240737915
the pickers exaggerate and scream,-11.241584777832031,-10.89039421081543,-11.946765899658203,-9.126095294952393,-10.634151935577393,-8.406154155731201
the picker exaggerates and scream,-11.16574764251709,-11.536087989807129,-12.908884048461914,-8.976730823516846,-10.030035018920898,-8.914013862609863
the picker exaggerates and swims,-11.102439880371094,-12.744820594787598,-14.335564613342285,-14.22310209274292,-14.334702491760254,-12.010676383972168
the pickers exaggerate and swims,-11.950709342956543,-12.130826950073242,-13.876838684082031,-15.606931686401367,-15.070762634277344,-13.282812595367432
the pickers exaggerate and swim,-10.080471992492676,-10.470285415649414,-10.326892852783203,-7.154115200042725,-7.388204574584961,-8.086577415466309
the picker exaggerates and swim,-10.255085945129395,-10.85329532623291,-10.887960433959961,-7.864861488342285,-7.565593719482422,-8.924050331115723
the picker exaggerates and enjoys,-19.584664821624756,-17.19695234298706,-15.771009922027588,-12.457254409790039,-13.125027179718018,-10.630309581756592
the pickers exaggerate and enjoys,-19.85885524749756,-17.70034408569336,-16.196823120117188,-13.88847017288208,-13.358065605163574,-11.429739952087402
the pickers exaggerate and enjoy,-7.221782684326172,-6.889740943908691,-6.592580318450928,-8.261677742004395,-9.103094100952148,-8.069550514221191
the picker exaggerates and enjoy,-7.6777238845825195,-7.193560600280762,-7.209738254547119,-10.195743560791016,-10.591562271118164,-9.226561546325684
the picker exaggerates and draws,-11.037339210510254,-10.711106300354004,-14.597704887390137,-5.175822734832764,-6.493999481201172,-5.537051677703857
the pickers exaggerate and draws,-11.28664779663086,-11.26193904876709,-14.003003597259521,-9.009726524353027,-10.263753414154053,-5.684990882873535
the pickers exaggerate and draw,-9.55855941772461,-9.714884757995605,-10.27072525024414,-6.34616756439209,-6.2410688400268555,-5.548199653625488
the picker exaggerates and draw,-9.462212562561035,-9.490577697753906,-11.23454475402832,-5.130763530731201,-6.034341812133789,-5.2900471687316895
the picker exaggerates and rests,-16.094024658203125,-13.07719373703003,-11.605586051940918,-7.556210517883301,-8.033998966217041,-8.138283252716064
the pickers exaggerate and rests,-16.6165189743042,-14.56207275390625,-11.468435287475586,-8.425785541534424,-10.52123737335205,-9.249967575073242
the pickers exaggerate and rest,-9.499281883239746,-10.606986045837402,-8.352575302124023,-6.5774359703063965,-6.398015022277832,-6.089170455932617
the picker exaggerates and rest,-9.27861213684082,-9.680351257324219,-8.786540031433105,-7.404152870178223,-6.83613920211792,-6.785031795501709
the picker exaggerates and runs,-11.292441368103027,-11.802180290222168,-10.796319007873535,-5.93994665145874,-5.615171432495117,-5.551449298858643
the pickers exaggerate and runs,-11.879358291625977,-10.863114356994629,-11.06107234954834,-8.220197677612305,-9.417678833007812,-8.88237190246582
the pickers exaggerate and run,-7.586461067199707,-8.842874526977539,-7.820300579071045,-3.3457388877868652,-5.255354404449463,-5.011688232421875
the picker exaggerates and run,-7.760210990905762,-8.496132850646973,-8.828390121459961,-6.602919101715088,-8.073740005493164,-6.401703357696533
the picker exaggerates and plays,-8.008722305297852,-10.060894012451172,-7.662957191467285,-7.001494884490967,-5.804591655731201,-5.194523811340332
the pickers exaggerate and plays,-8.560264587402344,-9.52796459197998,-7.589714050292969,-9.889935493469238,-10.94731330871582,-8.520148277282715
the pickers exaggerate and play,-5.641982078552246,-7.563118934631348,-4.060297966003418,-4.736994743347168,-6.578285217285156,-4.138218879699707
the picker exaggerates and play,-5.507748126983643,-6.739511489868164,-5.020259857177734,-7.593289375305176,-7.159188270568848,-6.091505527496338
the picker exaggerates and works,-10.249615669250488,-10.001884460449219,-10.411044120788574,-6.815436840057373,-6.884956359863281,-6.873983383178711
the pickers exaggerate and works,-10.322582244873047,-8.622509002685547,-10.308849334716797,-9.415793418884277,-9.322078704833984,-10.037667274475098
the pickers exaggerate and work,-7.8111467361450195,-7.928910255432129,-6.793412685394287,-6.730598449707031,-7.047601222991943,-6.84731388092041
the picker exaggerates and work,-7.829441070556641,-6.706055164337158,-7.587785720825195,-7.8802666664123535,-8.469616889953613,-8.016016006469727
the picker screams and swims,-12.611437797546387,-10.933219909667969,-12.241888046264648,-12.344655990600586,-14.263545513153076,-9.967830657958984
the pickers scream and swims,-11.673398971557617,-11.534656524658203,-11.254194259643555,-12.601917743682861,-13.814745426177979,-9.666948795318604
the pickers scream and swim,-8.925683975219727,-9.535881042480469,-9.03377628326416,-7.377500534057617,-7.235788345336914,-8.399676322937012
the picker screams and swim,-8.761204719543457,-9.630352020263672,-9.659689903259277,-7.282598495483398,-7.8972978591918945,-9.458151817321777
the picker screams and enjoys,-19.572670459747314,-17.786112785339355,-20.81481170654297,-14.344382762908936,-14.981344223022461,-11.56901502609253
the pickers scream and enjoys,-20.065584659576416,-18.56407642364502,-20.929380893707275,-15.1963472366333,-15.210576057434082,-11.90468978881836
the pickers scream and enjoy,-7.90410041809082,-8.279937744140625,-10.371065139770508,-7.7008771896362305,-9.430084228515625,-7.896751403808594
the picker screams and enjoy,-7.5891642570495605,-8.151084899902344,-9.015440940856934,-9.16312026977539,-10.182302474975586,-9.089826583862305
the picker screams and draws,-12.233550071716309,-13.047830581665039,-16.04857635498047,-5.399569988250732,-6.078793525695801,-5.910926818847656
the pickers scream and draws,-14.525004386901855,-15.230221271514893,-15.989853382110596,-7.166684627532959,-8.242193222045898,-5.953001022338867
