sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le visiteur que la femme aime poursuit,-22.013320922851562,-19.32584285736084,-17.618377208709717,-13.401087760925293,-13.425833702087402,-12.64775276184082
les visiteurs que la femme aime poursuit,-21.145191192626953,-19.342533111572266,-16.599177360534668,-13.143911361694336,-14.285354614257812,-12.84924602508545
le visiteur que les femmes aiment poursuit,-20.113133430480957,-19.550764083862305,-15.772328853607178,-11.202776908874512,-11.112563133239746,-12.466285705566406
les visiteurs que les femmes aiment poursuit,-19.37010955810547,-19.314091682434082,-15.224497318267822,-12.29858684539795,-12.102439880371094,-12.549856185913086
les visiteurs que la femme aime poursuivent,-20.746082305908203,-19.64863109588623,-20.985356330871582,-10.679183006286621,-12.481999397277832,-11.830692291259766
le visiteur que la femme aime poursuivent,-21.863750457763672,-20.901569366455078,-23.875211715698242,-15.049201965332031,-16.024520874023438,-15.805022239685059
les visiteurs que les femmes aiment poursuivent,-18.00252056121826,-18.5841646194458,-17.510996341705322,-11.38322639465332,-10.715784072875977,-12.744754791259766
le visiteur que les femmes aiment poursuivent,-18.611289024353027,-19.267560958862305,-19.2420072555542,-12.148459434509277,-12.430118560791016,-14.301154136657715
le visiteur que la femme aime grandit,-15.685760498046875,-13.040412902832031,-13.907434463500977,-9.833819389343262,-8.196990013122559,-14.573685646057129
les visiteurs que la femme aime grandit,-16.52819061279297,-13.727592468261719,-14.276740074157715,-10.093757629394531,-8.50210952758789,-12.934978485107422
le visiteur que les femmes aiment grandit,-15.681381225585938,-13.074585914611816,-13.56661319732666,-12.646055221557617,-10.409207344055176,-11.680569648742676
les visiteurs que les femmes aiment grandit,-16.182905197143555,-13.072698593139648,-13.787775993347168,-13.774442672729492,-13.174095153808594,-12.569722175598145
les visiteurs que la femme aime grandissent,-23.60103416442871,-23.364900588989258,-24.47222137451172,-10.803572654724121,-10.739767074584961,-15.719278335571289
le visiteur que la femme aime grandissent,-23.90195608139038,-24.71660804748535,-24.704081535339355,-13.130683898925781,-13.848890781402588,-18.70965576171875
les visiteurs que les femmes aiment grandissent,-20.060623168945312,-20.232248306274414,-20.638245582580566,-10.85538101196289,-10.51110553741455,-12.412903785705566
le visiteur que les femmes aiment grandissent,-20.628626823425293,-20.91485023498535,-21.49962329864502,-10.783058166503906,-11.589795112609863,-12.232779502868652
le visiteur que la femme aime apprend,-14.434394836425781,-12.538082122802734,-13.004627227783203,-11.389646530151367,-12.280949592590332,-10.965066909790039
les visiteurs que la femme aime apprend,-14.752362251281738,-13.917651176452637,-13.453449249267578,-12.576608657836914,-13.194063186645508,-11.43531322479248
le visiteur que les femmes aiment apprend,-15.166502952575684,-12.329025268554688,-14.954410552978516,-11.470494270324707,-10.10283374786377,-11.243485450744629
les visiteurs que les femmes aiment apprend,-15.186911582946777,-12.79183578491211,-15.116991996765137,-13.307690620422363,-11.534384727478027,-12.729382514953613
les visiteurs que la femme aime apprennent,-14.781180381774902,-14.83648681640625,-15.32111930847168,-13.121402740478516,-13.827692985534668,-12.608174324035645
le visiteur que la femme aime apprennent,-16.07743740081787,-16.673954010009766,-14.973953247070312,-16.048112869262695,-15.463386535644531,-19.04672908782959
les visiteurs que les femmes aiment apprennent,-12.17631721496582,-10.626325607299805,-11.257723808288574,-13.165727615356445,-12.43455982208252,-11.948354244232178
le visiteur que les femmes aiment apprennent,-11.955572128295898,-10.859685897827148,-10.761842727661133,-15.335855484008789,-14.507412910461426,-13.846357822418213
le visiteur que la femme aime descend,-12.263891220092773,-11.610143661499023,-11.112277030944824,-12.823531150817871,-8.981908798217773,-13.143353462219238
les visiteurs que la femme aime descend,-12.30430793762207,-11.737624168395996,-11.20311450958252,-12.201010704040527,-8.346291542053223,-12.199979782104492
le visiteur que les femmes aiment descend,-13.060592651367188,-11.693001747131348,-11.124340057373047,-8.09756088256836,-7.624295234680176,-7.909382343292236
les visiteurs que les femmes aiment descend,-12.932353973388672,-11.105120658874512,-10.887585639953613,-7.513017654418945,-6.52105712890625,-8.088602066040039
les visiteurs que la femme aime descendent,-15.42792797088623,-15.340296745300293,-12.764354705810547,-13.227517127990723,-9.671712875366211,-12.742493629455566
le visiteur que la femme aime descendent,-17.022484302520752,-15.993473052978516,-13.006326675415039,-18.544917583465576,-14.588782787322998,-20.01227045059204
les visiteurs que les femmes aiment descendent,-15.205263137817383,-14.333334922790527,-11.0293607711792,-8.024831771850586,-6.674783706665039,-8.398031234741211
le visiteur que les femmes aiment descendent,-15.233366966247559,-15.42599105834961,-11.23011302947998,-8.533275604248047,-8.240676879882812,-8.435976505279541
le visiteur que la femme aime attend,-12.72202205657959,-10.500960350036621,-11.765746116638184,-10.019712448120117,-11.540069580078125,-11.808713912963867
les visiteurs que la femme aime attend,-13.097509384155273,-10.904549598693848,-11.808173179626465,-9.399194717407227,-10.967939376831055,-11.401297569274902
le visiteur que les femmes aiment attend,-12.694915771484375,-10.425887107849121,-11.744893074035645,-7.8186845779418945,-9.47950553894043,-10.182954788208008
les visiteurs que les femmes aiment attend,-13.02940845489502,-10.079182624816895,-11.720343589782715,-8.380067825317383,-8.885878562927246,-10.638742446899414
les visiteurs que la femme aime attendent,-16.43224334716797,-14.083171844482422,-13.468560218811035,-9.740577697753906,-12.266690254211426,-13.539408683776855
le visiteur que la femme aime attendent,-18.867305755615234,-15.380401134490967,-13.688962936401367,-15.839804649353027,-17.729788780212402,-20.057191848754883
les visiteurs que les femmes aiment attendent,-15.122013092041016,-12.318052291870117,-11.90420150756836,-11.342517852783203,-10.499592781066895,-12.14453125
le visiteur que les femmes aiment attendent,-16.116662979125977,-13.197258949279785,-11.932799339294434,-9.895215034484863,-12.654779434204102,-12.828682899475098
le visiteur que la femme aime arrive,-13.08346176147461,-10.296177864074707,-11.851324081420898,-11.114461898803711,-10.026620864868164,-9.912324905395508
les visiteurs que la femme aime arrive,-13.691296577453613,-11.10471248626709,-12.68338394165039,-11.024271011352539,-10.119187355041504,-10.23226261138916
le visiteur que les femmes aiment arrive,-12.703065872192383,-11.556665420532227,-12.741663932800293,-7.719213962554932,-6.529685974121094,-8.312746047973633
les visiteurs que les femmes aiment arrive,-13.117354393005371,-11.549269676208496,-12.958194732666016,-7.782364845275879,-6.973402500152588,-8.119123458862305
les visiteurs que la femme aime arrivent,-10.98452091217041,-11.575121879577637,-10.8934326171875,-14.157889366149902,-12.404770851135254,-11.590957641601562
le visiteur que la femme aime arrivent,-11.39657974243164,-12.09211254119873,-10.449858665466309,-15.292383193969727,-14.174299240112305,-14.466804504394531
les visiteurs que les femmes aiment arrivent,-10.226733207702637,-9.353899002075195,-9.065933227539062,-10.325849533081055,-8.43934440612793,-13.276789665222168
le visiteur que les femmes aiment arrivent,-10.417933464050293,-10.127267837524414,-8.76712703704834,-10.738382339477539,-9.569422721862793,-13.531536102294922
le visiteur que la femme aime met,-12.478352546691895,-12.948945999145508,-13.917617797851562,-11.413673400878906,-11.425963401794434,-9.82443904876709
les visiteurs que la femme aime met,-12.90064811706543,-13.400856018066406,-13.969512939453125,-12.169772148132324,-12.536458969116211,-10.289666175842285
le visiteur que les femmes aiment met,-12.891839981079102,-12.585514068603516,-13.414546012878418,-10.853639602661133,-9.693889617919922,-9.35354232788086
les visiteurs que les femmes aiment met,-13.384337425231934,-12.388343811035156,-13.325790405273438,-11.89224910736084,-10.825762748718262,-10.205673217773438
les visiteurs que la femme aime mettent,-11.423768043518066,-12.901408195495605,-11.868085861206055,-11.946795463562012,-11.095255851745605,-11.202485084533691
le visiteur que la femme aime mettent,-12.084835052490234,-13.721570014953613,-12.4066743850708,-13.519037246704102,-13.164521217346191,-12.91707706451416
les visiteurs que les femmes aiment mettent,-10.082586288452148,-8.250399589538574,-9.908565521240234,-11.828775405883789,-9.833003997802734,-11.048200607299805
le visiteur que les femmes aiment mettent,-10.125173568725586,-9.321157455444336,-10.259466171264648,-11.002446174621582,-10.459528923034668,-10.944906234741211
le visiteur que l'adulte aime poursuit,-22.62134027481079,-18.17786741256714,-19.222610473632812,-13.930964469909668,-14.022845268249512,-13.131366729736328
les visiteurs que l'adulte aime poursuit,-21.657376289367676,-17.945334911346436,-18.152892112731934,-14.39744758605957,-14.979656219482422,-13.586612701416016
le visiteur que les adultes aiment poursuit,-19.53517436981201,-20.890019416809082,-16.500641345977783,-12.040440559387207,-11.826275825500488,-12.12618350982666
les visiteurs que les adultes aiment poursuit,-19.304903984069824,-21.074100494384766,-15.897834777832031,-12.368666648864746,-12.912274360656738,-12.67127799987793
les visiteurs que l'adulte aime poursuivent,-21.428465366363525,-19.141716957092285,-23.93505048751831,-10.659507751464844,-13.19003677368164,-12.722970008850098
le visiteur que l'adulte aime poursuivent,-22.872079849243164,-20.930288314819336,-26.664782524108887,-16.79401206970215,-17.528905868530273,-17.16378688812256
les visiteurs que les adultes aiment poursuivent,-18.192219734191895,-19.763097286224365,-18.89619207382202,-10.668581008911133,-11.224825859069824,-12.768237113952637
le visiteur que les adultes aiment poursuivent,-18.352067470550537,-20.019929885864258,-20.577980995178223,-11.526796340942383,-12.98238754272461,-14.280813217163086
le visiteur que l'adulte aime grandit,-15.050949096679688,-12.48636245727539,-15.111120223999023,-10.149991989135742,-9.892146110534668,-13.86246395111084
les visiteurs que l'adulte aime grandit,-15.688700675964355,-12.740591049194336,-15.201581001281738,-11.256237030029297,-10.521380424499512,-12.636510848999023
le visiteur que les adultes aiment grandit,-16.32198715209961,-13.67982292175293,-13.851749420166016,-12.588395118713379,-11.317968368530273,-11.107376098632812
les visiteurs que les adultes aiment grandit,-16.815771102905273,-13.846822738647461,-14.168766021728516,-13.856400966644287,-13.93370246887207,-12.0541410446167
les visiteurs que l'adulte aime grandissent,-22.311386585235596,-23.18910026550293,-24.20552635192871,-10.424354553222656,-10.858963012695312,-15.833059310913086
le visiteur que l'adulte aime grandissent,-24.782840728759766,-24.47158432006836,-25.183656692504883,-14.21852731704712,-13.88371229171753,-19.554248332977295
les visiteurs que les adultes aiment grandissent,-19.949248790740967,-20.281200408935547,-20.76963996887207,-11.19482421875,-11.000754356384277,-11.642509460449219
le visiteur que les adultes aiment grandissent,-19.97599220275879,-20.56226634979248,-21.60900115966797,-11.207473754882812,-12.370463371276855,-11.637704849243164
le visiteur que l'adulte aime apprend,-13.671955108642578,-12.353265762329102,-14.027071952819824,-10.90023136138916,-13.187104225158691,-12.216696739196777
les visiteurs que l'adulte aime apprend,-14.054075241088867,-13.31900405883789,-14.501425743103027,-13.468538284301758,-14.45943832397461,-13.037961959838867
le visiteur que les adultes aiment apprend,-15.915750503540039,-13.142955780029297,-14.76976203918457,-11.875680923461914,-11.042533874511719,-11.413702964782715
les visiteurs que les adultes aiment apprend,-15.780227661132812,-13.735719680786133,-14.920228958129883,-13.33649730682373,-12.707293510437012,-13.120487213134766
les visiteurs que l'adulte aime apprennent,-13.565047264099121,-13.290735244750977,-14.323284149169922,-14.430409908294678,-13.7196626663208,-13.327129364013672
le visiteur que l'adulte aime apprennent,-15.152904510498047,-14.755064964294434,-14.564817428588867,-16.823460578918457,-16.023012161254883,-19.527194023132324
les visiteurs que les adultes aiment apprennent,-12.541611671447754,-11.255599975585938,-11.6115140914917,-13.310440063476562,-12.553240776062012,-11.183698654174805
le visiteur que les adultes aiment apprennent,-12.590407371520996,-11.336874961853027,-11.171135902404785,-15.478506088256836,-15.13381814956665,-13.067986488342285
le visiteur que l'adulte aime descend,-12.470847129821777,-11.743547439575195,-12.278616905212402,-12.624329566955566,-9.390937805175781,-13.703405380249023
les visiteurs que l'adulte aime descend,-12.430604934692383,-11.875473022460938,-12.236335754394531,-11.992612838745117,-8.586280822753906,-13.436022758483887
le visiteur que les adultes aiment descend,-14.80648422241211,-12.594672203063965,-12.080608367919922,-8.001762390136719,-7.201435089111328,-7.482470512390137
les visiteurs que les adultes aiment descend,-14.719844818115234,-12.165630340576172,-12.015848159790039,-7.751458644866943,-6.276820659637451,-7.682804107666016
les visiteurs que l'adulte aime descendent,-16.08617115020752,-14.2483549118042,-15.01333236694336,-12.187138557434082,-9.015707969665527,-13.768457412719727
le visiteur que l'adulte aime descendent,-18.00973892211914,-14.968739986419678,-15.971863746643066,-17.888222694396973,-15.230917930603027,-19.21023941040039
les visiteurs que les adultes aiment descendent,-16.923452377319336,-13.697880744934082,-12.238590240478516,-8.231797695159912,-6.520102024078369,-7.861174583435059
le visiteur que les adultes aiment descendent,-16.68056869506836,-14.246145248413086,-12.295347213745117,-8.579129219055176,-7.867352485656738,-7.78969669342041
le visiteur que l'adulte aime attend,-12.452131271362305,-11.095746994018555,-13.271167755126953,-11.721648216247559,-12.08089542388916,-12.903280258178711
les visiteurs que l'adulte aime attend,-12.849197387695312,-11.259420394897461,-13.181890487670898,-11.511222839355469,-11.085680961608887,-12.318746566772461
le visiteur que les adultes aiment attend,-12.971030235290527,-10.660433769226074,-11.225890159606934,-7.483055591583252,-9.23962688446045,-10.494847297668457
les visiteurs que les adultes aiment attend,-13.292466163635254,-10.511394500732422,-11.201001167297363,-8.1766357421875,-8.934922218322754,-10.831559181213379
les visiteurs que l'adulte aime attendent,-18.171796798706055,-15.291049003601074,-14.718430519104004,-11.569660186767578,-11.381307601928711,-14.725479125976562
le visiteur que l'adulte aime attendent,-20.7899112701416,-16.13475465774536,-15.705339431762695,-17.947198390960693,-18.004260063171387,-20.676159381866455
les visiteurs que les adultes aiment attendent,-15.293656349182129,-12.30137825012207,-11.77099609375,-10.365202903747559,-10.544108390808105,-11.782902717590332
le visiteur que les adultes aiment attendent,-16.349184036254883,-12.832727432250977,-11.784889221191406,-9.336665630340576,-11.92255687713623,-12.289739608764648
le visiteur que l'adulte aime arrive,-12.091415405273438,-11.017444610595703,-12.898968696594238,-11.519584655761719,-11.168896675109863,-10.407367706298828
les visiteurs que l'adulte aime arrive,-12.752992630004883,-11.84693431854248,-13.751039505004883,-12.261289596557617,-11.513531684875488,-10.598820686340332
le visiteur que les adultes aiment arrive,-13.372013092041016,-12.148564338684082,-12.935079574584961,-7.258572578430176,-6.735874176025391,-7.382822036743164
les visiteurs que les adultes aiment arrive,-13.556343078613281,-12.279659271240234,-13.317533493041992,-7.315102577209473,-7.142968654632568,-7.471312522888184
les visiteurs que l'adulte aime arrivent,-11.147027969360352,-11.851655006408691,-11.293196678161621,-12.450519561767578,-13.269315719604492,-12.638910293579102
le visiteur que l'adulte aime arrivent,-11.722063064575195,-12.526567459106445,-11.200654029846191,-15.757909774780273,-14.964461326599121,-16.52680206298828
les visiteurs que les adultes aiment arrivent,-11.384750366210938,-10.575923919677734,-9.719717979431152,-10.03162956237793,-9.286046028137207,-12.678771018981934
le visiteur que les adultes aiment arrivent,-11.486980438232422,-10.992655754089355,-9.286362648010254,-10.35983657836914,-10.247477531433105,-12.964959144592285
le visiteur que l'adulte aime met,-11.76357364654541,-12.418805122375488,-14.14346694946289,-10.989680290222168,-11.42111587524414,-10.187339782714844
