sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le visiteur que la femme aime poursuit,-7.978781700134277,-7.132373809814453,-6.793636798858643,-5.881200313568115,-8.67552661895752,-5.89353609085083
le visiteur que les femmes aime poursuit,-8.966045379638672,-8.326791763305664,-7.584395408630371,-9.457390785217285,-10.414522171020508,-8.825021743774414
le visiteur que les femmes aiment poursuit,-5.913238048553467,-6.821093559265137,-5.032373905181885,-7.487839221954346,-12.565804481506348,-10.603658676147461
le visiteur que la femme aiment poursuit,-10.383888244628906,-11.749990463256836,-10.906192779541016,-13.000260829925537,-18.72240924835205,-17.90317392349243
les visiteurs que la femme aime poursuivent,-8.040678024291992,-8.076581954956055,-6.987165927886963,-6.63664436340332,-7.691080093383789,-6.288886547088623
les visiteurs que les femmes aime poursuivent,-9.079761505126953,-9.408622741699219,-7.688959121704102,-10.786446571350098,-11.061036109924316,-9.626216888427734
les visiteurs que les femmes aiment poursuivent,-5.733658790588379,-7.212062358856201,-5.333261966705322,-9.251214981079102,-12.375139236450195,-9.067839622497559
les visiteurs que la femme aiment poursuivent,-9.80872917175293,-11.382729530334473,-10.67313289642334,-12.421143054962158,-14.558391094207764,-12.803357601165771
le visiteur que la femme aime grandit,-7.978781700134277,-7.132373809814453,-6.793636798858643,-5.881200313568115,-8.67552661895752,-5.89353609085083
le visiteur que les femmes aime grandit,-8.966044425964355,-8.326790809631348,-7.584396839141846,-9.457390785217285,-10.414522171020508,-8.825021743774414
le visiteur que les femmes aiment grandit,-5.91323709487915,-6.82109260559082,-5.032374382019043,-7.487839221954346,-12.565804481506348,-10.603658676147461
le visiteur que la femme aiment grandit,-10.383888244628906,-11.749990463256836,-10.906192779541016,-13.000260829925537,-18.72240924835205,-17.90317392349243
les visiteurs que la femme aime grandissent,-8.040678977966309,-8.076581954956055,-6.9871649742126465,-6.63664436340332,-7.691080093383789,-6.288886547088623
les visiteurs que les femmes aime grandissent,-9.079761505126953,-9.408622741699219,-7.688959121704102,-10.786446571350098,-11.061036109924316,-9.626216888427734
les visiteurs que les femmes aiment grandissent,-5.733658790588379,-7.212062358856201,-5.333261966705322,-9.251214981079102,-12.375139236450195,-9.067839622497559
les visiteurs que la femme aiment grandissent,-9.808730125427246,-11.38272762298584,-10.673131942749023,-12.421143054962158,-14.558391094207764,-12.803357601165771
le visiteur que la femme aime apprend,-7.978781700134277,-7.132373809814453,-6.793636798858643,-5.881200313568115,-8.67552661895752,-5.89353609085083
le visiteur que les femmes aime apprend,-8.966044425964355,-8.326790809631348,-7.584396839141846,-9.457390785217285,-10.414522171020508,-8.825021743774414
le visiteur que les femmes aiment apprend,-5.91323709487915,-6.82109260559082,-5.032374382019043,-7.487839221954346,-12.565804481506348,-10.603658676147461
le visiteur que la femme aiment apprend,-10.383888244628906,-11.749990463256836,-10.906192779541016,-13.000260829925537,-18.72240924835205,-17.90317392349243
les visiteurs que la femme aime apprennent,-8.040678977966309,-8.076581954956055,-6.9871649742126465,-6.63664436340332,-7.691080093383789,-6.288886547088623
les visiteurs que les femmes aime apprennent,-9.079760551452637,-9.408620834350586,-7.688958644866943,-10.786446571350098,-11.061036109924316,-9.626216888427734
les visiteurs que les femmes aiment apprennent,-5.733658313751221,-7.212059497833252,-5.333261013031006,-9.251214981079102,-12.375139236450195,-9.067839622497559
les visiteurs que la femme aiment apprennent,-9.808730125427246,-11.38272762298584,-10.673131942749023,-12.421143054962158,-14.558391094207764,-12.803357601165771
le visiteur que la femme aime descend,-7.978781700134277,-7.132373809814453,-6.793636798858643,-5.881200313568115,-8.67552661895752,-5.89353609085083
le visiteur que les femmes aime descend,-8.966044425964355,-8.326790809631348,-7.584396839141846,-9.457390785217285,-10.414522171020508,-8.825021743774414
le visiteur que les femmes aiment descend,-5.91323709487915,-6.82109260559082,-5.032374382019043,-7.487839221954346,-12.565804481506348,-10.603658676147461
le visiteur que la femme aiment descend,-10.383888244628906,-11.749990463256836,-10.906192779541016,-13.000260829925537,-18.72240924835205,-17.90317392349243
les visiteurs que la femme aime descendent,-8.040678977966309,-8.076581954956055,-6.9871649742126465,-6.63664436340332,-7.691080093383789,-6.288886547088623
les visiteurs que les femmes aime descendent,-9.079760551452637,-9.408620834350586,-7.688958644866943,-10.786446571350098,-11.061036109924316,-9.626216888427734
