sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le visiteur devant la femme poursuit,-20.073901176452637,-19.00534963607788,-16.617189407348633,-7.534142017364502,-8.73410701751709,-9.264193534851074
les visiteurs devant la femme poursuit,-19.265888690948486,-19.030368328094482,-15.14055347442627,-9.758373260498047,-11.057171821594238,-9.503153800964355
le visiteur devant les femmes poursuit,-16.43162202835083,-17.62082862854004,-15.123197555541992,-9.790934562683105,-9.346845626831055,-9.730308532714844
les visiteurs devant les femmes poursuit,-16.34497356414795,-18.28643035888672,-13.748486042022705,-13.437735557556152,-12.400303840637207,-13.182707786560059
les visiteurs devant la femme poursuivent,-19.050545692443848,-19.12847661972046,-18.38419008255005,-10.147832870483398,-7.6453728675842285,-6.369124412536621
le visiteur devant la femme poursuivent,-20.20287847518921,-20.98787546157837,-21.213029861450195,-18.683835983276367,-15.100074768066406,-13.954462051391602
les visiteurs devant les femmes poursuivent,-15.495111465454102,-17.812629222869873,-16.462034225463867,-9.416387557983398,-8.029109477996826,-6.972036838531494
le visiteur devant les femmes poursuivent,-15.618038654327393,-17.97740888595581,-19.09957790374756,-15.346124649047852,-14.277308464050293,-12.91402816772461
le visiteur derrière la femme poursuit,-20.61368227005005,-19.21329641342163,-16.176605224609375,-7.456370830535889,-7.873586177825928,-9.030135154724121
les visiteurs derrière la femme poursuit,-19.68528985977173,-19.398425579071045,-14.654715061187744,-7.679965019226074,-9.04911994934082,-9.475333213806152
le visiteur derrière les femmes poursuit,-17.01383066177368,-18.11710214614868,-14.75163984298706,-9.118650436401367,-8.242209434509277,-10.316424369812012
les visiteurs derrière les femmes poursuit,-16.654510498046875,-18.557233810424805,-13.211480617523193,-11.904998779296875,-11.486872673034668,-13.373093605041504
les visiteurs derrière la femme poursuivent,-19.186150550842285,-19.23951482772827,-18.111838340759277,-12.24610710144043,-10.76796817779541,-7.727470874786377
le visiteur derrière la femme poursuivent,-20.426604747772217,-21.096315383911133,-21.091650009155273,-19.024666786193848,-17.534945487976074,-15.185073852539062
les visiteurs derrière les femmes poursuivent,-15.492929935455322,-17.93381404876709,-16.299927234649658,-9.329239845275879,-9.249282836914062,-8.218571186065674
le visiteur derrière les femmes poursuivent,-15.915439128875732,-18.442736625671387,-19.17121696472168,-12.270371437072754,-13.646151542663574,-13.387852668762207
le visiteur en face de la femme poursuit,-19.744642734527588,-18.107582092285156,-15.799184799194336,-8.758393287658691,-9.147000312805176,-9.578218460083008
les visiteurs en face de la femme poursuit,-19.110572338104248,-18.07700538635254,-14.18184518814087,-11.319851875305176,-12.045559883117676,-10.802227973937988
le visiteur en face des femmes poursuit,-16.95557737350464,-17.98082399368286,-14.100621223449707,-10.269865989685059,-9.654802322387695,-10.44420337677002
les visiteurs en face des femmes poursuit,-16.859378814697266,-17.366540908813477,-12.286561012268066,-14.269660949707031,-12.926864624023438,-14.65457534790039
les visiteurs en face de la femme poursuivent,-19.374354362487793,-18.441730499267578,-16.35407066345215,-10.84096908569336,-9.089035034179688,-6.907954216003418
le visiteur en face de la femme poursuivent,-20.145577430725098,-19.9719820022583,-18.833725929260254,-19.328779220581055,-16.628453254699707,-14.140156745910645
les visiteurs en face des femmes poursuivent,-17.17057466506958,-17.04359197616577,-13.947760581970215,-10.399518013000488,-8.902851104736328,-8.30304479598999
le visiteur en face des femmes poursuivent,-17.60611915588379,-18.661502361297607,-17.142427444458008,-16.546229362487793,-14.943450927734375,-14.31128978729248
