sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le visiteur poursuit,-18.456796646118164,-17.224191665649414,-16.502405643463135,-10.763904571533203,-8.723663330078125,-9.808308601379395
les visiteurs poursuit,-18.169081211090088,-16.07620620727539,-13.332386016845703,-12.839954376220703,-13.220775604248047,-13.90595817565918
les visiteurs poursuivent,-17.876214504241943,-14.7950439453125,-16.59003496170044,-8.650896072387695,-8.041364192962646,-9.239834785461426
le visiteur poursuivent,-19.66969108581543,-17.96285915374756,-22.103453636169434,-18.545515060424805,-13.021064758300781,-13.665018081665039
le visiteur grandit,-10.952341079711914,-12.955095291137695,-10.973264694213867,-8.476710319519043,-8.820965766906738,-9.706356048583984
les visiteurs grandit,-14.92707347869873,-13.318475723266602,-11.873762130737305,-12.403287887573242,-15.289913177490234,-12.293153762817383
les visiteurs grandissent,-20.87556552886963,-20.90341091156006,-22.123825073242188,-10.368291854858398,-11.067144393920898,-11.425793647766113
le visiteur grandissent,-24.987018585205078,-23.308093070983887,-25.632841110229492,-18.040658950805664,-16.48087501525879,-13.902918815612793
le visiteur apprend,-10.500980377197266,-12.193097114562988,-11.809086799621582,-9.811092376708984,-8.6834135055542,-10.889153480529785
les visiteurs apprend,-13.951376914978027,-13.111527442932129,-14.210710525512695,-14.331623077392578,-12.800264358520508,-12.60488224029541
les visiteurs apprennent,-12.998637199401855,-12.930068016052246,-10.783170700073242,-9.685087203979492,-10.055875778198242,-9.384371757507324
le visiteur apprennent,-18.092649459838867,-21.15204381942749,-16.307671546936035,-14.975842475891113,-15.374969482421875,-13.81169319152832
le visiteur descend,-8.55668830871582,-8.547128677368164,-7.424356460571289,-10.697847366333008,-9.813186645507812,-11.278925895690918
les visiteurs descend,-9.62912654876709,-7.711584568023682,-8.026918411254883,-7.9842400550842285,-6.266708850860596,-8.986753463745117
les visiteurs descendent,-10.461119651794434,-8.258114337921143,-9.164473533630371,-8.274110317230225,-6.326998233795166,-9.324553489685059
le visiteur descendent,-13.801399230957031,-12.935524463653564,-14.135820865631104,-17.945624828338623,-17.264705657958984,-20.516472816467285
le visiteur attend,-9.418636322021484,-11.024471282958984,-9.114498138427734,-10.250434875488281,-10.02698040008545,-11.081560134887695
les visiteurs attend,-10.063446044921875,-10.18264389038086,-8.551118850708008,-8.945290565490723,-8.034332275390625,-9.02365493774414
les visiteurs attendent,-10.93443775177002,-11.726547241210938,-9.810407638549805,-9.57308578491211,-8.162205696105957,-10.06699275970459
le visiteur attendent,-15.372774600982666,-15.790579319000244,-14.115984916687012,-20.192172050476074,-17.59523057937622,-18.858725547790527
le visiteur arrive,-7.440855503082275,-8.83653450012207,-6.947544574737549,-8.593488693237305,-7.6278839111328125,-8.634626388549805
les visiteurs arrive,-12.040556907653809,-11.13482666015625,-9.431010246276855,-9.193209648132324,-7.760800838470459,-9.483596801757812
les visiteurs arrivent,-8.343111038208008,-7.365124702453613,-5.270843505859375,-8.001855850219727,-6.954671382904053,-8.136836051940918
le visiteur arrivent,-11.494306564331055,-12.391792297363281,-11.209391593933105,-13.071677207946777,-11.845019340515137,-14.10900592803955
le visiteur met,-9.280564308166504,-9.49022102355957,-8.86020565032959,-9.981780052185059,-7.13624906539917,-6.684502601623535
les visiteurs met,-11.125069618225098,-9.997306823730469,-10.943685531616211,-11.331332206726074,-11.103048324584961,-10.228001594543457
les visiteurs mettent,-8.951834678649902,-8.809550285339355,-7.4715046882629395,-7.856907367706299,-5.71095085144043,-7.013878345489502
le visiteur mettent,-13.395870208740234,-14.312769889831543,-15.076566696166992,-13.24536418914795,-11.784784317016602,-12.303226470947266
le joueur poursuit,-20.721662044525146,-21.376911163330078,-19.48959255218506,-7.488430023193359,-8.301815032958984,-7.086836814880371
les joueurs poursuit,-20.814892292022705,-21.138795852661133,-15.03440523147583,-12.459152221679688,-11.183879852294922,-9.790834426879883
les joueurs poursuivent,-20.604307174682617,-17.614331245422363,-16.042215824127197,-7.222995281219482,-6.538527011871338,-6.689855575561523
le joueur poursuivent,-21.419090270996094,-20.415954113006592,-22.832743644714355,-13.301072120666504,-13.001296997070312,-10.381786346435547
le joueur grandit,-9.900676727294922,-12.996041297912598,-10.086325645446777,-9.547064781188965,-8.623479843139648,-12.139265060424805
les joueurs grandit,-13.26535701751709,-13.037980079650879,-11.24158000946045,-10.72952938079834,-13.395624160766602,-12.669986724853516
les joueurs grandissent,-22.684393882751465,-21.578466415405273,-21.04813575744629,-8.990375518798828,-9.995598793029785,-12.03160572052002
le joueur grandissent,-26.77707576751709,-25.963391304016113,-26.557101726531982,-18.272316932678223,-16.824790000915527,-18.775883674621582
le joueur apprend,-9.439225196838379,-13.061851501464844,-12.116095542907715,-7.2475056648254395,-7.175074100494385,-7.358371257781982
les joueurs apprend,-12.884077072143555,-13.564521789550781,-14.518245697021484,-13.361571311950684,-12.100648880004883,-11.529947280883789
les joueurs apprennent,-12.534500122070312,-11.946946144104004,-10.650859832763672,-7.246635437011719,-7.557539939880371,-7.319259166717529
le joueur apprennent,-19.136865615844727,-21.387849807739258,-16.886253356933594,-11.913121700286865,-13.384371757507324,-10.818753719329834
le joueur descend,-8.467247009277344,-9.51679515838623,-7.741703510284424,-9.848492622375488,-9.364977836608887,-9.606908798217773
les joueurs descend,-9.176414489746094,-8.108173370361328,-8.780753135681152,-9.053059577941895,-7.853146553039551,-8.715829849243164
les joueurs descendent,-9.577957153320312,-8.989129066467285,-9.515090942382812,-9.191545486450195,-7.879251003265381,-8.802019119262695
le joueur descendent,-13.512367248535156,-15.603307247161865,-14.660757541656494,-17.90084743499756,-17.631694793701172,-18.98444366455078
le joueur attend,-9.297800064086914,-11.392353057861328,-8.066694259643555,-9.468829154968262,-8.814475059509277,-8.802513122558594
les joueurs attend,-9.839140892028809,-9.785903930664062,-8.127732276916504,-9.315284729003906,-8.115398406982422,-8.528294563293457
les joueurs attendent,-10.00830078125,-10.86263370513916,-8.565652847290039,-9.40164566040039,-8.215242385864258,-8.819168090820312
le joueur attendent,-13.612648487091064,-15.254531383514404,-12.977715969085693,-19.953639030456543,-16.61305332183838,-17.737960815429688
le joueur arrive,-6.7901835441589355,-9.997225761413574,-5.7799973487854,-5.954014778137207,-6.972561359405518,-5.949669361114502
les joueurs arrive,-11.60598087310791,-11.341840744018555,-9.076818466186523,-8.948043823242188,-7.531970977783203,-8.811386108398438
les joueurs arrivent,-8.190215110778809,-6.783816814422607,-5.269366264343262,-7.7010393142700195,-8.113351821899414,-7.814299583435059
le joueur arrivent,-12.15915584564209,-13.150394439697266,-11.079130172729492,-13.927741050720215,-13.536355972290039,-12.008930206298828
le joueur met,-8.636552810668945,-9.84917163848877,-8.31674861907959,-7.693323135375977,-7.367166996002197,-6.430630683898926
les joueurs met,-10.271223068237305,-10.415782928466797,-10.200139999389648,-11.222192764282227,-10.420758247375488,-9.957183837890625
les joueurs mettent,-7.973639965057373,-10.218400001525879,-7.761381149291992,-7.842639923095703,-7.5436811447143555,-8.591465950012207
le joueur mettent,-13.541950225830078,-16.23874282836914,-15.623279571533203,-12.892273902893066,-12.374823570251465,-13.116917610168457
le chanteur poursuit,-19.793778896331787,-19.818993091583252,-15.89126968383789,-7.494628429412842,-7.5234375,-7.629409313201904
les chanteurs poursuit,-20.244359493255615,-19.380266666412354,-13.211414813995361,-11.844143867492676,-10.757280349731445,-11.396900177001953
les chanteurs poursuivent,-20.102006912231445,-16.185960292816162,-16.30678939819336,-8.591343879699707,-8.224959373474121,-7.198824405670166
le chanteur poursuivent,-20.62716293334961,-17.654037952423096,-21.972787857055664,-13.24404525756836,-11.828092575073242,-11.631382942199707
le chanteur grandit,-10.236788749694824,-13.434680938720703,-10.24483871459961,-10.027441024780273,-10.2752046585083,-11.136775970458984
les chanteurs grandit,-14.282483100891113,-13.605687141418457,-11.876628875732422,-13.445341110229492,-9.81186580657959,-10.731959342956543
les chanteurs grandissent,-20.800033569335938,-20.801755905151367,-22.43018627166748,-11.077733039855957,-10.606118202209473,-10.404195785522461
le chanteur grandissent,-23.4047908782959,-24.846689701080322,-25.652109622955322,-16.784778594970703,-14.975382328033447,-18.493446350097656
le chanteur apprend,-9.797566413879395,-12.79845905303955,-11.49293327331543,-6.373077869415283,-7.179098606109619,-7.6487507820129395
les chanteurs apprend,-13.391080856323242,-13.662040710449219,-14.392624855041504,-12.215584754943848,-11.213732719421387,-12.023966789245605
les chanteurs apprennent,-12.0198335647583,-11.388059616088867,-11.509196281433105,-9.477242469787598,-9.093083381652832,-7.993609428405762
le chanteur apprennent,-17.26776123046875,-20.49914026260376,-17.348610401153564,-10.865368366241455,-12.863125324249268,-10.596074104309082
le chanteur descend,-11.067737579345703,-9.557513236999512,-9.17318344116211,-10.363882064819336,-10.561422348022461,-11.24319076538086
les chanteurs descend,-11.177610397338867,-8.867265701293945,-9.562089920043945,-9.326784133911133,-8.26736831665039,-8.474709510803223
les chanteurs descendent,-11.742376327514648,-9.422164916992188,-10.034918785095215,-10.212820053100586,-8.65367317199707,-8.543854713439941
le chanteur descendent,-14.968996524810791,-15.854194641113281,-15.271043300628662,-17.59023094177246,-19.528939247131348,-20.539109230041504
le chanteur attend,-10.26674747467041,-11.815589904785156,-9.802574157714844,-9.854085922241211,-10.53295612335205,-9.113978385925293
