sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le visiteur qui aime la femme poursuit,-20.722908973693848,-18.775736331939697,-16.486475467681885,-9.694653511047363,-10.801543235778809,-9.797762870788574
les visiteurs qui aiment la femme poursuit,-20.763417720794678,-17.616268157958984,-14.868149280548096,-9.794189453125,-11.32371711730957,-10.50197982788086
le visiteur qui aime les femmes poursuit,-16.9895920753479,-17.173677921295166,-13.878990650177002,-11.02370834350586,-10.816843032836914,-10.488141059875488
les visiteurs qui aiment les femmes poursuit,-18.00713539123535,-16.9041748046875,-12.174345016479492,-13.744047164916992,-12.008452415466309,-13.554254531860352
les visiteurs qui aiment la femme poursuivent,-19.704436779022217,-16.39217233657837,-18.32143783569336,-9.548340797424316,-9.243181228637695,-8.47943115234375
le visiteur qui aime la femme poursuivent,-20.6461820602417,-19.152313709259033,-21.651134490966797,-17.4339017868042,-14.45058822631836,-15.94041633605957
les visiteurs qui aiment les femmes poursuivent,-17.24322748184204,-15.451581478118896,-15.546074390411377,-9.296693801879883,-9.273391723632812,-8.629390716552734
le visiteur qui aime les femmes poursuivent,-16.854785442352295,-16.965694904327393,-19.34265375137329,-13.111393928527832,-13.033354759216309,-14.626749038696289
le visiteur qui aime la femme grandit,-12.585919380187988,-12.85339069366455,-11.839255332946777,-9.829765319824219,-10.220617294311523,-9.985291481018066
les visiteurs qui aiment la femme grandit,-12.616759300231934,-13.27830696105957,-12.028474807739258,-10.417228698730469,-12.391661643981934,-11.0157470703125
le visiteur qui aime les femmes grandit,-15.10146427154541,-15.587102890014648,-13.605224609375,-12.495723724365234,-10.884350776672363,-9.482196807861328
les visiteurs qui aiment les femmes grandit,-14.844836235046387,-16.580249786376953,-13.230826377868652,-15.625596046447754,-15.009421348571777,-11.469924926757812
les visiteurs qui aiment la femme grandissent,-22.469103813171387,-22.071114540100098,-26.288307189941406,-10.233746528625488,-12.011796951293945,-10.721734046936035
le visiteur qui aime la femme grandissent,-22.89848041534424,-24.42970561981201,-26.80800151824951,-15.894371032714844,-16.019211769104004,-15.831374168395996
les visiteurs qui aiment les femmes grandissent,-19.563589096069336,-22.428939819335938,-26.248641967773438,-9.914748191833496,-11.583076477050781,-10.050554275512695
le visiteur qui aime les femmes grandissent,-20.947345733642578,-24.172414779663086,-26.716102600097656,-10.531699180603027,-12.578363418579102,-13.003862380981445
le visiteur qui aime la femme apprend,-11.51154613494873,-12.929154396057129,-14.191520690917969,-8.238020896911621,-9.0302095413208,-6.86794376373291
les visiteurs qui aiment la femme apprend,-11.7360200881958,-13.757678985595703,-14.757048606872559,-8.96573257446289,-10.291831970214844,-9.124967575073242
le visiteur qui aime les femmes apprend,-13.861452102661133,-14.810049057006836,-15.049993515014648,-9.153891563415527,-9.902771949768066,-8.532442092895508
les visiteurs qui aiment les femmes apprend,-14.327459335327148,-16.2027530670166,-15.494772911071777,-13.100493431091309,-11.764249801635742,-12.10948657989502
les visiteurs qui aiment la femme apprennent,-14.142155647277832,-16.22769260406494,-17.525034427642822,-7.484531879425049,-10.875349998474121,-8.707058906555176
le visiteur qui aime la femme apprennent,-15.404120445251465,-19.750685691833496,-17.71713399887085,-16.288058280944824,-14.483743667602539,-15.788972854614258
les visiteurs qui aiment les femmes apprennent,-13.68486213684082,-13.124451637268066,-13.315667152404785,-8.08964204788208,-10.650426387786865,-9.126026153564453
le visiteur qui aime les femmes apprennent,-13.007926940917969,-13.392905235290527,-13.616715431213379,-14.607063293457031,-13.941819667816162,-12.761138916015625
le visiteur qui aime la femme descend,-9.872583389282227,-11.984723091125488,-11.48432445526123,-12.04566764831543,-10.458695411682129,-10.480050086975098
les visiteurs qui aiment la femme descend,-10.621397018432617,-12.214585304260254,-11.768057823181152,-9.855934143066406,-9.420480728149414,-8.984561920166016
le visiteur qui aime les femmes descend,-11.11355972290039,-12.647284507751465,-12.889100074768066,-10.594255447387695,-8.534052848815918,-9.253480911254883
les visiteurs qui aiment les femmes descend,-11.69764518737793,-12.77540111541748,-11.765480995178223,-8.990764617919922,-7.723104953765869,-7.787311553955078
