sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le visiteur poursuit et grandit,-13.160518646240234,-12.638336181640625,-13.334854125976562,-7.735623359680176,-9.159222602844238,-7.744988918304443
les visiteurs poursuivent et grandit,-13.467124938964844,-12.70718765258789,-12.675788879394531,-10.931239128112793,-13.267669677734375,-12.401590347290039
les visiteurs poursuivent et grandissent,-17.310023307800293,-15.106146812438965,-21.258060455322266,-9.243481636047363,-10.259883880615234,-11.798261642456055
le visiteur poursuit et grandissent,-21.72520351409912,-18.092385292053223,-25.03232479095459,-15.098620891571045,-13.503170013427734,-12.637515544891357
le visiteur poursuit et apprend,-12.981547355651855,-11.506031036376953,-11.988125801086426,-11.155519485473633,-6.125718116760254,-7.475831031799316
les visiteurs poursuivent et apprend,-12.386148452758789,-11.564268112182617,-11.271440505981445,-13.648948669433594,-12.148332595825195,-12.70488166809082
les visiteurs poursuivent et apprennent,-12.885034561157227,-11.299469947814941,-12.01687240600586,-7.673107147216797,-9.311368942260742,-8.741150856018066
le visiteur poursuit et apprennent,-15.878851890563965,-13.053218841552734,-14.38243293762207,-12.347961902618408,-11.056234359741211,-13.63044548034668
le visiteur poursuit et descend,-8.86500072479248,-11.344675064086914,-9.107041358947754,-10.173293113708496,-8.318168640136719,-9.703205108642578
les visiteurs poursuivent et descend,-8.704163551330566,-11.108551979064941,-9.572344779968262,-8.39763355255127,-6.97266960144043,-7.744368553161621
les visiteurs poursuivent et descendent,-11.581877708435059,-12.521097183227539,-10.325684547424316,-8.83495807647705,-7.278443336486816,-7.905072212219238
le visiteur poursuit et descendent,-14.355896472930908,-13.72963571548462,-10.592413902282715,-16.803422451019287,-13.40911054611206,-15.985150337219238
le visiteur poursuit et attend,-9.978232383728027,-10.968486785888672,-9.533531188964844,-9.487839698791504,-8.196735382080078,-8.344547271728516
les visiteurs poursuivent et attend,-9.042759895324707,-10.686182975769043,-9.119467735290527,-8.072713851928711,-8.699468612670898,-7.126319408416748
les visiteurs poursuivent et attendent,-12.230443000793457,-13.143576622009277,-9.518842697143555,-8.26026725769043,-8.746368408203125,-7.6492228507995605
le visiteur poursuit et attendent,-17.397367000579834,-15.547664642333984,-12.24494743347168,-16.988615036010742,-13.320599555969238,-15.222625732421875
le visiteur poursuit et arrive,-8.410226821899414,-10.81489372253418,-9.621445655822754,-7.055866718292236,-6.18319034576416,-6.592703342437744
les visiteurs poursuivent et arrive,-8.956496238708496,-11.419892311096191,-9.140752792358398,-7.852926731109619,-8.319655418395996,-6.5074462890625
les visiteurs poursuivent et arrivent,-9.283158302307129,-9.576255798339844,-8.348152160644531,-7.360832691192627,-7.317365646362305,-6.85270357131958
le visiteur poursuit et arrivent,-11.369169235229492,-10.857237815856934,-9.86536979675293,-12.871925354003906,-10.263152122497559,-10.597189903259277
le visiteur poursuit et met,-9.542665481567383,-9.738969802856445,-10.565791130065918,-6.2619309425354,-5.7806854248046875,-6.3592634201049805
les visiteurs poursuivent et met,-9.20467758178711,-9.5921630859375,-9.622958183288574,-8.88322925567627,-8.984075546264648,-10.271566390991211
les visiteurs poursuivent et mettent,-8.404277801513672,-8.928993225097656,-10.091621398925781,-7.401687145233154,-7.025875568389893,-6.497457027435303
le visiteur poursuit et mettent,-11.159931182861328,-11.797444343566895,-12.147401809692383,-10.304241180419922,-9.058454513549805,-9.620716094970703
le visiteur grandit et apprend,-14.239967346191406,-12.752601623535156,-11.322273254394531,-10.906791687011719,-10.42522144317627,-8.97989559173584
les visiteurs grandissent et apprend,-12.593131065368652,-12.858390808105469,-9.736984252929688,-13.439684867858887,-11.945734024047852,-11.595856666564941
les visiteurs grandissent et apprennent,-11.995468139648438,-13.264254570007324,-9.579978942871094,-8.336907863616943,-7.872125625610352,-9.42222261428833
le visiteur grandit et apprennent,-15.645633697509766,-16.200888633728027,-13.130202293395996,-14.498198509216309,-10.972254276275635,-14.244873046875
le visiteur grandit et descend,-10.145508766174316,-8.404891967773438,-6.420160293579102,-8.675500869750977,-7.999904632568359,-8.545318603515625
les visiteurs grandissent et descend,-10.394990921020508,-11.723764419555664,-9.369585990905762,-8.127586364746094,-6.884712219238281,-8.352258682250977
les visiteurs grandissent et descendent,-12.000786781311035,-12.253557205200195,-10.226669311523438,-8.308248519897461,-6.996479034423828,-8.553918838500977
le visiteur grandit et descendent,-13.60571813583374,-12.128157615661621,-9.47223949432373,-14.541031837463379,-11.852152824401855,-14.022407054901123
le visiteur grandit et attend,-9.674300193786621,-9.411438941955566,-7.540766716003418,-10.126062393188477,-10.389290809631348,-9.584526062011719
les visiteurs grandissent et attend,-8.495610237121582,-11.50554370880127,-8.202796936035156,-8.457533836364746,-8.662240982055664,-7.928876876831055
les visiteurs grandissent et attendent,-9.936894416809082,-13.841002464294434,-8.795990943908691,-8.596776008605957,-8.716453552246094,-8.542004585266113
le visiteur grandit et attendent,-15.640631675720215,-15.201000690460205,-11.593283653259277,-17.097544193267822,-14.15964412689209,-14.87657880783081
le visiteur grandit et arrive,-9.950374603271484,-10.12834358215332,-7.908902645111084,-7.007938385009766,-7.209512233734131,-6.270278453826904
les visiteurs grandissent et arrive,-9.842183113098145,-11.75605297088623,-7.279088973999023,-8.807056427001953,-7.875547885894775,-8.21798038482666
les visiteurs grandissent et arrivent,-10.16122817993164,-11.290050506591797,-8.737166404724121,-7.1847243309021,-7.350058555603027,-6.954887866973877
le visiteur grandit et arrivent,-11.067026138305664,-10.268234252929688,-8.514573097229004,-13.44600772857666,-11.890128135681152,-13.061077117919922
le visiteur grandit et met,-11.901236534118652,-10.93356704711914,-8.709819793701172,-7.1645827293396,-8.776084899902344,-6.189651966094971
les visiteurs grandissent et met,-10.203373908996582,-11.038742065429688,-9.585244178771973,-9.314763069152832,-9.123224258422852,-9.869549751281738
les visiteurs grandissent et mettent,-8.702200889587402,-11.295448303222656,-10.76387882232666,-7.934281349182129,-6.600322246551514,-5.948423385620117
le visiteur grandit et mettent,-12.320527076721191,-11.540388107299805,-11.627436637878418,-11.734651565551758,-11.368634223937988,-10.693260192871094
le visiteur apprend et descend,-9.941673278808594,-7.463134288787842,-9.980456352233887,-10.506499290466309,-7.352108001708984,-9.399681091308594
les visiteurs apprennent et descend,-10.153456687927246,-9.227397918701172,-9.78893756866455,-8.068669319152832,-7.0118818283081055,-6.7781267166137695
les visiteurs apprennent et descendent,-12.54388427734375,-10.61635971069336,-11.470453262329102,-8.580533027648926,-7.414424896240234,-7.4155073165893555
le visiteur apprend et descendent,-13.769883155822754,-10.548465251922607,-11.50748348236084,-15.348777294158936,-13.167776584625244,-15.093949794769287
le visiteur apprend et attend,-8.485437393188477,-9.73705768585205,-9.720226287841797,-9.985529899597168,-8.349955558776855,-7.1070451736450195
les visiteurs apprennent et attend,-8.603893280029297,-8.705720901489258,-8.549957275390625,-8.37417221069336,-9.343493461608887,-7.376153945922852
les visiteurs apprennent et attendent,-10.075881004333496,-11.435072898864746,-11.869000911712646,-8.699447631835938,-9.373230934143066,-8.367782592773438
le visiteur apprend et attendent,-14.271445274353027,-15.361346244812012,-14.600200176239014,-15.83566427230835,-13.903141975402832,-13.521666049957275
le visiteur apprend et arrive,-7.850647926330566,-7.735715866088867,-8.541202545166016,-8.4856538772583,-6.844444751739502,-6.242206573486328
les visiteurs apprennent et arrive,-8.726683616638184,-9.214675903320312,-9.39769172668457,-9.697973251342773,-10.306894302368164,-9.454913139343262
les visiteurs apprennent et arrivent,-9.25959587097168,-9.40666675567627,-9.123331069946289,-8.414026260375977,-7.755829811096191,-9.128170013427734
le visiteur apprend et arrivent,-10.86764907836914,-10.44389533996582,-10.878171920776367,-12.041864395141602,-10.011829376220703,-10.63797378540039
le visiteur apprend et met,-9.135849952697754,-9.863865852355957,-8.972906112670898,-6.480489253997803,-6.389608383178711,-7.146111011505127
les visiteurs apprennent et met,-10.93420124053955,-10.919589042663574,-10.258657455444336,-8.506383895874023,-9.072081565856934,-10.643796920776367
les visiteurs apprennent et mettent,-9.697052001953125,-8.944253921508789,-10.442719459533691,-8.2642822265625,-7.689478874206543,-6.973071098327637
le visiteur apprend et mettent,-10.234135627746582,-9.808539390563965,-13.858434677124023,-10.889544486999512,-9.03711223602295,-9.165534973144531
le visiteur descend et attend,-7.895116806030273,-7.351323127746582,-6.174644470214844,-11.144429206848145,-9.651957511901855,-8.240799903869629
les visiteurs descendent et attend,-6.8667216300964355,-6.486461162567139,-6.236691474914551,-8.953471183776855,-8.28392219543457,-7.347424507141113
les visiteurs descendent et attendent,-8.87119436264038,-8.518979549407959,-7.203638076782227,-9.041401863098145,-8.335466384887695,-7.890013694763184
le visiteur descend et attendent,-14.028306007385254,-13.30126953125,-10.825689315795898,-17.28084373474121,-13.19412899017334,-14.97012996673584
le visiteur descend et arrive,-8.772826194763184,-6.636713027954102,-7.161515235900879,-9.007232666015625,-7.56362771987915,-6.365077018737793
les visiteurs descendent et arrive,-8.504709243774414,-7.993003845214844,-8.301915168762207,-9.218891143798828,-8.589090347290039,-8.558964729309082
les visiteurs descendent et arrivent,-8.774367332458496,-7.881738662719727,-6.798604965209961,-7.1414031982421875,-6.97320032119751,-6.790159702301025
le visiteur descend et arrivent,-11.161137580871582,-9.329236030578613,-8.951849937438965,-12.871087074279785,-9.735766410827637,-11.264283180236816
le visiteur descend et met,-10.007120132446289,-8.41849136352539,-8.427804946899414,-6.919907093048096,-8.246721267700195,-5.800481796264648
les visiteurs descendent et met,-9.462525367736816,-8.448714256286621,-8.338285446166992,-9.408805847167969,-9.244504928588867,-10.191150665283203
les visiteurs descendent et mettent,-8.500948905944824,-8.6546630859375,-8.435216903686523,-7.120734691619873,-6.485252380371094,-5.831275939941406
le visiteur descend et mettent,-11.036492347717285,-10.68034553527832,-11.330726623535156,-11.161688804626465,-9.975772857666016,-9.87022590637207
le visiteur attend et arrive,-7.685293674468994,-7.105111122131348,-8.502449035644531,-7.099982261657715,-5.771838665008545,-7.211385726928711
les visiteurs attendent et arrive,-7.144258499145508,-7.081796169281006,-8.596678733825684,-8.511418342590332,-7.655490875244141,-8.632002830505371
les visiteurs attendent et arrivent,-8.329345703125,-8.501893043518066,-7.615226745605469,-8.040169715881348,-7.036997318267822,-7.778010845184326
le visiteur attend et arrivent,-11.151853561401367,-9.866266250610352,-10.244529724121094,-12.852157592773438,-10.73202133178711,-12.640905380249023
le visiteur attend et met,-8.662066459655762,-9.182368278503418,-9.579010009765625,-7.29971981048584,-6.895678997039795,-7.815842628479004
les visiteurs attendent et met,-8.18637752532959,-8.638477325439453,-9.194607734680176,-9.516129493713379,-9.06798267364502,-10.430015563964844
les visiteurs attendent et mettent,-7.674215316772461,-8.608634948730469,-9.854104995727539,-8.414860725402832,-6.635135650634766,-6.215202808380127
le visiteur attend et mettent,-10.755093574523926,-10.34269905090332,-13.182092666625977,-11.62964153289795,-9.807421684265137,-10.60806655883789
le visiteur arrive et met,-9.430933952331543,-9.261354446411133,-8.790386199951172,-5.9625959396362305,-5.6214599609375,-5.689808368682861
les visiteurs arrivent et met,-9.392955780029297,-9.747472763061523,-10.139913558959961,-8.817055702209473,-9.078176498413086,-9.95716667175293
les visiteurs arrivent et mettent,-7.58892822265625,-8.740105628967285,-9.33736515045166,-7.9980926513671875,-6.703864574432373,-6.97055721282959
le visiteur arrive et mettent,-10.96555233001709,-11.82093620300293,-12.821056365966797,-11.51468276977539,-8.540040969848633,-9.480855941772461
le joueur poursuit et grandit,-12.543190956115723,-12.529556274414062,-12.497358322143555,-9.17515754699707,-9.805325508117676,-8.479266166687012
les joueurs poursuivent et grandit,-13.172128677368164,-12.6087064743042,-11.949480056762695,-11.385011672973633,-11.906327247619629,-12.537723541259766
les joueurs poursuivent et grandissent,-16.92500877380371,-16.22319793701172,-19.210812091827393,-11.07504653930664,-9.730245590209961,-12.599408149719238
le joueur poursuit et grandissent,-20.323065280914307,-19.90506649017334,-22.042905807495117,-15.412630558013916,-13.953561782836914,-14.972318172454834
le joueur poursuit et apprend,-11.830353736877441,-11.82955551147461,-11.603065490722656,-9.895447731018066,-6.372908115386963,-7.072434425354004
les joueurs poursuivent et apprend,-11.514667510986328,-11.773199081420898,-11.347223281860352,-12.152525901794434,-10.238585472106934,-11.135991096496582
les joueurs poursuivent et apprennent,-12.04432487487793,-11.719745635986328,-11.77668571472168,-7.025993824005127,-7.831771373748779,-7.911881923675537
le joueur poursuit et apprennent,-15.325745582580566,-13.092265129089355,-13.67344856262207,-12.217071056365967,-10.682506084442139,-12.410024642944336
le joueur poursuit et descend,-8.515657424926758,-11.3168306350708,-9.433586120605469,-9.924020767211914,-9.36677074432373,-9.739758491516113
les joueurs poursuivent et descend,-8.721938133239746,-11.580167770385742,-10.029714584350586,-8.881637573242188,-7.463178634643555,-7.806262016296387
les joueurs poursuivent et descendent,-11.326836109161377,-13.790217876434326,-10.66266918182373,-9.068477630615234,-7.683257102966309,-7.904980659484863
le joueur poursuit et descendent,-13.064056396484375,-15.196528911590576,-10.527297973632812,-14.76561975479126,-13.412940979003906,-15.105805397033691
le joueur poursuit et attend,-9.51980972290039,-9.858843803405762,-9.214902877807617,-8.920388221740723,-7.964920520782471,-8.421202659606934
les joueurs poursuivent et attend,-9.45987319946289,-10.406396865844727,-8.692577362060547,-8.150991439819336,-7.486908435821533,-6.970468521118164
les joueurs poursuivent et attendent,-11.862958908081055,-13.099606037139893,-9.212864875793457,-8.160341262817383,-7.52824068069458,-7.262162208557129
le joueur poursuit et attendent,-15.881423473358154,-14.270538806915283,-10.757157325744629,-14.667547225952148,-11.475893497467041,-14.101833820343018
le joueur poursuit et arrive,-8.752237319946289,-11.240549087524414,-8.923526763916016,-5.598194599151611,-5.728204727172852,-5.90889310836792
les joueurs poursuivent et arrive,-9.039587020874023,-11.442914962768555,-8.716453552246094,-7.490081787109375,-7.581396102905273,-6.088705539703369
les joueurs poursuivent et arrivent,-9.269421577453613,-9.678093910217285,-8.379189491271973,-6.979253768920898,-7.085531234741211,-6.72219705581665
le joueur poursuit et arrivent,-11.266682624816895,-10.731917381286621,-10.498624801635742,-11.458992958068848,-9.71993637084961,-9.865985870361328
le joueur poursuit et met,-9.113861083984375,-9.431341171264648,-9.17713737487793,-5.571162700653076,-6.524522304534912,-7.037290096282959
les joueurs poursuivent et met,-8.778621673583984,-9.287741661071777,-9.13339614868164,-8.468036651611328,-8.817138671875,-9.929400444030762
les joueurs poursuivent et mettent,-8.119729995727539,-9.183572769165039,-9.901999473571777,-7.054691791534424,-6.636069297790527,-6.888988018035889
le joueur poursuit et mettent,-10.96501636505127,-12.0567626953125,-12.100391387939453,-10.308704376220703,-9.168632507324219,-10.356637001037598
le joueur grandit et apprend,-11.974998474121094,-13.204708099365234,-12.333561897277832,-9.054927825927734,-7.9529829025268555,-7.602243900299072
les joueurs grandissent et apprend,-11.434989929199219,-13.876489639282227,-9.690886497497559,-12.142244338989258,-11.19394588470459,-10.812164306640625
les joueurs grandissent et apprennent,-12.032363891601562,-12.97896671295166,-9.057794570922852,-7.516970634460449,-7.544358253479004,-8.669884204864502
le joueur grandit et apprennent,-14.722516059875488,-15.931126594543457,-14.171814918518066,-13.484313011169434,-9.38231372833252,-12.732766151428223
le joueur grandit et descend,-8.990447044372559,-9.54013442993164,-8.141796112060547,-8.721233367919922,-7.465897083282471,-8.428858757019043
