sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le gamin casse le verre et rentre dans la chambre,-13.358428955078125,-15.614991188049316,-14.086804389953613,-13.207378387451172,-11.79507064819336,-13.740912437438965
les gamins cassent le verre et rentre dans la chambre,-15.012227058410645,-16.271041870117188,-13.507813453674316,-12.632121086120605,-12.6561918258667,-13.913057327270508
les gamins cassent le verre et rentrent dans la chambre,-12.052002906799316,-16.01247787475586,-11.590548515319824,-8.899711608886719,-8.969583511352539,-10.757563591003418
le gamin casse le verre et rentrent dans la chambre,-12.136695861816406,-16.6204833984375,-13.903938293457031,-13.509289741516113,-13.779908180236816,-15.52268123626709
le gamin casse le verre et continue sur la route,-11.579984664916992,-14.713892936706543,-13.738805770874023,-10.8592529296875,-10.89737606048584,-11.361331939697266
les gamins cassent le verre et continue sur la route,-12.6753511428833,-15.49831771850586,-12.75008487701416,-9.387187957763672,-10.332625389099121,-11.344820022583008
les gamins cassent le verre et continuent sur la route,-14.83170223236084,-18.183155059814453,-13.024153709411621,-11.448963165283203,-10.563847541809082,-10.358149528503418
le gamin casse le verre et continuent sur la route,-17.81375789642334,-18.236783981323242,-16.564525604248047,-16.038625717163086,-16.468015670776367,-14.835067749023438
le gamin casse le verre et suit le long chemin,-12.217886924743652,-16.125303268432617,-13.542668342590332,-9.556439399719238,-11.025919914245605,-9.618932723999023
les gamins cassent le verre et suit le long chemin,-12.591791152954102,-15.736565589904785,-12.660730361938477,-8.389694213867188,-9.872015953063965,-10.032339096069336
les gamins cassent le verre et suivent le long chemin,-15.416485786437988,-16.36298656463623,-16.381515502929688,-11.259346961975098,-9.396557807922363,-12.87165641784668
le gamin casse le verre et suivent le long chemin,-16.17979621887207,-17.50459384918213,-19.207272052764893,-14.452719688415527,-15.235755920410156,-16.703767776489258
le gamin casse le verre et rend le stylo à sa maman,-10.845495223999023,-14.918623924255371,-14.33411979675293,-9.920771598815918,-12.765323638916016,-9.855592727661133
les gamins cassent le verre et rend le stylo à sa maman,-12.179450035095215,-16.16244125366211,-13.328635215759277,-9.462252616882324,-10.965400695800781,-9.35571575164795
les gamins cassent le verre et rendent le stylo à sa maman,-14.725396633148193,-20.352468967437744,-19.93010950088501,-8.943741798400879,-8.66822624206543,-9.594432830810547
le gamin casse le verre et rendent le stylo à sa maman,-15.12510871887207,-21.65654706954956,-25.109715461730957,-11.162261962890625,-14.240363121032715,-13.537071228027344
le gamin casse le verre et va au marché,-9.421530723571777,-10.856037139892578,-8.924434661865234,-9.58133316040039,-10.021222114562988,-10.023197174072266
les gamins cassent le verre et va au marché,-11.329850196838379,-12.866765022277832,-9.36406135559082,-9.407160758972168,-10.305237770080566,-10.667613983154297
les gamins cassent le verre et vont au marché,-11.917530059814453,-13.947589874267578,-11.06896686553955,-9.54060173034668,-7.869932651519775,-9.046945571899414
le gamin casse le verre et vont au marché,-11.82104206085205,-13.482620239257812,-13.263503074645996,-13.599323272705078,-13.454299926757812,-13.230157852172852
le gamin casse le verre et permet l'accès aux escaliers,-12.91750717163086,-16.03597068786621,-14.679518699645996,-8.212420463562012,-9.00938892364502,-8.02752685546875
les gamins cassent le verre et permet l'accès aux escaliers,-13.390748023986816,-16.10845947265625,-13.436511039733887,-7.722269535064697,-8.058895111083984,-8.124752044677734
les gamins cassent le verre et permettent l'accès aux escaliers,-18.131595134735107,-18.511359214782715,-16.440298080444336,-7.704983234405518,-6.191685676574707,-7.602349281311035
le gamin casse le verre et permettent l'accès aux escaliers,-18.69351816177368,-20.05583953857422,-19.79136610031128,-10.49903392791748,-12.59492301940918,-12.002544403076172
