sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le gamin que le constructeur aime casse,-11.015650749206543,-12.812092781066895,-12.998457908630371,-14.20000171661377,-16.339409828186035,-14.180273056030273
les gamins que le constructeur aime casse,-10.952895164489746,-12.883138656616211,-12.675098419189453,-14.688496589660645,-16.71822166442871,-14.50391674041748
le gamin que les constructeurs aiment casse,-11.20238208770752,-11.967921257019043,-12.544435501098633,-9.246541023254395,-13.328832626342773,-9.933571815490723
les gamins que les constructeurs aiment casse,-11.253259658813477,-11.689735412597656,-12.244501113891602,-9.316856384277344,-13.7285737991333,-10.360440254211426
les gamins que le constructeur aime cassent,-13.078701972961426,-10.570484161376953,-11.446496963500977,-17.07582950592041,-16.472965240478516,-17.414767265319824
le gamin que le constructeur aime cassent,-14.127530097961426,-11.245254516601562,-12.647974014282227,-16.889551639556885,-17.54032802581787,-18.97223949432373
les gamins que les constructeurs aiment cassent,-12.228911399841309,-10.1430025100708,-11.50937557220459,-11.840961456298828,-16.079558849334717,-11.150067329406738
le gamin que les constructeurs aiment cassent,-12.38041877746582,-10.614013671875,-11.370498657226562,-12.646347999572754,-16.375096797943115,-11.125471115112305
le gamin que le constructeur aime rentre,-13.576148986816406,-12.888204574584961,-11.35325813293457,-13.13428020477295,-11.589778900146484,-10.727059364318848
les gamins que le constructeur aime rentre,-14.117530822753906,-12.375279426574707,-11.530521392822266,-12.75491714477539,-12.52859115600586,-12.177720069885254
le gamin que les constructeurs aiment rentre,-13.738719940185547,-13.357099533081055,-11.67054557800293,-9.401721954345703,-9.591318130493164,-9.425971984863281
les gamins que les constructeurs aiment rentre,-14.149672508239746,-12.932459831237793,-11.82955265045166,-9.495583534240723,-10.484048843383789,-10.034812927246094
les gamins que le constructeur aime rentrent,-11.945819854736328,-11.755436897277832,-9.749831199645996,-8.306355476379395,-8.932011604309082,-10.398966789245605
le gamin que le constructeur aime rentrent,-12.313203811645508,-13.079885482788086,-9.85176944732666,-13.206424713134766,-12.368328094482422,-15.427562713623047
les gamins que les constructeurs aiment rentrent,-9.712922096252441,-10.660236358642578,-9.779483795166016,-8.625186920166016,-8.741100311279297,-11.32938289642334
le gamin que les constructeurs aiment rentrent,-9.620647430419922,-11.53927230834961,-9.543787002563477,-10.397686958312988,-10.204533576965332,-12.987738609313965
le gamin que le constructeur aime continue,-11.705900192260742,-12.29366683959961,-12.82281494140625,-9.363870620727539,-10.118163108825684,-8.300256729125977
