sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le gamin que le constructeur aime casse,-13.459864616394043,-11.850855827331543,-12.608436584472656,-11.258194923400879,-11.142702102661133,-12.649099349975586
le gamin que les constructeurs aime casse,-10.665693283081055,-10.044479370117188,-8.550941467285156,-11.572012901306152,-13.100968360900879,-11.9677152633667
le gamin que les constructeurs aiment casse,-7.89909553527832,-5.855360507965088,-6.265788555145264,-12.246790885925293,-15.610758781433105,-9.520057678222656
le gamin que le constructeur aiment casse,-15.080303192138672,-13.524367332458496,-15.761214256286621,-11.79801082611084,-16.886540412902832,-10.934985160827637
les gamins que le constructeur aime cassent,-14.13156509399414,-14.156982421875,-13.261747360229492,-11.993352890014648,-11.213923454284668,-13.44697380065918
les gamins que les constructeurs aime cassent,-11.094779968261719,-10.901082038879395,-8.519608497619629,-12.442355155944824,-13.006834983825684,-12.338091850280762
les gamins que les constructeurs aiment cassent,-7.927901268005371,-6.588431358337402,-6.204823970794678,-12.624082565307617,-16.67380428314209,-9.28427505493164
les gamins que le constructeur aiment cassent,-14.157200813293457,-14.168235778808594,-14.799978256225586,-10.539813995361328,-13.448519706726074,-8.433465003967285
le gamin que le constructeur aime rentre,-13.459864616394043,-11.850855827331543,-12.608436584472656,-11.258194923400879,-11.142702102661133,-12.649099349975586
le gamin que les constructeurs aime rentre,-10.665693283081055,-10.044479370117188,-8.550941467285156,-11.572012901306152,-13.100968360900879,-11.9677152633667
le gamin que les constructeurs aiment rentre,-7.89909553527832,-5.855360507965088,-6.265788555145264,-12.246790885925293,-15.610758781433105,-9.520057678222656
le gamin que le constructeur aiment rentre,-15.080303192138672,-13.524367332458496,-15.761214256286621,-11.79801082611084,-16.886540412902832,-10.934985160827637
les gamins que le constructeur aime rentrent,-14.13156509399414,-14.156982421875,-13.261747360229492,-11.993352890014648,-11.213923454284668,-13.44697380065918
les gamins que les constructeurs aime rentrent,-11.094779968261719,-10.901082038879395,-8.519608497619629,-12.442355155944824,-13.006834983825684,-12.338091850280762
les gamins que les constructeurs aiment rentrent,-7.927901268005371,-6.588431358337402,-6.204823970794678,-12.624082565307617,-16.67380428314209,-9.28427505493164
les gamins que le constructeur aiment rentrent,-14.157200813293457,-14.168235778808594,-14.799978256225586,-10.539813995361328,-13.448519706726074,-8.433465003967285
le gamin que le constructeur aime continue,-13.459864616394043,-11.850855827331543,-12.608436584472656,-11.258194923400879,-11.142702102661133,-12.649099349975586
le gamin que les constructeurs aime continue,-10.665693283081055,-10.044479370117188,-8.550941467285156,-11.572012901306152,-13.100968360900879,-11.9677152633667
le gamin que les constructeurs aiment continue,-7.89909553527832,-5.855360507965088,-6.265788555145264,-12.246790885925293,-15.610758781433105,-9.520057678222656
le gamin que le constructeur aiment continue,-15.080303192138672,-13.524367332458496,-15.761214256286621,-11.79801082611084,-16.886540412902832,-10.934985160827637
les gamins que le constructeur aime continuent,-14.13156509399414,-14.156982421875,-13.261747360229492,-11.993352890014648,-11.213923454284668,-13.44697380065918
les gamins que les constructeurs aime continuent,-11.094779968261719,-10.901086807250977,-8.519607543945312,-12.442355155944824,-13.006834983825684,-12.338091850280762
