sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le gamin devant le constructeur casse,-15.389200210571289,-14.520337104797363,-15.982417106628418,-10.404801368713379,-12.556296348571777,-12.852222442626953
les gamins devant le constructeur casse,-15.584512710571289,-16.002605438232422,-17.10015106201172,-11.097244262695312,-13.286959648132324,-13.702415466308594
le gamin devant les constructeurs casse,-10.775330543518066,-11.107892990112305,-12.935098648071289,-10.376082420349121,-13.351957321166992,-9.770100593566895
les gamins devant les constructeurs casse,-12.330160140991211,-12.144169807434082,-13.42318344116211,-12.154339790344238,-14.0032958984375,-12.91335678100586
les gamins devant le constructeur cassent,-17.706823348999023,-15.845029830932617,-16.66120433807373,-10.680436134338379,-13.75864315032959,-16.650415420532227
le gamin devant le constructeur cassent,-19.107925415039062,-15.408818244934082,-17.4547119140625,-12.4877347946167,-16.800456523895264,-19.889862060546875
les gamins devant les constructeurs cassent,-11.762859344482422,-11.027867317199707,-12.3839111328125,-9.743538856506348,-13.839983940124512,-10.3737211227417
le gamin devant les constructeurs cassent,-11.185832977294922,-10.58667278289795,-11.810455322265625,-10.057352066040039,-16.55744171142578,-12.192584991455078
le gamin derrière le constructeur casse,-15.52023983001709,-14.561339378356934,-15.99711799621582,-11.03176212310791,-12.555288314819336,-13.837539672851562
les gamins derrière le constructeur casse,-15.722915649414062,-16.167644500732422,-17.062868118286133,-11.600132942199707,-13.956106185913086,-14.99129867553711
le gamin derrière les constructeurs casse,-10.733720779418945,-10.864827156066895,-12.877857208251953,-10.615019798278809,-13.825315475463867,-11.374581336975098
les gamins derrière les constructeurs casse,-12.237757682800293,-12.16896915435791,-13.236713409423828,-13.451258659362793,-15.293767929077148,-14.347241401672363
les gamins derrière le constructeur cassent,-17.65589141845703,-15.992363929748535,-16.7544002532959,-10.439123153686523,-12.315347671508789,-16.951963424682617
le gamin derrière le constructeur cassent,-19.269579887390137,-15.62887191772461,-17.652052879333496,-13.644353866577148,-15.988070964813232,-18.488938331604004
les gamins derrière les constructeurs cassent,-11.50424861907959,-11.263055801391602,-12.182071685791016,-9.57934856414795,-12.917864799499512,-10.92321491241455
le gamin derrière les constructeurs cassent,-10.860697746276855,-10.650042533874512,-11.576691627502441,-10.013838768005371,-16.191868782043457,-11.03394889831543
le gamin en face du constructeur casse,-14.483308792114258,-14.468666076660156,-15.311859130859375,-10.52098274230957,-13.332406044006348,-13.099803924560547
les gamins en face du constructeur casse,-14.723695755004883,-14.981719017028809,-16.521726608276367,-10.649767875671387,-14.279741287231445,-14.32175350189209
le gamin en face des constructeurs casse,-10.724125862121582,-11.09501838684082,-13.437386512756348,-11.038422584533691,-12.646515846252441,-11.265115737915039
les gamins en face des constructeurs casse,-11.57722282409668,-11.96167278289795,-13.45331859588623,-12.572441101074219,-13.867103576660156,-15.316810607910156
les gamins en face du constructeur cassent,-17.00578212738037,-14.360008239746094,-18.238558769226074,-11.223130226135254,-15.410048961639404,-16.442222595214844
le gamin en face du constructeur cassent,-18.318285942077637,-13.96059513092041,-19.188066482543945,-14.569315910339355,-18.02743148803711,-19.03238821029663
les gamins en face des constructeurs cassent,-12.344958305358887,-11.745162963867188,-13.558416366577148,-10.607547760009766,-13.418937683105469,-10.909876823425293
le gamin en face des constructeurs cassent,-12.437111854553223,-11.150043487548828,-13.029709815979004,-12.134899139404297,-16.70333766937256,-11.050385475158691
le gamin à côté du constructeur casse,-15.080852508544922,-15.463432312011719,-16.662199020385742,-13.085972785949707,-13.708690643310547,-14.88518238067627
les gamins à côté du constructeur casse,-15.017974853515625,-16.36078643798828,-17.306425094604492,-13.597904205322266,-14.73579216003418,-15.940423011779785
le gamin à côté des constructeurs casse,-11.283712387084961,-11.451372146606445,-13.919302940368652,-11.812982559204102,-14.039199829101562,-13.542515754699707
les gamins à côté des constructeurs casse,-12.74276351928711,-12.57262897491455,-13.959568977355957,-13.253565788269043,-14.815328598022461,-15.72446060180664
les gamins à côté du constructeur cassent,-18.126665115356445,-16.80614185333252,-17.538442611694336,-11.737772941589355,-13.702086448669434,-18.310107231140137
le gamin à côté du constructeur cassent,-18.60386896133423,-15.699174880981445,-18.48415470123291,-14.777387142181396,-16.99569082260132,-18.97002410888672
les gamins à côté des constructeurs cassent,-13.748644828796387,-13.483659744262695,-13.854557991027832,-10.330759048461914,-14.2958984375,-12.223625183105469
le gamin à côté des constructeurs cassent,-12.973406791687012,-12.329161643981934,-13.351214408874512,-11.646220207214355,-17.6240177154541,-12.849722862243652
