sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le gamin casse,-12.253467559814453,-12.26889705657959,-12.502140045166016,-11.68270492553711,-10.692715644836426,-9.883248329162598 
les gamins casse,-13.596449851989746,-11.685999870300293,-11.531659126281738,-9.613741874694824,-12.356348991394043,-11.370015144348145
les gamins cassent,-11.091684341430664,-12.505574226379395,-14.227534294128418,-9.428632736206055,-11.889877319335938,-11.401850700378418
le gamin cassent,-15.106242179870605,-17.44491481781006,-17.353025913238525,-13.30406379699707,-16.53618049621582,-15.923714637756348
le gamin rentre,-8.9546480178833,-10.322989463806152,-9.351161003112793,-13.054330825805664,-10.608677864074707,-10.483343124389648
les gamins rentre,-13.411956787109375,-13.389991760253906,-11.273276329040527,-11.940113067626953,-11.738336563110352,-13.32213306427002
les gamins rentrent,-9.444650650024414,-11.272199630737305,-10.340424537658691,-10.54623794555664,-10.229506492614746,-10.24462890625
le gamin rentrent,-11.408361434936523,-14.162915229797363,-13.998394012451172,-15.515435218811035,-18.71362018585205,-16.514304637908936
le gamin continue,-11.098649978637695,-11.85023021697998,-11.474273681640625,-9.061260223388672,-7.9787092208862305,-10.304149627685547
les gamins continue,-12.514969825744629,-13.881280899047852,-12.584295272827148,-9.642512321472168,-9.891414642333984,-10.373098373413086
les gamins continuent,-20.751259326934814,-18.15071201324463,-16.497224807739258,-9.066553115844727,-9.057388305664062,-8.240764617919922
le gamin continuent,-18.681972980499268,-19.22882318496704,-19.98032569885254,-12.870030403137207,-13.113862991333008,-12.12470531463623
le gamin suit,-11.429112434387207,-12.493793487548828,-12.702332496643066,-10.286425590515137,-7.967390060424805,-8.42336654663086
les gamins suit,-14.182943344116211,-14.471463203430176,-14.005678176879883,-11.015397071838379,-12.928143501281738,-11.110525131225586
les gamins suivent,-14.926746368408203,-11.426850318908691,-14.555925369262695,-8.702444076538086,-10.414438247680664,-7.735113143920898
le gamin suivent,-17.86722230911255,-16.146127700805664,-18.672279834747314,-13.23486042022705,-15.362430572509766,-14.258127212524414
le gamin rend,-12.198677062988281,-12.184764862060547,-11.367510795593262,-12.152008056640625,-10.834850311279297,-10.408541679382324
les gamins rend,-14.570022583007812,-14.779439926147461,-12.69338607788086,-10.545341491699219,-9.141120910644531,-9.677699089050293
les gamins rendent,-15.498383522033691,-19.46419334411621,-16.293293952941895,-10.55167293548584,-8.598902702331543,-9.565540313720703
le gamin rendent,-13.676267623901367,-19.40595817565918,-15.97576904296875,-14.800376892089844,-14.167793273925781,-15.237821578979492
le gamin va,-6.129217147827148,-4.224022388458252,-4.56818151473999,-7.7771687507629395,-6.98677921295166,-8.393925666809082
les gamins va,-9.479988098144531,-7.974574565887451,-6.704527378082275,-10.984450340270996,-11.414144515991211,-9.750215530395508
les gamins vont,-8.03604507446289,-6.987466812133789,-6.6131768226623535,-8.394840240478516,-8.71701431274414,-7.612457275390625
le gamin vont,-9.162651062011719,-10.461250305175781,-9.725862503051758,-13.925183296203613,-14.329404830932617,-12.68657112121582
le gamin permet,-10.345514297485352,-10.911558151245117,-11.222457885742188,-6.9393815994262695,-6.979907035827637,-6.267546653747559
les gamins permet,-14.412126541137695,-11.945755004882812,-13.626626968383789,-9.445579528808594,-8.612072944641113,-9.298608779907227
les gamins permettent,-18.11249017715454,-13.7933349609375,-17.342225074768066,-7.272066593170166,-7.224755764007568,-6.571356773376465
le gamin permettent,-14.441949844360352,-14.61497688293457,-16.496277809143066,-11.454324722290039,-14.100034713745117,-12.664023399353027
la vilaine casse,-10.791626930236816,-8.46261215209961,-11.294422149658203,-12.58985424041748,-12.039078712463379,-10.639017105102539
les vilaines casse,-10.440059661865234,-11.485942840576172,-10.800469398498535,-11.0303373336792,-11.48464584350586,-13.069759368896484
les vilaines cassent,-12.897884368896484,-8.875083923339844,-11.954607963562012,-9.703994750976562,-11.524816513061523,-12.169015884399414
la vilaine cassent,-15.338495254516602,-17.063929557800293,-15.610876083374023,-15.530050277709961,-14.017820835113525,-14.298357486724854
la vilaine rentre,-12.841440200805664,-10.447266578674316,-10.637176513671875,-8.837034225463867,-8.488645553588867,-10.441854476928711
les vilaines rentre,-11.006987571716309,-12.054707527160645,-11.008190155029297,-10.44267749786377,-10.323543548583984,-11.114928245544434
les vilaines rentrent,-9.397640228271484,-8.531548500061035,-8.95740795135498,-11.921473503112793,-9.366406440734863,-11.02371597290039
la vilaine rentrent,-10.86447811126709,-11.234476089477539,-11.628667831420898,-14.357295036315918,-16.653801441192627,-13.957626342773438
la vilaine continue,-12.781219482421875,-10.029556274414062,-10.72925853729248,-7.331766605377197,-6.898184776306152,-6.460747718811035
les vilaines continue,-11.880735397338867,-12.96469497680664,-13.301029205322266,-9.531615257263184,-9.825515747070312,-10.116020202636719
les vilaines continuent,-18.52016258239746,-17.514283180236816,-15.79008674621582,-8.177595138549805,-7.9446210861206055,-8.072961807250977
la vilaine continuent,-16.446913242340088,-17.68473482131958,-16.48690176010132,-12.817686080932617,-13.606979370117188,-12.512864112854004
la vilaine suit,-9.577839851379395,-9.039080619812012,-9.573067665100098,-8.039012908935547,-8.364720344543457,-9.011730194091797
