sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le gamin qui aime le constructeur casse,-15.29577922821045,-16.27248191833496,-15.508801460266113,-11.959534645080566,-14.00662612915039,-13.750489234924316
les gamins qui aiment le constructeur casse,-15.152820587158203,-16.367887496948242,-15.869842529296875,-11.5216064453125,-13.610422134399414,-14.423689842224121
le gamin qui aime les constructeurs casse,-11.787714958190918,-11.694417953491211,-13.415498733520508,-11.356301307678223,-14.333412170410156,-10.641642570495605
les gamins qui aiment les constructeurs casse,-12.450366020202637,-12.049445152282715,-13.011670112609863,-14.264318466186523,-14.41176700592041,-15.317482948303223
les gamins qui aiment le constructeur cassent,-17.35691261291504,-15.026406288146973,-16.432968139648438,-9.89104175567627,-14.025311470031738,-14.830915451049805
le gamin qui aime le constructeur cassent,-17.451030731201172,-15.678077697753906,-18.179746627807617,-13.053261756896973,-16.956159114837646,-19.40244722366333
les gamins qui aiment les constructeurs cassent,-10.917891502380371,-11.057544708251953,-12.277242660522461,-10.93716049194336,-13.464923858642578,-10.872844696044922
le gamin qui aime les constructeurs cassent,-11.038140296936035,-11.274261474609375,-12.447417259216309,-10.66460132598877,-15.964101791381836,-12.39905834197998
le gamin qui aime le constructeur rentre,-12.880290031433105,-14.511687278747559,-14.97561264038086,-11.446561813354492,-13.414010047912598,-11.176257133483887
les gamins qui aiment le constructeur rentre,-14.244425773620605,-14.948898315429688,-15.076562881469727,-11.949875831604004,-13.232001304626465,-12.442440032958984
le gamin qui aime les constructeurs rentre,-12.393189430236816,-14.57935905456543,-13.5187349319458,-12.410480499267578,-12.06877613067627,-10.81098747253418
les gamins qui aiment les constructeurs rentre,-13.42101764678955,-15.290616035461426,-13.655119895935059,-12.969768524169922,-11.90818977355957,-13.376108169555664
les gamins qui aiment le constructeur rentrent,-15.447766304016113,-16.08301544189453,-16.83852195739746,-8.390153884887695,-9.283397674560547,-6.267564296722412
le gamin qui aime le constructeur rentrent,-15.558027267456055,-17.222543716430664,-17.746206283569336,-14.307215690612793,-15.718894958496094,-13.168560028076172
les gamins qui aiment les constructeurs rentrent,-11.117901802062988,-11.476411819458008,-11.472000122070312,-10.07448673248291,-8.350266456604004,-8.019990921020508
le gamin qui aime les constructeurs rentrent,-11.284133911132812,-12.068026542663574,-12.25362777709961,-12.104008674621582,-13.585909843444824,-12.78097152709961
le gamin qui aime le constructeur continue,-15.093884468078613,-14.926802635192871,-16.382965087890625,-8.134178161621094,-8.03085708618164,-7.10597562789917
les gamins qui aiment le constructeur continue,-15.225497245788574,-14.752448081970215,-15.916525840759277,-8.209229469299316,-8.596110343933105,-7.6766357421875
le gamin qui aime les constructeurs continue,-13.133523941040039,-14.138123512268066,-15.171165466308594,-9.792926788330078,-7.727150917053223,-9.684676170349121
