sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le gamin casse et rentre,-12.992961883544922,-12.442276954650879,-13.705947875976562,-12.077805519104004,-10.999643325805664,-12.898588180541992
les gamins cassent et rentre,-15.037445068359375,-13.483461380004883,-13.555703163146973,-11.255054473876953,-11.45334243774414,-12.55689811706543
les gamins cassent et rentrent,-9.667160034179688,-12.217826843261719,-10.835063934326172,-8.032997131347656,-6.869614124298096,-8.464956283569336
le gamin casse et rentrent,-10.396028518676758,-13.559782028198242,-13.260638236999512,-12.062583923339844,-13.878911018371582,-13.15522289276123
le gamin casse et continue,-10.443323135375977,-13.46130657196045,-13.708976745605469,-10.619525909423828,-11.353143692016602,-11.229516983032227
les gamins cassent et continue,-12.06086254119873,-14.477984428405762,-13.290959358215332,-9.612714767456055,-9.488646507263184,-11.1273775100708
les gamins cassent et continuent,-13.352067947387695,-14.95091438293457,-11.870072364807129,-10.317497253417969,-8.213312149047852,-8.976791381835938
le gamin casse et continuent,-15.099958896636963,-15.306326389312744,-15.528106689453125,-15.914716720581055,-14.987266540527344,-15.238481521606445
le gamin casse et suit,-10.995490074157715,-14.265020370483398,-12.976436614990234,-9.011373519897461,-10.686141014099121,-9.489917755126953
les gamins cassent et suit,-11.90432071685791,-12.866353988647461,-12.065428733825684,-8.789519309997559,-8.98636245727539,-11.460062026977539
les gamins cassent et suivent,-13.251851081848145,-13.689298629760742,-15.402046203613281,-10.19810962677002,-7.797561168670654,-10.97751235961914
le gamin casse et suivent,-14.609347343444824,-15.506919860839844,-18.828310012817383,-14.292508125305176,-15.142879486083984,-15.684881210327148
le gamin casse et rend,-10.724279403686523,-12.94381046295166,-14.043004035949707,-9.607098579406738,-14.072074890136719,-11.636476516723633
les gamins cassent et rend,-11.74688720703125,-14.001005172729492,-12.785799026489258,-8.76490592956543,-10.076286315917969,-8.808797836303711
les gamins cassent et rendent,-12.933032035827637,-17.608442306518555,-16.309879302978516,-9.88892650604248,-8.804817199707031,-9.402584075927734
le gamin casse et rendent,-13.32658576965332,-19.326496124267578,-19.816088676452637,-12.996962547302246,-16.941070556640625,-15.346832275390625
le gamin casse et va,-9.23642349243164,-9.101712226867676,-8.544973373413086,-8.34508228302002,-10.129129409790039,-10.386575698852539
les gamins cassent et va,-11.314512252807617,-12.137564659118652,-9.370712280273438,-9.376623153686523,-10.62341022491455,-11.325454711914062
les gamins cassent et vont,-10.175447463989258,-11.845071792602539,-10.362602233886719,-8.56359577178955,-7.036035537719727,-8.06793212890625
le gamin casse et vont,-10.890531539916992,-11.563716888427734,-12.698966026306152,-13.309869766235352,-14.071696281433105,-14.403044700622559
le gamin casse et permet,-12.251687049865723,-12.943583488464355,-14.228699684143066,-7.9293365478515625,-9.719101905822754,-8.888784408569336
les gamins cassent et permet,-13.377828598022461,-13.52806568145752,-12.630145072937012,-8.21164321899414,-7.548948287963867,-10.204476356506348
les gamins cassent et permettent,-17.798423290252686,-14.692015647888184,-15.219805717468262,-7.288078784942627,-5.152007579803467,-8.007755279541016
le gamin casse et permettent,-17.359376430511475,-17.079538345336914,-17.65244483947754,-10.742066383361816,-12.892790794372559,-13.391916275024414
le gamin rentre et continue,-10.227205276489258,-11.06970500946045,-10.76450252532959,-7.165595531463623,-5.440022945404053,-6.541993618011475
