sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
the lie on the foot is flat .,-35.00946044921875,-35.023590087890625,-32.53107833862305,-41.8122673034668,-39.29814529418945,-40.77272033691406,-40.65169906616211,-35.93619155883789,-33.63929748535156,-44.123600006103516,-41.342918395996094,-41.776084899902344,-58.53338623046875,-45.940528869628906,-52.230262756347656,-25.651445388793945,-29.4824161529541,-27.899768829345703
the lies on the foot is flat .,-39.518062591552734,-38.40568161010742,-41.69068145751953,-39.627532958984375,-37.28899383544922,-37.33407974243164,-44.47913360595703,-41.053863525390625,-41.130455017089844,-39.74628448486328,-37.450904846191406,-34.73323440551758,-64.44480895996094,-52.904075622558594,-58.078636169433594,-30.337493896484375,-31.715667724609375,-29.834333419799805
the lie on the feet is flat .,-37.679534912109375,-38.50210952758789,-35.41544723510742,-43.8060417175293,-41.41859436035156,-42.968170166015625,-42.39287185668945,-42.88603210449219,-37.165096282958984,-44.92144775390625,-43.91006088256836,-44.834259033203125,-58.51689529418945,-50.09077835083008,-52.3189582824707,-30.949106216430664,-34.48263931274414,-32.193031311035156
the lies on the feet is flat .,-40.515098571777344,-43.701805114746094,-43.98596954345703,-41.75475311279297,-39.004940032958984,-41.11382293701172,-45.59358215332031,-46.29300308227539,-47.31431198120117,-41.153106689453125,-39.86922836303711,-40.25617980957031,-65.56835174560547,-56.06479263305664,-57.93859100341797,-33.18876266479492,-36.22476577758789,-34.410972595214844
the lie on the foot was flat .,-39.37043762207031,-38.84975814819336,-38.17914581298828,-46.700782775878906,-42.51834487915039,-42.65174865722656,-45.46133041381836,-40.99165344238281,-40.58967590332031,-49.622100830078125,-44.88386154174805,-45.23246765136719,-61.945579528808594,-46.38256072998047,-52.44092559814453,-29.120161056518555,-32.6868896484375,-31.962997436523438
the lies on the foot was flat .,-42.297481536865234,-41.22139358520508,-44.632259368896484,-43.718666076660156,-40.90361404418945,-38.43183135986328,-47.215171813964844,-46.495784759521484,-41.53268051147461,-44.499542236328125,-40.95398712158203,-36.946327209472656,-66.94654083251953,-53.51903533935547,-58.36250305175781,-35.17341613769531,-35.18880844116211,-34.7164306640625
the lie on the feet was flat .,-42.614654541015625,-41.78213882446289,-39.500938415527344,-47.78602981567383,-43.93109893798828,-45.41238021850586,-46.90299987792969,-46.41745376586914,-42.83679962158203,-49.52562713623047,-46.79098892211914,-47.986785888671875,-62.46356201171875,-50.88069534301758,-53.77872085571289,-33.46166229248047,-37.286277770996094,-35.867366790771484
the lies on the feet was flat .,-44.058433532714844,-44.90087127685547,-47.1963005065918,-44.923828125,-41.66928482055664,-43.79743194580078,-48.261600494384766,-49.72355270385742,-49.26301574707031,-44.21027374267578,-42.99091339111328,-43.329322814941406,-68.20477294921875,-57.472930908203125,-59.3157958984375,-36.88233184814453,-39.6617431640625,-38.679908752441406
the lies on the foot are flat .,-41.814476013183594,-37.518314361572266,-44.64144515991211,-42.60560607910156,-39.56285095214844,-40.72385025024414,-47.027549743652344,-40.796016693115234,-44.71826171875,-41.430023193359375,-40.48217010498047,-38.93722915649414,-67.7871322631836,-51.723480224609375,-57.94010925292969,-31.874290466308594,-33.59587097167969,-34.292598724365234
the lie on the foot are flat .,-37.97597122192383,-34.251121520996094,-36.363677978515625,-46.36184310913086,-42.74509811401367,-48.49761962890625,-46.86379623413086,-36.641136169433594,-43.65216827392578,-47.33465576171875,-45.385353088378906,-50.400848388671875,-61.388160705566406,-45.6917610168457,-53.57159423828125,-28.341943740844727,-32.46141815185547,-32.52068328857422
