sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
give me the poor boat .,-19.09417152404785,-18.38951301574707,-22.96237564086914,-40.784461975097656,-41.95491409301758,-44.08257293701172,-22.994035720825195,-21.563329696655273,-25.79124641418457,-39.694541931152344,-42.364479064941406,-43.96828079223633,-55.86140060424805,-45.35303497314453,-44.22620391845703,-45.33469772338867,-52.055484771728516,-45.73809051513672
the poor boat gives me .,-30.1336612701416,-31.892711639404297,-33.734073638916016,-48.0992317199707,-43.232025146484375,-45.340187072753906,-30.596710205078125,-36.722984313964844,-37.371803283691406,-50.01292419433594,-45.868412017822266,-48.18228530883789,-60.69621276855469,-43.653709411621094,-50.55572509765625,-33.2763557434082,-39.15972137451172,-34.1269645690918
ask me about the boat .,-17.200424194335938,-15.94112777709961,-13.938131332397461,-44.62406921386719,-44.30403137207031,-50.25471878051758,-14.912161827087402,-15.014839172363281,-13.64078140258789,-42.87095642089844,-44.74052047729492,-49.4339599609375,-54.594970703125,-40.729007720947266,-40.74966049194336,-37.30136489868164,-47.49150085449219,-42.04291534423828
the boat asked me about .,-26.45209312438965,-29.35184097290039,-30.475481033325195,-38.35322570800781,-38.17613983154297,-41.27133560180664,-29.690649032592773,-32.12628173828125,-28.99889373779297,-38.38755798339844,-40.398048400878906,-41.46763229370117,-55.83085632324219,-43.43733596801758,-43.37233352661133,-31.49532127380371,-31.266040802001953,-31.25897789001465
the boat looks at me .,-20.492490768432617,-21.25262451171875,-19.690908432006836,-33.44613265991211,-35.89815139770508,-36.2855224609375,-23.630687713623047,-23.337270736694336,-20.78476905822754,-33.43358612060547,-36.17695999145508,-35.47035217285156,-58.32185363769531,-44.685394287109375,-40.268798828125,-29.854324340820312,-32.11012268066406,-27.88143539428711
the boat looks at some .,-26.718952178955078,-27.75646209716797,-28.813457489013672,-33.226654052734375,-34.71280288696289,-35.3647346496582,-30.77687644958496,-32.47813415527344,-32.43217468261719,-32.697200775146484,-35.03076171875,-34.15911865234375,-58.461631774902344,-48.39212417602539,-42.04515838623047,-34.135990142822266,-33.114681243896484,-29.788970947265625
give us the purple sister .,-28.594802856445312,-27.038589477539062,-28.850112915039062,-46.23790740966797,-48.92355728149414,-57.885799407958984,-34.68543243408203,-30.444351196289062,-30.787090301513672,-47.67098617553711,-46.482295989990234,-57.49259948730469,-59.20851135253906,-48.25994110107422,-45.00243377685547,-53.40852737426758,-55.49645233154297,-52.55223083496094
the purple sister gives us .,-32.23401641845703,-34.571014404296875,-31.434911727905273,-46.94585037231445,-51.123172760009766,-46.50660705566406,-41.62316131591797,-39.7629508972168,-35.344757080078125,-48.364036560058594,-50.33211898803711,-45.77880096435547,-56.2285041809082,-46.542083740234375,-48.96643829345703,-39.60036849975586,-38.505245208740234,-38.6517448425293
ask us about the sister .,-24.545530319213867,-26.72813606262207,-24.78261375427246,-48.56846618652344,-52.428287506103516,-54.23685836791992,-26.804750442504883,-29.398706436157227,-27.874221801757812,-49.779300689697266,-53.00762939453125,-55.10920715332031,-52.44446563720703,-44.08131790161133,-42.885108947753906,-51.000457763671875,-52.26996612548828,-56.169921875
the sister asked us about .,-26.58729362487793,-27.135482788085938,-28.548442840576172,-34.74898910522461,-40.85930252075195,-43.63737487792969,-32.537540435791016,-26.25998306274414,-29.80158805847168,-35.6881103515625,-42.042537689208984,-44.58074188232422,-53.44441604614258,-46.018592834472656,-45.52861022949219,-36.525760650634766,-37.61887741088867,-37.13300323486328
a sister saw him there .,-30.800052642822266,-30.456981658935547,-31.15069580078125,-35.286312103271484,-34.11984634399414,-37.21733856201172,-34.11387634277344,-33.48902130126953,-31.448501586914062,-37.1173210144043,-35.99322509765625,-38.62925720214844,-52.7443733215332,-42.304012298583984,-45.92603302001953,-34.78910827636719,-32.09015655517578,-29.18470001220703
a sister saw him by .,-32.84050750732422,-34.04627990722656,-36.12522506713867,-37.19597244262695,-37.55465316772461,-41.3429069519043,-38.42313766479492,-37.2342643737793,-36.285701751708984,-37.75190353393555,-41.36465835571289,-43.12984848022461,-56.601036071777344,-44.34959030151367,-44.60810852050781,-38.33055877685547,-35.467689514160156,-36.17306137084961
give her the fixed boat .,-31.514820098876953,-27.932079315185547,-31.832685470581055,-47.2935905456543,-52.417388916015625,-51.80914306640625,-31.51848602294922,-31.393714904785156,-30.761489868164062,-47.463985443115234,-53.07861328125,-51.33329772949219,-61.650848388671875,-51.093048095703125,-46.58876419067383,-52.533966064453125,-56.48324966430664,-51.28895950317383
the fixed boat gives her .,-38.651039123535156,-38.773738861083984,-41.650394439697266,-41.768890380859375,-44.313236236572266,-42.397586822509766,-39.657127380371094,-40.878780364990234,-45.02280807495117,-42.79700469970703,-44.520263671875,-43.582096099853516,-61.87210464477539,-49.040618896484375,-48.50318908691406,-37.42383575439453,-39.76738357543945,-33.89250946044922
tell her about the boat .,-14.567811965942383,-14.461605072021484,-13.454639434814453,-42.95109939575195,-41.15494918823242,-45.307640075683594,-12.879261016845703,-12.6751070022583,-12.764832496643066,-44.771305084228516,-43.9371452331543,-45.22834396362305,-50.252159118652344,-36.31660461425781,-38.987525939941406,-44.65702819824219,-45.393463134765625,-40.769927978515625
the boat tells her about .,-25.569589614868164,-26.719768524169922,-30.207176208496094,-33.642398834228516,-32.453086853027344,-34.95124053955078,-27.504526138305664,-26.335933685302734,-32.087196350097656,-33.1115608215332,-34.265113830566406,-35.7640495300293,-56.12614440917969,-44.26535415649414,-43.00200271606445,-32.170345306396484,-33.14498519897461,-33.28696060180664
the boat saw me there .,-28.632904052734375,-27.11551856994629,-27.88094711303711,-40.35613250732422,-38.77691650390625,-38.01429748535156,-27.40845489501953,-29.50918960571289,-27.620363235473633,-40.36664581298828,-40.14356994628906,-39.038997650146484,-57.90665054321289,-43.29169845581055,-45.48359680175781,-33.87448501586914,-34.60285949707031,-30.80404281616211
the boat saw me by .,-29.162158966064453,-32.8410530090332,-33.3149299621582,-43.68888473510742,-40.83066940307617,-43.539825439453125,-30.107181549072266,-33.83122253417969,-32.874420166015625,-43.425724029541016,-41.99261474609375,-44.49192810058594,-60.18913650512695,-43.20036315917969,-45.05366134643555,-37.048458099365234,-37.90292739868164,-35.624267578125
give me the top duke .,-26.573129653930664,-27.39812660217285,-25.773578643798828,-37.28831100463867,-40.12366485595703,-47.26651382446289,-30.378978729248047,-31.85660171508789,-30.89283561706543,-34.751712799072266,-37.67733383178711,-45.97789764404297,-56.888511657714844,-44.28445053100586,-40.343162536621094,-46.384666442871094,-52.485069274902344,-46.68304443359375
the top duke gives me .,-36.70199203491211,-40.32722854614258,-41.72532272338867,-40.60647201538086,-44.667022705078125,-42.0597038269043,-39.46189880371094,-48.28141784667969,-45.02174377441406,-42.989986419677734,-43.72545623779297,-43.4312629699707,-60.667625427246094,-52.03369903564453,-52.43622970581055,-32.26649856567383,-35.85424041748047,-35.58750915527344
ask me about the duke .,-21.585607528686523,-23.916513442993164,-19.738832473754883,-46.620933532714844,-43.76917266845703,-50.630985260009766,-19.599882125854492,-24.63182258605957,-20.721752166748047,-43.14441680908203,-44.561214447021484,-52.022003173828125,-51.087982177734375,-43.85085678100586,-38.93879699707031,-41.76654052734375,-47.47278594970703,-45.465232849121094
the duke asked me about .,-29.291812896728516,-29.615446090698242,-33.2187614440918,-34.59709167480469,-34.201927185058594,-39.97898483276367,-33.35108947753906,-25.91362762451172,-38.463260650634766,-33.2669563293457,-35.15031433105469,-39.63534927368164,-59.5228157043457,-54.345924377441406,-47.92272186279297,-26.669891357421875,-24.361305236816406,-26.459842681884766
one duke saw me there .,-36.854827880859375,-44.1708984375,-38.938594818115234,-42.77977752685547,-39.60574722290039,-39.33197021484375,-45.95427322387695,-45.817771911621094,-47.41643142700195,-44.283756256103516,-39.87884521484375,-41.27219009399414,-64.41041564941406,-55.566139221191406,-48.197750091552734,-42.231414794921875,-38.68864440917969,-39.19132995605469
one duke saw me by .,-39.49698257446289,-46.938621520996094,-42.83359909057617,-46.873958587646484,-41.699745178222656,-46.27131271362305,-50.445770263671875,-49.193397521972656,-49.01070785522461,-47.892051696777344,-41.317691802978516,-48.261959075927734,-67.07110595703125,-59.46331787109375,-46.57533645629883,-47.11658477783203,-42.530418395996094,-44.33245849609375
give us the polar dinosaur .,-27.882375717163086,-30.51038360595703,-29.917724609375,-44.84333038330078,-50.05316925048828,-52.27547836303711,-31.055116653442383,-33.933475494384766,-30.231929779052734,-43.057193756103516,-51.05218505859375,-51.53105926513672,-60.44303512573242,-48.97333526611328,-46.978816986083984,-58.841793060302734,-56.709049224853516,-56.89445495605469
the polar dinosaur gives us .,-35.54508590698242,-36.13267517089844,-34.92469787597656,-50.08473205566406,-48.67024612426758,-46.483211517333984,-43.435359954833984,-41.012027740478516,-40.25050735473633,-53.73594665527344,-51.4943962097168,-46.801177978515625,-55.307464599609375,-45.532684326171875,-47.43655014038086,-42.75029373168945,-40.98271942138672,-37.57685089111328
tell us about the dinosaur .,-14.43921947479248,-15.513904571533203,-14.996849060058594,-44.19491958618164,-46.72211456298828,-46.426612854003906,-16.903240203857422,-17.784149169921875,-15.231327056884766,-48.422515869140625,-47.140777587890625,-49.072509765625,-49.64756774902344,-39.670616149902344,-38.67771911621094,-53.044342041015625,-53.1150016784668,-52.458648681640625
the dinosaur tells us about .,-25.48169708251953,-28.102893829345703,-22.766643524169922,-38.63133239746094,-42.39530944824219,-40.97576904296875,-27.470966339111328,-29.14040184020996,-25.562732696533203,-38.00526428222656,-42.43690490722656,-42.64825439453125,-56.549400329589844,-46.0266227722168,-43.37822341918945,-36.80154800415039,-40.353939056396484,-35.67985916137695
some dinosaur moves fast .,-30.722726821899414,-30.760366439819336,-32.31124496459961,-38.615386962890625,-42.27682113647461,-40.944881439208984,-32.523712158203125,-35.82117462158203,-31.428287506103516,-38.487342834472656,-41.96546936035156,-44.97059631347656,-45.290863037109375,-49.771949768066406,-43.66606521606445,-38.523231506347656,-40.47825622558594,-39.252872467041016
some dinosaur moves to .,-32.96472930908203,-33.010955810546875,-36.16617965698242,-36.10584259033203,-34.86288833618164,-35.85480880737305,-36.27095413208008,-38.754058837890625,-37.14411163330078,-36.59820556640625,-36.09453201293945,-39.01478958129883,-45.89032745361328,-47.87397384643555,-44.47328186035156,-36.055171966552734,-34.711280822753906,-35.894168853759766
give her the polar doctor .,-30.570981979370117,-29.878276824951172,-34.49013137817383,-49.28719711303711,-57.66099548339844,-52.94176483154297,-34.515541076660156,-32.40617370605469,-36.83826446533203,-49.63947677612305,-60.75672149658203,-50.99081802368164,-54.23591613769531,-47.6357307434082,-44.20761489868164,-63.64002227783203,-60.684574127197266,-59.73017501831055
the polar doctor gives her .,-34.14257049560547,-31.557788848876953,-38.087799072265625,-46.596961975097656,-47.741058349609375,-44.21135711669922,-42.70061492919922,-36.13175964355469,-41.263092041015625,-47.848854064941406,-50.64717102050781,-43.641109466552734,-52.3780403137207,-44.332603454589844,-44.6048583984375,-45.62908172607422,-45.45655822753906,-41.239723205566406
ask her about the doctor .,-12.99576187133789,-13.125454902648926,-13.922187805175781,-43.766109466552734,-44.54138946533203,-46.61345291137695,-15.158134460449219,-13.50643253326416,-14.136425018310547,-44.21751403808594,-43.30684280395508,-47.46927261352539,-50.117401123046875,-41.474510192871094,-37.02511978149414,-38.61466979980469,-42.572330474853516,-42.86001205444336
the doctor asked her about .,-24.011600494384766,-23.975170135498047,-29.279966354370117,-33.35539627075195,-31.748884201049805,-30.891921997070312,-26.09758949279785,-26.78949737548828,-30.698572158813477,-34.00279998779297,-32.43841552734375,-32.38170623779297,-56.769073486328125,-46.26375961303711,-41.25700378417969,-26.434886932373047,-27.84553337097168,-24.88559341430664
a doctor changed her .,-27.29051399230957,-24.32618522644043,-24.370988845825195,-27.673553466796875,-32.92366409301758,-34.79176330566406,-28.10285758972168,-21.65558624267578,-22.347747802734375,-28.168533325195312,-33.14383316040039,-36.2508544921875,-43.30134582519531,-34.308414459228516,-37.18544006347656,-30.383317947387695,-31.18964385986328,-27.242027282714844
a doctor changed one .,-29.76129913330078,-27.76412582397461,-25.366079330444336,-31.84074592590332,-35.45628356933594,-36.14326858520508,-32.515953063964844,-31.066370010375977,-27.629167556762695,-33.320213317871094,-38.7110595703125,-38.31841278076172,-47.54243087768555,-41.07228088378906,-38.84779357910156,-32.72827911376953,-34.28327941894531,-33.393714904785156
give me the fixed wolf .,-26.963119506835938,-27.378692626953125,-30.66794204711914,-39.50326156616211,-42.983787536621094,-47.84880828857422,-30.278911590576172,-31.285057067871094,-33.63728332519531,-36.997955322265625,-41.50319290161133,-45.806602478027344,-56.630950927734375,-47.714603424072266,-45.701194763183594,-51.94061279296875,-57.58967971801758,-49.377174377441406
the fixed wolf gives me .,-34.36081314086914,-38.93928527832031,-40.615150451660156,-41.29233932495117,-47.698387145996094,-44.06380844116211,-39.67461395263672,-43.1397590637207,-43.85889434814453,-41.344207763671875,-47.98332214355469,-45.85879898071289,-59.1439094543457,-46.85710525512695,-48.123680114746094,-35.40418243408203,-39.391441345214844,-36.09075164794922
tell me about the wolf .,-14.149866104125977,-13.112796783447266,-13.07605266571045,-43.1090087890625,-42.51002502441406,-48.49042510986328,-15.121373176574707,-14.880528450012207,-10.645458221435547,-43.38840866088867,-45.92815017700195,-49.8853645324707,-48.4022102355957,-39.612003326416016,-38.96339416503906,-46.20010757446289,-46.84187698364258,-40.851806640625
the wolf tells me about .,-26.8110294342041,-27.173120498657227,-25.061750411987305,-36.023067474365234,-38.0620231628418,-38.6422119140625,-29.80333709716797,-31.007225036621094,-30.141376495361328,-33.703155517578125,-39.703433990478516,-38.87431335449219,-54.77482986450195,-44.615989685058594,-41.97660827636719,-28.123313903808594,-27.180683135986328,-30.045894622802734
the wolf moves fast .,-27.625499725341797,-27.191890716552734,-24.640682220458984,-36.74578094482422,-36.26626968383789,-34.026180267333984,-25.89293098449707,-29.60926055908203,-24.653648376464844,-37.26463317871094,-36.36569595336914,-34.98661804199219,-44.439083099365234,-37.28753662109375,-39.29869842529297,-32.257877349853516,-31.654010772705078,-33.78788375854492
the wolf moves to .,-31.907794952392578,-32.48690414428711,-27.641910552978516,-33.639312744140625,-31.048580169677734,-30.52801513671875,-33.04811096191406,-36.037193298339844,-27.413890838623047,-33.0103874206543,-33.34825897216797,-32.77686309814453,-47.90135955810547,-38.48902130126953,-40.274539947509766,-26.918556213378906,-24.69474983215332,-28.657012939453125
