sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
he made the slave her label .,-40.6171760559082,-40.004905700683594,-44.90590286254883,-38.46731948852539,-41.98851776123047,-43.46281814575195,-41.85833740234375,-41.62901306152344,-49.0029411315918,-39.5904541015625,-43.60789489746094,-44.44335174560547,-53.630855560302734,-60.38370132446289,-51.040489196777344,-39.028263092041016,-39.993648529052734,-40.256744384765625
the slave made her label he .,-47.653602600097656,-52.08761978149414,-56.98469924926758,-48.736080169677734,-46.7012939453125,-48.20832824707031,-52.13702392578125,-65.4925308227539,-66.76317596435547,-51.56930923461914,-46.3775634765625,-48.83319091796875,-61.028682708740234,-64.88987731933594,-57.241920471191406,-38.11028289794922,-42.32128143310547,-44.6412353515625
they made the wolf her ball .,-35.39002990722656,-34.544960021972656,-35.53669738769531,-44.65850067138672,-41.71217346191406,-43.12015151977539,-40.572349548339844,-39.61548614501953,-37.929298400878906,-46.60852813720703,-42.384429931640625,-44.654354095458984,-71.14679718017578,-56.993263244628906,-53.3287353515625,-44.2645378112793,-42.672279357910156,-36.95839309692383
the wolf made her ball they .,-45.389854431152344,-44.885677337646484,-45.57815933227539,-50.72947692871094,-48.255035400390625,-49.35456466674805,-50.86962890625,-51.3174934387207,-52.407466888427734,-49.4069938659668,-50.49193572998047,-53.03302001953125,-72.88816833496094,-56.40561294555664,-51.76499938964844,-39.10347366333008,-40.34556579589844,-39.855445861816406
i built the boat a drop .,-36.18939208984375,-37.50041198730469,-37.50822067260742,-43.03261184692383,-42.07965850830078,-40.601844787597656,-37.77615737915039,-39.686180114746094,-38.89436340332031,-43.053707122802734,-41.58732986450195,-40.36581802368164,-57.61216735839844,-48.808753967285156,-48.090667724609375,-37.254825592041016,-39.76176071166992,-36.968017578125
the boat built a drop i .,-43.37420654296875,-41.94967269897461,-44.24150466918945,-44.36287307739258,-47.24637222290039,-49.3972053527832,-47.39259338378906,-46.4932861328125,-49.36126708984375,-45.59615707397461,-48.378395080566406,-49.36783981323242,-58.200199127197266,-50.6516227722168,-50.45729064941406,-30.639183044433594,-36.703678131103516,-37.989830017089844
we gave the pig one counter .,-33.13813781738281,-34.12409210205078,-33.87842559814453,-37.75733947753906,-45.95838165283203,-39.66274642944336,-36.10762023925781,-37.87669372558594,-42.140811920166016,-36.96380615234375,-45.841793060302734,-39.91908264160156,-62.611473083496094,-53.260955810546875,-50.65626525878906,-48.368858337402344,-54.94863510131836,-47.86029815673828
the pig gave one counter we .,-43.34243392944336,-49.716793060302734,-49.86819076538086,-52.44860076904297,-55.000213623046875,-55.534793853759766,-48.44597244262695,-54.83971405029297,-55.780853271484375,-53.50711441040039,-58.395912170410156,-56.53480911254883,-61.749637603759766,-50.8404541015625,-52.48420333862305,-50.27074432373047,-49.46013641357422,-51.6397590637207
i brought the doctor that bet .,-36.40494155883789,-38.591304779052734,-36.890140533447266,-39.00513458251953,-39.43850326538086,-39.93793869018555,-38.50218200683594,-44.06147384643555,-40.28752136230469,-39.78645706176758,-39.3585319519043,-39.57080841064453,-50.82946014404297,-44.92085647583008,-41.55790328979492,-42.444580078125,-41.79681396484375,-38.23856735229492
the doctor brought that bet i .,-41.033573150634766,-43.66671371459961,-43.25841522216797,-54.937740325927734,-45.98095703125,-45.97955322265625,-42.06831741333008,-47.46582794189453,-48.73888397216797,-56.74799728393555,-46.90864944458008,-46.48153305053711,-54.50452423095703,-45.50558090209961,-44.00944900512695,-45.18790054321289,-40.77995681762695,-44.12141418457031
she showed the slave one picture .,-42.36968231201172,-39.592498779296875,-38.6525764465332,-46.682769775390625,-49.361915588378906,-48.13348388671875,-46.85914611816406,-43.66868591308594,-40.56327438354492,-46.15399932861328,-49.43549346923828,-50.85672378540039,-55.31938552856445,-52.72563171386719,-52.71885681152344,-48.569969177246094,-53.6990852355957,-47.25236892700195
the slave showed one picture she .,-46.71947479248047,-49.2524528503418,-49.97098159790039,-55.84345626831055,-55.652835845947266,-61.51062774658203,-50.66017150878906,-56.50455093383789,-53.71299362182617,-59.294639587402344,-57.66889953613281,-64.48653411865234,-59.69281768798828,-53.61308670043945,-54.460296630859375,-46.38179016113281,-54.28581619262695,-49.60858154296875
i made the slave one bird .,-42.057464599609375,-38.611690521240234,-38.746925354003906,-44.203582763671875,-40.06899642944336,-44.19102096557617,-46.26598358154297,-36.480018615722656,-41.0201416015625,-44.87117004394531,-39.566715240478516,-46.42234802246094,-61.169918060302734,-60.02200698852539,-55.012481689453125,-45.123504638671875,-48.616729736328125,-44.17692947387695
the slave made one bird i .,-51.568607330322266,-48.19483184814453,-53.148006439208984,-50.92919921875,-52.111148834228516,-49.416343688964844,-53.48670959472656,-56.32527160644531,-59.71401596069336,-53.57453918457031,-52.69626235961914,-51.58171081542969,-60.26358413696289,-59.76632308959961,-54.640724182128906,-37.291038513183594,-42.270477294921875,-42.431114196777344
we gave the duke a boom .,-42.45130920410156,-35.87704849243164,-38.266815185546875,-32.121212005615234,-32.239742279052734,-29.794050216674805,-43.38114547729492,-41.5311279296875,-47.073402404785156,-33.68973922729492,-32.04521560668945,-28.61648178100586,-63.91925048828125,-52.53125762939453,-55.85436248779297,-40.77086639404297,-42.9468879699707,-37.42433166503906
the duke gave a boom we .,-45.861228942871094,-49.603057861328125,-47.76210403442383,-43.83592224121094,-44.89775085449219,-46.43626403808594,-54.08338928222656,-56.392608642578125,-55.80876541137695,-45.172672271728516,-47.44291305541992,-45.580013275146484,-67.24730682373047,-52.22058868408203,-57.20014190673828,-42.45778274536133,-39.60232162475586,-43.30917739868164
i made the doctor that apple .,-38.692626953125,-36.67108154296875,-33.452980041503906,-39.13508987426758,-34.1671028137207,-34.664188385009766,-44.571781158447266,-41.66487503051758,-36.601131439208984,-41.13471603393555,-35.35190963745117,-36.661354064941406,-61.919654846191406,-52.703887939453125,-50.586585998535156,-40.999996185302734,-39.283851623535156,-36.27870559692383
the doctor made that apple i .,-38.55265426635742,-39.14590072631836,-35.70661163330078,-45.055179595947266,-35.47662353515625,-41.48478698730469,-42.12200927734375,-41.439613342285156,-41.17823791503906,-47.65570068359375,-38.112186431884766,-42.7411994934082,-62.86240768432617,-55.035362243652344,-47.68279266357422,-35.08001708984375,-36.502254486083984,-31.673974990844727
he made the slave my baby .,-37.55309295654297,-37.27251052856445,-35.68340301513672,-44.18816375732422,-44.86997985839844,-43.38931655883789,-41.084346771240234,-37.862823486328125,-41.27704620361328,-45.35185623168945,-44.310699462890625,-45.575679779052734,-58.42668151855469,-54.83369827270508,-52.24379348754883,-40.760108947753906,-43.58094024658203,-38.250892639160156
the slave made my baby he .,-46.69621658325195,-46.91768264770508,-49.72502517700195,-49.8489990234375,-52.86473846435547,-54.9576416015625,-48.50764465332031,-57.946170806884766,-49.60801696777344,-51.2882194519043,-53.98074722290039,-57.135093688964844,-64.34183502197266,-56.976654052734375,-53.94404602050781,-44.31184387207031,-46.08331298828125,-48.60622787475586
she gave the slave the movie .,-41.300994873046875,-36.90774154663086,-40.00295639038086,-36.32118225097656,-37.92125701904297,-39.74917221069336,-46.11552047729492,-37.03311538696289,-43.98820114135742,-37.364830017089844,-39.054141998291016,-40.19072723388672,-58.36328887939453,-45.243858337402344,-49.80187225341797,-35.834205627441406,-39.34207534790039,-34.78717041015625
the slave gave the movie she .,-47.859989166259766,-45.76411819458008,-49.33269119262695,-47.92645263671875,-51.67462921142578,-49.29376983642578,-52.21146011352539,-50.74543762207031,-52.36650085449219,-50.86309814453125,-54.165435791015625,-50.07787322998047,-59.2972526550293,-48.354949951171875,-50.7135124206543,-39.85230255126953,-43.64813232421875,-41.65341567993164
she brought the doctor this picture .,-34.02204132080078,-30.06716537475586,-29.18343162536621,-40.250946044921875,-34.916202545166016,-32.87504196166992,-38.6757698059082,-31.9317626953125,-31.884471893310547,-41.253753662109375,-36.78997802734375,-34.941612243652344,-57.073001861572266,-48.67580795288086,-44.68513870239258,-39.430580139160156,-39.188560485839844,-36.85886764526367
the doctor brought this picture she .,-37.18781661987305,-38.8041877746582,-35.6318473815918,-48.22975158691406,-44.10325241088867,-49.0309944152832,-39.21782302856445,-42.66958999633789,-36.09571075439453,-47.0057487487793,-47.331905364990234,-50.77253723144531,-60.051937103271484,-48.59621810913086,-44.37407684326172,-40.50127410888672,-45.874568939208984,-42.12488555908203
she showed the boat my guess .,-42.82672882080078,-40.18880844116211,-41.1859016418457,-50.17921829223633,-49.68891906738281,-48.748069763183594,-48.80982971191406,-44.611175537109375,-41.29694366455078,-48.93809127807617,-49.13355255126953,-47.41273880004883,-65.23461151123047,-49.64899826049805,-50.89845657348633,-48.13597106933594,-49.577606201171875,-46.003562927246094
