sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
ben thinks about himself calling this fuel .,-51.58953857421875,-54.723365783691406,-55.69265365600586,-59.64567947387695,-56.7469482421875,-55.449012756347656,-53.906532287597656,-54.34410095214844,-66.09226989746094,-60.03131866455078,-58.331809997558594,-57.036197662353516,-66.98616790771484,-68.50238037109375,-67.26910400390625,-59.920387268066406,-60.089141845703125,-57.51053237915039
ben thinks about himself called this fuel .,-52.73202133178711,-53.417327880859375,-58.360252380371094,-57.42286682128906,-54.12907028198242,-52.08277893066406,-56.58964538574219,-57.276023864746094,-68.11831665039062,-59.01265335083008,-55.18269348144531,-51.537410736083984,-67.01464080810547,-72.21726989746094,-67.25469970703125,-59.36825180053711,-61.30476760864258,-56.62179946899414
anne thinks about herself calling this fuel .,-49.48246765136719,-55.35957336425781,-54.01239013671875,-57.774139404296875,-57.47111511230469,-56.50384521484375,-58.3709831237793,-59.736061096191406,-61.301170349121094,-56.86854934692383,-57.99496841430664,-57.97726821899414,-64.77999877929688,-65.6756820678711,-69.6192626953125,-65.53900146484375,-68.29328918457031,-65.06663513183594
anne thinks about herself called this fuel .,-52.424373626708984,-52.8028564453125,-55.65925598144531,-56.05742645263672,-54.8291015625,-55.43614196777344,-62.2789306640625,-57.69055938720703,-61.97945785522461,-55.111900329589844,-55.10391616821289,-57.121437072753906,-65.99958801269531,-68.52733612060547,-69.14346313476562,-64.88397979736328,-67.87411499023438,-63.782981872558594
ben thinks about himself getting this fuel .,-48.76201248168945,-53.926910400390625,-53.82912826538086,-56.14244079589844,-55.29948806762695,-55.19932556152344,-54.116363525390625,-54.17103958129883,-64.9609375,-57.258811950683594,-56.58988571166992,-55.764427185058594,-62.61410903930664,-71.39856719970703,-64.06114959716797,-61.446449279785156,-61.64312744140625,-57.485660552978516
ben thinks about himself gets this fuel .,-54.19224548339844,-59.54848861694336,-58.584381103515625,-57.249351501464844,-59.30051040649414,-61.18901443481445,-59.61954116821289,-65.56448364257812,-67.55252075195312,-58.65924072265625,-63.582515716552734,-60.13087844848633,-66.92540740966797,-75.07787322998047,-67.82205200195312,-66.54940795898438,-70.68680572509766,-63.32658767700195
anne thinks about herself getting this fuel .,-47.8790168762207,-52.62961959838867,-49.9567756652832,-54.38495635986328,-55.250972747802734,-57.21245574951172,-54.45174026489258,-50.847251892089844,-58.61778259277344,-54.15082550048828,-54.88108825683594,-58.435550689697266,-61.61562728881836,-69.23377990722656,-67.41009521484375,-66.50816345214844,-67.430908203125,-65.26176452636719
anne thinks about herself gets this fuel .,-49.76716613769531,-54.60077667236328,-52.713958740234375,-54.512027740478516,-57.63310623168945,-58.42845153808594,-55.86867141723633,-59.08552551269531,-63.66154479980469,-54.60110092163086,-62.640655517578125,-58.065834045410156,-64.51354217529297,-70.89463806152344,-70.09390258789062,-72.48958587646484,-75.50811767578125,-70.37073516845703
roger thinks about himself trying this stand .,-52.47666931152344,-52.47590255737305,-49.892642974853516,-60.016746520996094,-54.904541015625,-52.628662109375,-51.96637725830078,-51.791412353515625,-50.90521240234375,-57.254547119140625,-56.444515228271484,-54.45799255371094,-62.67823028564453,-61.107444763183594,-55.07057189941406,-68.47833251953125,-62.7913818359375,-62.517452239990234
roger thinks about himself tried this stand .,-53.1019401550293,-57.259796142578125,-54.49829864501953,-57.216087341308594,-55.560142517089844,-52.70046615600586,-52.46803283691406,-62.13275909423828,-55.95927047729492,-58.78258514404297,-54.99296188354492,-54.829376220703125,-64.63996124267578,-68.32567596435547,-56.82794952392578,-71.85418701171875,-71.95038604736328,-69.21377563476562
laura thinks about herself trying this stand .,-55.45990753173828,-55.95950698852539,-48.75645446777344,-59.97528839111328,-60.97481155395508,-54.75236511230469,-56.19283676147461,-57.585540771484375,-53.51871871948242,-56.17354965209961,-63.04168701171875,-59.42116928100586,-61.77796173095703,-60.52227020263672,-60.23017120361328,-74.64197540283203,-70.60234832763672,-70.9259033203125
laura thinks about herself tried this stand .,-57.98369216918945,-58.41048812866211,-53.662208557128906,-61.67234802246094,-60.933998107910156,-57.61647415161133,-55.993648529052734,-63.8474235534668,-60.44512939453125,-60.012451171875,-62.78340148925781,-62.438865661621094,-64.37471771240234,-66.72653198242188,-63.62349319458008,-77.37972259521484,-79.2582778930664,-78.83686065673828
roger thinks about himself making this stand .,-44.35835647583008,-46.1140022277832,-47.475372314453125,-54.0687255859375,-47.829864501953125,-42.131351470947266,-42.940162658691406,-46.96572494506836,-46.895469665527344,-51.94673538208008,-47.39821243286133,-45.11792755126953,-64.78054809570312,-64.34408569335938,-58.02735900878906,-60.50559997558594,-55.37974548339844,-54.82648468017578
roger thinks about himself makes this stand .,-48.34553146362305,-50.46507263183594,-54.395668029785156,-53.9295768737793,-50.4063606262207,-46.4636116027832,-52.04157638549805,-56.03046798706055,-54.848114013671875,-53.449790954589844,-48.24348831176758,-50.29845428466797,-66.29093933105469,-68.26042175292969,-56.82775115966797,-62.95293045043945,-60.88323974609375,-61.92390823364258
laura thinks about herself making this stand .,-47.70077896118164,-51.24615478515625,-44.45941162109375,-52.056365966796875,-54.00091552734375,-46.851139068603516,-50.33021545410156,-55.561187744140625,-49.50709533691406,-48.44686508178711,-54.65222930908203,-50.93486022949219,-62.31623077392578,-63.02245330810547,-62.715171813964844,-65.84838104248047,-62.930965423583984,-64.29650115966797
