sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
michael chose the good one some time ago .,-45.02943420410156,-43.80888366699219,-47.577186584472656,-50.86676788330078,-47.532527923583984,-49.516014099121094,-45.26373291015625,-45.73540496826172,-60.64265441894531,-50.75270080566406,-48.63157653808594,-48.21991729736328,-65.54450988769531,-59.96108627319336,-61.63927459716797,-63.06842803955078,-63.17027282714844,-64.51173400878906
michael chosen the good one some time ago .,-52.1629753112793,-50.007354736328125,-57.80454635620117,-49.99626922607422,-50.0009880065918,-51.6815299987793,-54.878883361816406,-48.604652404785156,-75.30062866210938,-51.411380767822266,-51.031578063964844,-50.37668228149414,-71.1238784790039,-62.572635650634766,-67.40792083740234,-65.52330017089844,-67.54985046386719,-71.16719818115234
michael had chosen the good one some time ago .,-58.4166259765625,-58.38238525390625,-66.19129180908203,-50.52202606201172,-50.25822067260742,-51.858375549316406,-64.44052124023438,-59.964115142822266,-80.87466430664062,-51.00487518310547,-51.29649353027344,-51.87379837036133,-73.0947265625,-64.5709457397461,-69.3386459350586,-64.63935852050781,-62.87472152709961,-65.94705200195312
michael had chose the good one some time ago .,-54.39839553833008,-50.77139663696289,-56.88784408569336,-57.380393981933594,-52.900245666503906,-54.41093826293945,-57.48196029663086,-55.76703643798828,-69.48953247070312,-56.32738494873047,-52.91651153564453,-53.61594772338867,-66.6930160522461,-60.42025375366211,-62.17121505737305,-71.71174621582031,-70.10038757324219,-71.13967895507812
alexander began to work some time ago .,-50.17539978027344,-41.68826675415039,-49.00071334838867,-26.16299819946289,-25.32514762878418,-28.78372573852539,-50.23081588745117,-49.33932876586914,-50.24032211303711,-27.84912109375,-25.263851165771484,-27.43105697631836,-57.49263381958008,-58.54962158203125,-56.85746765136719,-39.040016174316406,-42.13492202758789,-39.62712097167969
alexander begun to work some time ago .,-57.75551223754883,-56.13236999511719,-58.162200927734375,-31.52625274658203,-32.1910400390625,-32.647220611572266,-52.17979431152344,-63.735084533691406,-63.62977600097656,-35.13397979736328,-33.166587829589844,-31.32478141784668,-72.69163513183594,-78.22501373291016,-72.84320831298828,-49.38860321044922,-50.77665328979492,-51.377418518066406
alexander had begun to work some time ago .,-58.030311584472656,-54.688926696777344,-58.57829666137695,-28.004743576049805,-27.063495635986328,-29.663402557373047,-54.1735954284668,-62.07307434082031,-59.763465881347656,-30.501266479492188,-28.28441047668457,-27.302444458007812,-69.49454498291016,-80.17255401611328,-72.76204681396484,-39.73700714111328,-41.68545913696289,-40.85526657104492
alexander had began to work some time ago .,-55.31895446777344,-46.335662841796875,-53.929500579833984,-33.83835983276367,-31.84661102294922,-34.85382843017578,-54.3226318359375,-51.9858283996582,-50.91071319580078,-35.08903884887695,-32.010528564453125,-32.5965690612793,-62.24379348754883,-62.937339782714844,-57.9678840637207,-44.6364860534668,-47.08460235595703,-47.155269622802734
donald took some food this morning .,-27.065576553344727,-25.256362915039062,-27.54267120361328,-44.28337097167969,-43.453983306884766,-40.96806716918945,-29.158031463623047,-29.42734146118164,-33.027278900146484,-46.209896087646484,-44.69457244873047,-41.33073806762695,-54.756980895996094,-50.37543869018555,-46.684791564941406,-47.6922721862793,-53.51056671142578,-48.58863830566406
donald taken some food this morning .,-35.68630599975586,-35.527923583984375,-35.26738739013672,-46.14023208618164,-46.14419174194336,-42.65092086791992,-37.73549270629883,-43.62181854248047,-40.835838317871094,-47.22996520996094,-47.07313919067383,-42.041221618652344,-58.06428527832031,-56.02587890625,-52.5671272277832,-55.835296630859375,-63.11376953125,-58.576847076416016
donald had taken some food this morning .,-36.034725189208984,-31.55849838256836,-36.26564025878906,-44.35771179199219,-45.23067092895508,-41.87914276123047,-42.23853302001953,-35.71095275878906,-40.68583679199219,-46.776695251464844,-45.9495735168457,-41.07353591918945,-60.51144027709961,-50.55275344848633,-46.55364990234375,-50.784339904785156,-54.40221405029297,-51.14764404296875
