sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
only mark ever finds some suit .,-36.01425552368164,-42.38320541381836,-36.37923812866211,-50.293312072753906,-57.4268798828125,-49.5439453125,-37.92030334472656,-48.7877082824707,-43.17991638183594,-52.33067321777344,-57.353973388671875,-51.89036560058594,-58.04100036621094,-58.65477752685547,-58.743743896484375,-55.509403228759766,-55.85800552368164,-52.08403396606445
even mark ever finds some suit .,-39.7144889831543,-44.49616241455078,-40.03173065185547,-49.773536682128906,-54.939453125,-52.8313102722168,-41.40875244140625,-47.400787353515625,-45.64418029785156,-51.46051025390625,-56.105674743652344,-54.042232513427734,-59.052982330322266,-56.007511138916016,-59.628421783447266,-56.41425323486328,-57.00304412841797,-54.871219635009766
only mark could ever like some suit .,-44.079586029052734,-49.888885498046875,-44.50726318359375,-53.15310287475586,-58.12965774536133,-55.21437072753906,-45.943572998046875,-52.152313232421875,-47.206626892089844,-52.322105407714844,-55.72179412841797,-59.57120895385742,-61.77659225463867,-63.93693161010742,-62.242576599121094,-58.97691345214844,-60.41802215576172,-55.86204528808594
even mark could ever like some suit .,-44.39516830444336,-48.347896575927734,-46.3000373840332,-54.4595947265625,-56.580474853515625,-57.65977096557617,-47.30497360229492,-50.81443786621094,-49.590370178222656,-52.521759033203125,-54.90827941894531,-61.3420524597168,-63.90035629272461,-59.74884796142578,-64.14561462402344,-59.68468475341797,-61.42979049682617,-57.40394592285156
only your wolf ever moves your lady .,-43.05967712402344,-47.86979675292969,-48.65620422363281,-60.35816955566406,-69.83949279785156,-60.10930252075195,-50.36272048950195,-54.95091247558594,-54.56110382080078,-58.71711730957031,-73.31167602539062,-58.874305725097656,-65.45536804199219,-60.69240188598633,-58.49767303466797,-47.671077728271484,-49.40302276611328,-47.13785934448242
even your wolf ever moves your lady .,-45.20469665527344,-52.16012191772461,-51.969600677490234,-59.10831832885742,-71.50096130371094,-61.397499084472656,-51.56911849975586,-60.809120178222656,-56.38811111450195,-59.336360931396484,-75.7867431640625,-58.237998962402344,-69.82926177978516,-62.19719314575195,-62.250335693359375,-50.45030975341797,-51.209449768066406,-51.11272430419922
only your wolf can ever control your lady .,-53.79396438598633,-54.29808044433594,-55.333805084228516,-54.15646743774414,-62.6513671875,-57.932098388671875,-58.97565460205078,-59.94590377807617,-63.328041076660156,-50.608238220214844,-62.66135025024414,-57.53819274902344,-70.1249771118164,-67.89617919921875,-64.57328796386719,-49.066261291503906,-51.90971374511719,-50.19210433959961
even your wolf can ever control your lady .,-55.1768684387207,-57.14138412475586,-58.43558883666992,-54.99633026123047,-64.21775817871094,-61.623939514160156,-62.09750747680664,-65.57251739501953,-66.28764343261719,-53.1710205078125,-65.10275268554688,-58.59166717529297,-74.67845916748047,-68.19629669189453,-66.02271270751953,-51.56449890136719,-52.7335205078125,-53.5301513671875
only your boat ever turns on his baby .,-47.504398345947266,-47.94886779785156,-46.6884765625,-59.34971237182617,-62.496089935302734,-62.06292724609375,-55.64042282104492,-56.799354553222656,-55.00733184814453,-60.71778869628906,-61.95717239379883,-63.80928421020508,-63.654842376708984,-56.708518981933594,-57.915245056152344,-49.53858184814453,-59.00470733642578,-54.838584899902344
even your boat ever turns on his baby .,-51.0531005859375,-51.89807891845703,-49.60433578491211,-60.166236877441406,-64.87850189208984,-61.648704528808594,-55.89595413208008,-56.839473724365234,-54.6773681640625,-62.91583251953125,-65.94925689697266,-62.159828186035156,-69.51509857177734,-58.26346969604492,-59.720340728759766,-51.658668518066406,-60.31475067138672,-59.53822326660156
