sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
no pig could stand on top of more than six days .,-53.008399963378906,-54.01741409301758,-53.01746368408203,-49.879398345947266,-52.19477462768555,-51.06312942504883,-57.07243347167969,-57.74800491333008,-52.56805419921875,-48.27181625366211,-51.608489990234375,-52.772254943847656,-60.57174301147461,-50.66899871826172,-55.17159652709961,-43.85356140136719,-45.29555130004883,-42.4032096862793
no pig could stand on top of at least six days .,-50.708377838134766,-60.35490036010742,-52.801910400390625,-48.9311637878418,-54.2981071472168,-50.19752502441406,-56.51593017578125,-63.191444396972656,-56.09223937988281,-46.821285247802734,-54.09088897705078,-51.389381408691406,-61.93135070800781,-50.73138427734375,-51.09357452392578,-43.45996856689453,-44.711299896240234,-40.442874908447266
no wolf could carry more than six waters .,-45.78767776489258,-50.55172348022461,-46.46583557128906,-48.43848419189453,-46.67476272583008,-51.633033752441406,-51.02467346191406,-53.334190368652344,-48.582515716552734,-49.421051025390625,-48.219852447509766,-53.56855392456055,-65.62517547607422,-61.78263854980469,-63.20817947387695,-43.554466247558594,-44.93039321899414,-46.893470764160156
no wolf could carry at least six waters .,-50.231353759765625,-57.90669250488281,-49.25493240356445,-48.213050842285156,-45.28721237182617,-50.87309646606445,-59.02125549316406,-62.32819366455078,-55.10541534423828,-49.305904388427734,-46.849769592285156,-52.04544448852539,-69.54766845703125,-63.728240966796875,-62.704898834228516,-43.053592681884766,-43.53487777709961,-46.5654296875
no pig can stand on top of fewer than ten birds .,-78.14195251464844,-78.68563842773438,-69.79360961914062,-57.57615280151367,-62.33610153198242,-58.30326461791992,-82.26679992675781,-91.77146911621094,-78.69102478027344,-54.51028823852539,-62.32794189453125,-58.91767501831055,-73.9722671508789,-67.12686920166016,-70.02474212646484,-53.19776916503906,-53.64842224121094,-54.326881408691406
no pig can stand on top of at most ten birds .,-73.2505874633789,-75.6029281616211,-69.08198547363281,-57.17675018310547,-66.3413314819336,-59.620033264160156,-74.15457153320312,-87.1172866821289,-78.38361358642578,-54.17192840576172,-64.9145736694336,-60.09444046020508,-66.90559387207031,-66.33763122558594,-63.937110900878906,-68.49034118652344,-67.54501342773438,-66.08175659179688
no boat could open the door to fewer than thirty stands .,-87.18367767333984,-83.25333404541016,-83.72611999511719,-63.26095199584961,-64.43966674804688,-64.51013946533203,-95.12765502929688,-98.62022399902344,-92.83372497558594,-62.51179504394531,-62.41514587402344,-63.36739730834961,-95.36259460449219,-78.92658996582031,-80.177978515625,-56.55059814453125,-58.61759567260742,-62.046180725097656
no boat could open the door to at most thirty stands .,-75.9424057006836,-77.91600036621094,-80.55755615234375,-66.75337219238281,-70.74131774902344,-64.12684631347656,-81.13237762451172,-89.81209564208984,-84.9914321899414,-66.60286712646484,-69.357421875,-63.74182891845703,-95.3566665649414,-81.45735168457031,-78.10392761230469,-71.19761657714844,-72.79192352294922,-73.73258972167969
no wolf could carry fewer than ten things .,-65.50141906738281,-69.92758178710938,-60.87865447998047,-51.31889724731445,-51.87954330444336,-52.770782470703125,-67.52239227294922,-72.91012573242188,-62.205177307128906,-52.149139404296875,-51.44622039794922,-53.658912658691406,-77.4297103881836,-67.51819610595703,-70.36039733886719,-47.33527374267578,-44.90969467163086,-44.12934112548828
no wolf could carry at most ten things .,-59.88264465332031,-63.252193450927734,-61.55039596557617,-52.707027435302734,-53.4929084777832,-54.611106872558594,-65.01952362060547,-67.55069732666016,-69.61505889892578,-54.265228271484375,-54.408973693847656,-54.29379653930664,-77.65528869628906,-71.33824157714844,-70.36207580566406,-55.99166488647461,-54.19045639038086,-53.7536506652832
no pig could open the door to more than one story .,-54.36962127685547,-56.56195831298828,-53.67695617675781,-56.610931396484375,-56.69841766357422,-54.747684478759766,-61.96761703491211,-62.21815490722656,-60.48816680908203,-57.819419860839844,-54.31047439575195,-54.03335189819336,-63.066383361816406,-59.7432861328125,-58.552589416503906,-48.64326095581055,-53.516944885253906,-54.21000671386719
no pig could open the door to at least one story .,-55.59700012207031,-59.074337005615234,-59.337528228759766,-56.83502197265625,-56.39779281616211,-55.223106384277344,-61.871124267578125,-64.79100799560547,-59.88752746582031,-58.47140121459961,-55.73908996582031,-54.72037887573242,-65.85301208496094,-55.35537338256836,-53.14820861816406,-46.679466247558594,-52.472984313964844,-51.27922439575195
no doctor can catch more than thirty toys .,-56.42411804199219,-55.62987518310547,-55.349266052246094,-58.511898040771484,-61.45151901245117,-54.944252014160156,-61.44004440307617,-61.84331512451172,-62.199954986572266,-56.02146530151367,-62.63569641113281,-56.312843322753906,-68.85684204101562,-61.15071487426758,-61.288326263427734,-56.820613861083984,-51.83521270751953,-56.727989196777344
no doctor can catch at least thirty toys .,-56.42524337768555,-59.9904670715332,-54.137699127197266,-63.43307876586914,-60.799720764160156,-58.690547943115234,-63.710514068603516,-63.947933197021484,-62.63530731201172,-61.43627166748047,-62.107608795166016,-60.81111526489258,-66.39924621582031,-64.24862670898438,-60.02790069580078,-57.67018127441406,-53.54035949707031,-55.635414123535156
no boat could carry fewer than twenty pages .,-72.55474853515625,-74.97296905517578,-66.11148071289062,-47.21161651611328,-46.9420051574707,-47.382667541503906,-81.00201416015625,-80.78439331054688,-68.63739013671875,-48.10066223144531,-46.097625732421875,-45.777809143066406,-77.44032287597656,-65.09064483642578,-71.66517639160156,-41.92818832397461,-43.222137451171875,-41.25693893432617
no boat could carry at most twenty pages .,-63.60321807861328,-67.5519790649414,-63.68553924560547,-52.193599700927734,-50.46137619018555,-52.85304260253906,-66.70924377441406,-77.45085906982422,-69.1551742553711,-54.436553955078125,-50.124786376953125,-50.79194641113281,-81.10403442382812,-69.10637664794922,-67.38990020751953,-52.8240966796875,-53.48761749267578,-53.657562255859375
no pig could stand on top of fewer than one window .,-70.17369842529297,-73.4392318725586,-72.0720443725586,-60.640647888183594,-61.115203857421875,-62.95672607421875,-79.27813720703125,-84.30834197998047,-80.96685791015625,-59.41408157348633,-63.73925018310547,-64.01021575927734,-66.9197998046875,-61.130340576171875,-66.19234466552734,-58.88843536376953,-58.29747009277344,-54.042388916015625
no pig could stand on top of at most one window .,-65.618896484375,-69.1553726196289,-71.34877014160156,-60.10719299316406,-67.19013214111328,-61.49737548828125,-74.31526947021484,-76.43260955810547,-77.83908081054688,-57.779048919677734,-67.93063354492188,-60.51091003417969,-68.19920349121094,-62.954219818115234,-63.021095275878906,-74.75775146484375,-68.73625183105469,-65.10174560546875
no dinosaur can carry more than nine cars .,-45.89995574951172,-48.60923385620117,-43.65667724609375,-50.006103515625,-50.520999908447266,-51.127132415771484,-53.553550720214844,-57.367576599121094,-52.648075103759766,-51.975013732910156,-51.11777114868164,-55.92539978027344,-71.92454528808594,-61.4840202331543,-63.27859115600586,-43.508968353271484,-47.52461242675781,-48.665733337402344
no dinosaur can carry at least nine cars .,-50.46397399902344,-58.620182037353516,-46.11678695678711,-51.30595397949219,-50.8342399597168,-53.753456115722656,-57.44462203979492,-71.08295440673828,-58.72840881347656,-54.21282958984375,-52.85832214355469,-57.984291076660156,-70.70004272460938,-60.605857849121094,-59.15467834472656,-43.32415771484375,-47.394248962402344,-48.711708068847656
no dinosaur could move to fewer than thirty windows .,-76.92619323730469,-74.28773498535156,-73.59609985351562,-60.065185546875,-60.10549545288086,-64.25145721435547,-84.3759536743164,-90.57429504394531,-87.42611694335938,-59.59158706665039,-61.52413558959961,-65.67156982421875,-87.57415008544922,-72.7596664428711,-70.6554183959961,-58.52993392944336,-57.86250305175781,-57.81548309326172
no dinosaur could move to at most thirty windows .,-70.22257232666016,-72.18492889404297,-66.89734649658203,-64.51910400390625,-68.9349365234375,-68.86019897460938,-72.61550903320312,-76.20796203613281,-79.13909912109375,-63.891502380371094,-70.87673950195312,-69.5029067993164,-81.85399627685547,-75.530517578125,-71.37733459472656,-75.65560913085938,-71.53402709960938,-72.76185607910156
no boat could increase the size of more than thirty eggs .,-90.86966705322266,-92.6531753540039,-81.9948959350586,-56.202781677246094,-57.94861602783203,-56.0518913269043,-102.45500183105469,-99.5479507446289,-94.56719970703125,-57.652610778808594,-57.01728439331055,-54.60905456542969,-94.96329498291016,-80.18476104736328,-87.39755249023438,-45.65848922729492,-50.4832763671875,-50.735687255859375
no boat could increase the size of at least thirty eggs .,-90.37462615966797,-95.93955993652344,-87.76935577392578,-58.5199089050293,-61.39852523803711,-57.51078414916992,-102.3102035522461,-102.12079620361328,-101.02933502197266,-60.72674560546875,-61.043941497802734,-56.139366149902344,-90.14884185791016,-81.06403350830078,-85.47933959960938,-44.80596160888672,-50.75312805175781,-50.23943328857422
no pig could catch more than twenty rings .,-53.08655548095703,-54.380706787109375,-57.788604736328125,-52.4598388671875,-56.598663330078125,-46.81940460205078,-57.73954391479492,-59.516075134277344,-63.14467239379883,-52.4804573059082,-55.96580505371094,-45.933895111083984,-68.61534881591797,-68.44252014160156,-61.16305160522461,-51.90925598144531,-52.59259796142578,-48.976112365722656
