singular,plural,gender,total_frequency
recht,rechte,Neut,930
europäischer,europäischen,Masc,928
wörter,worte,Masc,927
wertes,werte,Neut,893
frage,fragen,Fem,877
krieg,kriege,Masc,874
könig,könige,Masc,866
buche,bücher,Neut,845
kraft,kräften,Fem,832
beginn,beginnen,Fem,828
gott,götter,Masc,798
unterschiedliche,unterschiedlichen,Fem,797
region,regionen,Fem,796
sinn,sinne,Masc,795
trat,traten,Neut,762
euro,euros,Neut,753
bildes,bilden,Neut,749
blieb,bliebe,Masc,747
eigenschaft,eigenschaften,Fem,745
lag,lagen,Fem,744
vater,vaters,Masc,736
schrift,schriften,Fem,736
menge,mengen,Fem,718
weise,weisen,Fem,704
sohn,söhne,Masc,699
möglichkeit,möglichkeiten,Fem,698
hause,hauses,Neut,697
ziel,ziele,Neut,689
ergebnis,ergebnisse,Neut,676
gleiche,gleichen,Fem,672
zweiter,zweite,Masc,669
weg,wege,Masc,659
kunst,künste,Fem,656
insel,inseln,Fem,654
energie,energien,Fem,646
mann,männer,Masc,642
methode,methoden,Fem,633
kind,kinder,Neut,629
schule,schulen,Fem,629
datum,daten,Neut,620
bild,bilde,Neut,620
rot,rote,Neut,613
reihe,reihen,Fem,608
straße,straßen,Fem,601
raum,räume,Masc,601
präsident,präsidenten,Masc,581
problem,probleme,Neut,580
untersuchung,untersuchungen,Fem,573
autor,autoren,Masc,573
information,informationen,Fem,566
thema,themen,Neut,562
bewegung,bewegungen,Fem,551
richtung,richtungen,Fem,520
höhe,höhen,Fem,518
aufgabe,aufgaben,Fem,518
ort,orte,Masc,516
stimme,stimmen,Fem,501
unterschied,unterschiede,Masc,491
programm,programme,Neut,483
punkt,punkte,Masc,481
objekt,objekte,Neut,478
idee,ideen,Fem,473
reaktion,reaktionen,Fem,466
spiel,spiele,Neut,466
linie,linien,Fem,458
versuchte,versuchten,Fem,457
herrschaft,herrschaften,Fem,446
hauptstadt,hauptstädte,Fem,445
vorhanden,vorhandenen,Fem,444
museum,museen,Neut,444
ausnahme,ausnahmen,Fem,442
liste,listen,Fem,437
