singular,plural,total_frequency
streift,streifen,132
zählt,zählen,132
reift,reifen,117
leuchtet,leuchten,113
wächst,wachsen,111
wechselt,wechseln,99
rührt,rühren,88
glaubt,glauben,83
fühlt,fühlen,83
unterhält,unterhalten,81
trifft,treffen,78
schließt,schließen,78
schießt,schießen,75
kämpft,kämpfen,75
feiert,feiern,74
führt,führen,73
schlägt,schlagen,73
verliert,verlieren,72
wandert,wandern,71
reißt,reißen,68
raucht,rauchen,67
rettet,retten,65
taucht,tauchen,64
bedeutet,bedeuten,64
verschwindet,verschwinden,61
hofft,hoffen,60
startet,starten,59
