word_sing,word_plur,frequency,bin,long_vp,df
zweifelt,zweifeln,4,0,am wetter,childes
konstruiert,konstruieren,5,1,ein modell,childes
fürchtet,fürchten,31,3,den starken sturm,childes
schält,schälen,40,3,den reifen grünen apfel,childes
taucht,tauchen,64,4,in das wasser des meeres,childes
kennt,kennen,259,5,die antwort auf die frage,childes
schreibt,schreiben,865,7,einen brief an verwandte,childes
erzählt,erzählen,1081,7,eine geschichte über die ferien,childes
spielt,spielen,3149,8,mit dem ball auf dem hof,childes
kommt,kommen,8982,9,mit dem bus zum tennisplatz,childes 
