singular,plural,total_frequency
verliert,verlieren,132
vermag,vermögen,127
kämpft,kämpfen,125
orientiert,orientieren,116
baut,bauen,116
entfällt,entfallen,101
richtet,richten,100
kontrolliert,kontrollieren,98
verlangt,verlangen,97
schlägt,schlagen,97
trennt,trennen,90
fordert,fordern,89
veranstaltet,veranstalten,88
aussieht,aussehen,87
erzählt,erzählen,87
spiegelt,spiegeln,87
startet,starten,87
taucht,tauchen,83
stirbt,sterben,82
meint,meinen,79
beherrscht,beherrschen,79
konstruiert,konstruieren,78
kreist,kreisen,75
funktioniert,funktionieren,72
verschwindet,verschwinden,68
braucht,brauchen,68
wechselt,wechseln,67
