singular,plural,total_frequency
muscle,muscles,54
stocking,stockings,54
coal,coals,54
message,messages,54
pineapple,pineapples,53
flashlight,flashlights,53
sandal,sandals,53
engineer,engineers,53
strap,straps,52
temperature,temperatures,52
price,prices,52
bumper,bumpers,52
design,designs,52
tin,tins,51
knob,knobs,51
snowflake,snowflakes,51
helper,helpers,51
root,roots,51
keeper,keepers,50
leopard,leopards,50
creature,creatures,50
hotel,hotels,50
fireplace,fireplaces,50
balance,balances,50
treasure,treasures,49
member,members,49
spaceship,spaceships,49
president,presidents,49
wedding,weddings,49
copy,copies,48
marble,marbles,48
purpose,purposes,47
elevator,elevators,47
business,businesses,47
holiday,holidays,47
insect,insects,46
sailboat,sailboats,46
grandmother,grandmothers,46
dial,dials,46
trolley,trolleys,46
hip,hips,46
lesson,lessons,45
ostrich,ostriches,45
thunder,thunders,45
sport,sports,45
worker,workers,45
pill,pills,45
cheer,cheers,44
peg,pegs,44
clue,clues,44
fighter,fighters,44
mood,moods,44
spy,spies,44
brain,brains,43
slice,slices,43
guest,guests,43
coin,coins,43
artist,artists,42
inch,inches,42
mosquito,mosquitoes,42
mechanic,mechanics,42
piper,pipers,42
bun,buns,41
master,masters,41
wand,wands,41
firefighter,firefighters,41
credit,credits,41
control,controls,41
husband,husbands,40
diesel,diesels,40
ramp,ramps,40
maker,makers,40
sausage,sausages,40
stage,stages,40
jug,jugs,40
outfit,outfits,40
print,prints,39
alarm,alarms,39
collar,collars,39
cranberry,cranberries,39
date,dates,39
devil,devils,38
conversation,conversations,38
whisper,whispers,38
army,armies,38
hero,heroes,38
buster,busters,38
cardinal,cardinals,38
flake,flakes,38
whispering,whisperings,38
dove,doves,37
area,areas,37
blouse,blouses,37
sculpture,sculptures,36
wreck,wrecks,36
officer,officers,36
factory,factories,36
program,programs,36
bull,bulls,36
guard,guards,35
customer,customers,35
decoration,decorations,35
mile,miles,35
drain,drains,35
prayer,prayers,35
label,labels,35
ski,skis,34
season,seasons,34
boulder,boulders,34
student,students,34
buggy,buggies,34
penis,penises,34
winner,winners,34
coach,coaches,34
carrier,carriers,34
hunt,hunts,33
tanker,tankers,33
apartment,apartments,33
poster,posters,33
cab,cabs,32
superman,supermen,32
bomber,bombers,32
path,paths,32
instruction,instructions,32
fool,fools,32
escalator,escalators,32
photograph,photographs,32
ruler,rulers,32
film,films,31
chipmunk,chipmunks,31
travel,travels,31
system,systems,31
snowball,snowballs,31
trap,traps,30
beam,beams,30
scrap,scraps,30
weed,weeds,30
situation,situations,30
net,nets,30
adult,adults,30
sack,sacks,30
wig,wigs,30
waterfall,waterfalls,29
term,terms,29
dresser,dressers,29
flute,flutes,29
goody,goodies,29
paddle,paddles,29
glory,glories,29
meadow,meadows,28
position,positions,28
ferry,ferries,28
delivery,deliveries,28
chirp,chirps,28
pit,pits,28
pedal,pedals,28
cheetah,cheetahs,28
booster,boosters,28
brake,brakes,27
adventure,adventures,27
attack,attacks,27
collection,collections,27
material,materials,27
burger,burgers,27
vote,votes,27
trooper,troopers,26
kingdom,kingdoms,26
style,styles,26
frame,frames,26
nipple,nipples,26
jet,jets,26
flintstone,flintstones,26
grain,grains,26
cushion,cushions,25
distance,distances,25
curve,curves,25
law,laws,25
checker,checkers,25
explorer,explorers,25
dancer,dancers,25
emergency,emergencies,25
boss,bosses,25
subway,subways,25
search,searches,24
footprint,footprints,24
tramp,tramps,24
appointment,appointments,24
folk,folks,24
growl,growls,24
walker,walkers,24
form,forms,24
site,sites,24
slot,slots,24
ape,apes,24
