singular,plural,total_frequency
trooper,troopers,4
sailboat,sailboats,4
zipper,zippers,4
racket,rackets,4
grasshopper,grasshoppers,4
acrobat,acrobats,4
bumblebee,bumblebees,4
wildflower,wildflowers,4
firecracker,firecrackers,4
suitcase,suitcases,4
camper,campers,4
blouse,blouses,4
bumper,bumpers,4
handkerchief,handkerchiefs,4
postcard,postcards,4
troublemaker,troublemakers,3
blower,blowers,3
coupon,coupons,3
thicket,thickets,3
speck,specks,3
igloo,igloos,3
pheasant,pheasants,3
seahorse,seahorses,3
rambler,ramblers,3
cartwheel,cartwheels,3
freak,freaks,3
porpoise,porpoises,3
handlebar,handlebars,3
locker,lockers,3
chirp,chirps,3
scrubber,scrubbers,3
critter,critters,3
muppet,muppets,3
harvester,harvesters,3
toddler,toddlers,3
waffle,waffles,2
prune,prunes,2
crib,cribs,2
hammock,hammocks,2
tantrum,tantrums,2
headlight,headlights,2
eyeball,eyeballs,2
smokestack,smokestacks,2
scraper,scrapers,2
prospector,prospectors,2
picker,pickers,2
boop,boops,2
goody,goodies,2
growl,growls,2
shoelace,shoelaces,2
whispering,whisperings,2
bruise,bruises,2
sweatshirt,sweatshirts,2
flintstone,flintstones,2
loon,loons,2
