singular,plural,total_frequency
tosses,toss,16
continues,continue,15
discovers,discover,15
appears,appear,14
grinds,grind,14
poses,pose,13
tends,tend,12
expresses,express,11
concentrates,concentrate,11
imitates,imitate,10
curses,curse,10
explodes,explode,10
compasses,compass,10
proves,prove,9
includes,include,9
supports,support,9
complains,complain,8
exists,exist,8
destroys,destroy,7
fails,fail,7
knuckles,knuckle,6
flows,flow,6
produces,produce,6
divides,divide,6
collapses,collapse,6
recalls,recall,6
assumes,assume,6
