singular,plural,total_frequency
means,mean,1196
remains,remain,1004
runs,run,975
causes,cause,960
appears,appear,919
comes,come,888
gives,give,808
produces,produce,779
sounds,sound,779
leads,lead,773
notes,note,646
exists,exist,641
says,say,639
follows,follow,633
goes,go,621
helps,help,619
continues,continue,618
describes,describe,610
requires,require,609
holds,hold,602
turns,turn,601
rises,rise,554
finds,find,551
writes,write,532
hits,hit,521
rests,rest,516
serves,serve,507
